Date,Open,High,Low,Close,Volume
2016-01-04,52.88,53.995,52.7,53.28,6719257.0
2016-01-04,52.88,53.995,52.7,53.28,6719257.0
2016-01-04,52.88,53.995,52.7,53.28,6719257.0
2016-01-04,52.88,53.995,52.7,53.28,6719257.0
2016-01-05,53.67,54.422,53.25,54.09,5617029.0
2016-01-06,52.96,54.44,52.78,53.36,5581304.0
2016-01-07,52.52,52.67,51.57,51.61,6384590.0
2016-01-08,51.72,51.93,49.26,49.42,7232526.0
2016-01-09,51.72,51.93,49.26,49.42,7232526.0
2016-01-10,51.72,51.93,49.26,49.42,7232526.0
2016-01-11,50.06,50.23,48.33,49.5,6719496.0
2016-01-12,49.73,50.67,48.77,50.09,4310804.0
2016-01-13,50.5,50.99,48.77,48.89,4085450.0
2016-01-14,49.0,51.65,48.41,50.7,7410166.0
2016-01-15,48.9,50.41,48.03,49.71,9087547.0
2016-01-16,48.9,50.41,48.03,49.71,9087547.0
2016-01-17,48.9,50.41,48.03,49.71,9087547.0
2016-01-18,48.9,50.41,48.03,49.71,9087547.0
2016-01-19,50.57,51.78,48.74,50.22,8135780.0
2016-01-20,49.71,52.156000000000006,49.54,51.4,5542962.0
2016-01-21,51.86,52.27,50.44,51.44,4235462.0
2016-01-22,52.6,53.41,51.94,53.11,3625116.0
2016-01-23,52.6,53.41,51.94,53.11,3625116.0
2016-01-24,52.6,53.41,51.94,53.11,3625116.0
2016-01-25,52.96,53.63,52.4,52.62,3482167.0
2016-01-26,52.73,54.23,52.05,53.93,3611193.0
2016-01-27,53.85,53.92,50.83,51.23,6522016.0
2016-01-28,51.89,51.935,49.5,50.43,5625723.0
2016-01-29,50.84,52.77,50.2936,52.69,4842397.0
2016-01-30,50.84,52.77,50.2936,52.69,4842397.0
2016-01-31,50.84,52.77,50.2936,52.69,4842397.0
2016-02-01,51.92,52.67,50.62,52.35,5205455.0
2016-02-02,52.01,53.05,50.53,50.82,5163472.0
2016-02-03,51.38,52.55,49.33,52.26,5683087.0
2016-02-04,51.94,53.21,51.15,52.31,4032516.0
2016-02-05,52.21,52.91,50.95,51.39,4300563.0
2016-02-06,52.21,52.91,50.95,51.39,4300563.0
2016-02-07,52.21,52.91,50.95,51.39,4300563.0
2016-02-08,50.81,51.15,49.34,50.45,4949561.0
2016-02-09,49.72,51.59,49.14,50.74,5909894.0
2016-02-10,51.21,51.73,49.14,50.54,11128807.0
2016-02-11,43.95,44.0,40.04,41.42,33288630.0
2016-02-12,41.34,42.0,40.05,41.825,15531140.0
2016-02-13,41.34,42.0,40.05,41.825,15531140.0
2016-02-14,41.34,42.0,40.05,41.825,15531140.0
2016-02-15,41.34,42.0,40.05,41.825,15531140.0
2016-02-16,42.27,43.2,41.94,43.15,10111358.0
2016-02-17,43.8,46.42,43.72,46.27,10084603.0
2016-02-18,46.46,47.05,44.62,44.71,8324758.0
2016-02-19,43.8,45.98,43.8,45.34,5046761.0
2016-02-20,43.8,45.98,43.8,45.34,5046761.0
2016-02-21,43.8,45.98,43.8,45.34,5046761.0
2016-02-22,46.35,46.9,45.63,46.81,5244846.0
2016-02-23,46.7,47.97,46.54,46.71,6558874.0
2016-02-24,45.7,46.78,44.86,46.6,4786879.0
2016-02-25,46.98,47.43,46.18,47.42,3552965.0
2016-02-26,47.07,47.77,46.83,47.14,3078750.0
2016-02-27,47.07,47.77,46.83,47.14,3078750.0
2016-02-28,47.07,47.77,46.83,47.14,3078750.0
2016-02-29,47.0,47.04,45.04,45.07,5230767.0
2016-03-01,46.46,46.79,45.19,46.06,6181767.0
2016-03-02,45.95,46.17,44.87,46.12,4288503.0
2016-03-03,45.82,46.12,45.17,45.73,4107785.0
2016-03-04,46.0,46.02,44.3,44.78,5902712.0
2016-03-05,46.0,46.02,44.3,44.78,5902712.0
2016-03-06,46.0,46.02,44.3,44.78,5902712.0
2016-03-07,44.89,47.02,44.62,46.14,5425129.0
2016-03-08,45.95,46.0,44.56,44.75,4510457.0
2016-03-09,44.98,46.59,44.64,46.55,5809233.0
