Date,Open,High,Low,Close,Volume
2016-01-04,19.41,19.66,19.3113,19.52,2592684.0
2016-01-04,19.41,19.66,19.3113,19.52,2592684.0
2016-01-04,19.41,19.66,19.3113,19.52,2592684.0
2016-01-04,19.41,19.66,19.3113,19.52,2592684.0
2016-01-05,19.5,19.935,19.28,19.83,3138782.0
2016-01-06,19.69,20.0,19.59,19.94,3525657.0
2016-01-07,19.72,19.835,19.4,19.5,3047565.0
2016-01-08,19.52,19.785,19.42,19.47,2933911.0
2016-01-09,19.52,19.785,19.42,19.47,2933911.0
2016-01-10,19.52,19.785,19.42,19.47,2933911.0
2016-01-11,19.5,19.85,19.5,19.79,2156595.0
2016-01-12,19.82,19.9,19.46,19.54,2405275.0
2016-01-13,19.52,19.66,19.34,19.47,2140143.0
2016-01-14,19.48,20.15,19.48,20.0,2402761.0
2016-01-15,19.68,19.91,19.53,19.74,1995345.0
2016-01-16,19.68,19.91,19.53,19.74,1995345.0
2016-01-17,19.68,19.91,19.53,19.74,1995345.0
2016-01-18,19.68,19.91,19.53,19.74,1995345.0
2016-01-19,19.89,20.11,19.78,20.04,2419804.0
2016-01-20,19.9,20.015,19.05,19.46,3218072.0
2016-01-21,19.5,19.8,19.33,19.53,2703582.0
2016-01-22,19.73,20.335,19.54,20.28,2744644.0
2016-01-23,19.73,20.335,19.54,20.28,2744644.0
2016-01-24,19.73,20.335,19.54,20.28,2744644.0
2016-01-25,20.24,20.43,20.13,20.38,3481783.0
2016-01-26,20.4,20.6725,20.29,20.31,2447559.0
2016-01-27,20.31,20.38,19.985,20.14,3681927.0
2016-01-28,20.27,20.85,20.195,20.75,3868182.0
2016-01-29,21.01,21.1276,20.855,21.01,4958273.0
2016-01-30,21.01,21.1276,20.855,21.01,4958273.0
2016-01-31,21.01,21.1276,20.855,21.01,4958273.0
2016-02-01,21.02,21.32,20.85,21.3,4254808.0
2016-02-02,21.23,21.53,21.065,21.26,5417258.0
2016-02-03,21.38,21.66,21.31,21.48,4137968.0
2016-02-04,21.45,21.53,21.06,21.16,3624007.0
2016-02-05,21.07,21.14,20.675,20.98,3763549.0
2016-02-06,21.07,21.14,20.675,20.98,3763549.0
2016-02-07,21.07,21.14,20.675,20.98,3763549.0
2016-02-08,21.07,21.24,20.715,20.91,1950299.0
2016-02-09,20.8,21.375,20.76,21.24,2964705.0
2016-02-10,21.2,21.65,21.055,21.48,4691614.0
2016-02-11,21.35,21.42,20.94,21.1,4161717.0
2016-02-12,21.38,21.39,21.02,21.28,3222812.0
2016-02-13,21.38,21.39,21.02,21.28,3222812.0
2016-02-14,21.38,21.39,21.02,21.28,3222812.0
2016-02-15,21.38,21.39,21.02,21.28,3222812.0
2016-02-16,21.44,21.56,20.96,21.11,2595644.0
2016-02-17,21.17,21.49,20.88,21.35,4240518.0
2016-02-18,21.25,22.1,21.15,21.87,4141103.0
2016-02-19,21.73,22.14,21.52,21.87,3275952.0
2016-02-20,21.73,22.14,21.52,21.87,3275952.0
2016-02-21,21.73,22.14,21.52,21.87,3275952.0
2016-02-22,21.82,22.07,21.68,21.91,2411707.0
2016-02-23,21.88,22.02,21.75,21.8,3131776.0
2016-02-24,21.7,21.91,21.62,21.75,2485387.0
2016-02-25,21.86,22.06,21.74,22.03,1971561.0
2016-02-26,21.92,21.9999,21.445,21.51,2716525.0
2016-02-27,21.92,21.9999,21.445,21.51,2716525.0
2016-02-28,21.92,21.9999,21.445,21.51,2716525.0
2016-02-29,21.52,21.73,21.47,21.48,2250641.0
2016-03-01,21.57,21.72,21.44,21.5,2537063.0
2016-03-02,21.41,22.1,20.94,22.07,2960783.0
2016-03-03,22.08,22.36,21.865,22.34,2536865.0
2016-03-04,22.23,22.51,22.09,22.4,1996967.0
2016-03-05,22.23,22.51,22.09,22.4,1996967.0
2016-03-06,22.23,22.51,22.09,22.4,1996967.0
2016-03-07,22.24,22.55,22.16,22.36,3312632.0
2016-03-08,22.41,22.6575,22.295,22.48,1789398.0
2016-03-09,22.51,22.79,22.48,22.62,1169129.0
2016-03-10,22.5,22.82,22.41,22.77,2101230.0
2016-03-11,22.84,22.99,22.67,22.74,1848784.0
2016-03-12,22.84,22.99,22.67,22.74,1848784.0
2016-03-13,22.84,22.99,22.67,22.74,1848784.0
2016-03-14,22.66,22.9,22.66,22.78,1542158.0
2016-03-15,22.74,22.96,22.57,22.67,2853771.0
2016-03-16,22.65,23.15,22.49,23.1,1985626.0
2016-03-17,23.2,23.42,23.11,23.33,2056440.0
2016-03-18,23.35,23.35,22.79,22.8,4019519.0
2016-03-19,23.35,23.35,22.79,22.8,4019519.0
2016-03-20,23.35,23.35,22.79,22.8,4019519.0
2016-03-21,22.83,22.94,22.6,22.89,2197755.0
2016-03-22,22.92,23.0,22.75,22.8,1285810.0
2016-03-23,22.84,23.14,22.7299,23.02,1600076.0
2016-03-24,22.98,23.15,22.855,23.03,2304188.0
2016-03-25,22.98,23.15,22.855,23.03,2304188.0
2016-03-26,22.98,23.15,22.855,23.03,2304188.0
2016-03-27,22.98,23.15,22.855,23.03,2304188.0
2016-03-28,22.99,23.21,22.84,22.92,1850866.0
2016-03-29,22.7,23.17,22.53,23.17,2304990.0
2016-03-30,23.21,23.555,23.185,23.39,2170227.0
2016-03-31,23.41,23.735,23.37,23.56,2854733.0
2016-04-01,23.41,23.89,23.4,23.82,2962921.0
2016-04-02,23.41,23.89,23.4,23.82,2962921.0
2016-04-03,23.41,23.89,23.4,23.82,2962921.0
2016-04-04,23.81,23.92,23.415,23.6,2348961.0
2016-04-05,23.51,23.666,23.22,23.24,3483453.0
2016-04-06,23.24,23.46,23.125,23.44,3216059.0
2016-04-07,23.42,23.45,23.28,23.42,2289094.0
2016-04-08,23.49,23.7,23.465,23.55,1469699.0
2016-04-09,23.49,23.7,23.465,23.55,1469699.0
2016-04-10,23.49,23.7,23.465,23.55,1469699.0
2016-04-11,23.59,23.71,23.34,23.47,2027436.0
2016-04-12,23.52,23.75,23.3,23.63,1721893.0
2016-04-13,23.68,23.7699,23.35,23.4,2495564.0
2016-04-14,23.31,23.515,23.22,23.43,1670485.0
2016-04-15,23.47,23.72,23.37,23.68,1648704.0
2016-04-16,23.47,23.72,23.37,23.68,1648704.0
2016-04-17,23.47,23.72,23.37,23.68,1648704.0
2016-04-18,23.69,23.82,23.52,23.82,1581695.0
2016-04-19,23.83,24.01,23.77,23.98,1992049.0
2016-04-20,23.96,24.0,23.02,23.07,3960764.0
2016-04-21,22.96,23.065,21.97,22.13,6310153.0
2016-04-22,22.21,22.5,22.15,22.25,3462545.0
2016-04-23,22.21,22.5,22.15,22.25,3462545.0
2016-04-24,22.21,22.5,22.15,22.25,3462545.0
2016-04-25,22.22,22.33,22.17,22.33,3293048.0
2016-04-26,22.42,22.58,22.21,22.29,2392960.0
2016-04-27,22.24,22.6,22.01,22.49,2266100.0
2016-04-28,22.29,22.63,22.21,22.55,1841303.0
2016-04-29,22.43,22.73,22.25,22.71,1937667.0
2016-04-30,22.43,22.73,22.25,22.71,1937667.0
2016-05-01,22.43,22.73,22.25,22.71,1937667.0
2016-05-02,22.69,23.11,22.6,22.96,3054145.0
2016-05-03,22.96,23.34,22.91,23.11,2847302.0
2016-05-04,23.07,23.715,23.005,23.53,2929900.0
2016-05-05,23.53,23.79,23.435,23.48,3040531.0
2016-05-06,23.46,23.52,23.115,23.41,3059132.0
2016-05-07,23.46,23.52,23.115,23.41,3059132.0
2016-05-08,23.46,23.52,23.115,23.41,3059132.0
2016-05-09,23.47,23.65,23.34,23.6,2232168.0
2016-05-10,23.62,23.7,23.46,23.53,2818834.0
2016-05-11,23.58,23.84,23.54,23.79,2282500.0
2016-05-12,23.75,23.995,23.59,23.96,2533032.0
2016-05-13,23.99,24.21,23.75,24.12,3361665.0
2016-05-14,23.99,24.21,23.75,24.12,3361665.0
2016-05-15,23.99,24.21,23.75,24.12,3361665.0
2016-05-16,24.12,24.305,23.99,24.3,3084714.0
2016-05-17,24.22,24.305,23.74,23.9,2692112.0
2016-05-18,23.73,23.96,23.33,23.45,4161499.0
2016-05-19,23.31,23.59,23.12,23.52,3049121.0
2016-05-20,23.62,23.84,23.41,23.82,4648167.0
2016-05-21,23.62,23.84,23.41,23.82,4648167.0
2016-05-22,23.62,23.84,23.41,23.82,4648167.0
2016-05-23,23.86,23.965,23.67,23.68,2193282.0
2016-05-24,23.75,24.07,23.74,24.07,4063974.0
2016-05-25,24.21,24.21,23.86,23.95,2439737.0
2016-05-26,23.92,24.195,23.83,24.04,2363951.0
2016-05-27,24.09,24.17,23.935,24.12,2582171.0
2016-05-28,24.09,24.17,23.935,24.12,2582171.0
2016-05-29,24.09,24.17,23.935,24.12,2582171.0
2016-05-30,24.09,24.17,23.935,24.12,2582171.0
2016-05-31,24.08,24.23,23.75,23.86,17694429.0
2016-06-01,23.86,24.09,23.73,24.03,2484752.0
2016-06-02,23.94,24.05,23.79,23.99,2105747.0
2016-06-03,24.24,24.58,24.16,24.46,2724379.0
2016-06-04,24.24,24.58,24.16,24.46,2724379.0
2016-06-05,24.24,24.58,24.16,24.46,2724379.0
2016-06-06,24.46,24.55,24.31,24.43,2004139.0
2016-06-07,24.4,24.82,24.25,24.44,2415209.0
2016-06-08,24.44,24.77,24.41,24.64,2321226.0
2016-06-09,24.6,25.03,24.523000000000003,25.02,1530564.0
2016-06-10,24.97,25.14,24.77,24.9,3719540.0
2016-06-11,24.97,25.14,24.77,24.9,3719540.0
2016-06-12,24.97,25.14,24.77,24.9,3719540.0
2016-06-13,24.92,25.1023,24.85,24.96,1667266.0
2016-06-14,24.93,25.22,24.82,25.21,1643363.0
2016-06-15,25.23,25.345,25.03,25.18,3512884.0
2016-06-16,25.18,25.505,25.06,25.35,2272424.0
2016-06-17,25.26,25.37,25.08,25.26,4011264.0
2016-06-18,25.26,25.37,25.08,25.26,4011264.0
2016-06-19,25.26,25.37,25.08,25.26,4011264.0
2016-06-20,25.27,25.36,24.975,25.09,3059648.0
2016-06-21,25.09,25.455,25.03,25.3,2666219.0
2016-06-22,25.33,25.4,25.21,25.25,2495902.0
2016-06-23,25.29,25.32,25.045,25.18,1617040.0
2016-06-24,24.89,25.495,24.87,25.31,5057074.0
2016-06-25,24.89,25.495,24.87,25.31,5057074.0
2016-06-26,24.89,25.495,24.87,25.31,5057074.0
2016-06-27,25.26,25.48,25.13,25.4,3159241.0
2016-06-28,25.46,25.64,25.15,25.59,2854664.0
2016-06-29,25.71,25.96,25.7,25.86,2222154.0
2016-06-30,25.91,26.53,25.91,26.52,3534162.0
2016-07-01,26.46,26.71,26.32,26.66,2988347.0
2016-07-02,26.46,26.71,26.32,26.66,2988347.0
2016-07-03,26.46,26.71,26.32,26.66,2988347.0
2016-07-04,26.46,26.71,26.32,26.66,2988347.0
2016-07-05,26.7,26.94,26.65,26.77,3674557.0
2016-07-06,26.59,26.88,26.5,26.65,2987889.0
2016-07-07,26.61,26.61,26.02,26.04,2915158.0
2016-07-08,25.93,26.14,25.64,26.13,3961326.0
2016-07-09,25.93,26.14,25.64,26.13,3961326.0
2016-07-10,25.93,26.14,25.64,26.13,3961326.0
2016-07-11,26.05,26.15,25.78,26.07,2341883.0
2016-07-12,25.91,26.04,25.5725,25.86,3369745.0
2016-07-13,26.03,26.16,25.93,26.06,2109754.0
2016-07-14,25.9,26.04,25.8,26.01,1935530.0
2016-07-15,26.05,26.16,25.93,26.1,1596559.0
2016-07-16,26.05,26.16,25.93,26.1,1596559.0
2016-07-17,26.05,26.16,25.93,26.1,1596559.0
2016-07-18,26.17,26.23,26.09,26.13,1538458.0
2016-07-19,26.1,26.165,25.965,26.05,2253806.0
2016-07-20,25.98,26.09,25.8,25.87,2113336.0
2016-07-21,25.78,25.94,25.645,25.93,4874497.0
2016-07-22,25.89,26.29,25.85,26.26,1807592.0
2016-07-23,25.89,26.29,25.85,26.26,1807592.0
2016-07-24,25.89,26.29,25.85,26.26,1807592.0
2016-07-25,26.04,26.09,25.9,26.05,2787220.0
2016-07-26,26.07,26.13,25.61,25.77,2037703.0
2016-07-27,25.6,25.67,25.16,25.46,2450570.0
2016-07-28,25.51,25.8199,25.435,25.75,2267409.0
