Date,Open,High,Low,Close,Volume
2016-01-04,33.51,34.61,33.36,34.61,6572881.0
2016-01-04,33.51,34.61,33.36,34.61,6572881.0
2016-01-04,33.51,34.61,33.36,34.61,6572881.0
2016-01-04,33.51,34.61,33.36,34.61,6572881.0
2016-01-05,34.01,34.22,33.09,33.62,5106165.0
2016-01-06,32.78,32.78,31.14,31.34,6500248.0
2016-01-07,30.68,31.48,30.26,30.74,7140187.0
2016-01-08,30.85,30.93,29.685,29.94,8321213.0
2016-01-09,30.85,30.93,29.685,29.94,8321213.0
2016-01-10,30.85,30.93,29.685,29.94,8321213.0
2016-01-11,30.01,30.15,29.55,29.95,7407099.0
2016-01-12,30.39,30.605,29.75,30.43,7235002.0
2016-01-13,30.82,31.01,29.01,29.08,8858373.0
2016-01-14,29.35,30.67,28.51,30.51,8102043.0
2016-01-15,29.13,29.98,29.04,29.95,8370118.0
2016-01-16,29.13,29.98,29.04,29.95,8370118.0
2016-01-17,29.13,29.98,29.04,29.95,8370118.0
2016-01-18,29.13,29.98,29.04,29.95,8370118.0
2016-01-19,30.18,30.2299,28.91,29.53,5937829.0
2016-01-20,28.8,30.23,28.54,29.72,8215883.0
2016-01-21,29.54,31.205,29.36,30.67,5518961.0
2016-01-22,31.58,31.96,30.44,31.23,6998379.0
2016-01-23,31.58,31.96,30.44,31.23,6998379.0
2016-01-24,31.58,31.96,30.44,31.23,6998379.0
2016-01-25,30.62,30.91,29.66,29.69,5903320.0
2016-01-26,30.12,30.855,29.88,30.43,5597315.0
2016-01-27,30.36,31.97,29.96,31.1,8121668.0
2016-01-28,32.04,32.63,30.85,31.06,8691015.0
2016-01-29,31.26,32.65,31.14,32.54,6402485.0
2016-01-30,31.26,32.65,31.14,32.54,6402485.0
2016-01-31,31.26,32.65,31.14,32.54,6402485.0
2016-02-01,31.93,32.35,31.07,31.99,5569288.0
2016-02-02,31.21,31.3,30.4,30.67,6725848.0
2016-02-03,28.09,28.19,26.1,28.0,29171873.0
2016-02-04,28.04,28.84,27.75,28.58,13847662.0
2016-02-05,28.27,28.92,27.96,28.47,10270500.0
2016-02-06,28.27,28.92,27.96,28.47,10270500.0
2016-02-07,28.27,28.92,27.96,28.47,10270500.0
2016-02-08,27.83,28.52,27.22,28.4,6807236.0
2016-02-09,28.24,28.25,27.02,27.56,8103190.0
2016-02-10,27.41,28.16,26.65,26.69,6177089.0
2016-02-11,26.17,26.7,25.74,26.34,8503655.0
2016-02-12,26.69,27.74,26.555,27.55,5811216.0
2016-02-13,26.69,27.74,26.555,27.55,5811216.0
2016-02-14,26.69,27.74,26.555,27.55,5811216.0
2016-02-15,26.69,27.74,26.555,27.55,5811216.0
2016-02-16,28.05,28.2,27.34,28.06,5138435.0
2016-02-17,28.41,29.16,28.335,29.11,7315153.0
2016-02-18,29.42,29.49,28.67,29.35,5677003.0
2016-02-19,28.96,29.3,28.71,29.3,3857735.0
2016-02-20,28.96,29.3,28.71,29.3,3857735.0
2016-02-21,28.96,29.3,28.71,29.3,3857735.0
2016-02-22,30.02,30.13,29.37,29.4,5883253.0
2016-02-23,29.35,29.8,28.62,28.65,4648961.0
2016-02-24,27.94,28.3,27.27,28.24,5835781.0
2016-02-25,28.35,28.42,27.06,27.66,5656689.0
2016-02-26,28.37,29.31,28.29,28.81,5673168.0
2016-02-27,28.37,29.31,28.29,28.81,5673168.0
2016-02-28,28.37,29.31,28.29,28.81,5673168.0
2016-02-29,29.1,29.6,28.87,29.27,5919683.0
2016-03-01,29.64,30.0,29.14,29.51,7819603.0
2016-03-02,29.37,30.6,28.87,30.5,7331579.0
2016-03-03,30.62,31.991,30.47,31.76,10116120.0
2016-03-04,31.98,32.68,31.66,32.5,11050932.0
