Date,Open,High,Low,Close,Volume
2016-01-04,26.16,26.24,25.81,26.02,4495551.0
2016-01-04,26.16,26.24,25.81,26.02,4495551.0
2016-01-04,26.16,26.24,25.81,26.02,4495551.0
2016-01-04,26.16,26.24,25.81,26.02,4495551.0
2016-01-05,26.09,26.18,25.36,25.4,4239184.0
2016-01-06,24.8,25.1,24.61,24.69,3794238.0
2016-01-07,24.15,24.46,23.15,23.37,6396001.0
2016-01-08,23.46,23.565,22.93,23.0,4284534.0
2016-01-09,23.46,23.565,22.93,23.0,4284534.0
2016-01-10,23.46,23.565,22.93,23.0,4284534.0
2016-01-11,23.2,23.21,22.47,22.98,4001286.0
2016-01-12,23.2,23.3,22.295,22.6,4090056.0
2016-01-13,22.76,23.3098,22.38,22.52,6178228.0
2016-01-14,22.65,23.425,22.64,23.215,5989090.0
2016-01-15,22.33,22.51,21.46,22.25,6811255.0
2016-01-16,22.33,22.51,21.46,22.25,6811255.0
2016-01-17,22.33,22.51,21.46,22.25,6811255.0
2016-01-18,22.33,22.51,21.46,22.25,6811255.0
2016-01-19,22.56,22.58,21.285,21.45,5330671.0
2016-01-20,21.17,21.56,20.66,21.35,3788265.0
2016-01-21,21.47,21.805,21.11,21.35,3500634.0
2016-01-22,21.79,22.14,21.34,21.51,3072498.0
2016-01-23,21.79,22.14,21.34,21.51,3072498.0
2016-01-24,21.79,22.14,21.34,21.51,3072498.0
2016-01-25,21.56,21.575,21.18,21.22,3262547.0
2016-01-26,21.26,22.07,21.25,22.03,5272355.0
2016-01-27,21.93,22.24,21.235,21.31,3733174.0
2016-01-28,21.52,21.62,21.25,21.48,4165985.0
2016-01-29,21.66,22.38,21.39,21.93,5123661.0
2016-01-30,21.66,22.38,21.39,21.93,5123661.0
2016-01-31,21.66,22.38,21.39,21.93,5123661.0
2016-02-01,21.69,21.9,21.38,21.86,3819950.0
2016-02-02,21.69,21.963,21.505,21.56,3855504.0
2016-02-03,22.14,22.355,21.315,22.2,3973599.0
2016-02-04,21.76,23.15,21.47,22.58,3617802.0
2016-02-05,22.57,23.08,22.44,22.64,4058157.0
2016-02-06,22.57,23.08,22.44,22.64,4058157.0
2016-02-07,22.57,23.08,22.44,22.64,4058157.0
2016-02-08,22.33,22.585,22.03,22.35,4213827.0
2016-02-09,22.07,22.64,21.995,22.04,3523308.0
2016-02-10,22.26,22.87,22.1,22.38,4240734.0
2016-02-11,21.96,22.04,21.22,21.73,5544534.0
2016-02-12,21.18,22.055,20.89,21.89,5065388.0
2016-02-13,21.18,22.055,20.89,21.89,5065388.0
2016-02-14,21.18,22.055,20.89,21.89,5065388.0
