Date,Open,High,Low,Close,Volume
2016-01-04,43.31,43.565,42.47,43.44,5525926.0
2016-01-04,43.31,43.565,42.47,43.44,5525926.0
2016-01-04,43.31,43.565,42.47,43.44,5525926.0
2016-01-04,43.31,43.565,42.47,43.44,5525926.0
2016-01-05,43.46,43.83,43.03,43.42,3693075.0
2016-01-06,42.77,42.97,41.7802,42.22,5857503.0
2016-01-07,41.62,41.62,40.15,40.33,6087468.0
2016-01-08,40.79,40.79,39.285,39.38,5811012.0
2016-01-09,40.79,40.79,39.285,39.38,5811012.0
2016-01-10,40.79,40.79,39.285,39.38,5811012.0
2016-01-11,39.41,39.74,38.43,39.35,5387733.0
2016-01-12,39.81,40.05,38.87,39.97,3922995.0
2016-01-13,40.15,40.78,37.93,37.97,7430266.0
2016-01-14,37.61,38.04,36.88,37.48,8768312.0
2016-01-15,36.37,37.19,36.1,37.13,6538567.0
2016-01-16,36.37,37.19,36.1,37.13,6538567.0
2016-01-17,36.37,37.19,36.1,37.13,6538567.0
2016-01-18,36.37,37.19,36.1,37.13,6538567.0
2016-01-19,37.68,37.84,35.63,36.2,5970706.0
2016-01-20,35.58,36.43,34.5,36.07,8847056.0
2016-01-21,36.18,37.49,35.63,36.85,7980759.0
2016-01-22,37.39,37.8,36.59,36.97,3676142.0
2016-01-23,37.39,37.8,36.59,36.97,3676142.0
2016-01-24,37.39,37.8,36.59,36.97,3676142.0
2016-01-25,36.8,37.48,36.671,37.13,5988299.0
2016-01-26,37.22,38.24,37.11,38.18,5461312.0
2016-01-27,37.92,38.31,36.96,37.15,5122682.0
2016-01-28,37.35,37.77,36.52,37.51,6026168.0
2016-01-29,37.24,38.84,37.0,38.78,9700932.0
2016-01-30,37.24,38.84,37.0,38.78,9700932.0
2016-01-31,37.24,38.84,37.0,38.78,9700932.0
2016-02-01,39.18,39.42,38.48,39.01,8183279.0
2016-02-02,38.38,38.51,37.0644,37.25,5730962.0
2016-02-03,37.65,37.71,35.465,36.23,6553901.0
2016-02-04,36.21,37.57,36.05,37.52,6034401.0
2016-02-05,37.31,37.61,36.39,36.43,7357040.0
2016-02-06,37.31,37.61,36.39,36.43,7357040.0
2016-02-07,37.31,37.61,36.39,36.43,7357040.0
2016-02-08,36.05,36.12,33.77,34.26,9930355.0
2016-02-09,33.92,34.7,33.43,34.27,8404562.0
2016-02-10,34.55,35.24,34.3,34.87,3657436.0
2016-02-11,34.02,34.52,33.26,33.76,4834676.0
2016-02-12,34.1,34.81,33.42,34.79,4006892.0
2016-02-13,34.1,34.81,33.42,34.79,4006892.0
2016-02-14,34.1,34.81,33.42,34.79,4006892.0
2016-02-15,34.1,34.81,33.42,34.79,4006892.0
2016-02-16,35.27,36.1,34.84,36.0,4754322.0
2016-02-17,36.13,37.8,36.03,37.43,6600897.0
2016-02-18,37.3,37.55,36.89,37.5,4634740.0
2016-02-19,37.44,37.58,36.845,37.46,3507877.0
2016-02-20,37.44,37.58,36.845,37.46,3507877.0
2016-02-21,37.44,37.58,36.845,37.46,3507877.0
2016-02-22,37.97,38.8,37.89,38.11,3530079.0
2016-02-23,37.82,38.105,37.52,37.87,3719922.0
2016-02-24,37.5,37.86,37.08,37.74,2755304.0
2016-02-25,37.53,38.04,36.72,37.87,5487079.0
2016-02-26,37.93,39.18,37.9,38.67,6248205.0
2016-02-27,37.93,39.18,37.9,38.67,6248205.0
2016-02-28,37.93,39.18,37.9,38.67,6248205.0
2016-02-29,38.52,38.92,37.83,38.01,4834030.0
2016-03-01,38.33,39.68,37.96,39.51,4079793.0
2016-03-02,39.42,40.4,39.16,40.31,4570043.0
2016-03-03,40.37,41.3,40.06,41.28,5540855.0
2016-03-04,41.3,42.09,40.8,40.98,5516575.0
2016-03-05,41.3,42.09,40.8,40.98,5516575.0
2016-03-06,41.3,42.09,40.8,40.98,5516575.0
2016-03-07,40.91,40.91,39.39,39.59,5212434.0
2016-03-08,39.23,39.23,38.135,38.7,4893345.0
2016-03-09,38.98,39.87,38.82,39.85,6918661.0
2016-03-10,40.16,40.16,39.05,39.8,4870994.0
2016-03-11,40.25,41.21,40.06,41.16,6646873.0
2016-03-12,40.25,41.21,40.06,41.16,6646873.0
2016-03-13,40.25,41.21,40.06,41.16,6646873.0
2016-03-14,40.97,41.33,40.7,41.27,3257910.0
2016-03-15,40.97,41.535,40.7,41.37,3050822.0
2016-03-16,41.19,42.39,41.035,42.16,4891239.0
2016-03-17,42.13,42.97,41.79,42.63,4164212.0
2016-03-18,42.68,44.06,42.58,42.98,5624783.0
2016-03-19,42.68,44.06,42.58,42.98,5624783.0
2016-03-20,42.68,44.06,42.58,42.98,5624783.0
2016-03-21,43.02,43.54,42.58,43.17,4826368.0
2016-03-22,42.84,43.61,42.69,43.27,3001829.0
2016-03-23,43.06,43.36,42.81,43.09,4835044.0
2016-03-24,42.8,43.47,42.72,42.98,3828950.0
2016-03-25,42.8,43.47,42.72,42.98,3828950.0
2016-03-26,42.8,43.47,42.72,42.98,3828950.0
2016-03-27,42.8,43.47,42.72,42.98,3828950.0
2016-03-28,42.96,43.825,42.79,43.81,3341375.0
2016-03-29,43.94,44.98,43.76,44.95,5077774.0
2016-03-30,45.08,45.57,44.3,44.37,8074837.0
2016-03-31,44.44,44.6,44.16,44.29,6020483.0
2016-04-01,43.86,45.57,43.76,45.54,6709600.0
2016-04-02,43.86,45.57,43.76,45.54,6709600.0
2016-04-03,43.86,45.57,43.76,45.54,6709600.0
2016-04-04,45.54,45.57,45.07,45.36,5755862.0
2016-04-05,44.91,45.19,44.58,44.77,5218792.0
2016-04-06,44.87,44.975,44.47,44.63,5864381.0
2016-04-07,44.25,44.2719,43.41,43.84,11054008.0
2016-04-08,44.24,44.74,43.57,43.84,6082548.0
2016-04-09,44.24,44.74,43.57,43.84,6082548.0
2016-04-10,44.24,44.74,43.57,43.84,6082548.0
2016-04-11,43.97,44.58,43.74,43.76,4761509.0
2016-04-12,43.94,43.98,43.11,43.81,5061716.0
2016-04-13,44.24,44.6701,43.97,44.55,4808566.0
2016-04-14,44.42,44.65,43.89,44.19,6432416.0
2016-04-15,44.25,44.74,43.67,44.33,42417294.0
2016-04-16,44.25,44.74,43.67,44.33,42417294.0
2016-04-17,44.25,44.74,43.67,44.33,42417294.0
2016-04-18,44.0,45.19,44.0,44.85,10002994.0
2016-04-19,44.95,45.11,44.16,44.87,8251905.0
2016-04-20,44.92,45.0,44.43,44.62,5954228.0
2016-04-21,44.6,44.87,44.33,44.48,4252559.0
2016-04-22,44.28,45.0,44.06,44.36,3268495.0
2016-04-23,44.28,45.0,44.06,44.36,3268495.0
2016-04-24,44.28,45.0,44.06,44.36,3268495.0
2016-04-25,44.36,44.43,43.9,44.04,4556504.0
2016-04-26,44.08,44.63,43.99,44.39,5065636.0
2016-04-27,44.46,44.72,44.11,44.57,5450139.0
2016-04-28,44.24,44.32,43.195,43.42,5722420.0
2016-04-29,45.89,46.9,44.96,45.54,14480990.0
2016-04-30,45.89,46.9,44.96,45.54,14480990.0
2016-05-01,45.89,46.9,44.96,45.54,14480990.0
2016-05-02,46.21,47.4,45.84,47.18,8044429.0
2016-05-03,46.81,47.11,46.48,46.61,5685100.0
2016-05-04,46.34,46.81,46.07,46.68,3541504.0
2016-05-05,46.63,47.2,46.405,46.91,5608859.0
2016-05-06,46.75,47.06,46.41,47.04,5507318.0
2016-05-07,46.75,47.06,46.41,47.04,5507318.0
2016-05-08,46.75,47.06,46.41,47.04,5507318.0
2016-05-09,47.19,47.99,47.19,47.82,5135633.0
2016-05-10,47.98,49.18,47.82,49.17,6567563.0
2016-05-11,49.09,49.09,48.29,48.41,5693046.0
2016-05-12,48.6,48.74,48.26,48.54,3699546.0
2016-05-13,48.55,48.7889,47.06,47.49,6597567.0
2016-05-14,48.55,48.7889,47.06,47.49,6597567.0
2016-05-15,48.55,48.7889,47.06,47.49,6597567.0
2016-05-16,47.58,48.08,47.41,47.94,3872006.0
2016-05-17,47.95,48.21,47.29,47.5,4522369.0
2016-05-18,47.26,47.46,46.57,47.12,5900877.0
2016-05-19,46.96,47.23,46.5,47.17,3242046.0
2016-05-20,47.5,47.67,47.02,47.14,3310848.0
2016-05-21,47.5,47.67,47.02,47.14,3310848.0
2016-05-22,47.5,47.67,47.02,47.14,3310848.0
2016-05-23,46.95,47.75,46.85,47.5,3941381.0
2016-05-24,47.72,48.3,47.68,47.89,4559826.0
2016-05-25,47.85,48.19,47.78,47.88,3549303.0
2016-05-26,47.9,48.0,47.515,47.72,2568600.0
2016-05-27,47.73,48.0,47.51,47.76,2012317.0
2016-05-28,47.73,48.0,47.51,47.76,2012317.0
2016-05-29,47.73,48.0,47.51,47.76,2012317.0
2016-05-30,47.73,48.0,47.51,47.76,2012317.0
2016-05-31,47.69,48.15,47.17,47.69,3410658.0
2016-06-01,47.56,48.0,47.3,47.93,3158520.0
2016-06-02,47.9,48.0,47.58,48.0,2843356.0
2016-06-03,47.88,48.005,46.95,47.96,3564573.0
2016-06-04,47.88,48.005,46.95,47.96,3564573.0
2016-06-05,47.88,48.005,46.95,47.96,3564573.0
2016-06-06,48.01,48.16,47.87,48.06,5026558.0
2016-06-07,48.21,49.2,48.21,48.86,4169916.0
2016-06-08,49.04,49.46,48.77,48.98,3460612.0
2016-06-09,48.65,49.03,48.44,48.96,2569294.0
2016-06-10,48.59,48.67,47.94,47.95,4735033.0
2016-06-11,48.59,48.67,47.94,47.95,4735033.0
2016-06-12,48.59,48.67,47.94,47.95,4735033.0
2016-06-13,47.72,48.03,47.47,47.73,3772014.0
2016-06-14,47.61,48.12,47.36,48.06,3589505.0
2016-06-15,48.31,49.077,47.95,48.46,3602272.0
2016-06-16,48.26,48.775,47.89,48.72,3182339.0
2016-06-17,48.7,48.92,48.27,48.37,8023574.0
2016-06-18,48.7,48.92,48.27,48.37,8023574.0
2016-06-19,48.7,48.92,48.27,48.37,8023574.0
2016-06-20,48.85,49.21,48.51,48.61,3318896.0
2016-06-21,48.88,48.96,48.225,48.51,3423078.0
2016-06-22,48.51,49.06,48.43,48.58,3230615.0
2016-06-23,49.02,49.485,48.99,49.46,3091653.0
2016-06-24,47.1,48.16,46.27,46.51,8470535.0
2016-06-25,47.1,48.16,46.27,46.51,8470535.0
2016-06-26,47.1,48.16,46.27,46.51,8470535.0
2016-06-27,45.85,45.96,44.83,45.08,6297078.0
2016-06-28,45.67,46.96,45.57,46.96,5266742.0
2016-06-29,47.53,48.19,47.53,47.84,4270599.0
2016-06-30,47.88,48.7,47.6,48.57,4978004.0
2016-07-01,48.57,49.26,48.47,48.78,3186987.0
2016-07-02,48.57,49.26,48.47,48.78,3186987.0
2016-07-03,48.57,49.26,48.47,48.78,3186987.0
2016-07-04,48.57,49.26,48.47,48.78,3186987.0
2016-07-05,48.41,48.69,47.51,48.02,3022049.0
2016-07-06,47.76,48.2,47.07,48.17,5170130.0
2016-07-07,48.19,48.6178,47.68,48.11,2793281.0
2016-07-08,48.52,49.195,48.43,48.86,3488234.0
2016-07-09,48.52,49.195,48.43,48.86,3488234.0
2016-07-10,48.52,49.195,48.43,48.86,3488234.0
2016-07-11,48.93,49.33,48.56,48.59,5338531.0
2016-07-12,49.09,49.42,48.88,49.29,10751403.0
2016-07-13,49.29,49.41,48.61,48.97,2958806.0
2016-07-14,49.24,49.5,48.64,48.72,2921958.0
2016-07-15,48.8,48.96,48.55,48.69,2316699.0
2016-07-16,48.8,48.96,48.55,48.69,2316699.0
2016-07-17,48.8,48.96,48.55,48.69,2316699.0
2016-07-18,48.61,48.84,48.13,48.31,2853368.0
2016-07-19,48.09,48.3899,47.41,48.04,2349756.0
2016-07-20,48.24,48.89,48.065,48.83,2701826.0
2016-07-21,48.71,48.83,48.45,48.62,2474631.0
2016-07-22,48.74,49.08,48.675,48.98,2674057.0
2016-07-23,48.74,49.08,48.675,48.98,2674057.0
2016-07-24,48.74,49.08,48.675,48.98,2674057.0
2016-07-25,48.75,49.0,48.42,48.97,1879789.0
2016-07-26,49.09,49.63,49.01,49.56,3131314.0
2016-07-27,49.58,49.93,48.99,49.16,3299286.0
2016-07-28,49.09,49.51,48.78,49.39,3742356.0
2016-07-29,51.82,53.75,51.82,52.46,11512660.0
2016-07-30,51.82,53.75,51.82,52.46,11512660.0
2016-07-31,51.82,53.75,51.82,52.46,11512660.0
2016-08-01,52.58,54.53,52.41,53.97,10461330.0
2016-08-02,53.93,54.06,53.09,53.82,5514468.0
2016-08-03,53.55,53.58,53.09,53.51,2780889.0
2016-08-04,53.51,53.78,53.25,53.28,2537762.0
2016-08-05,53.43,53.99,53.31,53.75,3260855.0
2016-08-06,53.43,53.99,53.31,53.75,3260855.0
2016-08-07,53.43,53.99,53.31,53.75,3260855.0
2016-08-08,54.09,54.41,53.585,54.16,3780782.0
2016-08-09,54.27,54.46,53.99,54.15,2586148.0
2016-08-10,54.32,54.56,53.97,54.19,1908287.0
2016-08-11,54.3,54.71,54.23,54.47,3393718.0
2016-08-12,54.31,54.98,54.255,54.89,3167832.0
2016-08-13,54.31,54.98,54.255,54.89,3167832.0
2016-08-14,54.31,54.98,54.255,54.89,3167832.0
2016-08-15,55.0,55.45,54.82,54.89,3725895.0
2016-08-16,54.87,54.95,54.14,54.39,2938250.0
2016-08-17,54.34,54.54,53.6201,53.95,3564066.0
2016-08-18,54.12,54.12,53.63,54.0,2784874.0
2016-08-19,53.76,54.08,53.64,53.8,7009982.0
2016-08-20,53.76,54.08,53.64,53.8,7009982.0
2016-08-21,53.76,54.08,53.64,53.8,7009982.0
2016-08-22,53.72,53.87,53.43,53.85,2936623.0
2016-08-23,54.33,54.48,54.07,54.46,4026569.0
2016-08-24,54.19,54.53,53.53,53.84,2807667.0
2016-08-25,53.54,53.74,53.26,53.7,3712003.0
2016-08-26,53.89,54.42,53.42,53.87,3835203.0
2016-08-27,53.89,54.42,53.42,53.87,3835203.0
2016-08-28,53.89,54.42,53.42,53.87,3835203.0
2016-08-29,53.67,54.2,53.58,53.91,1896495.0
2016-08-30,53.84,53.97,53.435,53.55,1944535.0
2016-08-31,53.42,53.58,52.84,53.08,4518744.0
2016-09-01,52.84,53.25,52.45,53.22,2351823.0
2016-09-02,53.51,53.96,53.345,53.57,2260930.0
2016-09-03,53.51,53.96,53.345,53.57,2260930.0
2016-09-04,53.51,53.96,53.345,53.57,2260930.0
2016-09-05,53.51,53.96,53.345,53.57,2260930.0
2016-09-06,53.67,54.38,53.43,54.04,3940242.0
2016-09-07,53.75,54.015,53.06,53.63,3068713.0
2016-09-08,53.4,53.64,52.32,52.47,5447235.0
2016-09-09,51.92,52.0,50.4,50.4,4855018.0
2016-09-10,51.92,52.0,50.4,50.4,4855018.0
2016-09-11,51.92,52.0,50.4,50.4,4855018.0
2016-09-12,50.22,50.74,50.15,50.54,7083030.0
2016-09-13,50.1,50.2,49.11,49.67,7023909.0
2016-09-14,49.86,50.55,49.785,50.06,3993181.0
2016-09-15,50.0,51.0,49.915,50.83,4350710.0
2016-09-16,50.48,51.06,50.13,50.99,6170344.0
2016-09-17,50.48,51.06,50.13,50.99,6170344.0
2016-09-18,50.48,51.06,50.13,50.99,6170344.0
2016-09-19,51.49,51.8,50.93,51.14,3556089.0
2016-09-20,51.57,51.7996,51.3,51.61,2941572.0
2016-09-21,51.81,52.57,51.53,52.5,3431216.0
2016-09-22,52.92,53.5,51.87,52.36,4083990.0
2016-09-23,52.51,52.61,51.97,51.97,2482659.0
2016-09-24,52.51,52.61,51.97,51.97,2482659.0
2016-09-25,52.51,52.61,51.97,51.97,2482659.0
2016-09-26,51.67,51.72,51.32,51.35,2759848.0
2016-09-27,51.47,52.48,51.28,52.4,3972695.0
2016-09-28,52.35,52.5,51.75,52.14,3477797.0
