Date,Open,High,Low,Close,Volume
2016-01-04,13.12,13.21,13.0099,13.21,3979962.0
2016-01-04,13.12,13.21,13.0099,13.21,3979962.0
2016-01-04,13.12,13.21,13.0099,13.21,3979962.0
2016-01-04,13.12,13.21,13.0099,13.21,3979962.0
2016-01-05,13.26,13.32,12.69,12.77,4867722.0
2016-01-06,12.53,12.82,12.48,12.71,3681983.0
2016-01-07,12.44,12.61,12.39,12.42,3197065.0
2016-01-08,12.56,12.71,12.42,12.58,4501992.0
2016-01-09,12.56,12.71,12.42,12.58,4501992.0
2016-01-10,12.56,12.71,12.42,12.58,4501992.0
2016-01-11,12.4,12.64,12.06,12.21,5272350.0
2016-01-12,12.35,12.48,12.215,12.43,3800640.0
2016-01-13,12.51,12.54,12.08,12.19,4484907.0
2016-01-14,12.29,12.81,12.18,12.71,5458272.0
2016-01-15,12.36,12.73,12.25,12.51,6231971.0
2016-01-16,12.36,12.73,12.25,12.51,6231971.0
2016-01-17,12.36,12.73,12.25,12.51,6231971.0
2016-01-18,12.36,12.73,12.25,12.51,6231971.0
2016-01-19,12.67,12.67,12.12,12.35,4828736.0
2016-01-20,12.12,12.28,11.8,12.15,4935226.0
2016-01-21,12.15,12.58,12.05,12.37,3375186.0
2016-01-22,12.7,12.72,12.525,12.7,2533062.0
2016-01-23,12.7,12.72,12.525,12.7,2533062.0
2016-01-24,12.7,12.72,12.525,12.7,2533062.0
2016-01-25,12.66,12.725,12.46,12.5,3245861.0
2016-01-26,12.57,12.8,12.41,12.8,2480530.0
2016-01-27,12.68,12.955,12.6,12.7,3398387.0
2016-01-28,12.96,12.96,12.54,12.84,4184697.0
2016-01-29,12.89,13.05,12.67,12.97,4118522.0
2016-01-30,12.89,13.05,12.67,12.97,4118522.0
2016-01-31,12.89,13.05,12.67,12.97,4118522.0
2016-02-01,13.1,13.1,12.495,12.7,4617460.0
2016-02-02,12.55,12.68,12.07,12.12,3915821.0
2016-02-03,12.26,12.65,11.94,12.24,3775891.0
2016-02-04,12.22,12.495,12.16,12.21,6302007.0
2016-02-05,11.43,11.79,10.96,11.1,9924601.0
2016-02-06,11.43,11.79,10.96,11.1,9924601.0
2016-02-07,11.43,11.79,10.96,11.1,9924601.0
2016-02-08,10.97,11.09,10.26,10.56,6769017.0
2016-02-09,10.37,10.6501,10.29,10.49,5450060.0
2016-02-10,10.52,10.77,10.47,10.6,5478442.0
2016-02-11,10.44,10.48,10.21,10.4,4924327.0
2016-02-12,10.53,10.9946,10.47,10.75,4348130.0
2016-02-13,10.53,10.9946,10.47,10.75,4348130.0
2016-02-14,10.53,10.9946,10.47,10.75,4348130.0
2016-02-15,10.53,10.9946,10.47,10.75,4348130.0
2016-02-16,10.92,11.1,10.64,10.94,4088832.0
2016-02-17,11.02,11.2697,10.93,11.0,3483818.0
2016-02-18,11.02,11.05,10.83,10.85,3177310.0
2016-02-19,10.8,11.06,10.75,10.92,4886400.0
2016-02-20,10.8,11.06,10.75,10.92,4886400.0
2016-02-21,10.8,11.06,10.75,10.92,4886400.0
2016-02-22,11.04,11.19,11.02,11.1,2634963.0
2016-02-23,11.02,11.17,10.88,10.89,4069945.0
2016-02-24,10.49,10.855,10.49,10.79,5656494.0
2016-02-25,10.81,10.88,10.58,10.87,3211871.0
2016-02-26,10.95,11.04,10.82,10.92,2658226.0
2016-02-27,10.95,11.04,10.82,10.92,2658226.0
2016-02-28,10.95,11.04,10.82,10.92,2658226.0
2016-02-29,10.91,11.1689,10.8,10.82,3483102.0
2016-03-01,10.9,10.94,10.69,10.77,4231932.0
2016-03-02,10.73,10.94,10.71,10.89,6111139.0
2016-03-03,10.89,10.97,10.77,10.91,7581103.0
2016-03-04,10.92,11.125,10.83,11.0,10888723.0
2016-03-05,10.92,11.125,10.83,11.0,10888723.0
2016-03-06,10.92,11.125,10.83,11.0,10888723.0
2016-03-07,10.87,11.35,10.84,11.31,5736114.0
2016-03-08,11.22,11.27,10.87,10.92,3556036.0
2016-03-09,11.0,11.35,10.88,11.09,6571990.0
2016-03-10,11.17,11.19,10.87,11.09,6216608.0
2016-03-11,11.25,11.77,11.05,11.75,5102382.0
2016-03-12,11.25,11.77,11.05,11.75,5102382.0
2016-03-13,11.25,11.77,11.05,11.75,5102382.0
2016-03-14,11.69,11.9199,11.35,11.56,3136383.0
2016-03-15,11.51,11.62,11.34,11.57,2614099.0
2016-03-16,11.53,12.13,11.53,12.06,7135196.0
2016-03-17,12.07,12.66,12.07,12.44,6206569.0
2016-03-18,12.49,12.59,12.21,12.31,4493262.0
2016-03-19,12.49,12.59,12.21,12.31,4493262.0
2016-03-20,12.49,12.59,12.21,12.31,4493262.0
2016-03-21,12.29,12.44,12.18,12.38,2459190.0
2016-03-22,12.33,12.65,12.3,12.64,3985899.0
2016-03-23,12.61,12.75,12.52,12.54,6079724.0
2016-03-24,12.44,12.54,12.29,12.5,3300974.0
2016-03-25,12.44,12.54,12.29,12.5,3300974.0
2016-03-26,12.44,12.54,12.29,12.5,3300974.0
2016-03-27,12.44,12.54,12.29,12.5,3300974.0
2016-03-28,12.52,12.86,12.49,12.85,3674946.0
2016-03-29,12.82,12.9,12.61,12.86,3073304.0
2016-03-30,12.94,12.94,12.625,12.75,2631124.0
2016-03-31,12.74,12.88,12.61,12.77,2351029.0
2016-04-01,12.68,13.05,12.51,13.03,3538815.0
2016-04-02,12.68,13.05,12.51,13.03,3538815.0
2016-04-03,12.68,13.05,12.51,13.03,3538815.0
2016-04-04,13.0,13.06,12.74,12.76,3024741.0
2016-04-05,12.69,12.87,12.53,12.61,2933447.0
2016-04-06,12.66,12.81,12.491,12.77,3254580.0
2016-04-07,12.73,12.85,12.46,12.59,6162934.0
2016-04-08,12.69,12.69,12.33,12.41,2661000.0
2016-04-09,12.69,12.69,12.33,12.41,2661000.0
2016-04-10,12.69,12.69,12.33,12.41,2661000.0
2016-04-11,12.42,12.49,12.29,12.29,2524899.0
2016-04-12,12.35,12.55,12.2601,12.47,2251153.0
2016-04-13,12.54,12.71,12.49,12.7,1852129.0
2016-04-14,12.75,12.855,12.71,12.73,1733938.0
2016-04-15,12.73,12.75,12.59,12.7,1519330.0
2016-04-16,12.73,12.75,12.59,12.7,1519330.0
2016-04-17,12.73,12.75,12.59,12.7,1519330.0
2016-04-18,12.59,12.65,12.43,12.46,5917926.0
2016-04-19,12.46,12.68,12.39,12.54,3525403.0
2016-04-20,12.56,12.67,12.475,12.54,3392040.0
2016-04-21,12.54,12.91,12.485,12.74,4207663.0
2016-04-22,12.76,12.91,12.73,12.8,2667656.0
2016-04-23,12.76,12.91,12.73,12.8,2667656.0
2016-04-24,12.76,12.91,12.73,12.8,2667656.0
2016-04-25,12.76,12.82,12.52,12.62,1687363.0
2016-04-26,12.64,12.835,12.55,12.79,1248762.0
2016-04-27,12.79,12.88,12.58,12.67,1403070.0
