Date,Open,High,Low,Close,Volume
2016-01-04,46.5,47.39,45.8701,47.16,2878962.0
2016-01-04,46.5,47.39,45.8701,47.16,2878962.0
2016-01-04,46.5,47.39,45.8701,47.16,2878962.0
2016-01-04,46.5,47.39,45.8701,47.16,2878962.0
2016-01-05,47.4,47.56,46.47,47.17,2157130.0
2016-01-06,46.64,47.84,46.52,47.18,2856936.0
2016-01-07,45.79,46.52,45.57,45.75,2955882.0
2016-01-08,46.08,46.44,45.07,45.23,2798373.0
2016-01-09,46.08,46.44,45.07,45.23,2798373.0
2016-01-10,46.08,46.44,45.07,45.23,2798373.0
2016-01-11,45.59,45.76,44.57,45.23,2619207.0
2016-01-12,45.64,46.02,44.51,45.19,1644914.0
2016-01-13,45.27,45.66,44.12,44.3,2652369.0
2016-01-14,44.69,46.02,43.78,45.71,3136556.0
2016-01-15,45.23,45.49,43.94,45.31,3230133.0
2016-01-16,45.23,45.49,43.94,45.31,3230133.0
2016-01-17,45.23,45.49,43.94,45.31,3230133.0
2016-01-18,45.23,45.49,43.94,45.31,3230133.0
2016-01-19,45.76,45.84,44.3,45.03,2389089.0
2016-01-20,44.28,45.88,43.46,45.33,4069609.0
2016-01-21,45.53,46.42,44.95,45.81,2995689.0
2016-01-22,46.68,47.53,46.18,46.53,2810334.0
2016-01-23,46.68,47.53,46.18,46.53,2810334.0
2016-01-24,46.68,47.53,46.18,46.53,2810334.0
2016-01-25,46.41,46.41,45.611000000000004,45.71,2193137.0
2016-01-26,46.12,47.58,46.08,47.55,2359422.0
2016-01-27,47.65,47.99,46.58,46.91,2381513.0
2016-01-28,47.69,47.99,46.01,47.36,3144789.0
2016-01-29,45.24,49.57,45.01,49.07,5947043.0
2016-01-30,45.24,49.57,45.01,49.07,5947043.0
2016-01-31,45.24,49.57,45.01,49.07,5947043.0
2016-02-01,48.46,48.88,47.36,48.54,3796391.0
2016-02-02,47.84,48.07,47.2849,47.53,2447904.0
2016-02-03,47.77,48.09,45.92,47.79,3358809.0
2016-02-04,47.92,50.21,47.81,50.0,3522869.0
2016-02-05,50.0,51.37,49.6,50.11,2843691.0
2016-02-06,50.0,51.37,49.6,50.11,2843691.0
2016-02-07,50.0,51.37,49.6,50.11,2843691.0
2016-02-08,49.69,50.32,49.1,49.89,3070839.0
2016-02-09,49.22,50.53,49.22,49.84,2711602.0
2016-02-10,49.77,50.315,48.55,48.73,2553452.0
2016-02-11,47.87,49.1,47.53,48.29,1826989.0
2016-02-12,48.83,50.085,48.34,50.0,2142061.0
2016-02-13,48.83,50.085,48.34,50.0,2142061.0
2016-02-14,48.83,50.085,48.34,50.0,2142061.0
2016-02-15,48.83,50.085,48.34,50.0,2142061.0
2016-02-16,50.55,51.375,50.0,51.36,1953680.0
2016-02-17,51.72,53.21,51.135,52.05,2745990.0
2016-02-18,51.9,52.35,50.7,51.28,2446653.0
2016-02-19,51.07,51.195,50.32,50.9,1999593.0
2016-02-20,51.07,51.195,50.32,50.9,1999593.0
2016-02-21,51.07,51.195,50.32,50.9,1999593.0
2016-02-22,51.55,52.31,51.55,52.24,1649777.0
2016-02-23,51.87,52.2699,51.21,51.5,2141860.0
2016-02-24,50.87,51.31,49.4,51.17,2301298.0
2016-02-25,51.53,51.82,50.73,51.82,1925254.0
2016-02-26,52.32,52.67,51.12,51.95,1851660.0
2016-02-27,52.32,52.67,51.12,51.95,1851660.0
2016-02-28,52.32,52.67,51.12,51.95,1851660.0
2016-02-29,51.92,52.2292,51.46,51.5,1944977.0
2016-03-01,52.09,52.74,51.49,52.71,2092348.0
2016-03-02,52.58,52.75,51.93,52.27,2219035.0
2016-03-03,52.17,54.16,52.09,54.06,3819454.0
2016-03-04,54.1,54.23,53.06,53.42,2913726.0
2016-03-05,54.1,54.23,53.06,53.42,2913726.0
2016-03-06,54.1,54.23,53.06,53.42,2913726.0
2016-03-07,53.03,53.94,53.01,53.65,2240316.0
2016-03-08,53.15,53.49,52.15,52.32,2635220.0
2016-03-09,52.63,53.0,52.035,52.22,2294447.0
2016-03-10,52.56,52.68,51.26,51.78,2064678.0
2016-03-11,52.43,52.83,51.3,52.73,1988116.0
2016-03-12,52.43,52.83,51.3,52.73,1988116.0
2016-03-13,52.43,52.83,51.3,52.73,1988116.0
2016-03-14,52.48,53.85,52.3655,53.72,2903764.0
2016-03-15,53.4,53.41,52.87,53.41,1650365.0
2016-03-16,53.19,54.27,52.99,54.02,1911219.0
2016-03-17,54.11,55.35,53.95,54.94,2302653.0
2016-03-18,55.13,55.6,54.48,55.18,7565241.0
2016-03-19,55.13,55.6,54.48,55.18,7565241.0
2016-03-20,55.13,55.6,54.48,55.18,7565241.0
2016-03-21,55.13,55.26,54.3875,54.93,1867652.0
2016-03-22,54.5,54.83,54.17,54.46,1292799.0
2016-03-23,54.45,54.45,53.6,53.68,1560343.0
2016-03-24,53.01,53.46,51.93,53.45,1503276.0
2016-03-25,53.01,53.46,51.93,53.45,1503276.0
2016-03-26,53.01,53.46,51.93,53.45,1503276.0
2016-03-27,53.01,53.46,51.93,53.45,1503276.0
2016-03-28,53.48,54.09,53.35,53.78,1463857.0
2016-03-29,53.49,54.78,53.01,54.76,1871802.0
2016-03-30,55.04,55.245,54.28,54.57,1434479.0
2016-03-31,54.66,54.8,54.14,54.69,2050836.0
2016-04-01,54.41,54.41,53.13,54.21,2073209.0
2016-04-02,54.41,54.41,53.13,54.21,2073209.0
2016-04-03,54.41,54.41,53.13,54.21,2073209.0
2016-04-04,54.11,54.21,53.58,53.67,1670196.0
2016-04-05,53.21,53.28,52.55,52.83,2333047.0
2016-04-06,52.88,53.19,51.99,53.14,2174157.0
2016-04-07,52.71,53.0,52.21,52.42,1616466.0
2016-04-08,52.94,53.76,52.45,52.65,1567077.0
2016-04-09,52.94,53.76,52.45,52.65,1567077.0
2016-04-10,52.94,53.76,52.45,52.65,1567077.0
2016-04-11,52.46,53.58,52.44,52.72,2168261.0
2016-04-12,53.06,53.82,52.67,53.65,2070924.0
2016-04-13,54.11,55.61,53.5,55.56,2001162.0
2016-04-14,55.8,56.03,55.1,55.81,1903145.0
2016-04-15,56.01,56.08,55.64,55.78,1548670.0
2016-04-16,56.01,56.08,55.64,55.78,1548670.0
2016-04-17,56.01,56.08,55.64,55.78,1548670.0
2016-04-18,55.65,56.08,55.44,55.92,2521760.0
2016-04-19,56.22,56.77,55.73,56.12,2498314.0
2016-04-20,56.36,57.09,56.01,56.43,2617337.0
2016-04-21,56.57,56.72,55.81,55.91,1436158.0
2016-04-22,55.99,56.8,55.77,56.49,2315875.0
2016-04-23,55.99,56.8,55.77,56.49,2315875.0
2016-04-24,55.99,56.8,55.77,56.49,2315875.0
2016-04-25,56.47,56.49,55.77,56.05,2485887.0
2016-04-26,57.98,59.12,56.32,58.93,4825708.0
2016-04-27,59.93,60.86,59.27,60.23,4410610.0
2016-04-28,59.91,60.64,59.34,59.58,2200480.0
2016-04-29,59.11,60.0,58.59,58.91,2335012.0
2016-04-30,59.11,60.0,58.59,58.91,2335012.0
2016-05-01,59.11,60.0,58.59,58.91,2335012.0
2016-05-02,59.17,59.36,58.39,58.67,2327138.0
2016-05-03,58.1,58.22,57.45,57.86,2056399.0
2016-05-04,57.4,57.4,55.47,55.89,3389057.0
2016-05-05,55.98,56.43,55.33,55.61,1928679.0
2016-05-06,55.18,55.735,54.75,55.54,2644316.0
2016-05-07,55.18,55.735,54.75,55.54,2644316.0
2016-05-08,55.18,55.735,54.75,55.54,2644316.0
2016-05-09,57.48,57.5,55.7201,55.84,2436581.0
2016-05-10,56.66,57.67,56.18,57.61,2201366.0
2016-05-11,57.51,57.8064,56.89,56.94,1921614.0
2016-05-12,57.19,57.77,56.48,56.93,1695119.0
2016-05-13,56.72,57.29,55.84,56.02,1321204.0
2016-05-14,56.72,57.29,55.84,56.02,1321204.0
2016-05-15,56.72,57.29,55.84,56.02,1321204.0
2016-05-16,56.13,57.23,56.13,57.01,1965592.0
2016-05-17,56.7,57.3579,56.22,56.4,1305265.0
2016-05-18,56.09,56.39,54.93,55.23,2151330.0
2016-05-19,54.75,54.92,52.98,53.34,4510995.0
2016-05-20,53.52,53.98,53.27,53.39,2295141.0
2016-05-21,53.52,53.98,53.27,53.39,2295141.0
2016-05-22,53.52,53.98,53.27,53.39,2295141.0
2016-05-23,53.46,53.65,53.0001,53.19,1385685.0
2016-05-24,53.54,54.38,53.445,54.17,1760840.0
2016-05-25,54.59,55.67,54.49,55.47,2064860.0
2016-05-26,55.43,55.85,55.2529,55.47,1730517.0
2016-05-27,55.59,55.89,55.2501,55.63,1037186.0
2016-05-28,55.59,55.89,55.2501,55.63,1037186.0
2016-05-29,55.59,55.89,55.2501,55.63,1037186.0
2016-05-30,55.59,55.89,55.2501,55.63,1037186.0
2016-05-31,55.54,56.16,55.265,55.75,1851018.0
2016-06-01,55.53,55.8,54.87,55.67,1636595.0
2016-06-02,55.59,56.26,55.025,56.25,1537959.0
2016-06-03,55.39,55.63,54.52,54.9,2999144.0
2016-06-04,55.39,55.63,54.52,54.9,2999144.0
2016-06-05,55.39,55.63,54.52,54.9,2999144.0
2016-06-06,55.01,55.91,54.85,55.76,2001844.0
2016-06-07,55.82,56.7,55.82,56.18,1989697.0
2016-06-08,56.42,57.45,56.3355,56.9,1705196.0
2016-06-09,56.47,56.47,55.77,56.02,1001470.0
2016-06-10,55.36,55.63,54.39,54.89,1743935.0
2016-06-11,55.36,55.63,54.39,54.89,1743935.0
2016-06-12,55.36,55.63,54.39,54.89,1743935.0
2016-06-13,54.8,55.4,54.39,54.55,1629716.0
2016-06-14,54.29,54.42,53.6,54.11,1925378.0
2016-06-15,54.14,54.6,53.78,53.87,1799426.0
2016-06-16,53.49,54.39,52.92,54.21,1586983.0
2016-06-17,54.3,55.06,54.09,54.37,3482368.0
2016-06-18,54.3,55.06,54.09,54.37,3482368.0
2016-06-19,54.3,55.06,54.09,54.37,3482368.0
2016-06-20,55.11,55.78,54.9201,54.93,1608428.0
2016-06-21,54.48,54.66,53.94,54.58,1968305.0
2016-06-22,54.61,55.27,54.3801,54.84,1654368.0
2016-06-23,55.54,56.37,55.11,56.35,1579430.0
2016-06-24,52.94,53.855,51.805,51.97,9657924.0
2016-06-25,52.94,53.855,51.805,51.97,9657924.0
2016-06-26,52.94,53.855,51.805,51.97,9657924.0
2016-06-27,50.94,51.2789,48.17,48.88,6449447.0
2016-06-28,49.0,49.84,48.74,49.83,3481664.0
2016-06-29,50.33,50.99,50.01,50.64,2344321.0
2016-06-30,50.96,51.87,50.4,51.87,3069216.0
2016-07-01,51.89,52.45,51.48,51.84,1755765.0
2016-07-02,51.89,52.45,51.48,51.84,1755765.0
2016-07-03,51.89,52.45,51.48,51.84,1755765.0
2016-07-04,51.89,52.45,51.48,51.84,1755765.0
