Date,Open,High,Low,Close,Volume
2016-01-04,31.4,31.43,30.77,31.12,3266714.0
2016-01-04,31.4,31.43,30.77,31.12,3266714.0
2016-01-04,31.4,31.43,30.77,31.12,3266714.0
2016-01-04,31.4,31.43,30.77,31.12,3266714.0
2016-01-05,31.12,31.58,31.0,31.41,6043491.0
2016-01-06,31.03,31.25,30.86,31.06,4206337.0
2016-01-07,30.61,30.94,30.37,30.53,4892866.0
2016-01-08,30.67,30.71,30.04,30.08,4178221.0
2016-01-09,30.67,30.71,30.04,30.08,4178221.0
2016-01-10,30.67,30.71,30.04,30.08,4178221.0
2016-01-11,30.29,30.74,30.25,30.64,3519653.0
2016-01-12,30.85,30.92,30.14,30.73,3083722.0
2016-01-13,30.88,30.92,30.05,30.11,2794906.0
2016-01-14,30.21,30.6,30.1,30.22,4102931.0
2016-01-15,29.48,30.075,29.48,29.91,4173836.0
2016-01-16,29.48,30.075,29.48,29.91,4173836.0
2016-01-17,29.48,30.075,29.48,29.91,4173836.0
2016-01-18,29.48,30.075,29.48,29.91,4173836.0
2016-01-19,29.83,29.97,29.47,29.8,4456555.0
2016-01-20,29.47,30.01,29.315,29.68,5852424.0
2016-01-21,29.77,30.0,29.4599,29.55,4216168.0
2016-01-22,29.93,30.0575,29.68,29.95,3036996.0
2016-01-23,29.93,30.0575,29.68,29.95,3036996.0
2016-01-24,29.93,30.0575,29.68,29.95,3036996.0
2016-01-25,29.94,30.0,29.46,29.5,3749168.0
2016-01-26,29.62,29.93,29.38,29.49,3799959.0
2016-01-27,30.66,30.74,29.92,30.38,5831764.0
2016-01-28,30.62,30.8,29.91,30.72,4399891.0
2016-01-29,30.95,31.36,30.82,31.25,6877635.0
2016-01-30,30.95,31.36,30.82,31.25,6877635.0
2016-01-31,30.95,31.36,30.82,31.25,6877635.0
2016-02-01,29.97,30.655,29.97,30.48,6982106.0
2016-02-02,30.37,30.66,30.2,30.49,5102930.0
2016-02-03,30.66,30.66,29.99,30.42,5863289.0
2016-02-04,30.39,30.67,30.27,30.66,4987535.0
2016-02-05,30.66,30.95,30.49,30.7,3762223.0
2016-02-06,30.66,30.95,30.49,30.7,3762223.0
2016-02-07,30.66,30.95,30.49,30.7,3762223.0
2016-02-08,30.39,30.865,30.35,30.73,5718547.0
2016-02-09,30.47,31.305,30.45,30.88,7501245.0
2016-02-10,31.03,31.48,30.9,30.91,4266523.0
2016-02-11,30.41,30.6801,30.19,30.23,5203954.0
2016-02-12,30.61,31.45,30.56,31.38,6632048.0
2016-02-13,30.61,31.45,30.56,31.38,6632048.0
2016-02-14,30.61,31.45,30.56,31.38,6632048.0
2016-02-15,30.61,31.45,30.56,31.38,6632048.0
2016-02-16,31.7,31.72,31.27,31.65,5294071.0
2016-02-17,32.0,32.22,31.78,32.06,4908731.0
2016-02-18,32.06,32.12,31.775,31.95,3178533.0
2016-02-19,31.76,32.075,31.75,31.91,3188169.0
2016-02-20,31.76,32.075,31.75,31.91,3188169.0
2016-02-21,31.76,32.075,31.75,31.91,3188169.0
2016-02-22,32.16,32.28,31.84,32.03,2926656.0
2016-02-23,32.03,32.12,31.81,31.93,2888483.0
2016-02-24,31.68,31.9,31.45,31.85,3640870.0
2016-02-25,31.98,32.23,31.89,32.17,3029288.0
2016-02-26,32.35,32.35,31.87,32.11,3117663.0
2016-02-27,32.35,32.35,31.87,32.11,3117663.0
2016-02-28,32.35,32.35,31.87,32.11,3117663.0
2016-02-29,32.03,32.23,31.89,31.92,3707294.0
2016-03-01,32.16,32.6,32.05,32.57,3260236.0
2016-03-02,32.55,33.03,32.43,32.93,3731982.0
2016-03-03,32.98,33.54,32.98,33.49,7479014.0
2016-03-04,33.45,33.53,33.07,33.19,3659173.0
2016-03-05,33.45,33.53,33.07,33.19,3659173.0
2016-03-06,33.45,33.53,33.07,33.19,3659173.0
2016-03-07,33.04,33.38,33.01,33.33,3800113.0
2016-03-08,33.21,33.3,32.94,33.03,3907566.0
2016-03-09,33.2,33.31,32.94,33.03,1962834.0
2016-03-10,33.15,33.27,32.615,32.84,4260136.0
2016-03-11,33.12,33.22,32.83,33.21,5756088.0
2016-03-12,33.12,33.22,32.83,33.21,5756088.0
2016-03-13,33.12,33.22,32.83,33.21,5756088.0
2016-03-14,33.2,33.22,32.92,33.04,3522646.0
2016-03-15,32.85,33.31,32.81,33.28,3153210.0
2016-03-16,33.25,34.07,33.11,34.02,4386198.0
2016-03-17,34.08,34.53,33.78,34.46,3810853.0
2016-03-18,34.57,34.67,34.39,34.61,6531095.0
2016-03-19,34.57,34.67,34.39,34.61,6531095.0
2016-03-20,34.57,34.67,34.39,34.61,6531095.0
2016-03-21,34.5,34.97,34.46,34.93,3242836.0
2016-03-22,34.84,35.14,34.78,35.04,3645369.0
2016-03-23,34.99,35.27,34.92,35.17,3701329.0
2016-03-24,34.97,35.07,34.56,34.81,2504948.0
2016-03-25,34.97,35.07,34.56,34.81,2504948.0
2016-03-26,34.97,35.07,34.56,34.81,2504948.0
2016-03-27,34.97,35.07,34.56,34.81,2504948.0
2016-03-28,34.8,35.1,34.76,35.03,2098239.0
2016-03-29,35.04,35.18,34.87,35.02,3320730.0
2016-03-30,35.17,35.26,34.86,35.03,2325484.0
2016-03-31,35.06,35.2,34.92,35.14,2877251.0
2016-04-01,35.12,35.5,34.96,35.48,2633376.0
2016-04-02,35.12,35.5,34.96,35.48,2633376.0
2016-04-03,35.12,35.5,34.96,35.48,2633376.0
2016-04-04,35.47,35.5399,35.11,35.17,2747434.0
2016-04-05,35.07,35.17,34.65,34.65,4073651.0
2016-04-06,34.66,34.78,34.52,34.77,3518193.0
2016-04-07,34.65,34.665,34.27,34.41,3365999.0
2016-04-08,34.52,34.62,34.35,34.43,3791930.0
2016-04-09,34.52,34.62,34.35,34.43,3791930.0
2016-04-10,34.52,34.62,34.35,34.43,3791930.0
2016-04-11,34.5,34.67,34.24,34.28,1936676.0
2016-04-12,34.37,34.77,34.235,34.71,3670513.0
2016-04-13,34.84,34.95,34.3935,34.76,3685509.0
2016-04-14,34.13,34.14,33.225,33.57,7797523.0
2016-04-15,33.52,33.54,33.23,33.43,4164573.0
2016-04-16,33.52,33.54,33.23,33.43,4164573.0
2016-04-17,33.52,33.54,33.23,33.43,4164573.0
2016-04-18,33.37,33.72,33.3,33.72,3837861.0
2016-04-19,33.79,33.935,33.625,33.75,3382983.0
2016-04-20,33.77,33.87,33.28,33.44,2510077.0
2016-04-21,33.31,33.406,32.665,32.72,3470101.0
2016-04-22,32.73,33.05,32.73,32.95,2387106.0
2016-04-23,32.73,33.05,32.73,32.95,2387106.0
2016-04-24,32.73,33.05,32.73,32.95,2387106.0
2016-04-25,32.82,32.91,32.67,32.86,2309486.0
2016-04-26,32.91,32.955,32.62,32.75,3172643.0
2016-04-27,32.8,32.95,32.63,32.79,2062104.0
2016-04-28,32.54,32.79,32.41,32.54,2179871.0
2016-04-29,32.4,32.68,32.255,32.6,2336914.0
2016-04-30,32.4,32.68,32.255,32.6,2336914.0
2016-05-01,32.4,32.68,32.255,32.6,2336914.0
2016-05-02,32.63,33.18,32.63,33.07,2217984.0
2016-05-03,32.78,33.22,32.67,33.18,2812649.0
2016-05-04,33.0,33.1,32.71,32.83,3243118.0
2016-05-05,32.95,33.34,32.76,32.88,3484836.0
2016-05-06,32.74,33.06,32.405,32.96,3161445.0
2016-05-07,32.74,33.06,32.405,32.96,3161445.0
2016-05-08,32.74,33.06,32.405,32.96,3161445.0
2016-05-09,32.92,33.27,32.78,33.15,2024081.0
2016-05-10,33.28,33.61,33.16,33.6,2208348.0
2016-05-11,33.52,33.64,33.13,33.15,2469531.0
2016-05-12,33.3,33.59,33.19,33.56,2467610.0
2016-05-13,33.42,33.51,33.165,33.24,2339675.0
2016-05-14,33.42,33.51,33.165,33.24,2339675.0
2016-05-15,33.42,33.51,33.165,33.24,2339675.0
2016-05-16,33.21,33.29,33.0,33.04,4539963.0
2016-05-17,33.02,33.2,32.73,32.82,4758876.0
2016-05-18,32.68,32.68,31.985,32.38,10880970.0
2016-05-19,32.24,32.69,32.06,32.56,4692612.0
2016-05-20,32.73,33.09,32.65,32.98,3655608.0
2016-05-21,32.73,33.09,32.65,32.98,3655608.0
2016-05-22,32.73,33.09,32.65,32.98,3655608.0
2016-05-23,32.94,33.06,32.86,32.99,3021371.0
2016-05-24,33.2,33.81,33.075,33.49,2874786.0
2016-05-25,33.52,33.58,33.22,33.26,2651302.0
2016-05-26,33.22,33.34,33.17,33.25,3123327.0
2016-05-27,33.26,33.315,33.17,33.25,3646848.0
2016-05-28,33.26,33.315,33.17,33.25,3646848.0
2016-05-29,33.26,33.315,33.17,33.25,3646848.0
2016-05-30,33.26,33.315,33.17,33.25,3646848.0
2016-05-31,33.34,33.45,33.12,33.3,6315986.0
2016-06-01,33.22,33.45,33.16,33.4,3077607.0
2016-06-02,32.94,33.29,32.73,33.17,2721935.0
2016-06-03,32.81,32.99,32.6,32.88,2866321.0
2016-06-04,32.81,32.99,32.6,32.88,2866321.0
2016-06-05,32.81,32.99,32.6,32.88,2866321.0
2016-06-06,32.86,33.04,32.71,32.77,1642697.0
