Date,Open,High,Low,Close,Volume
2016-01-04,17.57,17.6,16.79,17.16,9365545.0
2016-01-04,17.57,17.6,16.79,17.16,9365545.0
2016-01-04,17.57,17.6,16.79,17.16,9365545.0
2016-01-04,17.57,17.6,16.79,17.16,9365545.0
2016-01-05,17.2,17.48,17.1,17.32,9787799.0
2016-01-06,17.04,17.34,16.78,16.94,7968948.0
2016-01-07,16.25,16.77,16.17,16.22,6469196.0
2016-01-08,16.59,16.74,15.76,15.9,10622038.0
2016-01-09,16.59,16.74,15.76,15.9,10622038.0
2016-01-10,16.59,16.74,15.76,15.9,10622038.0
2016-01-11,16.05,16.37,15.825,16.16,9020969.0
2016-01-12,16.33,16.49,15.845,16.23,5681991.0
2016-01-13,16.66,17.08,16.265,16.3,13149727.0
2016-01-14,16.3,16.43,15.77,16.07,6004475.0
2016-01-15,15.62,16.14,15.5,15.94,8129646.0
2016-01-16,15.62,16.14,15.5,15.94,8129646.0
2016-01-17,15.62,16.14,15.5,15.94,8129646.0
2016-01-18,15.62,16.14,15.5,15.94,8129646.0
2016-01-19,16.14,16.275,15.53,15.67,5967040.0
2016-01-20,15.36,15.7,14.61,15.57,8245417.0
2016-01-21,15.58,16.495,15.5,16.0,11470300.0
2016-01-22,16.27,17.02,16.27,16.6,9746022.0
2016-01-23,16.27,17.02,16.27,16.6,9746022.0
2016-01-24,16.27,17.02,16.27,16.6,9746022.0
2016-01-25,16.55,16.78,15.82,15.91,9450566.0
2016-01-26,16.0,16.48,15.58,16.33,7968971.0
2016-01-27,16.31,16.5,15.97,16.08,8416967.0
2016-01-28,16.53,16.8,16.05,16.39,11110827.0
2016-01-29,16.5,16.87,16.19,16.76,12647323.0
2016-01-30,16.5,16.87,16.19,16.76,12647323.0
2016-01-31,16.5,16.87,16.19,16.76,12647323.0
2016-02-01,16.57,16.82,16.44,16.51,6266979.0
2016-02-02,16.32,16.68,16.12,16.18,7395738.0
2016-02-03,16.41,16.48,15.935,16.38,5757177.0
2016-02-04,16.37,16.96,16.3689,16.53,6605570.0
2016-02-05,16.53,16.725,16.04,16.23,6181319.0
2016-02-06,16.53,16.725,16.04,16.23,6181319.0
2016-02-07,16.53,16.725,16.04,16.23,6181319.0
2016-02-08,15.98,16.19,15.58,15.79,7276742.0
2016-02-09,15.55,16.095,15.5,16.0,6325409.0
2016-02-10,16.22,16.6,15.87,16.35,5870326.0
2016-02-11,16.05,16.12,15.21,15.36,7484313.0
2016-02-12,15.55,16.04,15.55,16.01,5444761.0
2016-02-13,15.55,16.04,15.55,16.01,5444761.0
2016-02-14,15.55,16.04,15.55,16.01,5444761.0
2016-02-15,15.55,16.04,15.55,16.01,5444761.0
2016-02-16,16.24,16.68,16.01,16.67,5569863.0
2016-02-17,16.81,16.9,16.41,16.61,4463034.0
2016-02-18,16.65,16.72,16.26,16.61,4860707.0
2016-02-19,16.48,16.71,16.31,16.54,4222685.0
2016-02-20,16.48,16.71,16.31,16.54,4222685.0
2016-02-21,16.48,16.71,16.31,16.54,4222685.0
2016-02-22,16.74,17.21,16.7,17.2,4933201.0
2016-02-23,17.15,17.285,16.92,17.15,5522443.0
2016-02-24,16.94,17.185,16.77,17.1,6397284.0
2016-02-25,17.12,17.35,17.04,17.34,4720875.0
2016-02-26,17.44,17.62,17.3,17.39,4178692.0
2016-02-27,17.44,17.62,17.3,17.39,4178692.0
2016-02-28,17.44,17.62,17.3,17.39,4178692.0
2016-02-29,17.36,17.67,17.18,17.19,5239004.0
2016-03-01,17.35,17.68,17.2,17.52,8650525.0
2016-03-02,17.49,17.89,17.36,17.87,9080773.0
2016-03-03,17.89,18.305,17.805,18.16,4554722.0
2016-03-04,18.15,18.28,17.77,17.93,4190388.0
2016-03-05,18.15,18.28,17.77,17.93,4190388.0
2016-03-06,18.15,18.28,17.77,17.93,4190388.0
2016-03-07,17.8,18.04,17.7,17.93,4372700.0
