Date,Open,High,Low,Close,Volume
2016-01-04,64.31,64.49,63.45,64.08,1045281.0
2016-01-04,64.31,64.49,63.45,64.08,1045281.0
2016-01-04,64.31,64.49,63.45,64.08,1045281.0
2016-01-04,64.31,64.49,63.45,64.08,1045281.0
2016-01-05,63.96,64.54,62.94,64.4,695757.0
2016-01-06,63.92,64.68,63.76,64.49,644512.0
2016-01-07,63.88,64.62,63.6991,64.47,839550.0
2016-01-08,64.51,65.02,63.93,64.02,979897.0
2016-01-09,64.51,65.02,63.93,64.02,979897.0
2016-01-10,64.51,65.02,63.93,64.02,979897.0
2016-01-11,64.19,65.15,64.19,64.78,898687.0
2016-01-12,63.1,64.56,62.85,63.7,1492919.0
2016-01-13,63.8,64.75,63.56,63.87,1082008.0
2016-01-14,63.84,65.28,63.64,64.81,849906.0
2016-01-15,64.81,64.82,63.13,64.01,783971.0
2016-01-16,64.81,64.82,63.13,64.01,783971.0
2016-01-17,64.81,64.82,63.13,64.01,783971.0
2016-01-18,64.81,64.82,63.13,64.01,783971.0
2016-01-19,64.57,65.14,63.94,64.88,744238.0
2016-01-20,64.77,64.98,62.52,63.62,766690.0
2016-01-21,63.9,64.17,62.72,63.26,821660.0
2016-01-22,63.46,64.23,62.98,64.1,1351511.0
2016-01-23,63.46,64.23,62.98,64.1,1351511.0
2016-01-24,63.46,64.23,62.98,64.1,1351511.0
2016-01-25,64.13,64.31,63.5,63.75,687609.0
2016-01-26,63.39,64.78,62.51,64.0,677504.0
2016-01-27,63.99,64.63,63.52,64.03,655947.0
2016-01-28,64.45,65.115,62.82,64.67,789881.0
2016-01-29,65.1,66.49,65.0587,66.31,1114505.0
2016-01-30,65.1,66.49,65.0587,66.31,1114505.0
2016-01-31,65.1,66.49,65.0587,66.31,1114505.0
2016-02-01,66.24,67.59,66.02,67.27,1347133.0
2016-02-02,66.97,68.46,66.66,68.28,1190516.0
2016-02-03,68.69,70.0,68.69,69.71,1669463.0
2016-02-04,69.645,69.83,68.61,68.83,1315145.0
2016-02-05,68.55,69.19,67.81,68.52,1850360.0
2016-02-06,68.55,69.19,67.81,68.52,1850360.0
2016-02-07,68.55,69.19,67.81,68.52,1850360.0
2016-02-08,68.98,69.72,67.64,68.49,1720492.0
2016-02-09,68.42,69.0,67.9098,68.48,1971223.0
2016-02-10,68.35,69.25,67.51,68.75,935038.0
2016-02-11,68.43,68.99,67.54,67.58,825181.0
2016-02-12,67.44,67.905,66.42,67.22,913201.0
2016-02-13,67.44,67.905,66.42,67.22,913201.0
2016-02-14,67.44,67.905,66.42,67.22,913201.0
2016-02-15,67.44,67.905,66.42,67.22,913201.0
2016-02-16,67.35,67.44,66.67,67.25,857651.0
2016-02-17,67.18,67.18,66.22,66.83,976965.0
2016-02-18,66.94,68.02,66.56,67.47,1542551.0
2016-02-19,67.54,68.65,66.62,68.25,1944082.0
2016-02-20,67.54,68.65,66.62,68.25,1944082.0
2016-02-21,67.54,68.65,66.62,68.25,1944082.0
2016-02-22,68.93,69.85,68.32,69.55,1175614.0
2016-02-23,69.17,70.07,68.52,69.89,678222.0
2016-02-24,69.9,70.54,69.315,70.15,880041.0
2016-02-25,70.55,71.3999,70.12,71.21,692019.0
2016-02-26,70.71,70.79,68.49,68.54,1386718.0
2016-02-27,70.71,70.79,68.49,68.54,1386718.0
2016-02-28,70.71,70.79,68.49,68.54,1386718.0
2016-02-29,68.41,69.26,67.9,68.83,1354058.0
2016-03-01,69.2,69.44,67.83,67.92,1571922.0
2016-03-02,67.72,68.5,66.35,68.49,1149762.0
2016-03-03,68.59,68.59,67.55,68.48,987570.0
2016-03-04,68.08,69.33,67.8,69.0,1049479.0
2016-03-05,68.08,69.33,67.8,69.0,1049479.0
2016-03-06,68.08,69.33,67.8,69.0,1049479.0
2016-03-07,68.89,69.6,68.77,69.18,782299.0
2016-03-08,69.36,70.28,68.96,70.12,1022647.0
2016-03-09,69.94,70.95,69.8,70.74,987521.0
2016-03-10,70.74,71.81,69.91,71.37,1779442.0
2016-03-11,71.61,71.92,70.895,71.18,829009.0
2016-03-12,71.61,71.92,70.895,71.18,829009.0
2016-03-13,71.61,71.92,70.895,71.18,829009.0
2016-03-14,71.0,71.77,70.45,71.5,849218.0
2016-03-15,71.33,71.99,71.33,71.82,512016.0
2016-03-16,71.55,72.62,70.85,72.51,489043.0
2016-03-17,72.55,73.495,72.26,73.39,784612.0
2016-03-18,73.53,73.53,72.59,72.7,1664254.0
2016-03-19,73.53,73.53,72.59,72.7,1664254.0
2016-03-20,73.53,73.53,72.59,72.7,1664254.0
2016-03-21,72.44,73.08,71.75,72.86,541797.0
2016-03-22,72.93,73.34,72.47,72.63,780966.0
2016-03-23,72.54,73.53,72.24,73.29,527232.0
2016-03-24,73.04,73.7,72.72,73.49,553450.0
2016-03-25,73.04,73.7,72.72,73.49,553450.0
2016-03-26,73.04,73.7,72.72,73.49,553450.0
2016-03-27,73.04,73.7,72.72,73.49,553450.0
2016-03-28,73.56,74.08,73.16,73.43,375139.0
2016-03-29,73.6,74.694,73.43,74.64,630176.0
2016-03-30,74.57,74.84,74.07,74.69,541825.0
2016-03-31,74.68,75.15,74.49,75.07,861391.0
2016-04-01,75.02,75.57,74.715,75.49,731627.0
2016-04-02,75.02,75.57,74.715,75.49,731627.0
2016-04-03,75.02,75.57,74.715,75.49,731627.0
2016-04-04,75.6,75.81,74.88,75.37,603880.0
2016-04-05,75.2,75.47,74.22,74.29,996179.0
2016-04-06,73.92,74.31,73.6701,74.16,571963.0
2016-04-07,73.98,74.6,73.57,74.11,598548.0
2016-04-08,74.39,74.81,74.13,74.36,676688.0
2016-04-09,74.39,74.81,74.13,74.36,676688.0
