Date,Open,High,Low,Close,Volume
2016-01-04,142.01,143.42,141.13,142.5,1679433.0
2016-01-04,142.01,143.42,141.13,142.5,1679433.0
2016-01-04,142.01,143.42,141.13,142.5,1679433.0
2016-01-04,142.01,143.42,141.13,142.5,1679433.0
2016-01-05,143.12,145.6,141.26,142.68,1170251.0
2016-01-06,141.21,144.98,141.0,144.28,2507009.0
2016-01-07,142.3,145.19,142.1,144.31,1679559.0
2016-01-08,144.53,145.01,140.2,140.69,1487597.0
2016-01-09,144.53,145.01,140.2,140.69,1487597.0
2016-01-10,144.53,145.01,140.2,140.69,1487597.0
2016-01-11,146.21,146.21,138.74,143.61,2278166.0
2016-01-12,144.95,147.35,143.94,146.57,1615506.0
2016-01-13,147.37,147.66,142.52,143.08,1593395.0
2016-01-14,143.31,146.69,140.32,145.41,1812211.0
2016-01-15,141.91,145.26,141.34,145.01,1860957.0
2016-01-16,141.91,145.26,141.34,145.01,1860957.0
2016-01-17,141.91,145.26,141.34,145.01,1860957.0
2016-01-18,141.91,145.26,141.34,145.01,1860957.0
2016-01-19,145.84,147.0,144.235,146.5,2492170.0
2016-01-20,144.6,147.41,140.74,145.84,3056914.0
2016-01-21,146.29,147.92,143.91,146.79,2850146.0
2016-01-22,147.68,152.36,147.43,148.58,3667151.0
2016-01-23,147.68,152.36,147.43,148.58,3667151.0
2016-01-24,147.68,152.36,147.43,148.58,3667151.0
2016-01-25,149.09,151.18,148.43,149.06,1807869.0
2016-01-26,149.59,151.5,148.28,148.94,1756639.0
2016-01-27,148.14,148.89,143.04,144.52,1980084.0
2016-01-28,145.18,145.41,140.05,143.23,2246482.0
2016-01-29,143.63,145.66,142.64,144.58,1612620.0
2016-01-30,143.63,145.66,142.64,144.58,1612620.0
2016-01-31,143.63,145.66,142.64,144.58,1612620.0
2016-02-01,143.14,144.27,142.57,143.7,1437390.0
2016-02-02,142.83,144.08,141.62,144.01,1556399.0
2016-02-03,145.02,146.295,142.2,145.68,1009116.0
2016-02-04,145.42,147.58,142.25,144.11,1069591.0
2016-02-05,142.76,145.32,142.275,143.88,1480281.0
2016-02-06,142.76,145.32,142.275,143.88,1480281.0
2016-02-07,142.76,145.32,142.275,143.88,1480281.0
2016-02-08,142.27,142.46,135.87,137.82,1778204.0
2016-02-09,136.91,140.37,136.325,138.77,1213158.0
2016-02-10,138.91,139.65,136.82,137.46,1133115.0
2016-02-11,136.6,137.26,133.23,135.07,1824342.0
2016-02-12,135.07,138.92,133.81,138.6,1577469.0
2016-02-13,135.07,138.92,133.81,138.6,1577469.0
2016-02-14,135.07,138.92,133.81,138.6,1577469.0
2016-02-15,135.07,138.92,133.81,138.6,1577469.0
2016-02-16,139.29,141.71,138.505,141.21,1806926.0
2016-02-17,141.41,146.16,141.41,145.17,2174993.0
2016-02-18,134.95,136.82,128.66,130.4,7484077.0
2016-02-19,129.16,130.2,125.68,129.34,4056556.0
2016-02-20,129.16,130.2,125.68,129.34,4056556.0
2016-02-21,129.16,130.2,125.68,129.34,4056556.0
2016-02-22,127.62,128.61,122.62,124.08,3694221.0
2016-02-23,123.96,126.61,123.7,124.85,2182568.0
2016-02-24,123.78,127.31,123.61,126.26,1456002.0
2016-02-25,126.66,129.26,125.36,129.15,1156850.0
2016-02-26,129.9,130.71,128.2,129.23,1632618.0
2016-02-27,129.9,130.71,128.2,129.23,1632618.0
2016-02-28,129.9,130.71,128.2,129.23,1632618.0
2016-02-29,128.71,129.58,126.16,126.25,1391996.0
2016-03-01,127.07,127.14,124.72,126.21,1434554.0
2016-03-02,126.19,126.31,123.85,125.81,1171995.0
2016-03-03,125.91,126.79,125.075,126.42,1489157.0
2016-03-04,126.3,128.48,125.02,126.61,1710350.0
2016-03-05,126.3,128.48,125.02,126.61,1710350.0
2016-03-06,126.3,128.48,125.02,126.61,1710350.0
2016-03-07,125.81,129.42,125.8,129.08,1657581.0
2016-03-08,128.92,130.94,128.6,129.06,1618858.0
2016-03-09,129.88,131.52,129.39,131.41,1065515.0
2016-03-10,132.16,134.33,131.275,133.88,1750349.0
2016-03-11,134.08,136.435,133.93,136.0,1460717.0
2016-03-12,134.08,136.435,133.93,136.0,1460717.0
2016-03-13,134.08,136.435,133.93,136.0,1460717.0
2016-03-14,136.8,140.65,136.205,140.14,2380833.0
2016-03-15,139.34,139.55,132.66,134.37,2717039.0
2016-03-16,134.34,135.27,132.39,133.07,1310362.0
2016-03-17,133.81,133.86,128.22,131.21,1882968.0
2016-03-18,131.88,132.2,127.28,128.46,3335219.0
2016-03-19,131.88,132.2,127.28,128.46,3335219.0
2016-03-20,131.88,132.2,127.28,128.46,3335219.0
2016-03-21,127.86,131.82,127.68,131.27,1624778.0
2016-03-22,130.9,133.93,130.51,132.92,1070032.0
2016-03-23,133.25,133.71,129.97,130.23,1530613.0
2016-03-24,129.32,130.83,128.62,130.31,1107739.0
2016-03-25,129.32,130.83,128.62,130.31,1107739.0
2016-03-26,129.32,130.83,128.62,130.31,1107739.0
2016-03-27,129.32,130.83,128.62,130.31,1107739.0
