Date,Open,High,Low,Close,Volume
2016-01-04,101.03,101.77,100.52,101.67,1853508.0
2016-01-04,101.03,101.77,100.52,101.67,1853508.0
2016-01-04,101.03,101.77,100.52,101.67,1853508.0
2016-01-04,101.03,101.77,100.52,101.67,1853508.0
2016-01-05,102.51,102.53,99.96,101.32,1589200.0
2016-01-06,99.83,101.39,99.635,100.3,1885257.0
2016-01-07,98.84,100.07,97.6,97.79,2002704.0
2016-01-08,98.04,99.22,97.33,97.85,2540990.0
2016-01-09,98.04,99.22,97.33,97.85,2540990.0
2016-01-10,98.04,99.22,97.33,97.85,2540990.0
2016-01-11,98.37,99.09,97.63,98.44,2389194.0
2016-01-12,99.5,100.01,98.3,99.89,1736510.0
2016-01-13,100.59,102.32,97.55,98.01,2652818.0
2016-01-14,98.24,100.34,97.51,99.79,1928543.0
2016-01-15,99.41,99.79,96.51,97.39,1584683.0
2016-01-16,99.41,99.79,96.51,97.39,1584683.0
2016-01-17,99.41,99.79,96.51,97.39,1584683.0
2016-01-18,99.41,99.79,96.51,97.39,1584683.0
2016-01-19,98.48,98.6,96.63,98.18,1822027.0
2016-01-20,96.57,98.8085,96.0,97.82,2844609.0
2016-01-21,98.25,98.79,97.19,97.96,1653053.0
2016-01-22,99.4,99.69,97.64,98.09,1746780.0
2016-01-23,99.4,99.69,97.64,98.09,1746780.0
2016-01-24,99.4,99.69,97.64,98.09,1746780.0
2016-01-25,97.6,98.15,96.0,96.13,1400015.0
2016-01-26,96.52,98.38,95.94,98.14,1350151.0
2016-01-27,97.81,99.63,97.74,98.1,2132171.0
2016-01-28,98.64,99.2,97.9102,98.2,1814978.0
2016-01-29,96.77,100.02,95.6,100.0,3435159.0
2016-01-30,96.77,100.02,95.6,100.0,3435159.0
2016-01-31,96.77,100.02,95.6,100.0,3435159.0
2016-02-01,99.83,100.98,98.37,100.53,2403051.0
2016-02-02,97.83,99.26,97.78,98.15,2462368.0
2016-02-03,99.33,103.3,98.95,103.29,2563651.0
2016-02-04,103.35,106.99,103.35,105.53,2169150.0
2016-02-05,104.97,105.52,103.68,105.1,2021216.0
