Date,Open,High,Low,Close,Volume
2016-01-04,55.95,57.1999,55.25,56.9,1120513.0
2016-01-04,55.95,57.1999,55.25,56.9,1120513.0
2016-01-04,55.95,57.1999,55.25,56.9,1120513.0
2016-01-04,55.95,57.1999,55.25,56.9,1120513.0
2016-01-05,57.04,57.38399999999999,55.88,56.61,650008.0
2016-01-06,55.7,55.76,53.62,54.08,648677.0
2016-01-07,51.33,52.55,51.14,52.04,1673273.0
2016-01-08,52.23,52.335,50.47,50.56,1203927.0
2016-01-09,52.23,52.335,50.47,50.56,1203927.0
2016-01-10,52.23,52.335,50.47,50.56,1203927.0
2016-01-11,50.92,51.08,49.53,50.46,1278798.0
2016-01-12,51.01,51.55,49.74,51.08,994625.0
2016-01-13,51.33,51.885,49.64,49.97,1248425.0
2016-01-14,50.17,51.11,48.89,50.37,842663.0
2016-01-15,48.63,49.45,47.7,49.25,748723.0
2016-01-16,48.63,49.45,47.7,49.25,748723.0
2016-01-17,48.63,49.45,47.7,49.25,748723.0
2016-01-18,48.63,49.45,47.7,49.25,748723.0
2016-01-19,49.91,50.158,47.26,47.79,1040516.0
2016-01-20,46.96,49.14,45.12,48.32,1685962.0
2016-01-21,48.31,50.8,47.75,49.52,969273.0
2016-01-22,50.43,51.96,49.9,50.64,996444.0
2016-01-23,50.43,51.96,49.9,50.64,996444.0
2016-01-24,50.43,51.96,49.9,50.64,996444.0
2016-01-25,50.37,50.63,48.78,48.92,561882.0
2016-01-26,49.36,52.64,49.0801,52.55,897206.0
2016-01-27,52.34,53.74,51.46,51.74,1093139.0
2016-01-28,52.14,52.32,50.1,50.9,1158231.0
2016-01-29,51.16,53.25,51.04,53.17,829697.0
2016-01-30,51.16,53.25,51.04,53.17,829697.0
2016-01-31,51.16,53.25,51.04,53.17,829697.0
2016-02-01,52.5,55.47,52.5,54.7,2520418.0
2016-02-02,53.89,55.19,51.1,51.52,3189258.0
2016-02-03,51.65,52.22,49.42,51.95,1585583.0
2016-02-04,52.05,56.88,52.05,56.71,1766247.0
2016-02-05,56.7,57.295,55.67,57.12,1242566.0
2016-02-06,56.7,57.295,55.67,57.12,1242566.0
2016-02-07,56.7,57.295,55.67,57.12,1242566.0
2016-02-08,56.46,56.46,54.96,55.97,892596.0
2016-02-09,55.0,56.36,54.6,55.65,1108345.0
2016-02-10,56.0,56.73,54.88,55.32,770419.0
2016-02-11,54.16,54.5,51.11,52.47,1551111.0
2016-02-12,52.98,54.61,51.64,54.14,956686.0
2016-02-13,52.98,54.61,51.64,54.14,956686.0
2016-02-14,52.98,54.61,51.64,54.14,956686.0
2016-02-15,52.98,54.61,51.64,54.14,956686.0
2016-02-16,54.62,56.87,53.35,56.29,1067848.0
2016-02-17,57.09,58.79,56.515,58.13,1092377.0
2016-02-18,57.9,58.05,56.75,57.96,809422.0
2016-02-19,57.53,57.6,55.64,56.15,767949.0
2016-02-20,57.53,57.6,55.64,56.15,767949.0
2016-02-21,57.53,57.6,55.64,56.15,767949.0
2016-02-22,56.88,58.5745,56.88,58.52,714228.0
2016-02-23,57.87,58.05,56.16,56.63,722648.0
2016-02-24,55.6,56.51,54.2695,56.39,752776.0
2016-02-25,56.59,57.29,54.82,56.23,794052.0
2016-02-26,56.64,58.35,56.32,57.68,667468.0
2016-02-27,56.64,58.35,56.32,57.68,667468.0
2016-02-28,56.64,58.35,56.32,57.68,667468.0
2016-02-29,57.75,57.93,56.71,56.72,566597.0
2016-03-01,57.24,58.85,56.8,58.49,680648.0
2016-03-02,58.31,59.54,58.0435,58.52,1026595.0
2016-03-03,58.16,60.28,58.16,60.15,884961.0
2016-03-04,60.4,62.14,59.52,61.54,1148238.0
2016-03-05,60.4,62.14,59.52,61.54,1148238.0
2016-03-06,60.4,62.14,59.52,61.54,1148238.0
2016-03-07,61.31,63.07,61.14,62.82,1203726.0
2016-03-08,62.2,62.87,59.68,59.77,850180.0
2016-03-09,60.15,60.99,59.475,60.85,684917.0
2016-03-10,61.32,61.53,58.84,59.77,772825.0
2016-03-11,60.62,62.05,60.44,61.4,698223.0
2016-03-12,60.62,62.05,60.44,61.4,698223.0
2016-03-13,60.62,62.05,60.44,61.4,698223.0
2016-03-14,60.8,61.71,60.244,61.3,434918.0
2016-03-15,60.73,61.445,59.56,60.04,713070.0
2016-03-16,59.84,61.86,59.585,61.69,712223.0
2016-03-17,61.6,64.5,61.28,64.15,926176.0
2016-03-18,64.51,66.27,64.15,65.06,1661740.0
2016-03-19,64.51,66.27,64.15,65.06,1661740.0
2016-03-20,64.51,66.27,64.15,65.06,1661740.0
2016-03-21,65.05,66.36,64.73,66.34,898042.0
2016-03-22,65.57,66.18,64.59,65.5,550815.0
2016-03-23,65.11,65.46,64.04,64.68,508165.0
2016-03-24,63.81,64.79,62.97,64.74,468324.0
2016-03-25,63.81,64.79,62.97,64.74,468324.0
2016-03-26,63.81,64.79,62.97,64.74,468324.0
2016-03-27,63.81,64.79,62.97,64.74,468324.0
2016-03-28,64.78,65.005,62.85,64.0,520976.0
2016-03-29,63.5,64.85,62.6201,64.81,975296.0
2016-03-30,65.38,66.15,63.9,64.45,786239.0
2016-03-31,64.57,65.22,64.07,64.78,606550.0
2016-04-01,64.04,64.3,62.52,64.2,565998.0
2016-04-02,64.04,64.3,62.52,64.2,565998.0
2016-04-03,64.04,64.3,62.52,64.2,565998.0
2016-04-04,64.1,65.21,63.53,63.62,703763.0
2016-04-05,62.72,62.885,62.25,62.49,1065763.0
2016-04-06,62.36,62.67,60.11,61.77,1026748.0
2016-04-07,61.36,61.66,60.24,60.48,1111232.0
2016-04-08,61.2,63.32,61.2,61.95,663842.0
2016-04-09,61.2,63.32,61.2,61.95,663842.0
2016-04-10,61.2,63.32,61.2,61.95,663842.0
