Date,Open,High,Low,Close,Volume
2016-01-04,99.6,99.81,96.69,98.14,3132404.0
2016-01-04,99.6,99.81,96.69,98.14,3132404.0
2016-01-04,99.6,99.81,96.69,98.14,3132404.0
2016-01-04,99.6,99.81,96.69,98.14,3132404.0
2016-01-05,96.39,97.6799,96.3,96.54,2198193.0
2016-01-06,94.22,96.79,93.31,95.31,2855106.0
2016-01-07,93.18,94.76,92.26,92.43,2674418.0
2016-01-08,93.48,94.54,91.42,91.78,2334194.0
2016-01-09,93.48,94.54,91.42,91.78,2334194.0
2016-01-10,93.48,94.54,91.42,91.78,2334194.0
2016-01-11,92.55,94.54,91.9,93.6,2265705.0
2016-01-12,94.5,95.65,92.98,94.02,2019319.0
2016-01-13,94.05,94.555,88.9,89.04,3597588.0
2016-01-14,88.87,88.99,85.5,87.9,4439611.0
2016-01-15,84.86,86.02,82.611,82.92,4165959.0
2016-01-16,84.86,86.02,82.611,82.92,4165959.0
2016-01-17,84.86,86.02,82.611,82.92,4165959.0
2016-01-18,84.86,86.02,82.611,82.92,4165959.0
2016-01-19,84.86,85.4,80.09,81.08,4907109.0
2016-01-20,80.25,83.7655,76.2,82.44,6193261.0
2016-01-21,83.41,86.42,82.83,85.48,3914670.0
2016-01-22,88.25,88.34,85.46,85.76,2735638.0
2016-01-23,88.25,88.34,85.46,85.76,2735638.0
2016-01-24,88.25,88.34,85.46,85.76,2735638.0
2016-01-25,85.84,86.33,83.05,83.37,2113250.0
2016-01-26,83.69,84.9,82.21,84.52,1849163.0
2016-01-27,85.23,85.76,80.665,81.42,2333621.0
2016-01-28,80.89,80.99,75.56,78.33,6085457.0
2016-01-29,78.06,82.06,77.79,81.96,5662815.0
2016-01-30,78.06,82.06,77.79,81.96,5662815.0
2016-01-31,78.06,82.06,77.79,81.96,5662815.0
2016-02-01,81.61,85.7,81.245,84.52,6209214.0
2016-02-02,78.9,79.19,69.3,71.7,20618079.0
2016-02-03,73.33,75.49,71.34,73.83,9109743.0
2016-02-04,73.03,73.8,68.92,73.58,6734630.0
2016-02-05,72.61,72.84,68.47,69.58,5182285.0
2016-02-06,72.61,72.84,68.47,69.58,5182285.0
2016-02-07,72.61,72.84,68.47,69.58,5182285.0
2016-02-08,68.0,68.09,64.21,66.29,7485339.0
2016-02-09,64.99,69.55,64.31,68.02,4405925.0
2016-02-10,68.67,70.955,68.52,69.39,3372687.0
