Date,Open,High,Low,Close,Volume
2016-01-04,12.32,12.58,11.92,12.55,11197109.0
2016-01-04,12.32,12.58,11.92,12.55,11197109.0
2016-01-04,12.32,12.58,11.92,12.55,11197109.0
2016-01-04,12.32,12.58,11.92,12.55,11197109.0
2016-01-05,12.32,12.36,11.77,12.15,10327193.0
2016-01-06,11.65,11.68,11.1,11.52,18277077.0
2016-01-07,11.05,11.62,10.925,11.0,14139595.0
2016-01-08,11.08,11.12,10.61,10.75,11881392.0
2016-01-09,11.08,11.12,10.61,10.75,11881392.0
2016-01-10,11.08,11.12,10.61,10.75,11881392.0
2016-01-11,10.84,10.85,10.16,10.34,14373327.0
2016-01-12,10.64,10.68,9.78,10.28,16644080.0
2016-01-13,10.46,10.6111,9.51,9.8,15669808.0
2016-01-14,9.93,10.57,9.71,10.54,14012598.0
2016-01-15,9.81,10.03,9.47,9.86,13870951.0
2016-01-16,9.81,10.03,9.47,9.86,13870951.0
2016-01-17,9.81,10.03,9.47,9.86,13870951.0
2016-01-18,9.81,10.03,9.47,9.86,13870951.0
2016-01-19,9.75,9.83,8.95,9.29,12039118.0
2016-01-20,9.04,9.29,8.57,9.08,16487889.0
2016-01-21,9.03,10.15,8.98,9.72,15064638.0
2016-01-22,10.12,10.4,9.48,9.77,15501708.0
2016-01-23,10.12,10.4,9.48,9.77,15501708.0
2016-01-24,10.12,10.4,9.48,9.77,15501708.0
2016-01-25,9.66,9.87,9.25,9.29,11078921.0
2016-01-26,9.65,9.77,9.39,9.7,8791915.0
2016-01-27,9.61,10.2,9.48,9.84,9727515.0
2016-01-28,10.25,10.37,9.67,10.03,17368190.0
2016-01-29,9.95,10.45,9.9,10.42,10596270.0
2016-01-30,9.95,10.45,9.9,10.42,10596270.0
2016-01-31,9.95,10.45,9.9,10.42,10596270.0
2016-02-01,9.95,9.98,9.61,9.79,10537927.0
2016-02-02,9.51,9.53,8.83,9.05,14275393.0
2016-02-03,9.19,9.43,8.5,9.35,11520606.0
2016-02-04,9.37,10.26,9.36,10.19,14982096.0
2016-02-05,10.05,10.83,9.89,10.28,16193113.0
2016-02-06,10.05,10.83,9.89,10.28,16193113.0
2016-02-07,10.05,10.83,9.89,10.28,16193113.0
2016-02-08,9.88,9.89,9.25,9.55,10850894.0
2016-02-09,9.49,9.53,8.3839,8.91,13565456.0
2016-02-10,8.64,9.19,8.64,8.78,8568441.0
2016-02-11,8.62,8.79,8.23,8.61,11675261.0
2016-02-12,8.91,9.16,8.565,8.86,12111149.0
2016-02-13,8.91,9.16,8.565,8.86,12111149.0
2016-02-14,8.91,9.16,8.565,8.86,12111149.0
2016-02-15,8.91,9.16,8.565,8.86,12111149.0
2016-02-16,9.01,9.01,8.48,8.66,11375392.0
2016-02-17,8.63,9.36,8.62,9.13,12699381.0
2016-02-18,9.26,9.75,8.42,8.66,16543972.0
2016-02-19,8.48,8.61,8.08,8.33,15102829.0
2016-02-20,8.48,8.61,8.08,8.33,15102829.0
2016-02-21,8.48,8.61,8.08,8.33,15102829.0
2016-02-22,8.53,8.92,8.5101,8.83,10435563.0
2016-02-23,8.54,8.82,8.45,8.54,12511916.0
2016-02-24,7.88,8.305,7.665,8.2,22290005.0
2016-02-25,8.11,8.36,7.85,8.23,17944783.0
2016-02-26,8.31,9.18,8.25,8.65,20462356.0
2016-02-27,8.31,9.18,8.25,8.65,20462356.0
2016-02-28,8.31,9.18,8.25,8.65,20462356.0
2016-02-29,8.75,8.99,8.6,8.65,12623368.0
2016-03-01,8.77,9.26,8.45,9.07,16238070.0
2016-03-02,8.83,9.88,8.81,9.84,17781153.0
2016-03-03,9.6,11.0,9.57,10.83,23211135.0
2016-03-04,10.9,13.48,10.69,12.71,53609961.0
2016-03-05,10.9,13.48,10.69,12.71,53609961.0
2016-03-06,10.9,13.48,10.69,12.71,53609961.0
2016-03-07,12.47,13.25,12.31,12.71,27251876.0
2016-03-08,12.66,12.68,11.4,11.41,25041723.0
2016-03-09,11.55,11.58,10.84,11.17,14216712.0
2016-03-10,10.93,11.28,10.46,10.96,17875343.0
2016-03-11,11.19,11.79,11.02,11.25,17038316.0
2016-03-12,11.19,11.79,11.02,11.25,17038316.0
2016-03-13,11.19,11.79,11.02,11.25,17038316.0
2016-03-14,10.83,11.5199,10.765,11.26,14736949.0
2016-03-15,11.1,11.14,10.51,11.04,13623177.0
2016-03-16,11.06,11.32,10.81,11.22,13958686.0
2016-03-17,11.3,11.86,11.18,11.71,16051891.0
2016-03-18,11.56,11.65,10.68,10.78,35963123.0
2016-03-19,11.56,11.65,10.68,10.78,35963123.0
2016-03-20,11.56,11.65,10.68,10.78,35963123.0
2016-03-21,10.55,10.75,10.27,10.53,16397087.0
2016-03-22,9.94,10.18,9.91,10.0,20022366.0
2016-03-23,9.92,10.0,9.14,9.27,16015176.0
2016-03-24,9.02,9.51,8.97,9.38,12333812.0
2016-03-25,9.02,9.51,8.97,9.38,12333812.0
2016-03-26,9.02,9.51,8.97,9.38,12333812.0
2016-03-27,9.02,9.51,8.97,9.38,12333812.0
2016-03-28,9.43,9.55,9.0,9.31,9216448.0
2016-03-29,8.82,8.97,8.5,8.88,21646111.0
2016-03-30,8.66,9.24,8.54,8.89,53552170.0
2016-03-31,8.85,9.27,8.815,9.14,19252873.0
2016-04-01,8.88,8.88,8.4,8.58,24094107.0
2016-04-02,8.88,8.88,8.4,8.58,24094107.0
2016-04-03,8.88,8.88,8.4,8.58,24094107.0
2016-04-04,8.58,9.01,8.46,8.55,16912506.0
2016-04-05,8.47,8.735,8.34,8.64,14425068.0
2016-04-06,8.86,9.05,8.58,8.68,20200756.0
2016-04-07,8.63,8.76,8.34,8.41,18645767.0
2016-04-08,8.72,8.89,8.62,8.67,16714944.0
2016-04-09,8.72,8.89,8.62,8.67,16714944.0
2016-04-10,8.72,8.89,8.62,8.67,16714944.0
2016-04-11,8.72,9.0,8.71,8.87,12758855.0
2016-04-12,9.0,9.73,8.85,9.59,23258732.0
2016-04-13,9.58,10.2,9.5,9.89,24802672.0
2016-04-14,10.08,10.1,9.13,9.26,21731272.0
2016-04-15,9.06,9.87,9.01,9.72,25994814.0
2016-04-16,9.06,9.87,9.01,9.72,25994814.0
2016-04-17,9.06,9.87,9.01,9.72,25994814.0
2016-04-18,9.22,9.885,9.1,9.75,19310863.0
2016-04-19,9.85,10.94,9.83,10.68,30561349.0
2016-04-20,10.51,10.95,10.37,10.76,18109312.0
2016-04-21,10.83,11.1,10.38,10.53,17685820.0
2016-04-22,10.75,11.25,10.43,10.79,20747943.0
2016-04-23,10.75,11.25,10.43,10.79,20747943.0
2016-04-24,10.75,11.25,10.43,10.79,20747943.0
2016-04-25,10.63,10.87,10.15,10.26,15105425.0
2016-04-26,10.33,10.49,9.95,10.32,14268431.0
2016-04-27,10.51,11.2,10.47,11.16,21627145.0
2016-04-28,11.08,11.55,10.87,11.1,20847644.0
2016-04-29,11.36,11.65,10.57,11.08,22809274.0
2016-04-30,11.36,11.65,10.57,11.08,22809274.0
2016-05-01,11.36,11.65,10.57,11.08,22809274.0
2016-05-02,11.04,11.17,10.63,11.01,11085389.0
2016-05-03,10.71,10.82,10.33,10.43,11906496.0
2016-05-04,10.55,10.69,9.95,10.14,13675083.0
2016-05-05,10.5,10.61,10.0,10.07,21416404.0
2016-05-06,9.925,10.98,9.89,10.72,19480202.0
2016-05-07,9.925,10.98,9.89,10.72,19480202.0
2016-05-08,9.925,10.98,9.89,10.72,19480202.0
2016-05-09,10.57,10.58,9.88,9.96,17883867.0
2016-05-10,10.02,10.38,10.0,10.24,11808825.0
2016-05-11,10.15,10.43,9.96,9.98,14040383.0
2016-05-12,10.18,10.23,9.52,9.68,19839056.0
2016-05-13,9.67,9.85,9.18,9.25,16706869.0
2016-05-14,9.67,9.85,9.18,9.25,16706869.0
2016-05-15,9.67,9.85,9.18,9.25,16706869.0
2016-05-16,9.48,9.885,9.44,9.48,13050617.0
2016-05-17,9.45,9.97,9.4,9.68,14534233.0
2016-05-18,9.67,9.95,9.5,9.57,13620431.0
2016-05-19,9.4,9.41,8.985,9.08,15142325.0
2016-05-20,9.12,9.44,9.08,9.32,11853458.0
2016-05-21,9.12,9.44,9.08,9.32,11853458.0
2016-05-22,9.12,9.44,9.08,9.32,11853458.0
