Date,Open,High,Low,Close,Volume
2016-01-04,109.99,111.72,108.01,111.56,1359130.0
2016-01-04,109.99,111.72,108.01,111.56,1359130.0
2016-01-04,109.99,111.72,108.01,111.56,1359130.0
2016-01-04,109.99,111.72,108.01,111.56,1359130.0
2016-01-05,112.11,112.11,108.33,110.88,1051254.0
2016-01-06,109.93,110.15,106.17,108.1,1417004.0
2016-01-07,106.12,109.55,104.45,104.56,1162194.0
2016-01-08,105.0,106.78,103.35,103.59,1066439.0
2016-01-09,105.0,106.78,103.35,103.59,1066439.0
2016-01-10,105.0,106.78,103.35,103.59,1066439.0
2016-01-11,103.21,104.67,100.37,102.04,1341323.0
2016-01-12,103.6,105.87,101.84,103.96,1071456.0
2016-01-13,104.96,105.99,100.57,100.78,1045918.0
2016-01-14,100.62,102.06,98.15,101.04,1140162.0
2016-01-15,98.52,101.85,98.25,100.68,1420758.0
2016-01-16,98.52,101.85,98.25,100.68,1420758.0
2016-01-17,98.52,101.85,98.25,100.68,1420758.0
2016-01-18,98.52,101.85,98.25,100.68,1420758.0
2016-01-19,101.44,104.0,99.34,101.38,1332517.0
2016-01-20,99.92,105.06,99.66,103.4,2269495.0
2016-01-21,103.51,108.06,102.08,105.94,1642028.0
2016-01-22,107.84,109.7,105.98,106.97,1042956.0
2016-01-23,107.84,109.7,105.98,106.97,1042956.0
2016-01-24,107.84,109.7,105.98,106.97,1042956.0
2016-01-25,106.94,107.85,105.05,106.53,904175.0
2016-01-26,107.37,110.24,106.725,109.12,963328.0
2016-01-27,108.06,110.96,107.26,108.46,1087464.0
2016-01-28,110.61,112.815,108.155,109.63,1050447.0
2016-01-29,110.62,113.03,109.055,112.5,1421737.0
2016-01-30,110.62,113.03,109.055,112.5,1421737.0
2016-01-31,110.62,113.03,109.055,112.5,1421737.0
2016-02-01,111.2,113.5,110.31,112.33,1370318.0
2016-02-02,114.61,115.54,110.55,111.76,2034025.0
2016-02-03,112.66,115.85,110.5,115.56,2338112.0
2016-02-04,103.27,103.5,88.24,89.95,10821569.0
2016-02-05,88.53,90.63,87.01,87.25,4939931.0
2016-02-06,88.53,90.63,87.01,87.25,4939931.0
