Date,Open,High,Low,Close,Volume
2016-01-04,43.42,43.46,42.91,43.14,1920177.0
2016-01-04,43.42,43.46,42.91,43.14,1920177.0
2016-01-04,43.42,43.46,42.91,43.14,1920177.0
2016-01-04,43.42,43.46,42.91,43.14,1920177.0
2016-01-05,43.11,43.9,43.0,43.84,2096466.0
2016-01-06,43.35,44.06,43.17,43.99,2346342.0
2016-01-07,43.32,44.43,43.31,44.15,3022603.0
2016-01-08,44.3,44.49,43.92,44.13,3167331.0
2016-01-09,44.3,44.49,43.92,44.13,3167331.0
2016-01-10,44.3,44.49,43.92,44.13,3167331.0
2016-01-11,44.18,44.63,44.12,44.5,2466668.0
2016-01-12,44.79,44.88,44.22,44.66,2310186.0
2016-01-13,44.67,44.8,43.63,43.82,2212367.0
2016-01-14,43.93,44.48,43.66,44.31,2299050.0
2016-01-15,43.48,43.7,42.9699,43.27,2628739.0
2016-01-16,43.48,43.7,42.9699,43.27,2628739.0
2016-01-17,43.48,43.7,42.9699,43.27,2628739.0
2016-01-18,43.48,43.7,42.9699,43.27,2628739.0
2016-01-19,43.78,44.48,43.47,43.75,2269281.0
2016-01-20,43.2,43.58,41.82,42.66,3313030.0
2016-01-21,42.82,43.08,42.03,42.2,3289160.0
2016-01-22,42.66,43.13,42.55,42.93,3710702.0
2016-01-23,42.66,43.13,42.55,42.93,3710702.0
2016-01-24,42.66,43.13,42.55,42.93,3710702.0
2016-01-25,42.96,43.0,42.31,42.41,1841449.0
2016-01-26,42.48,42.705,42.36,42.55,1926975.0
2016-01-27,42.59,42.68,41.91,42.22,2302244.0
2016-01-28,42.42,42.98,42.21,42.7,1903837.0
2016-01-29,43.0,43.745,42.91,43.7,2791951.0
2016-01-30,43.0,43.745,42.91,43.7,2791951.0
2016-01-31,43.0,43.745,42.91,43.7,2791951.0
2016-02-01,43.47,44.01,43.27,43.85,1370476.0
2016-02-02,43.48,43.85,43.3,43.63,2241261.0
2016-02-03,43.87,44.17,43.33,44.04,1736669.0
2016-02-04,43.91,44.33,43.85,44.13,1324695.0
2016-02-05,44.13,44.27,43.3,43.58,1723557.0
2016-02-06,44.13,44.27,43.3,43.58,1723557.0
2016-02-07,44.13,44.27,43.3,43.58,1723557.0
2016-02-08,43.27,43.58,42.56,43.42,1751472.0
2016-02-09,43.07,44.2,43.07,43.84,2364170.0
2016-02-10,43.88,44.78,43.65,44.29,1625012.0
2016-02-11,43.56,44.15,43.51,43.82,2922984.0
2016-02-12,44.0,44.8,43.3,44.2,2505546.0
2016-02-13,44.0,44.8,43.3,44.2,2505546.0
2016-02-14,44.0,44.8,43.3,44.2,2505546.0
2016-02-15,44.0,44.8,43.3,44.2,2505546.0
2016-02-16,44.76,45.45,44.26,45.43,2611096.0
2016-02-17,45.51,45.6108,45.1,45.23,2397104.0
2016-02-18,45.29,45.725,44.99,45.62,1783656.0
2016-02-19,45.65,45.91,45.42,45.68,2032279.0
2016-02-20,45.65,45.91,45.42,45.68,2032279.0
2016-02-21,45.65,45.91,45.42,45.68,2032279.0
2016-02-22,45.86,46.21,45.8,46.05,1432468.0
2016-02-23,46.03,46.31,45.84,45.96,967278.0
2016-02-24,45.63,46.03,45.31,46.0,1201348.0
2016-02-25,46.12,46.25,45.71,46.23,1560554.0
2016-02-26,46.5,46.62,46.13,46.21,1602177.0
2016-02-27,46.5,46.62,46.13,46.21,1602177.0
2016-02-28,46.5,46.62,46.13,46.21,1602177.0
2016-02-29,46.17,46.28,45.7,45.7,1824536.0
2016-03-01,46.01,46.75,46.0,46.59,1531550.0
2016-03-02,46.61,47.07,46.4199,47.06,1642788.0
2016-03-03,46.87,47.25,46.41,47.21,1741903.0
2016-03-04,47.21,47.25,46.74,47.09,2240787.0
2016-03-05,47.21,47.25,46.74,47.09,2240787.0
2016-03-06,47.21,47.25,46.74,47.09,2240787.0
2016-03-07,46.85,47.0,46.64,46.91,1253565.0
2016-03-08,46.74,47.04,46.22,46.63,1466633.0
2016-03-09,46.88,47.36,46.8,47.0,1566660.0
2016-03-10,47.14,47.31,46.465,46.93,1180508.0
2016-03-11,47.37,47.51,47.12,47.3,1261120.0
2016-03-12,47.37,47.51,47.12,47.3,1261120.0
2016-03-13,47.37,47.51,47.12,47.3,1261120.0
2016-03-14,47.08,47.37,46.86,47.01,1486822.0
2016-03-15,46.68,47.58,46.68,47.45,1503287.0
2016-03-16,47.46,48.03,47.2201,47.86,1184335.0
2016-03-17,47.87,48.07,47.72,47.99,1587067.0
2016-03-18,48.05,48.25,47.77,48.19,4448422.0
2016-03-19,48.05,48.25,47.77,48.19,4448422.0
2016-03-20,48.05,48.25,47.77,48.19,4448422.0
2016-03-21,48.19,48.27,48.0,48.17,895812.0
2016-03-22,47.88,48.17,47.52,47.61,1553669.0
2016-03-23,47.55,47.94,47.5,47.88,1317671.0
2016-03-24,47.84,48.13,47.84,48.12,1487364.0
2016-03-25,47.84,48.13,47.84,48.12,1487364.0
2016-03-26,47.84,48.13,47.84,48.12,1487364.0
2016-03-27,47.84,48.13,47.84,48.12,1487364.0
2016-03-28,48.27,48.48,48.07,48.31,1100574.0
2016-03-29,48.27,48.76,48.13,48.72,1231120.0
2016-03-30,48.52,48.7,48.26,48.35,1091914.0
2016-03-31,48.38,48.46,47.61,47.65,2981407.0
2016-04-01,47.51,48.29,47.41,48.24,1577647.0
2016-04-02,47.51,48.29,47.41,48.24,1577647.0
2016-04-03,47.51,48.29,47.41,48.24,1577647.0
2016-04-04,47.05,47.21,46.18,46.27,4409605.0
2016-04-05,45.99,46.52,45.7,46.52,2874404.0
2016-04-06,46.56,46.92,45.97,46.27,1664073.0
2016-04-07,46.19,46.43,46.1,46.24,1326142.0
2016-04-08,46.48,46.73,46.2925,46.39,1047959.0
2016-04-09,46.48,46.73,46.2925,46.39,1047959.0
2016-04-10,46.48,46.73,46.2925,46.39,1047959.0
2016-04-11,46.61,46.76,45.87,45.9,1256480.0
2016-04-12,45.94,46.05,45.78,45.93,1695845.0
2016-04-13,46.05,46.2,45.72,46.01,1789161.0
2016-04-14,46.02,46.32,45.86,45.94,1490336.0
2016-04-15,46.19,46.41,46.03,46.15,1034565.0
2016-04-16,46.19,46.41,46.03,46.15,1034565.0
2016-04-17,46.19,46.41,46.03,46.15,1034565.0
2016-04-18,46.01,46.555,45.92,46.48,1436487.0
2016-04-19,46.56,46.79,46.43,46.45,1270224.0
2016-04-20,46.57,46.8,46.16,46.18,829848.0
2016-04-21,46.04,46.28,45.61,45.62,1808949.0
2016-04-22,45.67,45.953,45.56,45.74,1324504.0
2016-04-23,45.67,45.953,45.56,45.74,1324504.0
2016-04-24,45.67,45.953,45.56,45.74,1324504.0
2016-04-25,45.62,45.82,45.56,45.76,986644.0
2016-04-26,45.89,46.18,45.89,46.11,1103161.0
2016-04-27,46.12,46.528999999999996,46.06,46.49,1313753.0
2016-04-28,46.23,47.31,46.23,47.25,2753135.0
2016-04-29,47.3,47.52,46.75,47.07,2905629.0
2016-04-30,47.3,47.52,46.75,47.07,2905629.0
2016-05-01,47.3,47.52,46.75,47.07,2905629.0
2016-05-02,47.09,47.62,47.05,47.56,2205705.0
2016-05-03,47.46,47.49,46.79,47.14,2164636.0
2016-05-04,46.85,47.64,46.79,47.58,1521666.0
2016-05-05,47.48,47.87,47.23,47.44,1129966.0
2016-05-06,47.4,47.99,47.0,47.96,1120456.0
2016-05-07,47.4,47.99,47.0,47.96,1120456.0
2016-05-08,47.4,47.99,47.0,47.96,1120456.0
2016-05-09,47.97,48.46,47.69,48.38,1387819.0
2016-05-10,48.36,48.71,48.21,48.71,1098899.0
