Date,Open,High,Low,Close,Volume
2016-01-04,111.81,111.81,109.19,110.08,479220.0
2016-01-04,111.81,111.81,109.19,110.08,479220.0
2016-01-04,111.81,111.81,109.19,110.08,479220.0
2016-01-04,111.81,111.81,109.19,110.08,479220.0
2016-01-05,110.5,111.14,109.8,110.92,502014.0
2016-01-06,109.87,110.21,108.455,109.25,1133163.0
2016-01-07,108.02,108.34,106.21,106.39,993175.0
2016-01-08,106.74,107.34,104.09,104.27,786842.0
2016-01-09,106.74,107.34,104.09,104.27,786842.0
2016-01-10,106.74,107.34,104.09,104.27,786842.0
2016-01-11,104.71,106.02,104.41,104.71,882392.0
2016-01-12,105.18,105.42,102.5,102.97,886900.0
2016-01-13,103.2,103.5,101.77,102.15,863269.0
2016-01-14,102.3,102.68299999999999,101.16,101.82,838637.0
2016-01-15,100.47,100.51,98.56,100.14,1120661.0
2016-01-16,100.47,100.51,98.56,100.14,1120661.0
2016-01-17,100.47,100.51,98.56,100.14,1120661.0
2016-01-18,100.47,100.51,98.56,100.14,1120661.0
2016-01-19,101.24,101.24,99.56,100.06,786843.0
2016-01-20,98.95,99.23,94.21799999999999,96.63,1340191.0
2016-01-21,97.12,99.0,96.07,96.75,954784.0
2016-01-22,98.16,102.99,98.16,102.11,1570781.0
2016-01-23,98.16,102.99,98.16,102.11,1570781.0
2016-01-24,98.16,102.99,98.16,102.11,1570781.0
2016-01-25,102.29,103.81,101.28,101.66,1047846.0
2016-01-26,101.87,103.18,101.87,103.18,1089497.0
2016-01-27,102.71,102.71,100.815,101.67,896791.0
2016-01-28,105.0,105.24,92.0,93.42,3049506.0
2016-01-29,94.74,97.395,92.88,96.61,3596983.0
2016-01-30,94.74,97.395,92.88,96.61,3596983.0
2016-01-31,94.74,97.395,92.88,96.61,3596983.0
2016-02-01,95.77,96.45,92.84,92.97,2072075.0
2016-02-02,93.4,93.57,88.24,89.88,2581283.0
2016-02-03,90.28,90.31,87.15,89.07,1413275.0
2016-02-04,88.65,92.36,88.05,91.05,1471545.0
2016-02-05,91.06,91.23,87.63,87.75,2033213.0
2016-02-06,91.06,91.23,87.63,87.75,2033213.0
2016-02-07,91.06,91.23,87.63,87.75,2033213.0
2016-02-08,87.36,87.85,82.09,83.88,1735609.0
2016-02-09,82.45,83.47,80.3,81.19,1890585.0
2016-02-10,82.05,84.12,81.58,82.72,1189542.0
2016-02-11,81.49,81.89,80.12,80.54,1848556.0
2016-02-12,81.73,82.0,80.55,81.01,1348027.0
2016-02-13,81.73,82.0,80.55,81.01,1348027.0
2016-02-14,81.73,82.0,80.55,81.01,1348027.0
2016-02-15,81.73,82.0,80.55,81.01,1348027.0
2016-02-16,83.34,83.9989,82.04,82.73,976171.0
2016-02-17,83.49,85.64,83.45,83.69,1786643.0
2016-02-18,83.76,85.98,83.24,85.17,1545362.0
2016-02-19,84.76,87.69,84.3,87.32,2733578.0
2016-02-20,84.76,87.69,84.3,87.32,2733578.0
2016-02-21,84.76,87.69,84.3,87.32,2733578.0
2016-02-22,88.19,90.3,88.09,90.1,1462215.0
2016-02-23,89.33,91.25,88.11,88.64,1146783.0
2016-02-24,88.0,88.77,87.07,88.51,559349.0
2016-02-25,89.2,90.28,89.2,90.04,816110.0
2016-02-26,89.98,90.61,89.31,89.34,901692.0
2016-02-27,89.98,90.61,89.31,89.34,901692.0
2016-02-28,89.98,90.61,89.31,89.34,901692.0
2016-02-29,89.44,89.98,87.98,88.18,1337146.0
2016-03-01,89.01,93.39,88.93,93.37,1178697.0
2016-03-02,93.06,94.33,92.44,94.31,804669.0
2016-03-03,94.42,95.43,93.84,95.33,1160883.0
2016-03-04,95.28,95.62,94.33,94.98,1623839.0
2016-03-05,95.28,95.62,94.33,94.98,1623839.0
2016-03-06,95.28,95.62,94.33,94.98,1623839.0
2016-03-07,94.42,94.68,93.24,93.84,951538.0
2016-03-08,93.51,93.965,90.79,91.1,1015743.0
2016-03-09,91.53,93.48,91.03,92.63,872521.0
2016-03-10,93.5,93.5,91.5,92.54,651819.0
2016-03-11,94.36,95.03,92.9,94.89,809908.0
2016-03-12,94.36,95.03,92.9,94.89,809908.0
2016-03-13,94.36,95.03,92.9,94.89,809908.0
2016-03-14,94.4,96.76,93.61,94.3,548343.0
2016-03-15,93.5,93.88,92.25,92.75,864677.0
2016-03-16,92.14,95.46,92.09,95.25,1053443.0
2016-03-17,95.46,97.08,95.0,96.5,851307.0
2016-03-18,96.48,96.86,94.73,94.75,954818.0
2016-03-19,96.48,96.86,94.73,94.75,954818.0
2016-03-20,96.48,96.86,94.73,94.75,954818.0
2016-03-21,95.32,96.23,94.67,96.1,1011611.0
2016-03-22,95.25,96.69,95.1,96.17,951293.0
2016-03-23,95.89,96.44,94.53,94.53,900099.0
2016-03-24,93.7,94.38,92.51,94.27,961088.0
2016-03-25,93.7,94.38,92.51,94.27,961088.0
2016-03-26,93.7,94.38,92.51,94.27,961088.0
2016-03-27,93.7,94.38,92.51,94.27,961088.0
2016-03-28,94.48,95.05,93.21799999999999,94.2,550461.0
2016-03-29,93.55,96.96,93.42,96.24,871073.0
2016-03-30,96.67,97.21,95.72,95.86,546109.0
2016-03-31,95.7,97.13,95.46,96.88,1423468.0
