Date,Open,High,Low,Close,Volume
2016-01-04,54.22,55.11,53.13,53.84,1482914.0
2016-01-04,54.22,55.11,53.13,53.84,1482914.0
2016-01-04,54.22,55.11,53.13,53.84,1482914.0
2016-01-04,54.22,55.11,53.13,53.84,1482914.0
2016-01-05,53.97,54.29,53.3,53.4,1080985.0
2016-01-06,52.47,53.2,51.33,51.9,1859148.0
2016-01-07,50.95,52.65,50.81,52.15,1308868.0
2016-01-08,52.47,54.12,52.29,53.56,2033624.0
2016-01-09,52.47,54.12,52.29,53.56,2033624.0
2016-01-10,52.47,54.12,52.29,53.56,2033624.0
2016-01-11,53.89,55.22,52.9,53.78,1858006.0
2016-01-12,54.05,54.92,53.685,54.48,1308138.0
2016-01-13,54.63,55.24,53.82,54.6,1829401.0
2016-01-14,54.73,57.3,54.6,57.1,2015484.0
2016-01-15,56.4,56.4,54.94,56.0,1279923.0
2016-01-16,56.4,56.4,54.94,56.0,1279923.0
2016-01-17,56.4,56.4,54.94,56.0,1279923.0
2016-01-18,56.4,56.4,54.94,56.0,1279923.0
2016-01-19,56.87,57.38,55.325,55.62,1148936.0
2016-01-20,54.68,56.77,53.73,56.16,1321873.0
2016-01-21,56.13,58.22,55.39,57.37,1314665.0
2016-01-22,58.14,59.2,58.03,59.04,1010013.0
2016-01-23,58.14,59.2,58.03,59.04,1010013.0
2016-01-24,58.14,59.2,58.03,59.04,1010013.0
2016-01-25,58.9,59.0,58.21,58.61,928521.0
2016-01-26,58.61,60.6,58.54,60.6,1140099.0
2016-01-27,60.18,61.56,59.69,60.05,1074732.0
2016-01-28,60.4,60.565,58.78,59.31,1129848.0
2016-01-29,59.67,60.97,59.54,60.97,1521423.0
2016-01-30,59.67,60.97,59.54,60.97,1521423.0
2016-01-31,59.67,60.97,59.54,60.97,1521423.0
2016-02-01,60.79,62.52,60.03,62.1,1463815.0
2016-02-02,61.7,61.7,59.9,60.12,1103009.0
2016-02-03,60.54,61.61,60.13,61.37,1970227.0
2016-02-04,61.54,63.73,61.31,61.69,1957176.0
2016-02-05,61.48,62.2,60.75,61.53,1939916.0
2016-02-06,61.48,62.2,60.75,61.53,1939916.0
2016-02-07,61.48,62.2,60.75,61.53,1939916.0
2016-02-08,60.65,60.98,57.86,59.52,1658927.0
2016-02-09,58.44,58.46,54.87,55.0,2705742.0
2016-02-10,53.98,54.85,52.0,53.92,2815711.0
2016-02-11,53.08,53.79,52.205,53.13,2036948.0
2016-02-12,53.69,54.035,52.65,53.72,1160626.0
2016-02-13,53.69,54.035,52.65,53.72,1160626.0
2016-02-14,53.69,54.035,52.65,53.72,1160626.0
2016-02-15,53.69,54.035,52.65,53.72,1160626.0
2016-02-16,54.28,54.52,52.62,53.81,2208375.0
2016-02-17,54.2,56.06,54.2,55.91,1529830.0
2016-02-18,55.88,56.51,54.095,55.32,1172467.0
2016-02-19,55.3,55.82,54.45,55.13,850511.0
2016-02-20,55.3,55.82,54.45,55.13,850511.0
2016-02-21,55.3,55.82,54.45,55.13,850511.0
2016-02-22,55.5,56.84,55.47,55.83,2418450.0
2016-02-23,57.13,59.4,56.34,58.04,2856343.0
2016-02-24,58.0,58.3,56.56,57.95,1780156.0
2016-02-25,57.86,58.27,57.05,57.8,1552863.0
2016-02-26,58.09,59.58,57.878,59.41,1343843.0
2016-02-27,58.09,59.58,57.878,59.41,1343843.0
2016-02-28,58.09,59.58,57.878,59.41,1343843.0
2016-02-29,59.58,60.6,59.0,59.24,1270081.0
