Date,Open,High,Low,Close,Volume
2016-01-04,192.31,192.9,190.2788,192.34,1445532.0
2016-01-04,192.31,192.9,190.2788,192.34,1445532.0
2016-01-04,192.31,192.9,190.2788,192.34,1445532.0
2016-01-04,192.31,192.9,190.2788,192.34,1445532.0
2016-01-05,193.0,196.76,192.63,196.17,1236543.0
2016-01-06,194.69,196.52,194.67,195.69,941752.0
2016-01-07,192.92,193.84,191.39,191.56,1285764.0
2016-01-08,191.75,192.85,185.6,186.1,1397759.0
2016-01-09,191.75,192.85,185.6,186.1,1397759.0
2016-01-10,191.75,192.85,185.6,186.1,1397759.0
2016-01-11,187.22,187.94,185.75,186.71,1211432.0
2016-01-12,187.46,187.46,184.57,185.54,1380016.0
2016-01-13,185.79,189.3,183.85,184.27,1262226.0
2016-01-14,184.71,187.93,183.55,185.66,1376302.0
2016-01-15,182.34,185.1,180.87,184.17,2417878.0
2016-01-16,182.34,185.1,180.87,184.17,2417878.0
2016-01-17,182.34,185.1,180.87,184.17,2417878.0
2016-01-18,182.34,185.1,180.87,184.17,2417878.0
2016-01-19,186.0,187.23,184.73,186.4,1138595.0
2016-01-20,184.82,185.12,178.04,180.64,2188753.0
2016-01-21,182.76,184.04,180.11,182.7,1456765.0
2016-01-22,185.1,188.13,184.52,187.32,1208931.0
2016-01-23,185.1,188.13,184.52,187.32,1208931.0
2016-01-24,185.1,188.13,184.52,187.32,1208931.0
2016-01-25,187.37,189.06,185.05,185.15,1239076.0
2016-01-26,185.62,190.14,185.03,190.14,1420443.0
2016-01-27,189.5,189.5,184.84,186.04,1495327.0
2016-01-28,187.11,188.59,185.61,186.79,1282752.0
2016-01-29,189.23,189.61,177.55,186.28,3488399.0
2016-01-30,189.23,189.61,177.55,186.28,3488399.0
2016-01-31,189.23,189.61,177.55,186.28,3488399.0
2016-02-01,185.58,189.5,185.47,187.93,1525247.0
2016-02-02,188.09,188.42,184.93,186.11,1450893.0
2016-02-03,187.21,188.78,184.38,188.3,1388074.0
2016-02-04,187.96,188.68,186.05,187.58,1190966.0
2016-02-05,186.23,187.11,182.85,183.98,1447701.0
2016-02-06,186.23,187.11,182.85,183.98,1447701.0
2016-02-07,186.23,187.11,182.85,183.98,1447701.0
2016-02-08,184.55,184.55,178.65,182.48,1839276.0
2016-02-09,179.95,181.18,176.105,178.93,2102581.0
2016-02-10,177.81,182.96,177.81,181.21,1446290.0
2016-02-11,178.53,182.25,178.13,181.49,1943210.0
2016-02-12,183.42,184.67,181.44,183.53,1633154.0
2016-02-13,183.42,184.67,181.44,183.53,1633154.0
2016-02-14,183.42,184.67,181.44,183.53,1633154.0
2016-02-15,183.42,184.67,181.44,183.53,1633154.0
2016-02-16,185.65,187.05,183.55,186.35,1538790.0
2016-02-17,187.97,189.49,187.0403,187.11,1302407.0
2016-02-18,186.52,189.98,186.43,189.26,863792.0
2016-02-19,187.98,190.04,186.42,189.45,1340962.0
2016-02-20,187.98,190.04,186.42,189.45,1340962.0
2016-02-21,187.98,190.04,186.42,189.45,1340962.0
2016-02-22,190.69,192.43,188.9501,189.43,1122468.0
2016-02-23,189.36,191.71,189.06,189.68,832359.0
2016-02-24,188.96,190.36,186.94,189.17,776138.0
2016-02-25,190.67,192.15,189.91,191.94,897441.0
2016-02-26,192.03,192.91,190.35,190.4,979312.0
2016-02-27,192.03,192.91,190.35,190.4,979312.0
2016-02-28,192.03,192.91,190.35,190.4,979312.0
2016-02-29,190.79,192.82,189.03,189.73,1734226.0
2016-03-01,190.77,194.66,190.7,194.56,1226205.0
2016-03-02,194.38,195.73,193.67,195.29,1099484.0
2016-03-03,196.27,197.55,193.35,197.41,1366088.0
2016-03-04,197.27,198.59,195.33,198.52,1501362.0
2016-03-05,197.27,198.59,195.33,198.52,1501362.0
2016-03-06,197.27,198.59,195.33,198.52,1501362.0
2016-03-07,198.06,200.08,197.25,199.65,1193096.0
2016-03-08,198.32,199.47,197.04,197.69,997528.0
2016-03-09,198.14,199.47,197.35,197.77,1000612.0
2016-03-10,198.87,199.88,195.9913,198.02,1028997.0
2016-03-11,200.52,201.31,198.18,201.31,1527735.0
2016-03-12,200.52,201.31,198.18,201.31,1527735.0
2016-03-13,200.52,201.31,198.18,201.31,1527735.0
2016-03-14,200.26,201.57,197.64,199.09,1433873.0
2016-03-15,198.38,199.93599999999998,198.08,199.64,889440.0
2016-03-16,198.76,201.27,197.17,200.54,915023.0
2016-03-17,200.79,206.0,200.04,205.13,1702287.0
2016-03-18,205.05,206.88,203.44,204.96,2486800.0
2016-03-19,205.05,206.88,203.44,204.96,2486800.0
2016-03-20,205.05,206.88,203.44,204.96,2486800.0
2016-03-21,205.58,205.78,202.37,203.0,1082644.0
2016-03-22,202.56,203.4,201.39,202.37,1011686.0
2016-03-23,201.08,203.18,200.91,201.5,1068151.0
2016-03-24,200.37,201.73,199.78,201.44,731640.0
2016-03-25,200.37,201.73,199.78,201.44,731640.0
2016-03-26,200.37,201.73,199.78,201.44,731640.0
2016-03-27,200.37,201.73,199.78,201.44,731640.0
2016-03-28,201.94,203.73,200.95,203.07,625802.0
2016-03-29,203.82,207.06,203.52,206.94,1085093.0
2016-03-30,207.38,207.68,205.65,205.73,929199.0
2016-03-31,206.24,208.12,205.93,207.69,1439288.0
2016-04-01,207.5,209.92,206.9,209.1,1256834.0
2016-04-02,207.5,209.92,206.9,209.1,1256834.0
2016-04-03,207.5,209.92,206.9,209.1,1256834.0
2016-04-04,209.43,210.41,207.42,208.76,823381.0
2016-04-05,207.97,208.51,206.61,207.05,966881.0
2016-04-06,206.43,208.95,205.89,208.66,939420.0
2016-04-07,208.52,208.87,205.58,206.79,902294.0
2016-04-08,207.32,208.16,206.73,207.1,1050045.0
2016-04-09,207.32,208.16,206.73,207.1,1050045.0
2016-04-10,207.32,208.16,206.73,207.1,1050045.0
2016-04-11,207.99,208.17,206.62,206.68,943091.0
2016-04-12,207.28,208.94,206.66,208.11,885868.0
2016-04-13,209.15,209.15,206.7,207.64,795168.0
2016-04-14,207.72,208.37,205.8,207.95,1033629.0
2016-04-15,207.76,208.21,206.06,207.87,1066654.0
2016-04-16,207.76,208.21,206.06,207.87,1066654.0
2016-04-17,207.76,208.21,206.06,207.87,1066654.0
2016-04-18,208.14,209.428,207.44,209.07,861118.0
2016-04-19,209.42,209.45,208.0,208.26,1007625.0
2016-04-20,206.5,207.05,203.35,203.72,2636946.0
2016-04-21,203.56,204.48,199.105,199.29,1704563.0
2016-04-22,199.79,202.69,199.79,202.14,1397773.0
2016-04-23,199.79,202.69,199.79,202.14,1397773.0
2016-04-24,199.79,202.69,199.79,202.14,1397773.0
2016-04-25,201.65,203.67,201.17,203.67,1245468.0
2016-04-26,204.41,204.61,202.03,203.95,1439004.0
2016-04-27,204.72,205.47,202.88,204.57,1407795.0
2016-04-28,202.97,205.17,202.92,203.66,759610.0
2016-04-29,203.0,203.37,200.12,201.17,1504907.0
2016-04-30,203.0,203.37,200.12,201.17,1504907.0
2016-05-01,203.0,203.37,200.12,201.17,1504907.0
2016-05-02,202.78,205.0,202.68,204.52,873098.0
2016-05-03,203.27,205.09,203.17,204.96,758071.0
2016-05-04,203.27,207.81,203.27,207.62,1107759.0
2016-05-05,206.62,208.53,205.95,208.44,1105986.0
2016-05-06,208.25,210.88,207.73,210.82,1090950.0
2016-05-07,208.25,210.88,207.73,210.82,1090950.0
2016-05-08,208.25,210.88,207.73,210.82,1090950.0
2016-05-09,210.7,213.09,209.3,213.04,1206139.0
2016-05-10,213.69,214.8,213.09,213.92,1133522.0
2016-05-11,213.43,213.47,202.3,203.24,4023117.0
2016-05-12,204.01,205.33,199.75,204.04,3068265.0
2016-05-13,200.8,200.8,195.12,196.49,3369654.0
2016-05-14,200.8,200.8,195.12,196.49,3369654.0
2016-05-15,200.8,200.8,195.12,196.49,3369654.0
2016-05-16,196.53,200.23,195.47,199.38,1797407.0
2016-05-17,198.15,199.18,194.35,195.47,1921894.0
2016-05-18,194.64,195.87,190.82,193.49,2431764.0
2016-05-19,191.97,194.26,191.25,193.85,1913875.0
2016-05-20,194.92,196.87,194.04,195.13,2266908.0
2016-05-21,194.92,196.87,194.04,195.13,2266908.0
2016-05-22,194.92,196.87,194.04,195.13,2266908.0
2016-05-23,195.45,196.76,194.18,195.75,1280977.0
2016-05-24,196.88,199.41,196.25,197.63,1493436.0
2016-05-25,197.94,198.38,194.77,196.09,1531767.0
2016-05-26,196.29,198.1475,195.0,197.13,843088.0
2016-05-27,197.19,198.58,196.68,197.77,886780.0
2016-05-28,197.19,198.58,196.68,197.77,886780.0
2016-05-29,197.19,198.58,196.68,197.77,886780.0
2016-05-30,197.19,198.58,196.68,197.77,886780.0
2016-05-31,198.75,198.89,196.07,197.64,1475068.0
2016-06-01,196.59,199.26,196.59,198.26,1205030.0
2016-06-02,197.26,198.3,196.11,197.4,1115031.0
2016-06-03,198.65,199.82,197.62,199.49,1374782.0
2016-06-04,198.65,199.82,197.62,199.49,1374782.0
2016-06-05,198.65,199.82,197.62,199.49,1374782.0
2016-06-06,199.93,201.415,197.53,198.67,1370028.0
2016-06-07,198.67,200.87,198.65,199.51,882103.0
2016-06-08,199.36,201.88,199.01,201.45,1211584.0
2016-06-09,201.3,202.75,200.01,201.65,824899.0
2016-06-10,200.77,201.82,199.81,200.26,830176.0
2016-06-11,200.77,201.82,199.81,200.26,830176.0
2016-06-12,200.77,201.82,199.81,200.26,830176.0
2016-06-13,200.82,202.53,199.95,201.73,999155.0
2016-06-14,201.41,204.3,200.93,202.82,1257618.0
2016-06-15,203.17,205.3,203.17,204.22,1261316.0
2016-06-16,203.73,206.35,202.8,206.21,842038.0
2016-06-17,206.08,206.08,203.62,205.89,1452729.0
2016-06-18,206.08,206.08,203.62,205.89,1452729.0
2016-06-19,206.08,206.08,203.62,205.89,1452729.0
2016-06-20,207.91,209.77,206.44,206.96,1214391.0
2016-06-21,207.27,208.94,207.01,208.43,1190807.0
2016-06-22,209.01,209.5,207.74,208.59,1087913.0
2016-06-23,209.78,210.43900000000002,208.47,209.09,730148.0
2016-06-24,204.58,208.82,203.01,206.5,1733901.0
2016-06-25,204.58,208.82,203.01,206.5,1733901.0
2016-06-26,204.58,208.82,203.01,206.5,1733901.0
2016-06-27,205.44,208.1143,203.88,207.95,1785978.0
2016-06-28,209.21,213.22,208.0,213.09,1732033.0
2016-06-29,213.9,216.14,212.925,214.93,1575635.0
2016-06-30,215.73,217.17,213.9,216.9,2072952.0
2016-07-01,217.53,218.945,216.52,217.14,1047904.0
2016-07-02,217.53,218.945,216.52,217.14,1047904.0
2016-07-03,217.53,218.945,216.52,217.14,1047904.0
