Date,Open,High,Low,Close,Volume
2016-01-04,9.35,9.53,9.25,9.52,8084436.0
2016-01-04,9.35,9.53,9.25,9.52,8084436.0
2016-01-04,9.35,9.53,9.25,9.52,8084436.0
2016-01-04,9.35,9.53,9.25,9.52,8084436.0
2016-01-05,9.53,9.73,9.44,9.7,8683432.0
2016-01-06,9.58,9.8,9.425,9.56,10757752.0
2016-01-07,9.39,9.86,9.342,9.83,13166062.0
2016-01-08,9.81,9.88,9.46,9.51,13221632.0
2016-01-09,9.81,9.88,9.46,9.51,13221632.0
2016-01-10,9.81,9.88,9.46,9.51,13221632.0
2016-01-11,9.59,9.75,9.25,9.45,7668616.0
2016-01-12,9.45,9.72,9.26,9.44,7715888.0
2016-01-13,9.44,9.58,9.255,9.3,9975485.0
2016-01-14,9.27,9.43,8.99,9.14,8404531.0
2016-01-15,8.94,9.12,8.83,9.03,7570095.0
2016-01-16,8.94,9.12,8.83,9.03,7570095.0
2016-01-17,8.94,9.12,8.83,9.03,7570095.0
2016-01-18,8.94,9.12,8.83,9.03,7570095.0
2016-01-19,9.19,9.19,8.7,8.81,11383429.0
2016-01-20,8.7,8.87,8.29,8.82,12565106.0
2016-01-21,8.84,9.14,8.78,8.965,9586058.0
2016-01-22,9.1,9.2,8.78,8.91,7387117.0
2016-01-23,9.1,9.2,8.78,8.91,7387117.0
2016-01-24,9.1,9.2,8.78,8.91,7387117.0
2016-01-25,8.9,9.03,8.65,8.68,5766318.0
2016-01-26,8.68,8.95,8.67,8.81,7037216.0
2016-01-27,8.83,9.07,8.72,8.9,4587552.0
2016-01-28,8.92,8.99,8.67,8.73,7981395.0
2016-01-29,8.77,8.97,8.71,8.92,9423485.0
2016-01-30,8.77,8.97,8.71,8.92,9423485.0
2016-01-31,8.77,8.97,8.71,8.92,9423485.0
2016-02-01,8.87,8.89,8.72,8.82,6861944.0
2016-02-02,8.72,8.79,8.49,8.55,5597788.0
2016-02-03,8.61,8.69,8.33,8.68,7207579.0
2016-02-04,8.7,8.96,8.62,8.74,9673525.0
2016-02-05,8.73,9.04,8.72,8.92,6705852.0
2016-02-06,8.73,9.04,8.72,8.92,6705852.0
2016-02-07,8.73,9.04,8.72,8.92,6705852.0
2016-02-08,8.84,8.9,8.48,8.555,6812801.0
2016-02-09,8.51,8.6,8.35,8.4,7750318.0
2016-02-10,8.68,8.73,8.38,8.41,7714527.0
2016-02-11,8.67,8.67,8.035,8.19,5453777.0
2016-02-12,8.23,8.41,8.1,8.32,6004896.0
2016-02-13,8.23,8.41,8.1,8.32,6004896.0
2016-02-14,8.23,8.41,8.1,8.32,6004896.0
2016-02-15,8.23,8.41,8.1,8.32,6004896.0
2016-02-16,8.42,8.87,8.37,8.85,8195137.0
2016-02-17,9.06,9.35,9.02,9.16,8545320.0
2016-02-18,9.16,9.55,9.13,9.53,9035847.0
2016-02-19,9.52,9.59,9.37,9.48,11021622.0
2016-02-20,9.52,9.59,9.37,9.48,11021622.0
2016-02-21,9.52,9.59,9.37,9.48,11021622.0
2016-02-22,9.58,9.7,9.35,9.49,4644843.0
2016-02-23,9.46,9.58,9.23,9.28,6149288.0
2016-02-24,9.27,9.31,8.98,9.19,10070743.0
2016-02-25,9.18,9.455,9.07,9.41,7073690.0
2016-02-26,9.54,9.56,9.335,9.49,6871433.0
2016-02-27,9.54,9.56,9.335,9.49,6871433.0
2016-02-28,9.54,9.56,9.335,9.49,6871433.0
2016-02-29,9.49,9.6,9.36,9.45,6252401.0
2016-03-01,9.54,9.75,9.45,9.66,4794180.0
2016-03-02,9.58,9.8,9.58,9.7,5128235.0
2016-03-03,9.68,9.91,9.63,9.87,6080140.0
2016-03-04,9.48,9.88,9.28,9.6,9389544.0
2016-03-05,9.48,9.88,9.28,9.6,9389544.0
2016-03-06,9.48,9.88,9.28,9.6,9389544.0
2016-03-07,9.52,9.81,9.5,9.62,8048676.0
2016-03-08,9.65,9.84,9.49,9.5,10735027.0
2016-03-09,9.54,9.74,9.48,9.59,6157823.0
2016-03-10,9.6,9.65,9.32,9.52,5055887.0
2016-03-11,9.61,9.75,9.54,9.75,5724909.0
2016-03-12,9.61,9.75,9.54,9.75,5724909.0
2016-03-13,9.61,9.75,9.54,9.75,5724909.0
2016-03-14,9.7,9.7801,9.62,9.65,5464586.0
2016-03-15,9.64,9.765,9.51,9.6,6124280.0
2016-03-16,9.67,9.7806,9.5,9.69,6616159.0
2016-03-17,9.81,10.13,9.78,9.89,16328433.0
2016-03-18,9.92,10.055,9.825,10.0,13735032.0
2016-03-19,9.92,10.055,9.825,10.0,13735032.0
2016-03-20,9.92,10.055,9.825,10.0,13735032.0
2016-03-21,10.02,10.13,9.68,9.69,9306287.0
2016-03-22,9.51,10.39,9.51,10.3,13403874.0
2016-03-23,10.2,10.43,9.85,10.05,9317633.0
2016-03-24,10.62,11.06,10.52,10.755,20345005.0
2016-03-25,10.62,11.06,10.52,10.755,20345005.0
2016-03-26,10.62,11.06,10.52,10.755,20345005.0
2016-03-27,10.62,11.06,10.52,10.755,20345005.0
2016-03-28,10.8,11.05,10.73,10.9,13609382.0
2016-03-29,10.74,11.25,10.71,11.1,15476585.0
2016-03-30,11.25,11.3,10.97,11.01,9147032.0
2016-03-31,10.98,11.13,10.86,11.03,9263513.0
2016-04-01,10.97,11.22,10.85,11.18,7843842.0
