Date,Open,High,Low,Close,Volume
2016-01-04,25.02,25.06,24.55,24.85,1725038.0
2016-01-04,25.02,25.06,24.55,24.85,1725038.0
2016-01-04,25.02,25.06,24.55,24.85,1725038.0
2016-01-04,25.02,25.06,24.55,24.85,1725038.0
2016-01-05,24.87,25.06,24.56,24.66,1617923.0
2016-01-06,24.23,24.785,24.16,24.55,2125263.0
2016-01-07,24.0,24.23,23.6902,23.8,1371915.0
2016-01-08,24.03,24.11,23.45,23.5,1329193.0
2016-01-09,24.03,24.11,23.45,23.5,1329193.0
2016-01-10,24.03,24.11,23.45,23.5,1329193.0
2016-01-11,23.61,23.64,22.755,23.09,1875811.0
2016-01-12,23.33,23.94,23.2914,23.64,2063582.0
2016-01-13,23.73,23.8,22.55,22.87,3323210.0
2016-01-14,22.95,24.63,22.55,24.29,4383447.0
2016-01-15,23.56,24.19,23.56,24.02,3523420.0
2016-01-16,23.56,24.19,23.56,24.02,3523420.0
2016-01-17,23.56,24.19,23.56,24.02,3523420.0
2016-01-18,23.56,24.19,23.56,24.02,3523420.0
2016-01-19,24.38,24.38,22.97,23.2,2375845.0
2016-01-20,22.84,23.05,21.78,22.83,2473688.0
2016-01-21,22.94,23.21,22.55,22.8,2083437.0
2016-01-22,23.3,23.54,23.13,23.42,1493339.0
2016-01-23,23.3,23.54,23.13,23.42,1493339.0
2016-01-24,23.3,23.54,23.13,23.42,1493339.0
2016-01-25,23.45,23.583000000000002,23.22,23.27,1769044.0
2016-01-26,23.3,23.515,23.15,23.48,2506898.0
2016-01-27,23.46,24.0,23.315,23.53,2362120.0
2016-01-28,23.63,23.65,22.68,23.05,2638330.0
2016-01-29,23.17,24.01,23.17,24.01,1748849.0
2016-01-30,23.17,24.01,23.17,24.01,1748849.0
2016-01-31,23.17,24.01,23.17,24.01,1748849.0
2016-02-01,23.89,24.4,23.61,24.24,2742475.0
2016-02-02,24.77,24.86,23.245,23.34,1742967.0
2016-02-03,23.53,23.75,22.87,23.53,1778834.0
2016-02-04,23.96,24.0299,23.32,23.49,1417515.0
2016-02-05,23.33,23.45,22.92,23.02,1934173.0
2016-02-06,23.33,23.45,22.92,23.02,1934173.0
2016-02-07,23.33,23.45,22.92,23.02,1934173.0
2016-02-08,22.69,22.72,21.485,21.91,2668606.0
2016-02-09,21.35,21.82,21.13,21.37,1874398.0
2016-02-10,21.5,22.115,21.1899,21.7,1752746.0
2016-02-11,21.27,21.825,21.11,21.68,1900288.0
2016-02-12,21.95,22.25,21.67,22.17,2656451.0
2016-02-13,21.95,22.25,21.67,22.17,2656451.0
2016-02-14,21.95,22.25,21.67,22.17,2656451.0
2016-02-15,21.95,22.25,21.67,22.17,2656451.0
2016-02-16,22.61,23.38,22.32,23.21,3335316.0
2016-02-17,23.57,24.715,23.53,24.24,2253024.0
2016-02-18,24.18,24.38,23.68,23.68,2172642.0
2016-02-19,23.63,24.0,23.32,23.91,1428559.0
2016-02-20,23.63,24.0,23.32,23.91,1428559.0
2016-02-21,23.63,24.0,23.32,23.91,1428559.0
2016-02-22,24.22,24.75,24.22,24.72,1180301.0
2016-02-23,24.67,24.67,24.29,24.37,994797.0
2016-02-24,24.05,24.19,23.49,24.15,1673030.0
2016-02-25,24.25,24.28,23.68,24.13,923885.0
2016-02-26,24.3,24.5,24.09,24.28,971295.0
2016-02-27,24.3,24.5,24.09,24.28,971295.0
2016-02-28,24.3,24.5,24.09,24.28,971295.0
2016-02-29,24.34,25.06,24.26,24.64,2447545.0
2016-03-01,24.75,24.98,24.26,24.74,2551534.0
2016-03-02,24.55,24.98,24.38,24.6,1404169.0
2016-03-03,24.57,25.3,24.49,25.08,1400699.0
2016-03-04,25.24,25.38,24.69,24.87,1630343.0
2016-03-05,25.24,25.38,24.69,24.87,1630343.0
2016-03-06,25.24,25.38,24.69,24.87,1630343.0
2016-03-07,24.73,24.94,24.55,24.81,1371838.0
2016-03-08,24.53,24.62,23.7,24.0,1413650.0
2016-03-09,24.22,24.77,24.205,24.57,1129720.0
2016-03-10,24.62,24.77,24.11,24.58,1279850.0
2016-03-11,24.75,24.94,24.58,24.71,1862614.0
2016-03-12,24.75,24.94,24.58,24.71,1862614.0
2016-03-13,24.75,24.94,24.58,24.71,1862614.0
2016-03-14,24.62,24.82,23.41,24.24,2822561.0
2016-03-15,23.95,24.05,23.215,23.29,1603088.0
2016-03-16,23.21,23.87,23.11,23.83,1267664.0
2016-03-17,23.85,24.145,23.68,24.01,1279001.0
2016-03-18,24.08,24.48,23.99,24.14,2169810.0
2016-03-19,24.08,24.48,23.99,24.14,2169810.0
2016-03-20,24.08,24.48,23.99,24.14,2169810.0
2016-03-21,24.14,24.26,23.77,23.98,1328592.0
2016-03-22,23.79,24.27,23.7325,24.15,1157669.0
2016-03-23,24.06,24.22,23.76,23.79,1388425.0
2016-03-24,23.55,23.55,23.18,23.37,1376342.0
2016-03-25,23.55,23.55,23.18,23.37,1376342.0
2016-03-26,23.55,23.55,23.18,23.37,1376342.0
2016-03-27,23.55,23.55,23.18,23.37,1376342.0
2016-03-28,23.5,23.64,23.24,23.5,1097299.0
2016-03-29,23.49,24.02,23.22,23.98,1155569.0
2016-03-30,24.13,24.13,23.62,23.7,893065.0
2016-03-31,23.62,23.74,23.4,23.46,2182017.0
2016-04-01,22.51,22.92,21.46,22.81,3560758.0
2016-04-02,22.51,22.92,21.46,22.81,3560758.0
2016-04-03,22.51,22.92,21.46,22.81,3560758.0
2016-04-04,22.89,23.55,22.31,22.38,2605257.0
2016-04-05,22.15,22.42,22.02,22.25,1928231.0
2016-04-06,22.28,23.01,22.24,22.96,1476732.0
2016-04-07,22.83,23.03,22.3,22.47,2731580.0
2016-04-08,22.73,23.02,22.58,22.68,1097850.0
2016-04-09,22.73,23.02,22.58,22.68,1097850.0
2016-04-10,22.73,23.02,22.58,22.68,1097850.0
2016-04-11,22.81,23.07,22.73,22.73,1250957.0
