Date,Open,High,Low,Close,Volume
2016-01-04,69.89,70.87,69.565,70.83,3758783.0
2016-01-04,69.89,70.87,69.565,70.83,3758783.0
2016-01-04,69.89,70.87,69.565,70.83,3758783.0
2016-01-04,69.89,70.87,69.565,70.83,3758783.0
2016-01-05,70.84,71.98,70.58,71.94,4213156.0
2016-01-06,70.68,71.385,69.61,70.09,4453644.0
2016-01-07,69.0,70.82,69.0,69.99,4826334.0
2016-01-08,70.23,70.49,66.76,66.93,6094289.0
2016-01-09,70.23,70.49,66.76,66.93,6094289.0
2016-01-10,70.23,70.49,66.76,66.93,6094289.0
2016-01-11,67.1,68.08,67.0,67.8,3867963.0
2016-01-12,68.81,69.71,68.01,68.92,2774528.0
2016-01-13,69.22,69.24,67.64,67.69,3084948.0
2016-01-14,67.7,69.24,66.99,68.47,3371674.0
2016-01-15,66.485,67.98,66.485,67.51,3923095.0
2016-01-16,66.485,67.98,66.485,67.51,3923095.0
2016-01-17,66.485,67.98,66.485,67.51,3923095.0
2016-01-18,66.485,67.98,66.485,67.51,3923095.0
2016-01-19,68.17,68.67,67.42,68.14,3281826.0
2016-01-20,67.35,68.1,65.64,67.45,3749103.0
2016-01-21,67.3,68.18,66.78,67.85,3822097.0
2016-01-22,68.72,69.78,68.59,68.95,3324963.0
2016-01-23,68.72,69.78,68.59,68.95,3324963.0
2016-01-24,68.72,69.78,68.59,68.95,3324963.0
2016-01-25,69.07,69.32,68.23,68.76,2408766.0
2016-01-26,68.87,70.16,68.64,69.69,2226912.0
2016-01-27,69.7,70.4,68.84,69.19,2242171.0
2016-01-28,69.55,69.61,68.77,69.39,1910809.0
2016-01-29,69.87,71.54,69.51,71.24,4048485.0
2016-01-30,69.87,71.54,69.51,71.24,4048485.0
2016-01-31,69.87,71.54,69.51,71.24,4048485.0
2016-02-01,70.94,72.49,70.47,72.21,3187013.0
2016-02-02,72.91,73.38,72.311,72.85,3616175.0
2016-02-03,73.15,73.29,71.0,71.98,3161504.0
2016-02-04,70.87,71.52,69.72,70.76,3125436.0
2016-02-05,71.31,71.53,67.9,67.96,4602587.0
2016-02-06,71.31,71.53,67.9,67.96,4602587.0
2016-02-07,71.31,71.53,67.9,67.96,4602587.0
2016-02-08,67.47,68.3,66.8184,68.02,4369788.0
2016-02-09,67.53,70.22,67.52,69.65,4565738.0
2016-02-10,70.25,70.97,69.28,69.38,2697381.0
2016-02-11,68.17,69.3999,67.41,67.91,3591083.0
2016-02-12,68.82,69.94,67.81,69.87,3218951.0
2016-02-13,68.82,69.94,67.81,69.87,3218951.0
2016-02-14,68.82,69.94,67.81,69.87,3218951.0
2016-02-15,68.82,69.94,67.81,69.87,3218951.0
2016-02-16,71.04,71.82,70.33,71.37,3925184.0
2016-02-17,71.6,72.37,71.39,71.79,3428316.0
2016-02-18,71.6,72.0,70.76,71.61,2943695.0
2016-02-19,70.89,71.7,70.245,71.59,2965253.0
2016-02-20,70.89,71.7,70.245,71.59,2965253.0
2016-02-21,70.89,71.7,70.245,71.59,2965253.0
2016-02-22,72.39,73.33,72.02,73.03,3686913.0
2016-02-23,73.03,73.57,72.21,72.69,4605326.0
2016-02-24,73.18,74.65,71.74,74.24,9287513.0
2016-02-25,73.95,75.14,73.23,75.08,5059751.0
2016-02-26,75.01,75.83,74.34,75.64,6114257.0
2016-02-27,75.01,75.83,74.34,75.64,6114257.0
2016-02-28,75.01,75.83,74.34,75.64,6114257.0
2016-02-29,75.49,75.74,74.06,74.1,4593732.0
2016-03-01,74.36,75.5,74.08,75.47,2872570.0
2016-03-02,75.15,75.75,74.655,75.44,2244602.0
2016-03-03,75.08,75.24,74.0,75.22,2860340.0
2016-03-04,75.22,75.7436,74.52,75.4,3195650.0
2016-03-05,75.22,75.7436,74.52,75.4,3195650.0
2016-03-06,75.22,75.7436,74.52,75.4,3195650.0
2016-03-07,75.23,76.19,74.97,75.37,3614103.0
2016-03-08,75.18,76.04,75.05,75.39,2442189.0
2016-03-09,75.72,75.76,74.68,74.95,1881523.0
2016-03-10,75.55,75.76,74.44,75.5,2314755.0
2016-03-11,75.74,76.12,74.91,75.49,2819657.0
2016-03-12,75.74,76.12,74.91,75.49,2819657.0
2016-03-13,75.74,76.12,74.91,75.49,2819657.0
2016-03-14,75.6,76.125,75.44,75.88,2263350.0
2016-03-15,75.4,76.61,75.26,76.05,2852451.0
2016-03-16,75.67,76.5,75.2,76.32,2956243.0
2016-03-17,76.12,77.49,76.12,77.22,2682764.0
2016-03-18,77.25,77.93,77.25,77.92,5344460.0
2016-03-19,77.25,77.93,77.25,77.92,5344460.0
2016-03-20,77.25,77.93,77.25,77.92,5344460.0
2016-03-21,77.72,78.46,77.56,77.85,3085224.0
2016-03-22,77.42,78.135,77.37,77.81,3080261.0
2016-03-23,77.53,78.02,77.096,77.72,2741845.0
2016-03-24,77.23,77.71,77.08,77.12,2678460.0
2016-03-25,77.23,77.71,77.08,77.12,2678460.0
2016-03-26,77.23,77.71,77.08,77.12,2678460.0
2016-03-27,77.23,77.71,77.08,77.12,2678460.0
2016-03-28,77.42,78.22,77.21,77.76,1648018.0
2016-03-29,77.8,78.67,77.76,78.62,1800597.0
2016-03-30,78.82,79.005,78.24,78.68,2574230.0
2016-03-31,78.88,79.2,78.255,78.35,3743938.0
2016-04-01,78.22,78.99,78.01,78.78,4709051.0
2016-04-02,78.22,78.99,78.01,78.78,4709051.0
2016-04-03,78.22,78.99,78.01,78.78,4709051.0
2016-04-04,79.0,79.2,78.32,78.56,1909304.0
2016-04-05,78.1,78.49,77.57,77.71,2263526.0
2016-04-06,77.63,77.73,76.68,77.59,3300395.0
2016-04-07,77.18,77.27,75.83,76.19,3270027.0
2016-04-08,76.28,76.62,75.69,76.18,3108725.0
2016-04-09,76.28,76.62,75.69,76.18,3108725.0
2016-04-10,76.28,76.62,75.69,76.18,3108725.0
