Date,Open,High,Low,Close,Volume
2017-04-26,121.46,122.99,121.4,122.01,2431253.0
2017-04-26,121.46,122.99,121.4,122.01,2431253.0
2017-04-26,121.46,122.99,121.4,122.01,2431253.0
2017-04-26,121.46,122.99,121.4,122.01,2431253.0
2017-04-27,122.11,122.44,121.62,122.16,1658222.0
2017-04-28,122.17,122.36,121.51,121.66,1285156.0
2017-04-29,122.17,122.36,121.51,121.66,1285156.0
2017-04-30,122.17,122.36,121.51,121.66,1285156.0
2017-05-01,121.79,121.79,121.15,121.18,1660802.0
2017-05-02,121.0,121.375,120.1101,120.36,1162683.0
2017-05-03,120.1,121.11,120.1,120.81,841464.0
2017-05-04,121.42,121.65,120.27,120.81,1035978.0
2017-05-05,121.02,121.32,120.6,121.3,1282310.0
2017-05-06,121.02,121.32,120.6,121.3,1282310.0
2017-05-07,121.02,121.32,120.6,121.3,1282310.0
2017-05-08,121.3,121.55,120.77,121.01,1390461.0
2017-05-09,120.93,121.16,119.8,119.95,1466845.0
2017-05-10,119.63,120.98,119.63,120.69,1448810.0
2017-05-11,120.16,120.7399,119.69,120.54,1329025.0
2017-05-12,120.15,120.98,120.021,120.59,1117557.0
2017-05-13,120.15,120.98,120.021,120.59,1117557.0
2017-05-14,120.15,120.98,120.021,120.59,1117557.0
2017-05-15,120.57,121.36,120.16,120.25,1137883.0
2017-05-16,120.27,120.67,119.76,119.93,1168013.0
2017-05-17,119.38,120.57,119.066,120.25,1397207.0
2017-05-18,120.13,121.87,119.75,120.88,2122377.0
2017-05-19,120.85,121.2,120.0,120.79,1573002.0
2017-05-20,120.85,121.2,120.0,120.79,1573002.0
2017-05-21,120.85,121.2,120.0,120.79,1573002.0
2017-05-22,120.83,122.13,120.68,121.65,1272551.0
2017-05-23,121.56,122.12,121.4,121.66,1128622.0
2017-05-24,121.77,122.166,121.57,122.05,1116659.0
2017-05-25,122.59,123.94,122.38,123.72,1818736.0
2017-05-26,123.59,123.92,123.34,123.66,888988.0
2017-05-27,123.59,123.92,123.34,123.66,888988.0
2017-05-28,123.59,123.92,123.34,123.66,888988.0
2017-05-29,123.59,123.92,123.34,123.66,888988.0
2017-05-30,123.36,124.23,123.16,123.73,1139156.0
2017-05-31,123.87,124.96,123.535,124.85,2103365.0
2017-06-01,124.97,125.45,124.45,125.4,1427144.0
2017-06-02,125.33,125.8,124.99,125.15,1210249.0
2017-06-03,125.33,125.8,124.99,125.15,1210249.0
2017-06-04,125.33,125.8,124.99,125.15,1210249.0
2017-06-05,125.0,125.74,124.925,125.38,1052393.0
2017-06-06,125.19,125.45,124.02,124.03,1276129.0
2017-06-07,123.87,124.11,123.24,123.5,1138889.0
2017-06-08,123.42,124.52,123.19,123.78,1821398.0
2017-06-09,123.86,125.25,123.78,125.23,1038528.0
2017-06-10,123.86,125.25,123.78,125.23,1038528.0
2017-06-11,123.86,125.25,123.78,125.23,1038528.0
2017-06-12,125.21,125.8,124.78,125.67,1534069.0
2017-06-13,125.57,126.1,125.32,126.1,1294309.0
2017-06-14,126.4,128.17,126.06,127.96,1572807.0
2017-06-15,127.94,129.285,127.83,129.02,1816614.0
2017-06-16,129.48,129.6,128.25,129.44,2470728.0
2017-06-17,129.48,129.6,128.25,129.44,2470728.0
2017-06-18,129.48,129.6,128.25,129.44,2470728.0
2017-06-19,129.4,129.49,128.02,128.27,1309840.0
2017-06-20,128.35,129.1529,128.3,128.75,1162469.0
2017-06-21,128.75,129.1,128.39,128.58,1109813.0
2017-06-22,128.17,128.71,128.15,128.31,1116516.0
2017-06-23,128.0,128.64,127.17,127.66,1800991.0
2017-06-24,128.0,128.64,127.17,127.66,1800991.0
2017-06-25,128.0,128.64,127.17,127.66,1800991.0
2017-06-26,127.6,128.17,127.29,127.95,1004824.0
2017-06-27,128.38,128.38,127.33,127.38,1027498.0
2017-06-28,127.73,128.43,127.39,127.78,1315080.0
2017-06-29,128.22,128.23,125.96,126.39,1884147.0
2017-06-30,126.52,126.92,125.8,126.53,1172413.0
2017-07-01,126.52,126.92,125.8,126.53,1172413.0
2017-07-02,126.52,126.92,125.8,126.53,1172413.0
2017-07-03,126.98,128.24,126.69,127.34,932749.0
2017-07-04,126.98,128.24,126.69,127.34,932749.0
2017-07-05,127.47,127.47,126.13,126.37,1400719.0
