Date,Open,High,Low,Close,Volume
2016-01-04,83.5,84.5,82.75,83.75,1757337.0
2016-01-04,83.5,84.5,82.75,83.75,1757337.0
2016-01-04,83.5,84.5,82.75,83.75,1757337.0
2016-01-04,83.5,84.5,82.75,83.75,1757337.0
2016-01-05,83.81,85.09,83.13,83.69,1073774.0
2016-01-06,82.48,83.07,81.76,82.54,1152295.0
2016-01-07,81.12,83.73,80.711,82.48,1517205.0
2016-01-08,82.39,83.57,81.68,81.86,1370926.0
2016-01-09,82.39,83.57,81.68,81.86,1370926.0
2016-01-10,82.39,83.57,81.68,81.86,1370926.0
2016-01-11,82.51,83.21,81.25,82.65,1250881.0
2016-01-12,82.96,84.77,82.67,84.66,1221966.0
2016-01-13,85.26,85.35,81.11,81.55,3932771.0
2016-01-14,81.72,84.305,80.19,83.0,2233663.0
2016-01-15,80.66,82.735,80.41,81.49,1766018.0
2016-01-16,80.66,82.735,80.41,81.49,1766018.0
2016-01-17,80.66,82.735,80.41,81.49,1766018.0
2016-01-18,80.66,82.735,80.41,81.49,1766018.0
2016-01-19,82.2,84.2,81.6,83.46,1536763.0
2016-01-20,82.53,83.25,80.04,81.49,2307825.0
2016-01-21,81.96,84.66,81.52,83.3,2012077.0
2016-01-22,85.4,85.42,83.885,84.84,1074432.0
2016-01-23,85.4,85.42,83.885,84.84,1074432.0
2016-01-24,85.4,85.42,83.885,84.84,1074432.0
2016-01-25,84.67,85.24,83.42,83.52,1314310.0
2016-01-26,83.93,85.735,83.46,85.69,1365015.0
2016-01-27,85.77,86.62,83.53,84.22,1645930.0
2016-01-28,82.61,85.5399,78.41,84.98,3033288.0
2016-01-29,85.61,88.56,85.43,88.31,1804830.0
2016-01-30,85.61,88.56,85.43,88.31,1804830.0
2016-01-31,85.61,88.56,85.43,88.31,1804830.0
2016-02-01,87.45,88.04,85.29,86.72,1566894.0
2016-02-02,86.01,87.09,85.66,86.08,1079641.0
2016-02-03,86.49,87.3,83.35,84.67,1778635.0
2016-02-04,84.53,85.08,81.57,83.77,1813709.0
2016-02-05,83.38,84.19,80.56,80.78,1372843.0
2016-02-06,83.38,84.19,80.56,80.78,1372843.0
2016-02-07,83.38,84.19,80.56,80.78,1372843.0
2016-02-08,80.12,80.21,78.05,79.82,1643763.0
2016-02-09,79.43,82.43,79.41,81.45,1678426.0
2016-02-10,82.35,83.7996,81.5,81.93,994935.0
2016-02-11,79.89,82.26,79.89,81.69,1030685.0
2016-02-12,82.5,83.69,81.75,83.48,722293.0
2016-02-13,82.5,83.69,81.75,83.48,722293.0
2016-02-14,82.5,83.69,81.75,83.48,722293.0
2016-02-15,82.5,83.69,81.75,83.48,722293.0
2016-02-16,84.46,85.85,83.58,85.54,1059623.0
2016-02-17,86.15,86.67,85.43,86.01,940438.0
2016-02-18,85.69,85.92,84.0,84.52,972039.0
2016-02-19,84.13,84.77,83.12,84.62,690159.0
2016-02-20,84.13,84.77,83.12,84.62,690159.0
2016-02-21,84.13,84.77,83.12,84.62,690159.0
2016-02-22,85.32,86.93,85.01,86.39,982904.0
2016-02-23,86.25,87.12,84.68,84.87,765282.0
2016-02-24,83.92,85.85,83.28,85.59,1081474.0
2016-02-25,85.92,85.92,84.21,85.5,808538.0
2016-02-26,85.95,86.03,84.27,84.78,740124.0
2016-02-27,85.95,86.03,84.27,84.78,740124.0
2016-02-28,85.95,86.03,84.27,84.78,740124.0
2016-02-29,84.7,86.44,84.07,84.57,751095.0
2016-03-01,85.3,87.74,84.69,87.63,1025720.0
2016-03-02,87.06,87.73,85.83,87.19,795270.0
2016-03-03,86.82,87.13,85.32,86.38,901419.0
2016-03-04,86.68,87.97,85.84,87.3,630408.0
2016-03-05,86.68,87.97,85.84,87.3,630408.0
2016-03-06,86.68,87.97,85.84,87.3,630408.0
2016-03-07,86.63,87.05,85.28,85.81,977474.0
2016-03-08,85.3,86.81,85.08,85.92,819297.0
2016-03-09,86.51,88.37,86.26,86.83,851854.0
2016-03-10,87.49,89.98,87.17200000000001,88.84,1709260.0
2016-03-11,89.75,90.53,89.3,90.31,1111170.0
2016-03-12,89.75,90.53,89.3,90.31,1111170.0
2016-03-13,89.75,90.53,89.3,90.31,1111170.0
2016-03-14,89.69,90.65,89.0354,90.08,783490.0
2016-03-15,90.0,90.76,89.55,90.09,738923.0
2016-03-16,89.53,90.1,88.69,89.56,713842.0
2016-03-17,88.93,89.33,87.86,88.74,954747.0
2016-03-18,89.17,90.02,88.18,89.31,1161169.0
2016-03-19,89.17,90.02,88.18,89.31,1161169.0
2016-03-20,89.17,90.02,88.18,89.31,1161169.0
2016-03-21,89.48,90.0,89.04,89.55,466387.0
2016-03-22,89.26,89.55,88.69,89.06,688313.0
2016-03-23,89.16,89.52,88.35,89.06,706318.0
2016-03-24,89.35,89.47,88.25,88.7,517848.0
2016-03-25,89.35,89.47,88.25,88.7,517848.0
2016-03-26,89.35,89.47,88.25,88.7,517848.0
2016-03-27,89.35,89.47,88.25,88.7,517848.0
2016-03-28,89.15,90.03,88.48,89.33,738499.0
2016-03-29,89.27,90.02,88.94,89.95,528302.0
2016-03-30,90.1,90.89,89.67,90.7,695404.0
2016-03-31,90.95,91.49,89.8,90.46,877545.0
2016-04-01,90.38,91.97,89.84,91.81,800214.0
2016-04-02,90.38,91.97,89.84,91.81,800214.0
2016-04-03,90.38,91.97,89.84,91.81,800214.0
2016-04-04,91.65,92.0,90.23,90.51,613534.0
2016-04-05,89.87,90.52,88.62,88.81,632972.0
2016-04-06,88.99,89.554,87.89,89.19,874076.0
2016-04-07,88.82,89.1,86.695,87.31,1181948.0
2016-04-08,87.78,87.85,86.44,86.9,723829.0
2016-04-09,87.78,87.85,86.44,86.9,723829.0
2016-04-10,87.78,87.85,86.44,86.9,723829.0
2016-04-11,87.38,88.18,86.74,86.98,872944.0
