Date,Open,High,Low,Close,Volume
2016-01-04,104.83,109.24,104.78,107.1,2987684.0
2016-01-04,104.83,109.24,104.78,107.1,2987684.0
2016-01-04,104.83,109.24,104.78,107.1,2987684.0
2016-01-04,104.83,109.24,104.78,107.1,2987684.0
2016-01-05,106.94,108.0995,105.06,106.28,2232950.0
2016-01-06,104.09,106.96,103.9501,106.37,2759592.0
2016-01-07,104.2,107.29,103.9,107.03,2670814.0
2016-01-08,107.19,108.0,101.11,101.62,4842233.0
2016-01-09,107.19,108.0,101.11,101.62,4842233.0
2016-01-10,107.19,108.0,101.11,101.62,4842233.0
2016-01-11,101.55,103.75,99.15,101.07,3020386.0
2016-01-12,102.16,105.18,101.65,104.65,1943386.0
2016-01-13,104.17,104.17,90.81,91.92,5325448.0
2016-01-14,92.11,96.87,89.3,96.49,3298883.0
2016-01-15,92.85,94.37,91.36,92.71,3341975.0
2016-01-16,92.85,94.37,91.36,92.71,3341975.0
2016-01-17,92.85,94.37,91.36,92.71,3341975.0
2016-01-18,92.85,94.37,91.36,92.71,3341975.0
2016-01-19,93.64,95.1199,87.75,89.6,3149563.0
2016-01-20,86.95,88.61,83.3,87.19,3657769.0
2016-01-21,86.7,87.18,83.9,85.24,2783373.0
2016-01-22,87.55,92.29,86.81,90.73,2859104.0
2016-01-23,87.55,92.29,86.81,90.73,2859104.0
2016-01-24,87.55,92.29,86.81,90.73,2859104.0
2016-01-25,89.52,90.51,85.63,85.72,1981975.0
2016-01-26,86.69,86.92,84.715,86.5,2185214.0
2016-01-27,86.15,86.15,82.41,82.81,2853450.0
2016-01-28,84.8,85.8,82.42,83.75,2189100.0
2016-01-29,84.12,87.25,83.0,87.25,2283670.0
2016-01-30,84.12,87.25,83.0,87.25,2283670.0
2016-01-31,84.12,87.25,83.0,87.25,2283670.0
2016-02-01,86.39,88.29,85.25,87.76,2307758.0
2016-02-02,85.27,85.76,79.35,80.53,4693527.0
2016-02-03,81.11,81.11,75.81,79.21,4808192.0
2016-02-04,79.12,82.0,77.18,79.79,3655359.0
2016-02-05,79.26,80.74,75.98,76.24,3025551.0
2016-02-06,79.26,80.74,75.98,76.24,3025551.0
2016-02-07,79.26,80.74,75.98,76.24,3025551.0
2016-02-08,74.57,74.57,70.48,72.95,3643311.0
2016-02-09,71.93,75.24,71.72,73.62,2716424.0
2016-02-10,73.99,75.25,70.7,74.01,2987669.0
2016-02-11,72.89,73.85,70.6,72.01,2739791.0
2016-02-12,73.3,74.22,70.05,71.07,3540260.0
2016-02-13,73.3,74.22,70.05,71.07,3540260.0
2016-02-14,73.3,74.22,70.05,71.07,3540260.0
2016-02-15,73.3,74.22,70.05,71.07,3540260.0
2016-02-16,72.54,72.79,68.77,70.43,3198139.0
2016-02-17,70.98,71.96,69.53,70.52,3916535.0
2016-02-18,71.47,71.54,67.8,68.64,3346186.0
