Date,Open,High,Low,Close,Volume
2016-01-04,79.67,80.12,78.45,79.66,4620280.0
2016-01-04,79.67,80.12,78.45,79.66,4620280.0
2016-01-04,79.67,80.12,78.45,79.66,4620280.0
2016-01-04,79.67,80.12,78.45,79.66,4620280.0
2016-01-05,81.23,81.5,79.55,80.15,2605077.0
2016-01-06,78.75,80.86399999999999,78.63,79.87,3125117.0
2016-01-07,78.61,80.63,77.53,78.0,3660762.0
2016-01-08,78.35,78.48,74.78,75.0,4802816.0
2016-01-09,78.35,78.48,74.78,75.0,4802816.0
2016-01-10,78.35,78.48,74.78,75.0,4802816.0
2016-01-11,70.87,72.41,67.43,69.96,14516540.0
2016-01-12,71.05,72.19,69.3186,72.15,5828655.0
2016-01-13,71.87,73.9,71.69,71.87,5171483.0
2016-01-14,71.75,71.85,67.85,69.87,5611675.0
2016-01-15,67.76,69.41,67.25,68.63,3891705.0
2016-01-16,67.76,69.41,67.25,68.63,3891705.0
2016-01-17,67.76,69.41,67.25,68.63,3891705.0
2016-01-18,67.76,69.41,67.25,68.63,3891705.0
2016-01-19,69.05,69.56,66.43,67.11,4015332.0
2016-01-20,65.8,68.3,63.23,67.34,6756977.0
2016-01-21,67.6,70.3449,67.0,69.06,5029362.0
2016-01-22,69.84,70.81,69.125,70.79,3317581.0
2016-01-23,69.84,70.81,69.125,70.79,3317581.0
2016-01-24,69.84,70.81,69.125,70.79,3317581.0
2016-01-25,70.75,70.8,67.79,68.16,3562658.0
2016-01-26,67.11,68.4,66.09,67.36,4731827.0
2016-01-27,67.0,70.26,66.93,68.58,5786796.0
2016-01-28,79.49,84.78,78.11,84.07,18578394.0
2016-01-29,83.88,86.29,82.01,85.43,8251934.0
2016-01-30,83.88,86.29,82.01,85.43,8251934.0
2016-01-31,83.88,86.29,82.01,85.43,8251934.0
2016-02-01,84.8,85.58,83.31,85.13,4933532.0
2016-02-02,84.92,85.95,80.92,82.0,4101628.0
2016-02-03,82.17,82.79,78.33,80.9,4284714.0
2016-02-04,80.09,80.68,78.63,80.54,3019037.0
2016-02-05,80.48,80.89,74.445,77.33,7023867.0
2016-02-06,80.48,80.89,74.445,77.33,7023867.0
2016-02-07,80.48,80.89,74.445,77.33,7023867.0
2016-02-08,76.36,76.36,70.33,72.56,8424957.0
2016-02-09,71.45,75.3,70.837,72.35,5620282.0
2016-02-10,73.01,76.05,71.8,74.48,4767917.0
2016-02-11,73.07,73.98,71.1949,72.58,3910471.0
2016-02-12,73.86,76.36,72.84,76.29,3766792.0
2016-02-13,73.86,76.36,72.84,76.29,3766792.0
2016-02-14,73.86,76.36,72.84,76.29,3766792.0
2016-02-15,73.86,76.36,72.84,76.29,3766792.0
2016-02-16,77.99,81.22,77.68,79.94,6104295.0
2016-02-17,80.95,83.63,80.236,82.97,4226581.0
2016-02-18,83.16,83.45,80.72,81.03,2895546.0
2016-02-19,80.5,81.87,79.04,80.64,3011586.0
2016-02-20,80.5,81.87,79.04,80.64,3011586.0
2016-02-21,80.5,81.87,79.04,80.64,3011586.0
2016-02-22,81.14,82.2,80.65,81.09,1932239.0
2016-02-23,81.07,81.98,79.83,80.5,2344448.0
2016-02-24,79.85,82.6,79.19,82.15,2416342.0
2016-02-25,82.41,83.7,81.87,83.06,2250954.0
2016-02-26,83.2,84.93,82.5,83.81,2804138.0
2016-02-27,83.2,84.93,82.5,83.81,2804138.0
2016-02-28,83.2,84.93,82.5,83.81,2804138.0
2016-02-29,84.2,84.44,83.14,83.69,2748485.0
