Date,Open,High,Low,Close,Volume
2016-01-04,95.34,95.4,94.06,94.84,3730830.0
2016-01-04,95.34,95.4,94.06,94.84,3730830.0
2016-01-04,95.34,95.4,94.06,94.84,3730830.0
2016-01-04,95.34,95.4,94.06,94.84,3730830.0
2016-01-05,94.84,96.1,94.52,95.78,2835064.0
2016-01-06,94.89,95.54,94.1,94.42,2443014.0
2016-01-07,93.025,93.97,92.27,92.6,3790717.0
2016-01-08,92.84,93.0,91.21,91.39,3941066.0
2016-01-09,92.84,93.0,91.21,91.39,3941066.0
2016-01-10,92.84,93.0,91.21,91.39,3941066.0
2016-01-11,91.78,91.94,90.71,91.66,3483977.0
2016-01-12,91.66,93.1,91.66,93.0,4435903.0
2016-01-13,93.32,93.77,90.1,90.61,4274528.0
2016-01-14,90.81,91.885,89.6,91.15,4001915.0
2016-01-15,89.57,90.11,88.42,90.04,5459437.0
2016-01-16,89.57,90.11,88.42,90.04,5459437.0
2016-01-17,89.57,90.11,88.42,90.04,5459437.0
2016-01-18,89.57,90.11,88.42,90.04,5459437.0
2016-01-19,90.84,91.45,89.58,90.35,3771983.0
2016-01-20,89.06,89.4,87.3,88.7,4836922.0
2016-01-21,88.81,90.19,87.92,89.07,3467324.0
2016-01-22,90.27,90.69,89.30799999999999,89.9,2865982.0
2016-01-23,90.27,90.69,89.30799999999999,89.9,2865982.0
2016-01-24,90.27,90.69,89.30799999999999,89.9,2865982.0
2016-01-25,89.97,90.26,89.16,89.42,2069802.0
2016-01-26,89.92,91.32,89.88,90.93,2307707.0
2016-01-27,91.01,92.14,90.37,90.87,3333584.0
2016-01-28,90.97,91.61,90.26,91.0,2286525.0
2016-01-29,91.63,93.245,91.63,93.2,5220547.0
2016-01-30,91.63,93.245,91.63,93.2,5220547.0
2016-01-31,91.63,93.245,91.63,93.2,5220547.0
2016-02-01,92.04,94.5,92.04,94.08,5519685.0
2016-02-02,95.11,96.0,94.01100000000001,94.69,7634405.0
2016-02-03,95.23,95.73,93.97,95.33,4857274.0
2016-02-04,95.33,97.0,95.17,96.25,5545581.0
2016-02-05,95.87,96.68,95.08,95.37,4272258.0
2016-02-06,95.87,96.68,95.08,95.37,4272258.0
2016-02-07,95.87,96.68,95.08,95.37,4272258.0
2016-02-08,94.39,97.42,94.32,97.3,4543854.0
2016-02-09,96.35,98.91,96.31,97.53,5426516.0
2016-02-10,97.54,98.0,95.89,96.12,3633310.0
2016-02-11,94.6,95.7,94.22,95.09,3896967.0
2016-02-12,96.25,97.32,95.91,97.25,3266665.0
2016-02-13,96.25,97.32,95.91,97.25,3266665.0
2016-02-14,96.25,97.32,95.91,97.25,3266665.0
2016-02-15,96.25,97.32,95.91,97.25,3266665.0
2016-02-16,97.91,99.02,97.51,98.56,3205662.0
2016-02-17,98.81,99.5,98.275,98.3,3003723.0
2016-02-18,97.82,98.05,97.24,97.46,2654699.0
2016-02-19,97.22,97.49,96.49,97.37,2312627.0
2016-02-20,97.22,97.49,96.49,97.37,2312627.0
2016-02-21,97.22,97.49,96.49,97.37,2312627.0
2016-02-22,98.28,98.9099,97.92,98.02,2574333.0
2016-02-23,97.11,97.22,96.01,96.97,3699689.0
2016-02-24,96.19,97.03,95.33,96.87,2366750.0
2016-02-25,97.16,97.85,96.48,97.72,2146758.0
2016-02-26,97.97,98.52,97.41,97.44,2373258.0
2016-02-27,97.97,98.52,97.41,97.44,2373258.0
2016-02-28,97.97,98.52,97.41,97.44,2373258.0
2016-02-29,97.44,97.71,96.51,96.55,3123948.0
2016-03-01,97.43,98.45,97.03,98.36,2666931.0
2016-03-02,98.09,98.965,98.07,98.77,2604781.0
2016-03-03,98.44,99.77,98.35,99.62,2541159.0
2016-03-04,99.55,101.22,99.51,100.4,3789686.0
2016-03-05,99.55,101.22,99.51,100.4,3789686.0
2016-03-06,99.55,101.22,99.51,100.4,3789686.0
2016-03-07,99.96,101.37,99.77,101.3,3349663.0
2016-03-08,100.54,101.64,100.37,100.62,2974043.0
2016-03-09,99.5,100.15,98.89,99.56,3442880.0
2016-03-10,100.06,100.06,98.85,99.87,2455331.0
2016-03-11,100.17,101.1,100.17,100.82,2315109.0
2016-03-12,100.17,101.1,100.17,100.82,2315109.0
2016-03-13,100.17,101.1,100.17,100.82,2315109.0
2016-03-14,100.56,101.6,100.48,101.29,2097092.0
2016-03-15,100.97,101.54,100.59,101.42,1796337.0
2016-03-16,101.2,102.1268,100.7,101.67,2252185.0
2016-03-17,103.13,104.38,102.6,103.75,4641234.0
2016-03-18,103.9,105.41,103.83,104.99,4963620.0
2016-03-19,103.9,105.41,103.83,104.99,4963620.0
2016-03-20,103.9,105.41,103.83,104.99,4963620.0
2016-03-21,104.62,105.47,104.43,105.15,2789590.0
2016-03-22,104.46,105.32,104.31,104.86,2482564.0
2016-03-23,104.74,105.21,104.56,104.88,2210334.0
2016-03-24,104.33,105.49,104.31,105.43,1996967.0
2016-03-25,104.33,105.49,104.31,105.43,1996967.0
2016-03-26,104.33,105.49,104.31,105.43,1996967.0
2016-03-27,104.33,105.49,104.31,105.43,1996967.0
2016-03-28,105.38,105.57,104.88,105.06,1930878.0
2016-03-29,104.92,106.3,104.62,106.1,1988434.0
2016-03-30,106.36,106.61399999999999,105.67,105.73,2277798.0
2016-03-31,105.65,105.9,105.26,105.47,3303883.0
2016-04-01,104.92,105.32,104.41,104.95,2764407.0
2016-04-02,104.92,105.32,104.41,104.95,2764407.0
2016-04-03,104.92,105.32,104.41,104.95,2764407.0
2016-04-04,105.04,105.74,104.6537,104.88,2796215.0
2016-04-05,104.4,104.74,103.74,103.92,2178745.0
2016-04-06,104.02,104.83,103.47,104.67,2411107.0
2016-04-07,103.89,104.45,103.41,103.99,2107701.0
2016-04-08,104.48,105.32,104.04,104.31,1735137.0
2016-04-09,104.48,105.32,104.04,104.31,1735137.0
