Date,Open,High,Low,Close,Volume
2016-01-04,76.06,76.38,75.01,75.7,13476063.0
2016-01-04,76.06,76.38,75.01,75.7,13476063.0
2016-01-04,76.06,76.38,75.01,75.7,13476063.0
2016-01-04,76.06,76.38,75.01,75.7,13476063.0
2016-01-05,76.25,76.51,75.54,76.27,8972650.0
2016-01-06,75.0,75.85,74.85,75.27,16091772.0
2016-01-07,73.76,75.09,73.35,73.79,12468507.0
2016-01-08,74.06,74.51,72.75,72.88,9975594.0
2016-01-09,74.06,74.51,72.75,72.88,9975594.0
2016-01-10,74.06,74.51,72.75,72.88,9975594.0
2016-01-11,73.11,74.08,72.66,73.92,13067886.0
2016-01-12,74.52,75.0,74.02,74.76,10236702.0
2016-01-13,75.27,75.39,72.99,73.1,12659586.0
2016-01-14,73.15,74.52,72.66,73.8,10425962.0
2016-01-15,71.94,72.95,70.66,71.83,18470111.0
2016-01-16,71.94,72.95,70.66,71.83,18470111.0
2016-01-17,71.94,72.95,70.66,71.83,18470111.0
2016-01-18,71.94,72.95,70.66,71.83,18470111.0
2016-01-19,72.94,73.02,70.66,71.39,16008663.0
2016-01-20,69.96,71.41,69.04,70.68,16585604.0
2016-01-21,70.72,72.33,70.1,71.56,11929916.0
2016-01-22,72.67,73.18,72.13,72.7,8651488.0
2016-01-23,72.67,73.18,72.13,72.7,8651488.0
2016-01-24,72.67,73.18,72.13,72.7,8651488.0
2016-01-25,72.76,72.91,71.58,71.74,9126156.0
2016-01-26,72.18,72.27,71.55,71.88,7499963.0
2016-01-27,71.98,72.48,70.58,70.91,9016763.0
2016-01-28,71.42,71.85,69.33,69.33,15292873.0
2016-01-29,70.43,74.5,68.76,74.49,40424728.0
2016-01-30,70.43,74.5,68.76,74.49,40424728.0
2016-01-31,70.43,74.5,68.76,74.49,40424728.0
2016-02-01,74.08,74.78,73.25,74.38,12622513.0
2016-02-02,73.5,74.2061,73.13,73.4,9572237.0
2016-02-03,73.76,74.625,72.43,74.38,9941842.0
2016-02-04,74.1,74.63,72.755,73.68,14735704.0
2016-02-05,73.56,73.61,70.55,71.54,12933749.0
2016-02-06,73.56,73.61,70.55,71.54,12933749.0
2016-02-07,73.56,73.61,70.55,71.54,12933749.0
2016-02-08,69.95,70.04,66.3,67.77,30541386.0
2016-02-09,66.39,69.48,66.12,68.33,14882722.0
2016-02-10,69.14,71.03,69.07,70.15,11368549.0
2016-02-11,67.79,69.07,67.425,68.47,13961492.0
2016-02-12,69.44,70.47,69.12,70.42,8709244.0
2016-02-13,69.44,70.47,69.12,70.42,8709244.0
2016-02-14,69.44,70.47,69.12,70.42,8709244.0
2016-02-15,69.44,70.47,69.12,70.42,8709244.0
2016-02-16,71.41,71.75,70.395,71.1,8777510.0
2016-02-17,71.73,72.12,71.3,72.03,8492595.0
2016-02-18,71.89,72.25,71.0208,71.24,6938144.0
2016-02-19,71.03,71.72,70.3,71.53,7750898.0
2016-02-20,71.03,71.72,70.3,71.53,7750898.0
2016-02-21,71.03,71.72,70.3,71.53,7750898.0
2016-02-22,72.3,73.19,72.1,73.06,7481491.0
2016-02-23,72.95,73.1224,71.99,72.15,6177031.0
2016-02-24,71.25,72.195,70.38,71.85,7728373.0
2016-02-25,71.96,73.34,71.935,73.27,6840532.0
2016-02-26,73.74,73.91,72.69,72.73,6713925.0
2016-02-27,73.74,73.91,72.69,72.73,6713925.0
2016-02-28,73.74,73.91,72.69,72.73,6713925.0
2016-02-29,72.86,73.895,72.39,72.39,7785959.0
2016-03-01,72.99,74.64,72.9,74.64,8705227.0
2016-03-02,74.5,74.6,73.66,74.3,5739046.0
2016-03-03,74.48,74.5,73.36,73.91,6587768.0
2016-03-04,74.22,74.25,73.61,73.9,9475258.0
2016-03-05,74.22,74.25,73.61,73.9,9475258.0
2016-03-06,74.22,74.25,73.61,73.9,9475258.0
2016-03-07,73.39,73.45,71.35,71.94,16667986.0
