Date,Open,High,Low,Close,Volume
2016-01-04,40.6,40.83,39.94,40.82,3810552.0
2016-01-04,40.6,40.83,39.94,40.82,3810552.0
2016-01-04,40.6,40.83,39.94,40.82,3810552.0
2016-01-04,40.6,40.83,39.94,40.82,3810552.0
2016-01-05,40.77,41.27,40.32,40.56,3015077.0
2016-01-06,39.98,40.79,39.76,40.06,3661140.0
2016-01-07,39.94,40.03,38.73,38.89,3653456.0
2016-01-08,39.14,41.57,39.09,40.98,6538978.0
2016-01-09,39.14,41.57,39.09,40.98,6538978.0
2016-01-10,39.14,41.57,39.09,40.98,6538978.0
2016-01-11,40.87,41.21,40.11,40.97,3869480.0
2016-01-12,41.37,42.64,41.048,41.69,3063875.0
2016-01-13,41.8,42.33,40.75,40.79,4378193.0
2016-01-14,40.7,41.94,40.4,41.43,2601882.0
2016-01-15,40.0,40.63,39.27,39.85,5284437.0
2016-01-16,40.0,40.63,39.27,39.85,5284437.0
2016-01-17,40.0,40.63,39.27,39.85,5284437.0
2016-01-18,40.0,40.63,39.27,39.85,5284437.0
2016-01-19,40.87,43.0,40.81,41.72,6902376.0
2016-01-20,41.07,41.24,39.43,40.67,4700569.0
2016-01-21,40.85,42.53,39.66,41.58,4386578.0
2016-01-22,42.56,43.956,42.5,43.21,4969028.0
2016-01-23,42.56,43.956,42.5,43.21,4969028.0
2016-01-24,42.56,43.956,42.5,43.21,4969028.0
2016-01-25,42.87,43.0282,41.78,42.03,3292572.0
2016-01-26,42.06,44.615,42.06,43.86,6049528.0
2016-01-27,43.72,44.99,43.45,43.78,3439325.0
2016-01-28,44.18,44.68,43.21,44.54,3815022.0
2016-01-29,45.34,45.83,44.64,45.64,4766911.0
2016-01-30,45.34,45.83,44.64,45.64,4766911.0
2016-01-31,45.34,45.83,44.64,45.64,4766911.0
2016-02-01,45.33,46.325,44.31,46.05,3602757.0
2016-02-02,45.31,45.53,43.65,43.75,4285555.0
2016-02-03,44.52,45.28,43.19,44.67,4821361.0
2016-02-04,46.98,47.47,44.28,45.34,10346297.0
2016-02-05,45.34,45.34,42.36,43.24,4498190.0
2016-02-06,45.34,45.34,42.36,43.24,4498190.0
2016-02-07,45.34,45.34,42.36,43.24,4498190.0
2016-02-08,42.7,43.05,41.1,41.85,5153441.0
2016-02-09,40.04,40.04,32.51,32.86,15731400.0
2016-02-10,32.59,33.09,30.98,31.38,11200944.0
2016-02-11,30.94,32.58,30.11,32.25,9131734.0
2016-02-12,32.15,32.85,31.06,32.81,5522266.0
2016-02-13,32.15,32.85,31.06,32.81,5522266.0
2016-02-14,32.15,32.85,31.06,32.81,5522266.0
2016-02-15,32.15,32.85,31.06,32.81,5522266.0
2016-02-16,33.76,35.23,33.51,34.29,6290838.0
2016-02-17,34.27,36.31,34.25,35.85,5069958.0
2016-02-18,35.98,36.08,34.5711,35.71,4161506.0
2016-02-19,35.53,35.735,34.9,35.28,3292236.0
2016-02-20,35.53,35.735,34.9,35.28,3292236.0
2016-02-21,35.53,35.735,34.9,35.28,3292236.0
2016-02-22,35.61,37.0,35.11,36.86,3657390.0
2016-02-23,36.34,39.45,35.57,37.01,7575386.0
2016-02-24,36.59,38.0,36.15,37.22,4065344.0
2016-02-25,37.71,37.71,35.92,37.11,4036473.0
2016-02-26,37.39,37.4,36.15,36.23,5249208.0
2016-02-27,37.39,37.4,36.15,36.23,5249208.0
2016-02-28,37.39,37.4,36.15,36.23,5249208.0
2016-02-29,36.17,37.51,36.0,36.85,4375202.0
2016-03-01,37.24,37.77,36.48,37.56,3576665.0
2016-03-02,37.56,38.31,36.785,37.48,3009118.0
2016-03-03,37.33,39.2,37.0,39.02,3558377.0
2016-03-04,39.08,39.36,38.06,38.82,3704586.0
2016-03-05,39.08,39.36,38.06,38.82,3704586.0
2016-03-06,39.08,39.36,38.06,38.82,3704586.0
2016-03-07,38.49,40.49,38.48,40.07,3128218.0
2016-03-08,39.96,40.31,38.16,39.08,3411982.0
2016-03-09,38.83,39.33,38.2,38.88,2645767.0
2016-03-10,38.89,38.98,37.26,38.17,3225217.0
2016-03-11,38.72,39.74,38.32,39.29,2640767.0
2016-03-12,38.72,39.74,38.32,39.29,2640767.0
2016-03-13,38.72,39.74,38.32,39.29,2640767.0
2016-03-14,39.21,40.07,38.85,39.76,1625414.0
2016-03-15,39.37,39.485,38.315,38.82,2279708.0
2016-03-16,38.56,40.47,38.27,40.26,2595721.0
2016-03-17,40.35,42.1575,40.111999999999995,41.48,3657306.0
2016-03-18,41.7,42.31,40.69,41.46,5530915.0
2016-03-19,41.7,42.31,40.69,41.46,5530915.0
2016-03-20,41.7,42.31,40.69,41.46,5530915.0
2016-03-21,41.81,41.81,40.215,40.96,1958108.0
2016-03-22,40.9,41.18,40.07,40.78,1849463.0
2016-03-23,40.57,40.57,39.4,39.7,2552948.0
2016-03-24,39.32,39.69,38.68,39.68,1923058.0
2016-03-25,39.32,39.69,38.68,39.68,1923058.0
2016-03-26,39.32,39.69,38.68,39.68,1923058.0
2016-03-27,39.32,39.69,38.68,39.68,1923058.0
2016-03-28,39.95,40.59,39.43,40.37,1652024.0
2016-03-29,40.17,40.335,39.44,40.14,1590784.0
2016-03-30,40.59,41.18,39.82,40.11,1634015.0
2016-03-31,40.04,41.395,40.015,41.28,2774461.0
2016-04-01,40.75,41.7,40.26,41.17,2388133.0
2016-04-02,40.75,41.7,40.26,41.17,2388133.0
2016-04-03,40.75,41.7,40.26,41.17,2388133.0
2016-04-04,40.95,41.94,39.42,39.56,2749290.0
2016-04-05,39.14,39.41,37.65,38.75,3892444.0
2016-04-06,38.43,39.49,38.2,39.44,2127874.0
2016-04-07,39.3,39.55,37.8,38.27,4202855.0
2016-04-08,38.31,38.64,37.015,37.99,3632126.0
2016-04-09,38.31,38.64,37.015,37.99,3632126.0
2016-04-10,38.31,38.64,37.015,37.99,3632126.0
2016-04-11,38.12,38.78,37.71,38.13,3020020.0
2016-04-12,38.26,38.93,38.02,38.59,2899314.0
2016-04-13,38.89,40.29,38.67,39.82,2445903.0
2016-04-14,39.96,40.12,38.4,38.45,2600585.0
2016-04-15,38.51,38.69,37.65,38.27,2162677.0
2016-04-16,38.51,38.69,37.65,38.27,2162677.0
2016-04-17,38.51,38.69,37.65,38.27,2162677.0
2016-04-18,38.15,39.11,37.99,38.87,2354984.0
2016-04-19,39.37,39.845,35.28,35.64,13501783.0
2016-04-20,35.43,37.44,34.4,37.38,17831882.0
2016-04-21,37.25,42.62,37.08,42.56,18011287.0
2016-04-22,42.6,45.17,42.6,43.78,12493018.0
2016-04-23,42.6,45.17,42.6,43.78,12493018.0
2016-04-24,42.6,45.17,42.6,43.78,12493018.0
2016-04-25,43.7,43.92,42.64,43.25,4321452.0
2016-04-26,43.25,43.91,42.58,43.4,3288095.0
2016-04-27,43.74,44.14,42.62,43.79,5012479.0
2016-04-28,42.0,43.36,40.78,42.4,7453402.0
2016-04-29,42.19,42.8,40.61,40.9,5724280.0
2016-04-30,42.19,42.8,40.61,40.9,5724280.0
2016-05-01,42.19,42.8,40.61,40.9,5724280.0
2016-05-02,40.77,42.06,40.36,41.98,3335420.0
2016-05-03,41.64,41.92,41.0,41.45,3070279.0
2016-05-04,41.21,42.54,40.9,41.17,2965224.0
2016-05-05,41.54,42.21,40.79,41.43,2912245.0
2016-05-06,41.1,41.67,40.9,41.32,1859731.0
2016-05-07,41.1,41.67,40.9,41.32,1859731.0
2016-05-08,41.1,41.67,40.9,41.32,1859731.0
2016-05-09,41.31,42.0,40.39,40.43,2479230.0
2016-05-10,40.55,41.17,40.18,41.04,2389136.0
2016-05-11,40.62,40.96,40.23,40.47,1791298.0
2016-05-12,40.84,41.51,39.52,39.93,1669416.0
2016-05-13,39.83,40.13,39.31,39.53,1656877.0
2016-05-14,39.83,40.13,39.31,39.53,1656877.0
2016-05-15,39.83,40.13,39.31,39.53,1656877.0
