Date,Open,High,Low,Close,Volume
2016-01-04,70.38,71.67,68.705,69.94,6629104.0
2016-01-04,70.38,71.67,68.705,69.94,6629104.0
2016-01-04,70.38,71.67,68.705,69.94,6629104.0
2016-01-04,70.38,71.67,68.705,69.94,6629104.0
2016-01-05,70.14,71.355,69.77,71.16,5152474.0
2016-01-06,69.88,71.98,69.8001,70.66,7666201.0
2016-01-07,69.6,72.22,69.57,72.09,9149111.0
2016-01-08,72.2,72.49,68.1,68.26,10241422.0
2016-01-09,72.2,72.49,68.1,68.26,10241422.0
2016-01-10,72.2,72.49,68.1,68.26,10241422.0
2016-01-11,68.26,69.43,66.85,69.07,6680254.0
2016-01-12,69.87,72.06,69.31,71.19,8173009.0
2016-01-13,70.33,70.65,63.05,65.03,13534463.0
2016-01-14,65.3,67.94,63.52,67.32,8700002.0
2016-01-15,64.87,66.999,64.47,66.41,8629599.0
2016-01-16,64.87,66.999,64.47,66.41,8629599.0
2016-01-17,64.87,66.999,64.47,66.41,8629599.0
2016-01-18,64.87,66.999,64.47,66.41,8629599.0
2016-01-19,67.08,68.512,65.32,66.54,7105158.0
2016-01-20,64.96,66.4599,63.81,65.48,7963062.0
2016-01-21,65.12,65.16,63.07,63.43,8961571.0
2016-01-22,65.09,68.49,64.72,67.86,9274746.0
2016-01-23,65.09,68.49,64.72,67.86,9274746.0
2016-01-24,65.09,68.49,64.72,67.86,9274746.0
2016-01-25,67.55,69.35,65.06,65.14,6062163.0
2016-01-26,66.49,67.74,65.51,67.71,5989042.0
2016-01-27,68.33,68.49,65.25,65.99,7528948.0
2016-01-28,67.33,67.57,62.16,64.54,10703722.0
2016-01-29,65.03,67.925,63.25,67.87,7275158.0
2016-01-30,65.03,67.925,63.25,67.87,7275158.0
2016-01-31,65.03,67.925,63.25,67.87,7275158.0
2016-02-01,68.2,69.13,66.46,68.7,5461273.0
2016-02-02,67.36,67.5,64.93,65.28,6879727.0
2016-02-03,65.44,65.78,59.4,60.94,12700515.0
2016-02-04,61.23,62.83,60.2,61.79,10085582.0
2016-02-05,61.0,61.77,56.93,57.12,9175118.0
2016-02-06,61.0,61.77,56.93,57.12,9175118.0
2016-02-07,61.0,61.77,56.93,57.12,9175118.0
2016-02-08,56.41,56.41,52.55,54.82,11496289.0
2016-02-09,54.37,56.28,53.89,54.82,6624793.0
2016-02-10,54.53,55.77,53.0,54.88,6825110.0
2016-02-11,53.83,56.02,53.39,55.57,8175184.0
2016-02-12,56.95,58.04,56.24,57.75,6712319.0
2016-02-13,56.95,58.04,56.24,57.75,6712319.0
2016-02-14,56.95,58.04,56.24,57.75,6712319.0
2016-02-15,56.95,58.04,56.24,57.75,6712319.0
2016-02-16,58.95,59.0,56.3,57.35,6990157.0
2016-02-17,57.85,58.63,56.98,57.77,5970668.0
2016-02-18,58.37,58.45,55.02,55.56,6812325.0
2016-02-19,55.03,57.08,54.95,57.05,5530098.0
2016-02-20,55.03,57.08,54.95,57.05,5530098.0
2016-02-21,55.03,57.08,54.95,57.05,5530098.0
2016-02-22,57.26,58.97,57.01,58.68,5023940.0
2016-02-23,59.4,59.4,57.35,57.49,5713297.0
2016-02-24,56.91,60.71,56.5,60.61,8503336.0
2016-02-25,60.88,61.22,59.17,60.69,5303012.0
2016-02-26,61.33,61.87,59.55,59.66,5374262.0
2016-02-27,61.33,61.87,59.55,59.66,5374262.0
2016-02-28,61.33,61.87,59.55,59.66,5374262.0
2016-02-29,60.23,60.78,59.6,60.08,5332374.0
2016-03-01,60.17,61.6,59.16,61.59,4506881.0
2016-03-02,61.58,62.99,60.76,62.08,5391627.0
2016-03-03,62.99,64.17,62.81,63.84,6239406.0
2016-03-04,64.5,64.66,62.14,63.89,7029897.0
2016-03-05,64.5,64.66,62.14,63.89,7029897.0
2016-03-06,64.5,64.66,62.14,63.89,7029897.0
2016-03-07,63.15,63.72,62.68,63.25,5197474.0
2016-03-08,62.78,63.88,62.275,62.33,5105717.0
2016-03-09,63.63,65.85,63.031000000000006,64.8,6116952.0
2016-03-10,64.87,64.87,63.0155,64.18,5400154.0
2016-03-11,64.34,65.4,63.4,65.37,4976762.0
2016-03-12,64.34,65.4,63.4,65.37,4976762.0
2016-03-13,64.34,65.4,63.4,65.37,4976762.0
2016-03-14,65.08,65.6,63.66,64.39,4234709.0
2016-03-15,63.71,64.96,63.2392,64.94,4649943.0
2016-03-16,64.8,66.28,64.73,65.94,4990154.0
2016-03-17,65.7,66.0,63.73,64.18,6442043.0
2016-03-18,63.85,65.66,63.13,65.16,9723938.0
2016-03-19,63.85,65.66,63.13,65.16,9723938.0
2016-03-20,63.85,65.66,63.13,65.16,9723938.0
2016-03-21,65.43,66.294,64.97,65.85,5072852.0
2016-03-22,65.6,66.89,65.21,66.07,4016407.0
2016-03-23,66.09,66.72,64.71,64.9,4293425.0
2016-03-24,64.54,65.87,64.34,65.84,4254806.0
2016-03-25,64.54,65.87,64.34,65.84,4254806.0
2016-03-26,64.54,65.87,64.34,65.84,4254806.0
2016-03-27,64.54,65.87,64.34,65.84,4254806.0
2016-03-28,65.8,66.29,64.922,65.24,3293673.0
2016-03-29,65.11,65.55,64.37,65.28,3554252.0
2016-03-30,64.74,65.7,63.59,63.98,4970552.0
2016-03-31,64.0,65.14,62.85,64.14,5731616.0
2016-04-01,63.59,63.68,62.51,62.91,4441896.0
2016-04-02,63.59,63.68,62.51,62.91,4441896.0
2016-04-03,63.59,63.68,62.51,62.91,4441896.0
2016-04-04,62.82,63.81,62.55,63.29,3466362.0
2016-04-05,63.09,63.855,62.73,63.14,3946247.0
2016-04-06,63.38,63.65,60.26,61.68,8103449.0
2016-04-07,61.53,62.42,60.94,61.66,4446073.0
2016-04-08,61.75,64.06,61.12,63.06,7235149.0
2016-04-09,61.75,64.06,61.12,63.06,7235149.0
2016-04-10,61.75,64.06,61.12,63.06,7235149.0
2016-04-11,62.39,62.69,60.69,60.74,6118660.0
2016-04-12,60.8,61.7,59.75,60.9,7139837.0
2016-04-13,61.66,62.7,61.055,62.55,4418869.0
2016-04-14,62.65,62.8,61.31,61.56,4140654.0
2016-04-15,61.42,61.82,59.43,59.49,6986009.0
2016-04-16,61.42,61.82,59.43,59.49,6986009.0
2016-04-17,61.42,61.82,59.43,59.49,6986009.0
2016-04-18,59.17,60.85,58.1,60.71,5606068.0
2016-04-19,61.03,61.4,59.71,60.11,6156583.0
2016-04-20,60.0,60.58,59.16,60.22,6518230.0
2016-04-21,60.22,60.8,59.255,60.65,5052973.0
2016-04-22,60.48,61.36,60.48,61.24,3973690.0
2016-04-23,60.48,61.36,60.48,61.24,3973690.0
2016-04-24,60.48,61.36,60.48,61.24,3973690.0
2016-04-25,61.25,61.91,60.88,61.77,4362243.0
2016-04-26,62.15,62.42,61.37,61.81,4214598.0
2016-04-27,61.77,62.535,60.8,62.19,4611742.0
2016-04-28,61.76,63.03,60.73,60.91,4581204.0
2016-04-29,60.47,60.75,58.54,58.87,6700653.0
2016-04-30,60.47,60.75,58.54,58.87,6700653.0
2016-05-01,60.47,60.75,58.54,58.87,6700653.0
2016-05-02,58.96,60.1,58.11,59.82,5419009.0
2016-05-03,58.03,58.97,57.05,57.63,8338522.0
2016-05-04,57.63,58.19,55.69,56.15,8052247.0
2016-05-05,56.72,56.99,55.346000000000004,55.61,6324950.0
2016-05-06,55.34,56.42,55.07,55.36,6734178.0
2016-05-07,55.34,56.42,55.07,55.36,6734178.0
2016-05-08,55.34,56.42,55.07,55.36,6734178.0
2016-05-09,55.23,55.39,54.0801,54.98,5390607.0
2016-05-10,55.23,56.19,55.21,56.0,4913724.0
2016-05-11,56.0,56.66,55.46,55.87,5687929.0
2016-05-12,56.19,56.36,54.45,54.78,4516634.0
2016-05-13,54.96,55.7,54.41,55.11,4555505.0
2016-05-14,54.96,55.7,54.41,55.11,4555505.0
2016-05-15,54.96,55.7,54.41,55.11,4555505.0
2016-05-16,55.27,55.375,53.87,55.19,5794808.0
2016-05-17,55.0,56.06,54.93,55.25,4382413.0
2016-05-18,55.36,57.405,55.3,56.44,5813422.0
2016-05-19,56.05,57.17,54.83,55.4,5244684.0
2016-05-20,55.59,56.3,55.15,56.13,3498375.0
2016-05-21,55.59,56.3,55.15,56.13,3498375.0
2016-05-22,55.59,56.3,55.15,56.13,3498375.0
2016-05-23,55.34,55.81,54.39,54.46,4635424.0
2016-05-24,55.02,55.54,54.56,55.35,5389642.0
2016-05-25,55.39,55.48,54.0,54.62,6709935.0
2016-05-26,54.87,54.89,53.51,54.09,5436677.0
2016-05-27,54.16,54.93,53.53,54.57,4437578.0
2016-05-28,54.16,54.93,53.53,54.57,4437578.0
2016-05-29,54.16,54.93,53.53,54.57,4437578.0
2016-05-30,54.16,54.93,53.53,54.57,4437578.0
2016-05-31,54.57,55.2,53.88,54.7,6194371.0
2016-06-01,54.46,56.08,54.46,55.75,6354700.0
2016-06-02,55.7,56.73,55.65,55.72,5520943.0
2016-06-03,55.55,55.75,54.38,55.15,4541524.0
2016-06-04,55.55,55.75,54.38,55.15,4541524.0
2016-06-05,55.55,55.75,54.38,55.15,4541524.0
2016-06-06,55.2,55.29,53.97,54.92,5254722.0
2016-06-07,55.11,56.145,54.92,55.64,5563256.0
2016-06-08,56.0,56.04,54.26,54.39,6276501.0
2016-06-09,54.14,54.235,53.37,53.81,6292227.0
2016-06-10,53.52,53.955,53.13,53.43,4673653.0
2016-06-11,53.52,53.955,53.13,53.43,4673653.0
2016-06-12,53.52,53.955,53.13,53.43,4673653.0
2016-06-13,53.13,53.25,50.89,51.02,8842566.0
2016-06-14,51.0,51.9,50.03,50.79,7431538.0
2016-06-15,50.45,51.78,50.15,51.29,8191989.0
2016-06-16,51.05,51.95,50.7,51.79,5707231.0
2016-06-17,51.91,52.66,51.36,51.71,7101985.0
2016-06-18,51.91,52.66,51.36,51.71,7101985.0
2016-06-19,51.91,52.66,51.36,51.71,7101985.0
2016-06-20,52.24,52.64,51.58,51.68,4519994.0
2016-06-21,51.7,52.69,51.27,52.47,4808923.0
2016-06-22,52.55,53.2,52.22,52.81,5301465.0
2016-06-23,53.4,53.93,53.32,53.71,5570390.0
2016-06-24,51.9,53.24,51.62,52.56,8054914.0
2016-06-25,51.9,53.24,51.62,52.56,8054914.0
2016-06-26,51.9,53.24,51.62,52.56,8054914.0
2016-06-27,52.07,52.17,50.75,51.13,6317933.0
2016-06-28,52.05,52.05,50.5322,51.83,7708675.0
2016-06-29,52.07,52.65,51.51,51.92,7510137.0
2016-06-30,51.81,51.94,49.91,51.0,10412869.0
2016-07-01,50.79,51.78,50.7566,51.43,5895648.0
2016-07-02,50.79,51.78,50.7566,51.43,5895648.0
2016-07-03,50.79,51.78,50.7566,51.43,5895648.0
2016-07-04,50.79,51.78,50.7566,51.43,5895648.0
2016-07-05,51.42,51.47,49.33,49.84,7934649.0
2016-07-06,49.57,49.74,47.38,48.66,11096122.0
2016-07-07,48.95,50.1,47.17,47.24,10444151.0
2016-07-08,47.62,48.42,46.88,47.73,9573650.0
2016-07-09,47.62,48.42,46.88,47.73,9573650.0
2016-07-10,47.62,48.42,46.88,47.73,9573650.0
2016-07-11,48.13,48.63,47.71,48.49,6177840.0
2016-07-12,48.98,49.32,48.56,49.25,7872196.0
2016-07-13,49.29,49.69,48.23,49.54,8155811.0
2016-07-14,49.96,50.46,49.42,50.4,5973104.0
2016-07-15,50.63,50.85,49.82,49.94,5729250.0
2016-07-16,50.63,50.85,49.82,49.94,5729250.0
2016-07-17,50.63,50.85,49.82,49.94,5729250.0
2016-07-18,49.85,50.897,49.4,50.43,5078169.0
2016-07-19,50.55,51.05,50.26,50.85,4878975.0
2016-07-20,51.06,51.15,50.5,50.78,4508521.0
2016-07-21,50.9,50.99,50.0,50.07,4554482.0
2016-07-22,50.06,50.28,49.33,49.88,6151302.0
2016-07-23,50.06,50.28,49.33,49.88,6151302.0
