Date,Open,High,Low,Close,Volume
2016-01-04,56.0,56.8,55.51,56.74,2820852.0
2016-01-04,56.0,56.8,55.51,56.74,2820852.0
2016-01-04,56.0,56.8,55.51,56.74,2820852.0
2016-01-04,56.0,56.8,55.51,56.74,2820852.0
2016-01-05,56.8,58.03,56.66,57.74,2014307.0
2016-01-06,57.67,57.78,56.725,57.21,2960255.0
2016-01-07,56.63,57.08,56.01,56.21,2580462.0
2016-01-08,56.38,56.84,56.01,56.26,3097679.0
2016-01-09,56.38,56.84,56.01,56.26,3097679.0
2016-01-10,56.38,56.84,56.01,56.26,3097679.0
2016-01-11,56.48,56.97,56.42,56.58,3296076.0
2016-01-12,56.79,56.79,55.42,55.89,2178474.0
2016-01-13,56.07,56.67,54.45,54.54,2917097.0
2016-01-14,54.37,55.07,54.07,54.64,2795413.0
2016-01-15,53.83,54.79,53.6,54.69,2527421.0
2016-01-16,53.83,54.79,53.6,54.69,2527421.0
2016-01-17,53.83,54.79,53.6,54.69,2527421.0
2016-01-18,53.83,54.79,53.6,54.69,2527421.0
2016-01-19,55.11,55.985,54.99,55.63,2556721.0
2016-01-20,55.21,55.39,51.51,52.92,5098100.0
2016-01-21,53.23,54.625,52.6,54.0,2731611.0
2016-01-22,54.78,56.35,54.43,55.5,3808712.0
2016-01-23,54.78,56.35,54.43,55.5,3808712.0
2016-01-24,54.78,56.35,54.43,55.5,3808712.0
2016-01-25,55.5,55.88,54.82,54.98,2744279.0
2016-01-26,55.03,56.12,55.03,55.94,2386315.0
2016-01-27,55.66,55.95,53.59,53.79,2824077.0
2016-01-28,54.09,54.73,53.55,53.79,2441332.0
2016-01-29,54.45,55.98,54.07,55.32,4209351.0
2016-01-30,54.45,55.98,54.07,55.32,4209351.0
2016-01-31,54.45,55.98,54.07,55.32,4209351.0
2016-02-01,54.86,55.95,54.425,55.48,2198419.0
2016-02-02,55.32,55.48,54.33,54.76,2921683.0
2016-02-03,55.11,56.43,54.7,56.0,2715436.0
2016-02-04,55.79,56.59,55.17,56.37,1645546.0
2016-02-05,56.36,56.69,55.68,56.32,2748003.0
2016-02-06,56.36,56.69,55.68,56.32,2748003.0
2016-02-07,56.36,56.69,55.68,56.32,2748003.0
2016-02-08,56.32,56.59,52.75,53.71,4871702.0
2016-02-09,52.95,53.08,49.54,50.08,5726928.0
2016-02-10,50.24,51.08,49.95,50.0,4127622.0
2016-02-11,49.31,49.57,47.85,48.72,6501644.0
2016-02-12,48.75,49.91,46.87,48.43,5134543.0
2016-02-13,48.75,49.91,46.87,48.43,5134543.0
2016-02-14,48.75,49.91,46.87,48.43,5134543.0
2016-02-15,48.75,49.91,46.87,48.43,5134543.0
2016-02-16,48.76,49.86,47.935,49.72,3817969.0
2016-02-17,49.82,50.94,49.73,50.48,2444548.0
2016-02-18,50.52,51.96,50.2868,51.6,2126281.0
2016-02-19,51.43,52.68,50.92,52.19,2765905.0
2016-02-20,51.43,52.68,50.92,52.19,2765905.0
2016-02-21,51.43,52.68,50.92,52.19,2765905.0
2016-02-22,52.72,53.26,52.5,52.99,1590938.0
2016-02-23,52.99,54.12,52.71,53.41,2183493.0
2016-02-24,53.32,53.98,52.97,53.85,1662268.0
2016-02-25,54.05,55.095,53.89,55.08,2102223.0
2016-02-26,55.08,55.99,54.99,55.39,2114948.0
2016-02-27,55.08,55.99,54.99,55.39,2114948.0
2016-02-28,55.08,55.99,54.99,55.39,2114948.0
2016-02-29,55.47,56.58,55.39,55.67,2823008.0
2016-03-01,56.47,57.58,55.98,57.57,2101189.0
2016-03-02,57.36,58.47,57.26,58.41,2158981.0
2016-03-03,58.18,58.19,56.27,56.71,5490391.0
