Date,Open,High,Low,Close,Volume
2016-01-04,83.7,83.77,82.12,83.05,6347625.0
2016-01-04,83.7,83.77,82.12,83.05,6347625.0
2016-01-04,83.7,83.77,82.12,83.05,6347625.0
2016-01-04,83.7,83.77,82.12,83.05,6347625.0
2016-01-05,82.79,83.08,80.83,80.87,7603141.0
2016-01-06,80.54,81.26,79.43,79.63,11659237.0
2016-01-07,82.4,82.4,79.03,81.17,11361954.0
2016-01-08,81.88,83.0,80.92,81.05,9767884.0
2016-01-09,81.88,83.0,80.92,81.05,9767884.0
2016-01-10,81.88,83.0,80.92,81.05,9767884.0
2016-01-11,81.77,82.35,79.86,81.02,5354945.0
2016-01-12,81.58,81.98,80.81,81.82,4143791.0
2016-01-13,81.83,82.1925,79.62,79.93,5080484.0
2016-01-14,80.0,82.7399,79.78,81.87,5895150.0
2016-01-15,79.48,80.75,78.95,79.93,7606711.0
2016-01-16,79.48,80.75,78.95,79.93,7606711.0
2016-01-17,79.48,80.75,78.95,79.93,7606711.0
2016-01-18,79.48,80.75,78.95,79.93,7606711.0
2016-01-19,80.92,81.64,79.86,80.7,6292106.0
2016-01-20,79.2,80.22,77.0,79.45,5386636.0
2016-01-21,79.45,79.921,78.53,78.98,4449293.0
2016-01-22,80.63,81.09,79.61,80.84,3449158.0
2016-01-23,80.63,81.09,79.61,80.84,3449158.0
2016-01-24,80.63,81.09,79.61,80.84,3449158.0
2016-01-25,80.62,80.94,78.56,78.71,3405804.0
2016-01-26,78.8,79.8,78.8,79.44,3559399.0
2016-01-27,79.98,80.46,77.97,78.45,3473999.0
2016-01-28,78.85,78.9299,76.62,77.61,4436198.0
2016-01-29,78.58,79.74,77.14,79.72,4906839.0
2016-01-30,78.58,79.74,77.14,79.72,4906839.0
2016-01-31,78.58,79.74,77.14,79.72,4906839.0
2016-02-01,78.89,80.71,78.32,80.07,4964054.0
2016-02-02,79.09,79.29,77.71,78.0,4313176.0
2016-02-03,78.43,78.7,76.05,76.81,4465353.0
2016-02-04,76.76,77.327,75.11,77.19,5420906.0
2016-02-05,76.59,77.39,74.79,75.2,6224201.0
2016-02-06,76.59,77.39,74.79,75.2,6224201.0
2016-02-07,76.59,77.39,74.79,75.2,6224201.0
2016-02-08,74.18,74.18,71.5,72.91,8962588.0
2016-02-09,72.55,75.69,72.14,74.93,7227357.0
2016-02-10,75.66,77.505,75.0,76.01,4141462.0
2016-02-11,74.85,76.116,73.88,75.53,5069260.0
2016-02-12,76.59,77.11,75.84,77.08,4213487.0
2016-02-13,76.59,77.11,75.84,77.08,4213487.0
2016-02-14,76.59,77.11,75.84,77.08,4213487.0
2016-02-15,76.59,77.11,75.84,77.08,4213487.0
2016-02-16,78.2,78.2,76.17,76.55,4814972.0
2016-02-17,77.19,78.24,76.63,78.16,4256222.0
2016-02-18,77.5,77.99,76.44,76.55,4059932.0
2016-02-19,76.44,77.59,75.95,77.57,4079248.0
2016-02-20,76.44,77.59,75.95,77.57,4079248.0
2016-02-21,76.44,77.59,75.95,77.57,4079248.0
2016-02-22,78.4,78.88,77.75,78.8,3348878.0
2016-02-23,78.47,78.94,77.695,78.73,3835688.0
2016-02-24,78.05,79.43,77.91,79.43,3593852.0
2016-02-25,79.48,79.94,78.56,79.92,3355783.0
2016-02-26,80.0,80.05,78.87,79.57,4507330.0
2016-02-27,80.0,80.05,78.87,79.57,4507330.0
2016-02-28,80.0,80.05,78.87,79.57,4507330.0
2016-02-29,79.35,79.93,78.79,78.94,3231341.0
2016-03-01,79.92,80.55,79.52,80.35,4244448.0
2016-03-02,80.3,80.4869,78.63,79.46,4137664.0
2016-03-03,79.36,79.975,78.33,79.92,2542703.0
2016-03-04,80.0,80.09,79.04,79.45,2118954.0
2016-03-05,80.0,80.09,79.04,79.45,2118954.0
2016-03-06,80.0,80.09,79.04,79.45,2118954.0
2016-03-07,78.88,80.03,78.61,79.15,3588454.0
2016-03-08,78.94,81.45,78.71,80.39,3927727.0
2016-03-09,80.94,83.1,80.63,81.6,5018378.0
2016-03-10,81.6,81.847,79.47,80.66,3582172.0
2016-03-11,81.44,81.58,80.82,81.41,2545602.0
2016-03-12,81.44,81.58,80.82,81.41,2545602.0
2016-03-13,81.44,81.58,80.82,81.41,2545602.0
2016-03-14,81.12,81.86,81.0,81.52,1874276.0
2016-03-15,80.91,81.82,80.9,81.32,1974838.0
2016-03-16,81.21,82.22,80.94,82.1,3235866.0
2016-03-17,81.41,83.44,81.41,83.3,3833618.0
2016-03-18,83.76,84.58,83.06,83.94,9460311.0
2016-03-19,83.76,84.58,83.06,83.94,9460311.0
2016-03-20,83.76,84.58,83.06,83.94,9460311.0
2016-03-21,83.86,84.0553,83.49,83.55,2602083.0
2016-03-22,83.16,83.335,82.26,82.8,2787412.0
2016-03-23,82.82,83.05,82.08,82.34,2114083.0
2016-03-24,82.24,82.34,81.72,82.33,1946972.0
2016-03-25,82.24,82.34,81.72,82.33,1946972.0
2016-03-26,82.24,82.34,81.72,82.33,1946972.0
2016-03-27,82.24,82.34,81.72,82.33,1946972.0
2016-03-28,82.33,83.22,82.06,82.79,1737975.0
2016-03-29,82.92,83.06,81.9419,83.02,2819755.0
2016-03-30,83.5,83.8595,83.03,83.63,2811276.0
2016-03-31,83.83,84.47,83.7,84.24,3820377.0
2016-04-01,84.24,86.84,84.02,86.7,6502507.0
2016-04-02,84.24,86.84,84.02,86.7,6502507.0
2016-04-03,84.24,86.84,84.02,86.7,6502507.0
2016-04-04,86.64,86.79,84.82,86.31,5114558.0
2016-04-05,85.77,86.0,82.55,83.36,9434206.0
2016-04-06,83.34,85.1,83.12,83.69,8017035.0
2016-04-07,83.38,83.54,81.2,81.3,5653162.0
2016-04-08,81.56,82.06,81.18,81.37,4172098.0
2016-04-09,81.56,82.06,81.18,81.37,4172098.0
2016-04-10,81.56,82.06,81.18,81.37,4172098.0
2016-04-11,81.72,82.14,81.015,81.15,3099899.0
2016-04-12,81.26,81.7,80.905,81.31,3624049.0
2016-04-13,81.95,82.0,80.82,81.08,5257250.0
2016-04-14,80.99,81.36,80.755,81.26,4038885.0
2016-04-15,81.77,81.83,81.12,81.44,3245253.0
