Date,Open,High,Low,Close,Volume
2016-01-05,123.43,126.25,122.31,125.84,2163572.0
2016-01-05,123.43,126.25,122.31,125.84,2163572.0
2016-01-05,123.43,126.25,122.31,125.84,2163572.0
2016-01-05,123.43,126.25,122.31,125.84,2163572.0
2016-01-06,125.24,125.54,119.94,119.98,2386461.0
2016-01-07,116.38,119.74,114.93,114.95,2489451.0
2016-01-08,115.48,117.44,113.5,116.62,2006267.0
2016-01-09,115.48,117.44,113.5,116.62,2006267.0
2016-01-10,115.48,117.44,113.5,116.62,2006267.0
2016-01-11,117.01,117.33,114.09,114.97,1408550.0
2016-01-12,115.51,116.06,114.5,115.55,1098024.0
2016-01-13,116.46,117.065,112.59,112.85,949576.0
2016-01-14,113.51,115.03,110.05,114.38,785469.0
2016-01-15,113.33,114.88,111.92,112.53,1093741.0
2016-01-16,113.33,114.88,111.92,112.53,1093741.0
2016-01-17,113.33,114.88,111.92,112.53,1093741.0
2016-01-18,113.33,114.88,111.92,112.53,1093741.0
2016-01-19,113.66,115.87,109.87,110.38,1523527.0
2016-01-20,109.06,111.6,108.32,109.3,1654181.0
2016-01-21,109.73,110.58,108.315,110.0,944335.0
2016-01-22,111.88,112.949,110.19,111.95,745066.0
2016-01-23,111.88,112.949,110.19,111.95,745066.0
2016-01-24,111.88,112.949,110.19,111.95,745066.0
2016-01-25,111.32,114.63,110.0,110.12,703799.0
2016-01-26,110.42,111.4,107.3025,111.0,563603.0
2016-01-27,110.77,112.57,109.02,110.71,896948.0
2016-01-28,110.9,112.97,109.9,112.58,680420.0
2016-01-29,113.35,114.59,111.67,114.47,749928.0
2016-01-30,113.35,114.59,111.67,114.47,749928.0
2016-01-31,113.35,114.59,111.67,114.47,749928.0
2016-02-01,114.0,114.85,112.9,114.5,574170.0
2016-02-02,113.25,113.86,109.75,110.56,694826.0
2016-02-03,113.38,114.64,109.64,114.05,896326.0
2016-02-04,114.08,116.32,114.08,115.71,956336.0
2016-02-05,115.12,116.49,109.71,114.02,997061.0
2016-02-06,115.12,116.49,109.71,114.02,997061.0
2016-02-07,115.12,116.49,109.71,114.02,997061.0
2016-02-08,113.3,113.3,110.46,111.16,1200452.0
2016-02-09,111.17,112.10799999999999,109.64,110.65,1725244.0
2016-02-10,106.73,112.1099,106.36,107.52,1945964.0
2016-02-11,105.63,109.255,104.11,107.13,1319536.0
2016-02-12,108.56,109.4275,107.07,107.84,922402.0
2016-02-13,108.56,109.4275,107.07,107.84,922402.0
2016-02-14,108.56,109.4275,107.07,107.84,922402.0
2016-02-15,108.56,109.4275,107.07,107.84,922402.0
2016-02-16,109.11,111.3,107.01,110.77,1185091.0
2016-02-17,110.83,112.11,107.9699,111.24,922004.0
2016-02-18,111.12,112.2,108.93,111.6,441403.0
2016-02-19,111.37,112.395,107.28,110.33,1244745.0
2016-02-20,111.37,112.395,107.28,110.33,1244745.0
2016-02-21,111.37,112.395,107.28,110.33,1244745.0
2016-02-22,111.36,113.23,111.01,113.04,681534.0
2016-02-23,112.37,112.8,111.35,111.89,411236.0
2016-02-24,110.77,112.49,109.82,111.56,447282.0
2016-02-25,111.6,112.99,110.75,112.88,559882.0
2016-02-26,113.34,114.18,111.01,112.75,460167.0
2016-02-27,113.34,114.18,111.01,112.75,460167.0
2016-02-28,113.34,114.18,111.01,112.75,460167.0
2016-02-29,113.04,115.36,111.65,113.32,971565.0
2016-03-01,114.27,115.57,112.65,115.51,694078.0
2016-03-02,115.35,117.09,115.2,116.78,1159689.0
2016-03-03,116.49,117.67,115.42,117.0,884727.0
2016-03-04,116.61,117.48,115.5701,117.19,692422.0
2016-03-05,116.61,117.48,115.5701,117.19,692422.0
2016-03-06,116.61,117.48,115.5701,117.19,692422.0
2016-03-07,116.05,117.48,115.99,116.95,898185.0
