Date,Open,High,Low,Close,Volume
2016-01-04,89.2,91.45,87.485,90.0,1109999.0
2016-01-04,89.2,91.45,87.485,90.0,1109999.0
2016-01-04,89.2,91.45,87.485,90.0,1109999.0
2016-01-04,89.2,91.45,87.485,90.0,1109999.0
2016-01-05,91.13,92.41,89.17,90.58,1557512.0
2016-01-06,87.58,87.58,84.44,85.04,1276636.0
2016-01-07,82.8,86.51,81.484,81.86,1517959.0
2016-01-08,82.49,83.5,80.615,82.32,1167716.0
2016-01-09,82.49,83.5,80.615,82.32,1167716.0
2016-01-10,82.49,83.5,80.615,82.32,1167716.0
2016-01-11,82.63,83.13,79.41,80.74,1122629.0
2016-01-12,82.28,82.96,77.42,80.07,1614611.0
2016-01-13,81.43,83.49,79.05,80.09,1691488.0
2016-01-14,81.13,85.92,79.5901,84.96,2218738.0
2016-01-15,83.15,84.77,78.47,84.32,2370091.0
2016-01-16,83.15,84.77,78.47,84.32,2370091.0
2016-01-17,83.15,84.77,78.47,84.32,2370091.0
2016-01-18,83.15,84.77,78.47,84.32,2370091.0
2016-01-19,84.94,85.255,79.96,81.19,2232122.0
2016-01-20,79.39,79.89,72.77,77.66,3013682.0
2016-01-21,77.4,82.19,76.6,80.47,1945854.0
2016-01-22,84.8,87.02,81.17,84.37,2023222.0
2016-01-23,84.8,87.02,81.17,84.37,2023222.0
2016-01-24,84.8,87.02,81.17,84.37,2023222.0
2016-01-25,82.39,84.5,75.58,75.6,1812371.0
2016-01-26,77.91,81.5,74.77,81.37,1593220.0
2016-01-27,80.98,85.55,79.74,84.52,2325868.0
2016-01-28,90.5,91.24,86.83,88.88,2395050.0
2016-01-29,89.31,93.0,89.31,93.0,1836004.0
2016-01-30,89.31,93.0,89.31,93.0,1836004.0
2016-01-31,89.31,93.0,89.31,93.0,1836004.0
2016-02-01,90.8,91.41,86.31,87.23,1748520.0
2016-02-02,84.29,86.46,83.69,84.39,1703460.0
2016-02-03,86.09,89.64,83.98,89.56,1362799.0
2016-02-04,90.46,92.61,88.55,88.67,1460740.0
2016-02-05,87.52,88.08,83.94,84.87,1447389.0
2016-02-06,87.52,88.08,83.94,84.87,1447389.0
2016-02-07,87.52,88.08,83.94,84.87,1447389.0
2016-02-08,82.94,86.08,81.0,85.41,1257036.0
2016-02-09,84.03,85.05,80.99,81.95,1271144.0
2016-02-10,81.77,85.75,80.51,83.37,1718684.0
2016-02-11,81.44,82.11,77.62,81.16,1916772.0
2016-02-12,83.97,86.57,81.35,84.67,1541573.0
2016-02-13,83.97,86.57,81.35,84.67,1541573.0
2016-02-14,83.97,86.57,81.35,84.67,1541573.0
2016-02-15,83.97,86.57,81.35,84.67,1541573.0
2016-02-16,86.64,86.665,82.52,84.28,2012286.0
2016-02-17,82.04,85.9399,75.01,84.69,4837849.0
2016-02-18,86.0,86.0,80.19,82.6,2206900.0
2016-02-19,81.26,85.78,80.02,85.58,1969425.0
2016-02-20,81.26,85.78,80.02,85.58,1969425.0
2016-02-21,81.26,85.78,80.02,85.58,1969425.0
2016-02-22,87.4,88.66,86.045,87.9,1195657.0
2016-02-23,86.38,88.58,85.74,86.27,1399960.0
2016-02-24,84.04,86.36,82.26,84.88,1534248.0
2016-02-25,84.36,86.206,81.08,84.53,1823408.0
2016-02-26,86.51,87.19,84.645,85.58,1105491.0
2016-02-27,86.51,87.19,84.645,85.58,1105491.0
2016-02-28,86.51,87.19,84.645,85.58,1105491.0
2016-02-29,86.23,86.52,83.97,84.03,1456533.0
2016-03-01,84.75,86.07,81.795,85.96,1639763.0
2016-03-02,85.69,89.93,85.19,89.86,1503157.0
2016-03-03,89.01,91.03,87.36,88.09,1505189.0
2016-03-04,89.1,93.3,86.08,90.65,2276052.0
2016-03-05,89.1,93.3,86.08,90.65,2276052.0
2016-03-06,89.1,93.3,86.08,90.65,2276052.0
2016-03-07,90.48,95.5,90.28,95.47,2238129.0
2016-03-08,94.19,94.75,90.29,90.74,1813576.0
2016-03-09,93.32,93.47,89.75,92.7,1323536.0
2016-03-10,91.85,91.93,89.04,91.69,1231358.0
2016-03-11,93.65,95.29,93.23,94.47,1677969.0
2016-03-12,93.65,95.29,93.23,94.47,1677969.0
2016-03-13,93.65,95.29,93.23,94.47,1677969.0
2016-03-14,92.58,95.1,92.46,94.43,832162.0
2016-03-15,92.51,95.67,91.94,95.63,965650.0
2016-03-16,96.0,97.84,94.99,97.25,1508663.0
2016-03-17,98.6,99.18,97.08,98.14,1107237.0
2016-03-18,99.3,100.07,96.31,98.62,1715247.0
2016-03-19,99.3,100.07,96.31,98.62,1715247.0
2016-03-20,99.3,100.07,96.31,98.62,1715247.0
2016-03-21,98.36,99.47,95.87,96.87,882902.0
2016-03-22,95.74,97.74,94.73,97.33,900128.0
2016-03-23,96.19,97.97,94.05,94.47,931062.0
2016-03-24,92.31,96.01,91.335,95.62,1024087.0
2016-03-25,92.31,96.01,91.335,95.62,1024087.0
2016-03-26,92.31,96.01,91.335,95.62,1024087.0
2016-03-27,92.31,96.01,91.335,95.62,1024087.0
2016-03-28,95.66,96.49,93.675,95.45,971666.0
2016-03-29,93.33,96.98,93.0,96.75,772323.0
2016-03-30,98.74,99.08,95.82,96.56,1255695.0
2016-03-31,96.11,98.08,95.625,97.27,1024132.0
2016-04-01,94.83,98.63,94.52,97.76,1164745.0
2016-04-02,94.83,98.63,94.52,97.76,1164745.0
2016-04-03,94.83,98.63,94.52,97.76,1164745.0
2016-04-04,98.52,98.61,94.56,94.77,799269.0
2016-04-05,94.16,95.79,93.21,94.93,821035.0
2016-04-06,95.8,98.9,94.74,98.42,770387.0
2016-04-07,97.92,99.38,97.61,99.01,801616.0
2016-04-08,101.375,102.3,100.3103,101.6,810417.0
2016-04-09,101.375,102.3,100.3103,101.6,810417.0
2016-04-10,101.375,102.3,100.3103,101.6,810417.0
2016-04-11,102.61,103.26,101.89,102.92,1009418.0
2016-04-12,104.3,107.8,102.57,107.04,1500159.0
2016-04-13,106.98,107.12,104.48,106.31,1422037.0
2016-04-14,107.04,107.99,105.64,107.92,790759.0
2016-04-15,107.06,107.06,104.5,105.18,942540.0
2016-04-16,107.06,107.06,104.5,105.18,942540.0
2016-04-17,107.06,107.06,104.5,105.18,942540.0
2016-04-18,102.11,108.18,101.04,107.71,1041897.0
2016-04-19,109.08,110.32,107.69,108.0,1018055.0
2016-04-20,107.48,110.4,105.66,109.28,1072601.0
2016-04-21,109.77,109.96,106.25,106.82,1163062.0
2016-04-22,107.16,109.49,106.86,108.78,1216362.0
2016-04-23,107.16,109.49,106.86,108.78,1216362.0
2016-04-24,107.16,109.49,106.86,108.78,1216362.0
2016-04-25,107.99,109.48,105.34,106.19,958396.0
2016-04-26,107.58,111.85,107.015,111.26,1330883.0
2016-04-27,112.77,115.69,111.22,112.57,1175875.0
2016-04-28,111.6,113.65,109.52,109.82,798267.0
2016-04-29,110.25,111.86,106.92,108.88,1141234.0
2016-04-30,110.25,111.86,106.92,108.88,1141234.0
2016-05-01,110.25,111.86,106.92,108.88,1141234.0
2016-05-02,108.74,112.33,107.41,110.35,1439266.0
2016-05-03,108.1,108.74,104.045,105.37,1107759.0
2016-05-04,105.93,107.01,102.91,106.15,1753603.0
2016-05-05,109.59,113.87,106.83,113.68,2452600.0
2016-05-06,112.97,114.01,109.93,110.19,1409164.0
2016-05-07,112.97,114.01,109.93,110.19,1409164.0
2016-05-08,112.97,114.01,109.93,110.19,1409164.0
2016-05-09,109.54,111.1,106.85,110.46,1094852.0
2016-05-10,111.12,113.35,110.2,113.19,791552.0
2016-05-11,112.94,116.0,111.95,114.45,843387.0
2016-05-12,115.97,117.66,113.85,115.34,770240.0
2016-05-13,114.85,115.79,113.67,113.97,504645.0
2016-05-14,114.85,115.79,113.67,113.97,504645.0
2016-05-15,114.85,115.79,113.67,113.97,504645.0
2016-05-16,116.33,118.98,115.98,116.43,1028287.0
2016-05-17,116.51,117.83,115.07,116.33,893373.0
2016-05-18,115.87,118.1,115.0,116.12,736168.0
2016-05-19,114.21,115.735,112.81,115.42,1069181.0
2016-05-20,116.25,117.74,114.42,117.34,613838.0
2016-05-21,116.25,117.74,114.42,117.34,613838.0
2016-05-22,116.25,117.74,114.42,117.34,613838.0
2016-05-23,115.77,117.88,115.06,117.27,632701.0
2016-05-24,118.32,118.42,116.5,117.52,828763.0
2016-05-25,118.99,119.6,117.1,118.39,1104869.0
2016-05-26,119.8,120.44,118.14,118.54,904603.0
2016-05-27,117.74,117.93,115.58,117.85,847335.0
2016-05-28,117.74,117.93,115.58,117.85,847335.0
2016-05-29,117.74,117.93,115.58,117.85,847335.0
2016-05-30,117.74,117.93,115.58,117.85,847335.0
2016-05-31,118.55,119.2,115.7,116.28,1187430.0
2016-06-01,115.17,116.33,114.5,115.89,802132.0
2016-06-02,114.53,117.28,113.8,117.23,886042.0
2016-06-03,117.42,117.87,115.32,115.92,558234.0
2016-06-04,117.42,117.87,115.32,115.92,558234.0
2016-06-05,117.42,117.87,115.32,115.92,558234.0
2016-06-06,117.2,117.72,115.17,117.53,632954.0
2016-06-07,118.23,121.66,117.59,121.54,781296.0
2016-06-08,122.83,123.475,121.38,121.58,989092.0
2016-06-09,119.67,122.78,119.45,120.33,817448.0
2016-06-10,118.87,119.25,114.27,114.67,1086903.0
2016-06-11,118.87,119.25,114.27,114.67,1086903.0
2016-06-12,118.87,119.25,114.27,114.67,1086903.0
2016-06-13,114.08,115.27,113.27,113.59,1435394.0
2016-06-14,113.28,114.78,112.82,114.74,1136581.0
2016-06-15,114.24,115.31,112.42,114.07,1094203.0
2016-06-16,112.65,112.76,109.62,111.37,1138610.0
