Date,Open,High,Low,Close,Volume
2016-01-04,10.41,10.43,10.13,10.3,9122552.0
2016-01-04,10.41,10.43,10.13,10.3,9122552.0
2016-01-04,10.41,10.43,10.13,10.3,9122552.0
2016-01-04,10.41,10.43,10.13,10.3,9122552.0
2016-01-05,10.3,10.41,10.23,10.28,6482275.0
2016-01-06,10.13,10.19,10.03,10.15,6917866.0
2016-01-07,9.95,10.0,9.8,9.87,10666507.0
2016-01-08,9.94,9.99,9.54,9.59,11866649.0
2016-01-09,9.94,9.99,9.54,9.59,11866649.0
2016-01-10,9.94,9.99,9.54,9.59,11866649.0
2016-01-11,9.64,9.6601,9.24,9.4,9157092.0
2016-01-12,9.53,9.57,9.3,9.53,6416466.0
2016-01-13,9.59,9.61,9.2,9.22,5730900.0
2016-01-14,9.27,9.39,9.06,9.18,9522883.0
2016-01-15,8.93,9.12,8.84,9.1,9525299.0
2016-01-16,8.93,9.12,8.84,9.1,9525299.0
2016-01-17,8.93,9.12,8.84,9.1,9525299.0
2016-01-18,8.93,9.12,8.84,9.1,9525299.0
2016-01-19,9.23,9.25,8.81,8.91,7070057.0
2016-01-20,8.75,8.84,8.48,8.76,9355003.0
2016-01-21,8.75,9.12,8.665,9.04,9788842.0
2016-01-22,9.21,9.26,9.01,9.07,6479147.0
2016-01-23,9.21,9.26,9.01,9.07,6479147.0
2016-01-24,9.21,9.26,9.01,9.07,6479147.0
2016-01-25,9.04,9.19,8.94,9.1,9534612.0
2016-01-26,9.13,9.31,9.07,9.28,11234350.0
2016-01-27,9.23,9.44,9.165,9.23,9078040.0
2016-01-28,9.31,9.97,9.16,9.23,14405086.0
2016-01-29,9.3,9.89,9.27,9.75,21598317.0
2016-01-30,9.3,9.89,9.27,9.75,21598317.0
2016-01-31,9.3,9.89,9.27,9.75,21598317.0
2016-02-01,9.675,9.68,9.35,9.43,19089057.0
2016-02-02,9.33,9.36,8.91,8.95,17337437.0
2016-02-03,9.04,9.25,8.92,9.24,17875092.0
2016-02-04,9.25,9.51,9.2,9.37,9942432.0
2016-02-05,9.4,9.58,9.36,9.46,13074000.0
2016-02-06,9.4,9.58,9.36,9.46,13074000.0
2016-02-07,9.4,9.58,9.36,9.46,13074000.0
2016-02-08,9.34,9.39,8.96,9.05,13433245.0
2016-02-09,8.97,9.0,8.65,8.76,9444854.0
2016-02-10,8.84,8.99,8.79,8.88,8252198.0
2016-02-11,8.72,8.79,8.53,8.69,9124844.0
2016-02-12,8.72,8.85,8.64,8.77,7368884.0
2016-02-13,8.72,8.85,8.64,8.77,7368884.0
2016-02-14,8.72,8.85,8.64,8.77,7368884.0
2016-02-15,8.72,8.85,8.64,8.77,7368884.0
2016-02-16,8.9,9.04,8.72,9.02,8340007.0
2016-02-17,9.09,9.35,9.065,9.19,5996451.0
2016-02-18,9.23,9.37,9.18,9.34,6197443.0
2016-02-19,9.25,9.42,9.18,9.36,5869742.0
2016-02-20,9.25,9.42,9.18,9.36,5869742.0
2016-02-21,9.25,9.42,9.18,9.36,5869742.0
2016-02-22,9.44,9.61,9.42,9.59,6050467.0
2016-02-23,9.53,9.61,9.455,9.5,7095624.0
