Date,Open,High,Low,Close,Volume
2016-01-04,46.94,47.72,46.75,47.27,2871687.0
2016-01-04,46.94,47.72,46.75,47.27,2871687.0
2016-01-04,46.94,47.72,46.75,47.27,2871687.0
2016-01-04,46.94,47.72,46.75,47.27,2871687.0
2016-01-05,47.51,48.1,47.28,48.01,3117022.0
2016-01-06,47.27,48.35,47.256,48.02,4670537.0
2016-01-07,46.99,48.0,46.29,46.56,4324437.0
2016-01-08,46.94,47.57,45.65,45.88,4946099.0
2016-01-09,46.94,47.57,45.65,45.88,4946099.0
2016-01-10,46.94,47.57,45.65,45.88,4946099.0
2016-01-11,46.1,46.34,43.825,44.58,4306864.0
2016-01-12,43.87,45.05,43.25,44.97,7774895.0
2016-01-13,45.25,45.33,43.03,43.25,4197604.0
2016-01-14,43.34,44.4,42.66,44.13,4794946.0
2016-01-15,43.0,43.85,42.77,43.38,4529139.0
2016-01-16,43.0,43.85,42.77,43.38,4529139.0
2016-01-17,43.0,43.85,42.77,43.38,4529139.0
2016-01-18,43.0,43.85,42.77,43.38,4529139.0
2016-01-19,44.11,44.7235,42.73,43.19,4594992.0
2016-01-20,42.57,44.28,42.41,43.79,5212889.0
2016-01-21,43.79,43.92,42.98,43.08,3777590.0
2016-01-22,43.59,43.82,43.1,43.4,3397483.0
2016-01-23,43.59,43.82,43.1,43.4,3397483.0
2016-01-24,43.59,43.82,43.1,43.4,3397483.0
2016-01-25,43.25,43.765,43.06,43.2,2364183.0
2016-01-26,43.3,44.06,43.15,43.87,3797639.0
2016-01-27,43.67,44.36,42.795,43.15,3242486.0
2016-01-28,43.4,43.575,42.71,42.84,5660560.0
2016-01-29,43.2,43.36,42.61,43.05,7032635.0
2016-01-30,43.2,43.36,42.61,43.05,7032635.0
2016-01-31,43.2,43.36,42.61,43.05,7032635.0
2016-02-01,43.0,43.39,42.51,42.96,4703045.0
2016-02-02,42.43,42.53,41.37,41.72,3441505.0
2016-02-03,41.84,42.0,40.45,41.31,5145113.0
2016-02-04,41.15,41.95,40.93,41.54,3949771.0
2016-02-05,41.32,41.51,40.61,40.91,4058061.0
2016-02-06,41.32,41.51,40.61,40.91,4058061.0
2016-02-07,41.32,41.51,40.61,40.91,4058061.0
2016-02-08,40.4,40.71,39.5901,40.19,4314301.0
2016-02-09,39.58,40.96,39.39,39.86,6277573.0
2016-02-10,40.17,40.48,39.25,39.33,6629167.0
2016-02-11,38.98,39.5275,38.26,39.36,8058209.0
2016-02-12,39.81,40.48,39.21,40.43,6734704.0
2016-02-13,39.81,40.48,39.21,40.43,6734704.0
2016-02-14,39.81,40.48,39.21,40.43,6734704.0
2016-02-15,39.81,40.48,39.21,40.43,6734704.0
2016-02-16,41.66,41.865,39.73,40.43,5614323.0
2016-02-17,40.78,42.0,40.47,41.8,7226927.0
2016-02-18,41.56,42.37,41.53,42.02,5350351.0
2016-02-19,42.07,42.23,41.3981,41.83,3844525.0
2016-02-20,42.07,42.23,41.3981,41.83,3844525.0
2016-02-21,42.07,42.23,41.3981,41.83,3844525.0
2016-02-22,42.12,42.83,41.79,42.77,3476629.0
2016-02-23,42.58,43.2,42.29,42.37,2498957.0
2016-02-24,41.94,42.42,41.25,42.37,3086771.0
2016-02-25,42.37,42.92,41.785,42.9,4135866.0
2016-02-26,42.99,43.34,42.22,42.36,2654311.0
2016-02-27,42.99,43.34,42.22,42.36,2654311.0
2016-02-28,42.99,43.34,42.22,42.36,2654311.0
2016-02-29,42.1,42.17,41.05,41.06,3550440.0
2016-03-01,41.49,42.14,40.88,42.1,5280733.0
2016-03-02,41.91,42.18,41.51,41.72,2508011.0
2016-03-03,41.72,41.85,40.7,41.08,4473742.0
2016-03-04,41.08,41.32,40.615,40.8,3557937.0
2016-03-05,41.08,41.32,40.615,40.8,3557937.0
2016-03-06,41.08,41.32,40.615,40.8,3557937.0
2016-03-07,40.6,41.43,40.46,41.2,3540458.0
2016-03-08,40.84,41.14,40.16,40.23,3259137.0
2016-03-09,40.55,40.6,39.84,40.46,4083719.0
2016-03-10,39.92,40.61,39.35,39.91,7999495.0
2016-03-11,40.2,41.905,40.02,41.87,5890901.0
2016-03-12,40.2,41.905,40.02,41.87,5890901.0
2016-03-13,40.2,41.905,40.02,41.87,5890901.0
2016-03-14,41.63,41.71,41.07,41.31,3338468.0
2016-03-15,41.06,41.09,39.97,40.72,7035117.0
2016-03-16,40.86,40.86,40.1,40.46,5147364.0
2016-03-17,40.49,40.67,39.5201,39.72,7288060.0
2016-03-18,39.92,41.04,39.8,40.86,5812842.0
2016-03-19,39.92,41.04,39.8,40.86,5812842.0
2016-03-20,39.92,41.04,39.8,40.86,5812842.0
2016-03-21,40.91,42.03,40.88,41.62,5461655.0
2016-03-22,41.59,42.885,41.59,42.75,7592572.0
2016-03-23,42.8,42.84,42.15,42.64,5261521.0
2016-03-24,42.27,43.06,42.13,42.48,4796624.0
2016-03-25,42.27,43.06,42.13,42.48,4796624.0
2016-03-26,42.27,43.06,42.13,42.48,4796624.0
2016-03-27,42.27,43.06,42.13,42.48,4796624.0
2016-03-28,42.49,42.64,41.97,42.18,2038308.0
2016-03-29,42.0,43.14,41.86,43.12,2763536.0
2016-03-30,43.24,44.38,43.23,44.02,5311700.0
2016-03-31,43.4,44.545,43.25,44.33,6326689.0
2016-04-01,44.02,45.06,43.9711,44.99,4549824.0
2016-04-02,44.02,45.06,43.9711,44.99,4549824.0
2016-04-03,44.02,45.06,43.9711,44.99,4549824.0
2016-04-04,45.1,46.04,45.03,45.76,5400569.0
2016-04-05,45.26,45.98,45.01,45.85,6004348.0
2016-04-06,45.8,47.6,45.7,47.27,6181360.0
2016-04-07,46.96,47.24,46.83,47.19,5865559.0
2016-04-08,47.36,47.46,46.54,46.94,4872705.0
2016-04-09,47.36,47.46,46.54,46.94,4872705.0
2016-04-10,47.36,47.46,46.54,46.94,4872705.0
2016-04-11,47.0,47.04,46.48,46.67,3962142.0
2016-04-12,46.84,47.115,46.6,47.01,3634764.0
2016-04-13,47.15,47.5,46.945,47.5,3295670.0
2016-04-14,47.27,47.96,47.12,47.67,3065321.0
2016-04-15,47.75,48.14,47.57,48.11,3189355.0
2016-04-16,47.75,48.14,47.57,48.11,3189355.0
2016-04-17,47.75,48.14,47.57,48.11,3189355.0
2016-04-18,47.98,48.78,47.77,48.57,3034017.0
2016-04-19,48.69,49.1,48.36,48.56,2426212.0
2016-04-20,48.56,48.72,47.89,48.47,2702109.0
2016-04-21,48.42,48.83,48.035,48.44,2998927.0
2016-04-22,48.54,48.95,48.18,48.64,2117646.0
2016-04-23,48.54,48.95,48.18,48.64,2117646.0
2016-04-24,48.54,48.95,48.18,48.64,2117646.0
2016-04-25,48.34,48.3619,47.211000000000006,47.32,5239550.0
2016-04-26,47.4,47.76,46.945,47.61,3360295.0
2016-04-27,47.61,47.81,47.34,47.46,2490103.0
2016-04-28,47.23,47.64,46.97,47.19,1888639.0
2016-04-29,47.16,47.31,46.62,47.03,3342808.0
2016-04-30,47.16,47.31,46.62,47.03,3342808.0
2016-05-01,47.16,47.31,46.62,47.03,3342808.0
2016-05-02,47.2,48.1,46.86600000000001,48.03,3705382.0
2016-05-03,47.89,48.37,47.62,48.15,4473739.0
2016-05-04,47.91,48.04,46.05,47.05,5430442.0
2016-05-05,47.32,48.28,47.03,48.24,3534534.0
2016-05-06,47.31,47.73,46.86,47.34,3499648.0
2016-05-07,47.31,47.73,46.86,47.34,3499648.0
2016-05-08,47.31,47.73,46.86,47.34,3499648.0
2016-05-09,47.38,48.025,47.12,47.5,6011174.0
2016-05-10,46.29,46.64,46.14,46.56,12371394.0
2016-05-11,46.5,46.85,45.99,46.0,5596451.0
2016-05-12,45.85,46.42,45.56,46.25,6171418.0
2016-05-13,46.35,46.6,46.03,46.39,3167516.0
2016-05-14,46.35,46.6,46.03,46.39,3167516.0
2016-05-15,46.35,46.6,46.03,46.39,3167516.0
2016-05-16,46.14,46.94,46.08,46.77,3694258.0
2016-05-17,46.71,46.92,46.23,46.5,2562566.0
2016-05-18,46.35,47.22,46.31,46.96,3498454.0
2016-05-19,46.79,46.93,45.92,46.43,2189232.0
2016-05-20,46.7,47.1,46.52,47.06,5065175.0
2016-05-21,46.7,47.1,46.52,47.06,5065175.0
2016-05-22,46.7,47.1,46.52,47.06,5065175.0
2016-05-23,47.0,47.04,46.4,46.4,2356010.0
2016-05-24,46.81,47.36,46.74,47.29,3450293.0
2016-05-25,47.39,47.56,46.88,47.0,4637693.0
2016-05-26,46.89,47.465,46.77,47.33,3116865.0
2016-05-27,47.54,47.68,47.095,47.18,2023188.0
2016-05-28,47.54,47.68,47.095,47.18,2023188.0
2016-05-29,47.54,47.68,47.095,47.18,2023188.0
2016-05-30,47.54,47.68,47.095,47.18,2023188.0
2016-05-31,47.42,47.7089,47.11,47.42,2804245.0
2016-06-01,47.49,48.0,47.23,47.85,2140723.0
2016-06-02,47.89,48.18,47.66,48.13,1751077.0
2016-06-03,48.09,48.11,47.43,47.93,2286990.0
2016-06-04,48.09,48.11,47.43,47.93,2286990.0
2016-06-05,48.09,48.11,47.43,47.93,2286990.0
2016-06-06,47.93,48.42,47.83,48.41,2006568.0
2016-06-07,48.08,48.525,47.89,48.35,2433152.0
2016-06-08,48.37,48.58,48.21,48.45,1827284.0
2016-06-09,48.36,48.68,47.92,48.14,2121841.0
2016-06-10,47.34,47.6,46.95,47.39,4378940.0
2016-06-11,47.34,47.6,46.95,47.39,4378940.0
2016-06-12,47.34,47.6,46.95,47.39,4378940.0
2016-06-13,47.17,47.32,46.15,46.19,2829876.0
2016-06-14,46.03,47.23,45.97,47.19,4245084.0
2016-06-15,47.19,47.71,47.13,47.22,3517855.0
2016-06-16,47.0,47.36,46.555,47.26,2366903.0
2016-06-17,47.21,47.26,46.44,46.44,4009953.0
2016-06-18,47.21,47.26,46.44,46.44,4009953.0
2016-06-19,47.21,47.26,46.44,46.44,4009953.0
2016-06-20,47.01,47.305,46.83,46.91,2543883.0
2016-06-21,47.13,47.365,46.675,47.29,2698758.0
2016-06-22,47.16,47.79,46.835,47.33,2640346.0
2016-06-23,47.6,47.9,47.44,47.9,2291503.0
2016-06-24,46.23,47.36,46.18,46.51,6423664.0
2016-06-25,46.23,47.36,46.18,46.51,6423664.0
2016-06-26,46.23,47.36,46.18,46.51,6423664.0
2016-06-27,46.3,46.59,45.28,45.42,5047270.0
2016-06-28,45.9,46.42,45.675,46.42,3628498.0
2016-06-29,46.88,47.38,46.68,47.24,3603850.0
2016-06-30,47.19,47.53,46.97,47.46,3769037.0
2016-07-01,47.5,47.98,47.35,47.45,2008304.0
2016-07-02,47.5,47.98,47.35,47.45,2008304.0
2016-07-03,47.5,47.98,47.35,47.45,2008304.0
2016-07-04,47.5,47.98,47.35,47.45,2008304.0
2016-07-05,47.18,47.63,46.835,47.5,2655385.0
2016-07-06,47.21,48.14,47.01,48.09,3451627.0
2016-07-07,48.1,48.17,47.46,47.69,2338037.0
2016-07-08,47.84,48.61,47.79,48.5,2851969.0
2016-07-09,47.84,48.61,47.79,48.5,2851969.0
2016-07-10,47.84,48.61,47.79,48.5,2851969.0
2016-07-11,48.58,48.68,48.28,48.29,2011628.0
2016-07-12,48.53,48.92,48.22,48.87,1824095.0
2016-07-13,49.07,49.28,48.94,49.19,2574381.0
2016-07-14,49.62,50.06,49.37,49.98,2618327.0
2016-07-15,50.08,50.27,49.52,49.68,2088057.0
2016-07-16,50.08,50.27,49.52,49.68,2088057.0
2016-07-17,50.08,50.27,49.52,49.68,2088057.0
2016-07-18,49.69,50.21,49.58,49.72,2757160.0
2016-07-19,49.5,49.74,49.0,49.37,2305367.0
2016-07-20,49.52,50.34,49.46,50.25,2530702.0
2016-07-21,50.21,50.39,50.01,50.14,1721719.0
2016-07-22,50.17,50.36,49.87,50.26,1308113.0
2016-07-23,50.17,50.36,49.87,50.26,1308113.0
2016-07-24,50.17,50.36,49.87,50.26,1308113.0
2016-07-25,50.19,50.24,49.725,49.99,2053656.0
