Date,Open,High,Low,Close,Volume
2016-01-04,102.62,102.65,100.97,101.83,2817024.0
2016-01-05,101.97,102.87,101.47,102.36,2408961.0
2016-01-06,100.81,103.06,100.54,102.16,3134204.0
2016-01-07,99.75,100.84,98.84,99.16,3194718.0
2016-01-08,99.48,99.81,98.0,98.2,2330210.0
2016-01-11,98.48,99.72,98.075,99.23,2734441.0
2016-01-12,99.96,101.29,99.435,101.01,2811046.0
2016-01-13,101.39,101.75,98.74,99.26,3160151.0
2016-01-14,99.12,102.47,98.91,101.88,4285458.0
2016-01-15,98.74,101.01,98.45,99.27,5184309.0
2016-01-19,100.16,101.95,99.78,101.38,3478187.0
2016-01-20,99.24,100.19,97.14,99.06,5245019.0
2016-01-21,99.04,99.91,98.0,98.29,4499267.0
2016-01-22,99.79,102.36,99.56,102.24,3609669.0
2016-01-25,102.21,103.15,101.24,101.75,2962051.0
2016-01-26,101.79,103.13,101.45,102.53,2925601.0
2016-01-27,102.67,103.6,101.33,101.96,3044295.0
2016-01-28,102.84,103.59,101.59,103.08,3378841.0
2016-01-29,103.37,105.65,103.24,105.54,4878504.0
2016-02-01,104.75,106.8,104.73,106.28,3693811.0
2016-02-02,105.27,105.62,103.45,103.82,2992925.0
2016-02-03,104.45,104.68,100.62,102.1,4535928.0
2016-02-04,102.22,103.02,101.38,102.73,3875394.0
2016-02-05,102.42,102.5881,98.58,98.97,3894459.0
2016-02-08,96.65,96.65,93.35,95.07,6681731.0
2016-02-09,94.01,95.08,91.4,93.32,6679491.0
2016-02-10,94.43,95.74,94.131,94.21,4649117.0
2016-02-11,92.54,93.92,92.25,93.43,4202794.0
2016-02-12,94.43,95.0,93.99,94.7,3122497.0
2016-02-16,96.24,97.09,95.48,96.91,3808270.0
2016-02-17,97.74,99.91,97.73,99.01,3741673.0
2016-02-18,99.62,101.12,98.31,98.52,2740777.0
2016-02-19,98.31,99.02,97.93,98.95,3229426.0
2016-02-22,100.158,100.59,99.58,100.35,2126278.0
2016-02-23,100.34,100.68,99.55,99.65,2359061.0
