Date,Open,High,Low,Close,Volume
2016-01-04,60.88,60.98,59.92,60.67,3339170.0
2016-01-05,60.71,60.97,60.39,60.53,2808796.0
2016-01-06,59.79,60.2,59.6,59.85,2868372.0
2016-01-07,58.79,59.66,58.31,58.44,3982556.0
2016-01-08,58.8,58.941,58.14,58.23,2883975.0
2016-01-11,58.39,58.63,57.59,58.02,3037291.0
2016-01-12,58.43,58.7399,57.81,58.65,2957902.0
2016-01-13,58.82,59.35,57.82,57.91,4225569.0
2016-01-14,57.97,59.18,57.97,58.42,3193336.0
2016-01-15,56.91,58.56,56.03,58.13,5060193.0
2016-01-19,59.02,59.35,58.06,58.44,3082941.0
2016-01-20,57.5,58.48,57.14,57.99,4685457.0
2016-01-21,58.21,58.66,57.82,58.15,3858001.0
2016-01-22,58.91,59.0,58.2,58.53,2699576.0
2016-01-25,58.31,58.46,57.62,57.7,3852370.0
2016-01-26,58.05,58.68,57.88,58.18,2185096.0
2016-01-27,58.18,59.375,58.03,58.41,2891332.0
2016-01-28,58.83,59.4979,58.42,59.22,3191031.0
2016-01-29,59.68,60.61,59.43,60.6,3799209.0
2016-02-01,60.14,60.83,59.82,60.53,2667519.0
2016-02-02,60.01,60.5,59.76,59.97,2540585.0
2016-02-03,60.29,60.29,58.29,59.64,4765228.0
2016-02-04,60.475,62.2,60.475,62.05,5519955.0
2016-02-05,62.09,63.52,62.09,63.37,4617492.0
2016-02-08,62.87,63.54,62.355,63.33,3008508.0
2016-02-09,62.81,63.26,62.45,63.01,3743744.0
2016-02-10,63.27,63.94,62.89,62.98,2987480.0
2016-02-11,61.95,62.655,61.7,62.32,3020007.0
2016-02-12,63.02,64.31,62.86,63.91,3615267.0
2016-02-16,64.47,64.72,63.845,64.57,3502476.0
2016-02-17,64.69,65.2899,64.69,65.02,3342656.0
2016-02-18,64.91,65.0,64.07,64.3,4086419.0
2016-02-19,63.89,64.44,63.8,64.0,4300104.0
2016-02-22,64.5,64.6,64.2,64.44,2513674.0
2016-02-23,64.31,64.31,63.56,63.73,1973511.0
2016-02-24,63.35,64.125,62.78,63.95,2366705.0
2016-02-25,63.92,64.44,63.67,64.41,1935492.0
2016-02-26,64.53,64.71,64.21,64.32,2391399.0
2016-02-29,64.12,64.305,63.45,63.46,2284084.0
2016-03-01,63.84,64.81,63.59,64.81,2167703.0
2016-03-02,64.73,65.42,64.64,65.41,2215904.0
2016-03-03,65.4,65.47,65.0,65.31,1985356.0
2016-03-04,65.3,65.59,64.85,65.38,1629377.0
2016-03-07,64.81,65.32,64.75,65.03,1609161.0
2016-03-08,64.76,65.035,64.53,64.58,1789658.0
2016-03-09,64.79,64.92,64.33,64.53,1496694.0
2016-03-10,64.59,65.02,63.73,64.26,3071393.0
2016-03-11,64.93,65.71,64.71,65.52,2235342.0
2016-03-14,65.19,65.41,64.53,64.95,1744665.0
2016-03-15,64.51,66.055,64.38,65.92,2368178.0
2016-03-16,65.72,66.53,65.47,66.28,2162969.0
2016-03-17,66.33,67.45,66.07,67.2,2338034.0
2016-03-18,67.4,67.76,66.66,67.23,3777239.0
2016-03-21,66.93,67.16,66.59,66.84,1258002.0
2016-03-22,66.9,67.24,66.67,66.92,1551519.0
2016-03-23,66.91,67.01,66.52,66.66,2080461.0
2016-03-24,66.47,66.485,65.94,66.19,1396720.0
2016-03-28,66.34,66.99,66.21,66.82,1730218.0
2016-03-29,66.82,67.25,66.53,67.16,2484247.0
2016-03-30,67.26,67.9,67.145,67.72,1803014.0
2016-03-31,67.75,67.92,67.25,67.37,1692598.0
2016-04-01,67.24,68.33,67.015,68.23,1479085.0
2016-04-04,68.15,68.24,67.52,67.64,1323252.0
2016-04-05,67.32,67.41,66.64,66.7,1712072.0
2016-04-06,66.65,67.17,66.5,67.03,1624452.0
