Date,Open,High,Low,Close,Volume
2016-01-04,9.52,9.8,9.45,9.71,37917920.0
2016-01-05,9.72,9.77,9.16,9.27,39282507.0
2016-01-06,9.0,9.02,8.55,8.61,55193085.0
2016-01-07,8.39,8.51,8.23,8.27,34059690.0
2016-01-08,8.52,8.56,8.02,8.07,41713919.0
2016-01-11,8.29,8.29,7.9,8.0,47821243.0
2016-01-12,8.01,8.02,7.1,7.28,91353452.0
2016-01-13,7.32,7.44,7.08,7.13,45704261.0
2016-01-14,7.09,7.37,6.85,7.24,44283993.0
2016-01-15,6.94,7.02,6.77,6.9,52289783.0
2016-01-19,6.98,7.02,6.56,6.74,51930120.0
2016-01-20,6.51,6.805,6.14,6.74,67535516.0
2016-01-21,6.74,7.26,6.71,7.09,47623285.0
2016-01-22,7.29,7.42,6.83,6.87,34374770.0
2016-01-25,6.81,7.0,6.76,6.8,34000635.0
2016-01-26,6.89,7.18,6.765,7.14,36552382.0
2016-01-27,7.06,7.28,6.92,6.96,34529516.0
2016-01-28,7.17,7.19,6.82,7.0,26879958.0
2016-01-29,6.98,7.29,6.98,7.29,35766433.0
2016-02-01,7.38,7.38,7.11,7.21,26538783.0
2016-02-02,7.02,7.07,6.91,6.97,22161254.0
2016-02-03,7.06,7.57,6.85,7.55,33970808.0
2016-02-04,7.64,8.45,7.63,8.31,53790634.0
2016-02-05,8.14,8.5,7.88,8.12,42935420.0
2016-02-08,7.73,8.42,7.71,7.9,39533156.0
2016-02-09,7.72,7.945,7.58,7.81,27179166.0
2016-02-10,7.9,7.91,7.45,7.54,27192156.0
2016-02-11,7.36,7.55,7.11,7.33,31927287.0
2016-02-12,7.53,7.78,7.36,7.69,26028850.0
2016-02-16,7.8,8.13,7.68,8.12,22007341.0
2016-02-17,8.23,8.6,8.2,8.52,29085042.0
2016-02-18,8.54,8.56,8.08,8.12,29264958.0
2016-02-19,8.03,8.09,7.84,7.87,30913938.0
2016-02-22,8.04,8.93,8.04,8.91,55042328.0
2016-02-23,8.75,8.77,8.51,8.53,26508008.0
2016-02-24,8.26,8.785,8.25,8.76,31023446.0
2016-02-25,8.79,8.92,8.55,8.87,27662256.0
2016-02-26,9.12,9.21,8.82,8.87,22382485.0
2016-02-29,8.95,9.11,8.85,8.93,22076225.0
2016-03-01,9.12,9.1999,8.92,9.11,16218837.0
2016-03-02,9.15,9.7,9.1,9.62,49013562.0
2016-03-03,9.4,9.7,9.17,9.47,35531161.0
2016-03-04,9.59,10.04,9.42,9.57,40810117.0
2016-03-07,9.66,10.07,9.61,10.04,41967839.0
2016-03-08,9.77,9.9,9.29,9.33,37791045.0
2016-03-09,9.43,9.52,9.12,9.42,21773791.0
2016-03-10,9.38,9.63,9.22,9.59,24935541.0
2016-03-11,9.71,9.85,9.45,9.52,23367959.0
2016-03-14,9.41,9.8,9.36,9.67,21675802.0
2016-03-15,9.5,9.52,9.11,9.16,31471172.0
2016-03-16,9.19,9.77,9.1,9.74,34530663.0
2016-03-17,9.86,10.0,9.73,9.94,39249813.0
2016-03-18,10.0,10.22,9.8,10.03,33625113.0
2016-03-21,9.94,10.04,9.71,9.89,19100751.0
2016-03-22,9.76,9.96,9.68,9.85,19842141.0
2016-03-23,9.69,9.8,9.25,9.32,25419537.0
2016-03-24,9.18,9.61,9.04,9.57,20733544.0
2016-03-28,9.67,9.84,9.4728,9.7,16501655.0
2016-03-29,9.55,9.75,9.37,9.72,24606647.0
2016-03-30,9.83,9.865,9.63,9.68,18461695.0
2016-03-31,9.7,9.86,9.53,9.58,19958236.0
2016-04-01,9.44,9.64,9.35,9.63,17569864.0
2016-04-04,9.58,9.765,9.37,9.4,19944846.0
2016-04-05,9.29,9.55,9.26,9.41,14686137.0
2016-04-06,9.42,9.54,9.26,9.5,16821429.0
2016-04-07,9.43,9.8,9.43,9.48,30590220.0
2016-04-08,9.7,9.73,9.35,9.37,35138968.0
2016-04-11,9.53,9.85,9.43,9.74,46195751.0
2016-04-12,9.34,9.5,9.16,9.48,66804444.0
2016-04-13,9.59,10.0715,9.515,9.79,48750587.0
2016-04-14,9.89,10.14,9.76,10.01,31399697.0
2016-04-15,9.98,10.15,9.94,10.01,26942807.0
2016-04-18,9.81,10.13,9.78,10.09,21007429.0
2016-04-19,10.18,10.53,10.16,10.53,26020299.0
2016-04-20,10.5,10.74,10.27,10.59,30380453.0
2016-04-21,10.68,10.71,10.35,10.42,23568592.0
2016-04-22,10.45,10.64,10.32,10.4,20160792.0
2016-04-25,10.31,10.35,10.1,10.16,19410525.0
2016-04-26,10.28,10.67,10.18,10.66,27220077.0
2016-04-27,10.76,11.36,10.74,11.31,46520690.0
2016-04-28,11.22,11.38,11.1,11.15,26842755.0
2016-04-29,11.28,11.5,11.07,11.17,41614769.0
2016-05-02,11.2,11.26,10.85,10.96,25916868.0
2016-05-03,10.68,10.73,10.26,10.35,30319229.0
2016-05-04,10.28,10.45,10.17,10.24,22621454.0
2016-05-05,10.32,10.38,9.94,10.02,22164075.0
2016-05-06,9.99,10.29,9.99,10.04,18440132.0
2016-05-09,9.86,9.86,9.44,9.46,33832537.0
2016-05-10,9.56,9.68,9.32,9.67,22266283.0
2016-05-11,9.69,9.79,9.54,9.54,16004627.0
2016-05-12,9.65,9.72,9.25,9.44,23042742.0
2016-05-13,9.35,9.54,9.18,9.2,18175456.0
2016-05-16,9.3,9.47,9.24,9.28,19887747.0
2016-05-17,9.27,9.45,9.13,9.3,19172899.0
2016-05-18,9.19,9.35,8.95,9.02,23239616.0
2016-05-19,8.92,9.13,8.78,9.12,24540637.0
2016-05-20,9.23,9.2789,9.02,9.11,18877286.0
2016-05-23,9.28,9.36,9.13,9.28,20362259.0
2016-05-24,9.38,9.55,9.26,9.42,18482222.0
2016-05-25,9.51,9.68,9.48,9.6,13999313.0
2016-05-26,9.77,9.81,9.435,9.51,15617169.0
2016-05-27,9.51,9.55,9.31,9.35,24152279.0
2016-05-31,9.37,9.48,9.24,9.27,21092567.0
2016-06-01,9.2,9.3,9.1,9.3,17001126.0
2016-06-02,9.25,9.4,9.18,9.33,13766298.0
2016-06-03,9.44,9.57,9.28,9.52,20748285.0
2016-06-06,9.63,9.86,9.63,9.84,15311266.0
2016-06-07,9.79,9.85,9.74,9.79,10596168.0
2016-06-08,9.98,10.075,9.88,9.89,16051701.0
2016-06-09,9.7,9.85,9.52,9.84,19690958.0
2016-06-10,9.65,9.75,9.45,9.49,18869258.0
2016-06-13,9.47,9.605,9.32,9.32,13053737.0
2016-06-14,9.29,9.37,9.01,9.1,23112831.0
2016-06-15,9.26,9.59,9.205,9.45,17772491.0
2016-06-16,9.28,9.41,9.15,9.39,13628317.0
2016-06-17,9.45,9.65,9.41,9.58,29220778.0
2016-06-20,9.74,9.95,9.72,9.76,16913464.0
2016-06-21,9.73,9.9,9.67,9.86,13632293.0
2016-06-22,9.92,10.15,9.85,9.89,19499727.0
2016-06-23,10.08,10.17,9.98,10.15,20513118.0
2016-06-24,9.56,9.7371,9.35,9.38,34008134.0
2016-06-27,9.28,9.3,8.95,9.1,21888360.0
2016-06-28,9.35,9.38,9.1857,9.33,18175778.0
2016-06-29,9.51,9.52,9.01,9.1,37163307.0
2016-06-30,9.19,9.28,9.02,9.27,24791907.0
2016-07-01,9.28,9.59,9.2668,9.55,18305264.0
2016-07-05,9.46,9.49,9.17,9.26,16360244.0
2016-07-06,9.16,9.25,9.03,9.19,24554124.0
2016-07-07,9.26,9.45,9.25,9.34,22172246.0
2016-07-08,9.45,9.88,9.44,9.82,25929543.0
2016-07-11,9.96,10.175,9.87,10.14,37067004.0
2016-07-12,10.7,10.8,10.43,10.69,53413003.0
2016-07-13,10.74,10.78,10.54,10.71,24221388.0
2016-07-14,10.82,10.9,10.67,10.71,22308436.0
2016-07-15,10.72,10.96,10.71,10.92,23041586.0
2016-07-18,10.82,10.94,10.715,10.92,16341479.0
2016-07-19,10.73,10.78,10.62,10.63,14782576.0
2016-07-20,10.51,10.63,10.35,10.61,16304769.0
2016-07-21,10.67,10.86,10.53,10.6,15082555.0
2016-07-22,10.58,10.66,10.49,10.57,10183503.0
2016-07-25,10.54,10.55,10.4,10.49,13843850.0
2016-07-26,10.45,10.67,10.42,10.67,12572836.0
2016-07-27,10.76,10.97,10.521,10.74,20987096.0
2016-07-28,10.67,10.7267,10.485,10.68,13795343.0
2016-07-29,10.61,10.65,10.42,10.62,16418375.0
2016-08-01,10.55,10.595,10.46,10.47,11610200.0
