Date,Open,High,Low,Close,Volume
2016-01-04,38.05,38.09,36.98,37.62,8926113.0
2016-01-05,37.79,37.8913,36.94,37.14,11150973.0
2016-01-06,36.32,36.8,36.08,36.79,17867263.0
2016-01-07,35.79,37.01,35.43,36.27,10489201.0
2016-01-08,36.79,36.8,35.54,35.71,8412722.0
2016-01-11,35.9,36.6499,35.79,36.21,8152172.0
2016-01-12,36.65,37.8325,36.53,37.12,6984474.0
2016-01-13,37.48,37.48,34.695,34.86,53119744.0
2016-01-14,34.92,35.66,34.17,35.4,9527731.0
2016-01-15,34.31,35.35,33.51,34.91,11935770.0
2016-01-19,35.52,35.63,34.695,35.15,5843582.0
2016-01-20,34.53,35.06,33.4605,34.71,8084337.0
2016-01-21,34.79,35.45,34.38,34.56,8859547.0
2016-01-22,35.08,36.205,34.82,35.92,6601850.0
2016-01-25,35.76,35.87,34.63,34.73,8582477.0
2016-01-26,34.85,35.46,34.83,35.3,5502524.0
2016-01-27,35.25,35.4025,33.925,34.07,7862604.0
2016-01-28,34.53,34.9299,33.17,33.79,13813633.0
2016-01-29,33.63,34.88,32.55,34.82,20543854.0
2016-02-01,34.6,35.26,34.43,34.67,8915948.0
2016-02-02,34.24,34.57,33.12,33.42,8704679.0
2016-02-03,33.81,33.85,32.33,33.12,10319356.0
2016-02-04,33.14,33.25,31.3349,31.94,17559834.0
2016-02-05,31.77,31.8,30.39,30.53,17261322.0
2016-02-08,29.69,29.89,28.13,28.72,17084103.0
2016-02-09,28.41,29.75,28.05,28.81,14216661.0
2016-02-10,29.06,30.55,29.0501,30.15,14315513.0
2016-02-11,29.6,30.72,29.49,30.52,17176408.0
2016-02-12,28.66,29.04,26.49,28.12,42849840.0
2016-02-16,28.56,29.65,28.55,29.42,15564925.0
2016-02-17,29.76,30.02,29.32,29.45,15154864.0
2016-02-18,29.88,30.0,28.79,28.88,8244215.0
2016-02-19,28.85,30.35,28.6501,30.19,11537093.0
2016-02-22,30.51,31.85,30.48,31.52,10578978.0
2016-02-23,31.35,31.91,30.55,30.73,9504124.0
2016-02-24,30.44,31.77,30.24,31.71,8306824.0
2016-02-25,31.98,32.62,31.75,32.32,8611407.0
2016-02-26,32.38,32.625,31.65,31.89,7114277.0
2016-02-29,31.73,32.22,31.32,31.67,7479277.0
2016-03-01,31.96,32.4,31.45,32.21,7543561.0
2016-03-02,32.0,32.21,31.51,32.01,8292781.0
2016-03-03,31.81,31.8986,31.02,31.52,5454899.0
2016-03-04,31.84,31.84,30.7101,31.19,6125808.0
2016-03-07,31.0,31.48,30.51,30.98,7754692.0
2016-03-08,30.7,31.15,30.51,30.78,6919316.0
2016-03-09,30.82,31.05,30.37,30.86,6527104.0
2016-03-10,30.9,31.51,30.7,31.25,7588874.0
2016-03-11,31.51,32.035,31.475,31.52,7747237.0
2016-03-14,31.65,32.675,31.57,32.41,7123702.0
2016-03-15,32.34,32.87,32.18,32.48,5374000.0
2016-03-16,32.49,32.91,32.2,32.79,5080390.0
2016-03-17,32.68,33.08,32.02,32.6,6275617.0
2016-03-18,32.68,32.68,31.765,32.2,11477107.0
2016-03-21,32.23,32.32,31.81,32.04,3060517.0
2016-03-22,31.89,32.57,31.86,32.54,4683562.0
2016-03-23,32.48,32.81,32.42,32.58,4115875.0
2016-03-24,32.44,32.58,31.91,32.21,3764407.0
2016-03-28,32.1,32.335,31.71,32.14,3263309.0
2016-03-29,32.27,33.355,32.2458,33.24,6150603.0
2016-03-30,33.6,34.29,33.51,34.07,8355068.0
2016-03-31,33.98,34.5,33.7,33.84,7040449.0
2016-04-01,33.81,34.53,33.545,34.42,4998460.0
2016-04-04,34.42,34.66,33.955,34.23,4823265.0
2016-04-05,33.91,34.35,33.6,33.71,5673361.0
2016-04-06,33.89,34.175,33.54,34.0,4550220.0
2016-04-07,33.87,33.97,33.31,33.42,5795968.0
2016-04-08,33.7,34.16,33.52,33.97,4591958.0
2016-04-11,34.3,34.38,33.41,33.41,4487159.0
2016-04-12,33.43,33.66,33.03,33.48,5235925.0
2016-04-13,33.92,35.3,33.85,35.16,8358487.0
2016-04-14,35.29,35.29,34.78,34.91,3898193.0
2016-04-15,35.02,35.07,34.34,34.57,5357160.0
2016-04-18,34.56,35.45,34.13,35.44,4526670.0
2016-04-19,35.48,35.6,34.8,35.21,4159920.0
2016-04-20,35.34,35.445,34.9273,35.25,3502252.0
2016-04-21,35.17,35.44,34.96,35.19,3113908.0
2016-04-22,34.87,35.43,34.52,34.65,4673165.0
2016-04-25,34.61,34.96,34.56,34.92,2743370.0
2016-04-26,35.08,35.43,34.9906,35.21,3566958.0
2016-04-27,34.93,35.13,33.83,34.37,6867181.0
2016-04-28,34.24,34.87,33.78,33.9,5250207.0
2016-04-29,33.6,34.575,33.55,34.47,6444496.0
2016-05-02,34.7,34.75,33.94,34.58,7586322.0
2016-05-03,34.16,34.59,33.94,34.11,4309551.0
2016-05-04,33.82,34.34,33.61,34.28,5769819.0
2016-05-05,34.34,35.21,34.17,34.91,9968848.0
2016-05-06,36.99,38.0,36.66,37.87,19055942.0
2016-05-09,37.79,37.87,36.82,37.15,10815016.0
2016-05-10,37.23,37.27,36.06,36.41,14277764.0
2016-05-11,36.61,37.33,36.46,37.11,10242695.0
2016-05-12,37.17,37.99,37.05,37.91,8132287.0
2016-05-13,38.0,38.98,37.99,38.29,10209848.0
2016-05-16,38.45,39.48,38.31,39.39,7785309.0
2016-05-17,39.1,39.35,37.63,38.12,10669626.0
2016-05-18,37.98,38.72,37.86,38.47,7680492.0
2016-05-19,38.23,38.37,37.54,37.8,7602458.0
2016-05-20,37.81,37.9434,37.16,37.53,11641830.0
2016-05-23,37.63,37.995,37.31,37.73,5634642.0
2016-05-24,37.92,39.035,37.78,39.02,7620574.0
2016-05-25,39.19,39.55,38.6,38.95,7681127.0
2016-05-26,38.91,39.4,38.47,39.095,8255722.0
2016-05-27,39.13,39.99,39.07,39.34,6266336.0
2016-05-31,39.54,39.69,39.13,39.26,8466742.0
2016-06-01,39.26,39.29,38.51,38.65,8432241.0
2016-06-02,38.72,38.752,38.21,38.69,6581525.0
2016-06-03,38.69,38.91,37.63,37.81,9685230.0
2016-06-06,37.65,37.805,36.83,37.76,7727265.0
2016-06-07,37.95,38.5,37.94,38.13,7315913.0
2016-06-08,38.1,38.2399,37.54,38.12,11260501.0
2016-06-09,37.99,39.02,37.95,38.54,23555740.0
2016-06-10,38.13,38.45,37.535,37.77,13435025.0
2016-06-13,37.53,38.21,37.36,37.63,7169483.0
2016-06-14,37.46,38.56,37.24,38.41,19995464.0
2016-06-15,38.46,38.82,38.02,38.33,10464780.0
2016-06-16,38.25,39.15,38.0001,39.03,10064275.0
2016-06-17,39.03,39.05,37.83,38.08,13336367.0
2016-06-20,38.56,38.96,38.36,38.69,9354231.0
2016-06-21,38.75,39.23,38.56,38.66,7156128.0
2016-06-22,38.74,38.89,38.21,38.32,4724984.0
2016-06-23,38.66,39.06,38.4,38.92,5674095.0
2016-06-24,37.5,38.05,36.82,36.98,23589159.0
2016-06-27,36.6,36.66,35.77,36.15,9340506.0
2016-06-28,36.66,37.215,36.4,37.18,6306628.0
2016-06-29,37.81,38.25,37.5,38.02,7641766.0
2016-06-30,38.23,39.98,38.1351,39.63,15052960.0
2016-07-01,39.69,40.705,39.4175,39.61,8179250.0
2016-07-05,39.4,40.15,39.28,40.15,7336655.0
2016-07-06,39.78,40.59,39.53,40.51,9232698.0
2016-07-07,40.52,40.77,40.14,40.39,6273067.0
2016-07-08,40.64,41.32,40.42,41.29,6617357.0
2016-07-11,41.44,42.26,41.17,42.2,14715566.0
2016-07-12,42.41,42.75,41.88,42.66,10545075.0
2016-07-13,42.79,43.05,42.045,42.11,11462318.0
2016-07-14,42.36,42.53,41.66,41.85,9624916.0
2016-07-15,41.96,42.23,41.75,42.2,5083640.0
2016-07-18,42.4,42.44,42.05,42.14,5927860.0
2016-07-19,42.0,42.07,41.4,41.52,9314028.0
2016-07-20,41.68,41.705,41.22,41.38,5973714.0
2016-07-21,41.41,41.82,41.06,41.27,6440267.0
2016-07-22,41.35,41.68,40.93,41.44,4454531.0
2016-07-25,41.96,42.63,41.6,42.4,9409834.0
2016-07-26,42.4,42.67,41.19,41.56,8253680.0
2016-07-27,41.52,41.64,40.79,40.89,13737820.0
2016-07-28,40.29,40.64,40.05,40.27,11111987.0
2016-07-29,40.3,40.88,39.73,40.16,13731035.0
2016-08-01,40.39,40.52,39.97,40.07,6581742.0
2016-08-02,40.07,40.24,39.53,39.75,6677419.0
2016-08-03,39.64,40.75,39.63,40.38,8760426.0
2016-08-04,40.94,41.105,40.53,40.83,10976806.0
2016-08-05,42.25,42.45,40.01,40.56,20866573.0
2016-08-08,40.73,40.91,40.45,40.61,8080238.0
2016-08-09,40.52,41.53,40.45,41.25,8535307.0
2016-08-10,41.14,41.51,41.0,41.1,5463528.0
2016-08-11,41.14,41.71,41.14,41.31,6542351.0
2016-08-12,41.14,41.3,40.83,41.14,6413933.0
2016-08-15,41.61,41.99,41.27,41.48,5800002.0
2016-08-16,40.25,40.75,39.29,39.31,26068591.0
2016-08-17,39.55,39.96,39.335,39.88,11513547.0
2016-08-18,39.99,40.32,39.84,40.02,7273083.0
2016-08-19,40.13,40.29,39.78,39.98,6064305.0
2016-08-22,39.99,40.17,39.81,40.12,4581906.0
2016-08-23,40.23,40.72,40.23,40.64,6391230.0
2016-08-24,40.68,40.75,40.44,40.67,5037760.0
2016-08-25,40.47,41.005,40.4,40.99,7901460.0
