Date,Open,High,Low,Close,Volume
2016-01-04,182.35,182.7,179.25,180.72,807006.0
2016-01-05,181.43,185.12,180.77,184.88,904250.0
2016-01-06,183.23,184.22,182.4,183.5,822612.0
2016-01-07,181.45,184.46,180.87,182.66,894936.0
2016-01-08,183.13,184.4,179.34,179.42,799265.0
2016-01-11,179.66,181.77,179.18,180.54,836869.0
2016-01-12,181.1,181.1,178.61,179.51,927595.0
2016-01-13,179.58,182.07,176.95,177.0,818955.0
2016-01-14,177.71,179.2899,175.8,176.18,876168.0
2016-01-15,174.44,178.9999,171.48,175.7,1018978.0
2016-01-19,177.03,179.13,175.49,178.35,1134984.0
2016-01-20,178.0,178.25,169.29,171.52,1135083.0
2016-01-21,172.66,173.67,170.34,171.3,827791.0
2016-01-22,173.16,174.85,172.16,174.33,693896.0
2016-01-25,174.88,177.48,173.31,174.27,850248.0
2016-01-26,174.73,178.5,174.73,178.0,881853.0
2016-01-27,177.56,178.025,174.51,175.59,625898.0
2016-01-28,175.15,176.06,170.02,170.74,1013959.0
2016-01-29,172.46,173.59,166.2,171.49,1897207.0
2016-02-01,170.87,173.82,170.02,171.97,830075.0
2016-02-02,172.43,173.47,168.215,168.42,953099.0
2016-02-03,169.76,170.48,166.16,169.09,1291085.0
2016-02-04,169.79,173.08,167.18,171.12,837209.0
2016-02-05,169.98,171.46,165.92,166.27,927205.0
2016-02-08,166.13,167.29,161.36,163.55,1077912.0
2016-02-09,162.17,164.28,160.66,161.11,932298.0
2016-02-10,162.2,166.016,161.51,164.53,794732.0
2016-02-11,161.77,163.15,160.81,161.56,910682.0
2016-02-12,163.29,164.82,161.995,164.42,873401.0
2016-02-16,165.85,165.87,162.79,165.37,1455324.0
2016-02-17,166.06,168.93,164.9,167.76,710844.0
2016-02-18,167.35,169.82,167.1,168.36,504460.0
2016-02-19,167.86,171.47,166.19,170.11,664904.0
2016-02-22,170.93,172.54,170.55,171.07,565388.0
2016-02-23,170.57,173.0399,168.12,170.47,442979.0
2016-02-24,169.87,172.355,168.16,169.73,866034.0
2016-02-25,171.0,172.98,169.94,172.71,541919.0
2016-02-26,172.67,172.89,170.85,171.42,636613.0
2016-02-29,171.42,174.02,171.045,171.64,1074652.0
2016-03-01,172.73,177.63,171.8401,177.63,1027093.0
2016-03-02,177.25,179.4,174.6,178.53,688048.0
2016-03-03,178.52,179.85,176.74,179.79,683859.0
2016-03-04,179.57,180.295,178.11,180.02,885275.0
2016-03-07,178.4,180.48,177.54,180.21,545815.0
2016-03-08,180.18,181.205,179.03,179.35,698896.0
2016-03-09,179.0,181.94,178.45,180.45,461949.0
2016-03-10,181.5,181.965,177.67,179.44,475722.0
2016-03-11,181.34,183.21,179.8,183.21,875026.0
2016-03-14,183.38,183.74,181.63,183.3,680445.0
2016-03-15,182.55,184.37,181.945,184.03,465010.0
2016-03-16,183.43,185.465,182.42,185.18,508831.0
2016-03-17,185.6,189.28,184.79,188.95,856394.0
2016-03-18,189.07,190.42,187.04,187.04,1372633.0
2016-03-21,187.04,187.66,184.27,185.03,653984.0
2016-03-22,185.1,186.8,184.88,185.85,543934.0
2016-03-23,186.04,186.59,184.96,185.51,543324.0
2016-03-24,185.1,185.58,183.84,185.09,493490.0
2016-03-28,186.05,187.45,185.2,186.93,639254.0
2016-03-29,185.7,189.65,185.6,189.61,860637.0
2016-03-30,190.35,190.49,188.72,188.83,650417.0
2016-03-31,189.21,190.2,188.22,190.2,929384.0
2016-04-01,189.87,190.5,188.72,189.87,551377.0
2016-04-04,190.1,190.83,188.18,189.7,498524.0
2016-04-05,188.82,190.06,188.5675,189.68,579868.0
2016-04-06,189.35,189.89,188.17,189.45,469311.0
2016-04-07,188.56,189.48,186.65,187.94,504310.0
2016-04-08,189.09,190.42,188.37,189.2,496598.0
2016-04-11,187.83,188.14,185.27,185.54,721564.0
2016-04-12,186.11,186.2,183.81,185.61,761075.0
2016-04-13,186.12,186.5,182.09,183.09,971276.0
2016-04-14,182.62,182.72,178.0,178.28,1100793.0
2016-04-15,177.93,182.23,177.2,181.42,708681.0
2016-04-18,181.78,183.11,180.3,183.11,754893.0
2016-04-19,182.98,183.64,182.31,183.62,608744.0
2016-04-20,183.92,184.39,179.35,179.41,707587.0
2016-04-21,179.0,181.12,176.76,177.62,865422.0
2016-04-22,178.77,180.73,177.98,180.17,575332.0
2016-04-25,179.68,181.67,179.68,181.65,481645.0
2016-04-26,182.01,184.23,180.9,181.75,494609.0
2016-04-27,180.46,180.47,175.68,179.52,1213520.0
2016-04-28,178.19,183.56,177.46,179.56,628902.0
2016-04-29,178.57,179.09,174.68,176.79,897259.0
2016-05-02,177.63,181.25,177.63,180.83,569540.0
2016-05-03,180.23,181.52,179.57,181.38,621698.0
2016-05-04,179.52,185.2299,178.98,185.15,1074126.0
2016-05-05,184.81,187.215,184.555,186.53,737385.0
2016-05-06,186.33,188.05,184.25,187.71,648266.0
2016-05-09,188.0,189.02,187.11,188.98,525875.0
2016-05-10,189.35,192.29,188.1,191.0,848095.0
2016-05-11,190.83,191.1,185.9,187.08,682012.0
2016-05-12,187.03,187.95,184.96,187.65,558654.0
2016-05-13,187.52,187.52,185.55,186.09,495275.0
2016-05-16,186.0,188.33,185.59,187.66,427809.0
2016-05-17,186.98,187.04,183.395,184.35,1165509.0
2016-05-18,184.34,184.34,179.81,181.86,846172.0
2016-05-19,179.64,180.54,178.24,179.31,678606.0
2016-05-20,179.91,180.89,179.0,180.44,900062.0
2016-05-23,181.05,181.06,179.57,180.21,370013.0
2016-05-24,181.76,183.02,179.28,180.09,994322.0
2016-05-25,180.73,181.31,178.75,180.81,920133.0
2016-05-26,180.86,180.91,179.24,179.94,939386.0
2016-05-27,180.38,182.2,178.9,180.15,857029.0
2016-05-31,180.68,180.68,178.0,179.88,964337.0
2016-06-01,178.1,178.81,174.66,176.42,1328891.0
2016-06-02,175.99,176.73,173.95,176.55,805249.0
2016-06-03,177.7,177.94,173.33,173.41,1065686.0
2016-06-06,173.36,174.37,168.16,170.23,1283640.0
2016-06-07,170.49,172.11,169.47,169.79,887266.0
2016-06-08,168.3,169.77,166.59,169.61,952890.0
2016-06-09,169.13,171.45,168.22,170.25,820281.0
2016-06-10,169.44,170.38,168.91,170.06,811151.0
2016-06-13,170.92,172.85,170.33,170.63,675800.0
2016-06-14,170.31,170.52,169.19,170.0,920426.0
2016-06-15,170.39,173.31,169.605,172.61,1276309.0
