Date,Open,High,Low,Close,Volume
2016-01-04,16.45,16.49,16.25,16.43,114855342.0
2016-01-05,16.52,16.59,16.23,16.43,66591885.0
2016-01-06,16.19,16.29,16.02,16.08,102669915.0
2016-01-07,15.73,15.9,15.44,15.5,116188238.0
2016-01-08,15.94,15.94,15.16,15.2,124670826.0
2016-01-11,15.26,15.37,14.94,15.31,104581569.0
2016-01-12,15.54,15.58,15.06,15.31,99949556.0
2016-01-13,15.47,15.52,14.85,14.9,119412972.0
2016-01-14,15.01,15.2,14.65,14.99,125809900.0
2016-01-15,14.41,14.66,14.13,14.46,172228199.0
2016-01-19,14.69,14.79,14.01,14.24,185641283.0
2016-01-20,13.79,14.0,13.27,13.69,249990820.0
2016-01-21,13.67,13.84,13.25,13.36,188802260.0
2016-01-22,13.65,13.72,13.47,13.56,169961438.0
2016-01-25,13.54,13.55,12.94,12.96,186248993.0
2016-01-26,13.07,13.35,13.04,13.31,124183841.0
2016-01-27,13.2,13.73,13.19,13.36,123984025.0
2016-01-28,13.59,13.705,13.26,13.53,110951618.0
2016-01-29,13.66,14.15,13.59,14.14,159925361.0
2016-02-01,14.05,14.09,13.8,13.96,105699706.0
2016-02-02,13.74,13.745,13.13,13.23,146990214.0
2016-02-03,13.28,13.29,12.52,13.03,257591135.0
2016-02-04,12.89,13.59,12.885,13.25,179319106.0
2016-02-05,13.32,13.3898,12.89,12.95,125785587.0
2016-02-08,12.67,12.7,12.13,12.27,221271714.0
2016-02-09,11.99,12.43,11.96,12.2,247227500.0
2016-02-10,12.42,12.54,11.91,11.98,227371472.0
2016-02-11,11.46,11.55,10.99,11.16,374686686.0
2016-02-12,11.48,12.03,11.4,11.95,245320697.0
2016-02-16,12.38,12.39,12.11,12.25,194138587.0
2016-02-17,12.57,12.69,12.47,12.56,221671695.0
2016-02-18,12.71,12.74,12.1,12.24,161492893.0
2016-02-19,12.22,12.24,11.98,12.13,120974304.0
2016-02-22,12.38,12.54,12.36,12.54,88785977.0
2016-02-23,12.47,12.475,12.1,12.16,104401671.0
2016-02-24,11.96,12.15,11.65,12.13,159423970.0
2016-02-25,12.14,12.33,12.09,12.32,103003028.0
2016-02-26,12.49,12.95,12.4,12.7,160262798.0
2016-02-29,12.7,12.86,12.51,12.52,123480562.0
2016-03-01,12.64,13.21,12.62,13.19,153473420.0
2016-03-02,13.2,13.51,13.13,13.41,139562706.0
2016-03-03,13.38,13.55,13.25,13.5,105031428.0
2016-03-04,13.76,13.89,13.49,13.54,171338150.0
