Date,Open,High,Low,Close,Volume
2016-01-04,37.66,37.69,36.85,37.17,6261019.0
2016-01-05,37.16,37.43,36.87,37.32,4345549.0
2016-01-06,36.79,37.53,36.75,37.41,10814729.0
2016-01-07,36.89,37.04,36.155,36.79,7258204.0
2016-01-08,36.87,36.96,36.11,36.2,5440513.0
2016-01-11,36.31,36.5,35.24,35.59,5010750.0
2016-01-12,35.79,36.22,34.95,35.48,5281836.0
2016-01-13,35.74,36.2,34.76,34.83,5592493.0
2016-01-14,34.97,35.55,34.75,35.31,11573460.0
2016-01-15,34.57,35.46,34.54,35.1,6550632.0
2016-01-19,35.45,35.5,34.92,35.36,6271016.0
2016-01-20,34.82,35.06,34.06,34.76,5797507.0
2016-01-21,34.8,35.4405,34.57,35.25,3436510.0
2016-01-22,35.75,36.13,35.71,36.07,3005673.0
2016-01-25,36.03,36.5,35.93,36.05,3869996.0
2016-01-26,36.14,36.56,35.98,36.54,2262784.0
2016-01-27,36.43,37.25,36.3339,36.5,6976810.0
2016-01-28,36.96,37.23,35.42,35.7,6941507.0
2016-01-29,35.64,36.63,35.63,36.6,8212222.0
2016-02-01,36.37,37.49,36.28,37.28,9932966.0
2016-02-02,37.5,38.29,36.37,37.95,9251768.0
2016-02-03,38.23,38.45,37.42,38.26,8133554.0
2016-02-04,38.33,38.5199,37.78,38.29,6869802.0
2016-02-05,38.1,38.3,37.26,37.49,5029537.0
2016-02-08,37.08,37.15,35.54,36.0,6256049.0
2016-02-09,35.88,36.58,35.78,36.19,4552784.0
2016-02-10,36.48,37.455,36.39,36.91,3780126.0
2016-02-11,36.29,36.56,35.74,35.88,5006506.0
2016-02-12,36.11,36.63,35.79,36.61,3560892.0
2016-02-16,36.88,37.46,36.67,37.41,4289097.0
2016-02-17,37.67,38.57,37.67,38.21,4610445.0
2016-02-18,38.14,38.34,37.905,38.07,3963661.0
2016-02-19,37.98,38.03,37.36,37.65,12723736.0
2016-02-22,38.17,38.47,37.89,38.41,4694986.0
2016-02-23,38.15,38.41,37.69,38.34,3495120.0
2016-02-24,37.93,39.02,37.78,38.97,3975679.0
2016-02-25,39.07,39.86,38.9,39.84,4347320.0
2016-02-26,39.83,40.56,39.39,39.43,6168368.0
2016-02-29,39.48,40.05,39.38,39.51,6516714.0
2016-03-01,39.65,40.0,39.25,39.98,4163695.0
2016-03-02,39.52,39.94,39.52,39.71,3541439.0
2016-03-03,39.48,39.53,38.99,39.33,4829596.0
2016-03-04,39.23,39.76,38.99,39.46,4912982.0
2016-03-07,39.29,39.995,39.21,39.82,3799776.0
2016-03-08,39.67,39.85,39.41,39.58,3118049.0
2016-03-09,39.76,39.89,39.055,39.59,2609186.0
2016-03-10,39.75,40.175,39.42,39.8,3806315.0
2016-03-11,39.97,40.5,39.88,40.48,2612852.0
2016-03-14,40.19,40.67,40.05,40.44,2475677.0
2016-03-15,40.06,40.24,39.89,40.12,2225128.0
2016-03-16,40.08,40.3,39.69,40.03,2298126.0
2016-03-17,40.0,40.0,39.28,39.72,2478548.0
2016-03-18,39.78,40.41,39.56,40.13,6178293.0
2016-03-21,40.13,40.26,39.87,40.05,3641022.0
2016-03-22,39.96,40.84,39.9134,40.6,4553809.0
2016-03-23,40.72,41.07,40.32,40.69,8920790.0
2016-03-24,40.36,40.51,39.9,40.11,4569222.0
2016-03-28,40.15,40.65,39.98,40.48,2630967.0
2016-03-29,40.48,41.37,40.27,41.28,3976385.0
2016-03-30,41.29,41.4501,40.94,41.26,5153579.0
2016-03-31,41.33,41.5,41.05,41.08,5681080.0
2016-04-01,40.72,41.73,40.52,41.69,3811652.0
2016-04-04,41.75,42.3099,41.61,42.08,4351504.0
2016-04-05,41.8,41.99,41.14,41.31,5425343.0
2016-04-06,41.2,42.23,41.2,42.22,4387884.0
2016-04-07,42.04,42.3,41.35,41.73,3392849.0
2016-04-08,41.92,42.0001,41.56,41.84,2115677.0
2016-04-11,41.96,42.225,41.8,41.94,3529950.0
2016-04-12,41.92,42.145,41.72,42.03,2815591.0
2016-04-13,42.2,42.42,42.11,42.34,2204884.0
2016-04-14,42.81,42.98,42.35,42.65,3522790.0
2016-04-15,42.64,42.69,42.43,42.69,3798729.0
2016-04-18,42.53,43.245,42.53,43.1,6144337.0
2016-04-19,43.08,43.5,42.97,43.37,5773221.0
2016-04-20,43.37,43.52,43.09,43.26,5090463.0
2016-04-21,43.29,43.46,42.87,43.01,4023498.0
2016-04-22,43.1,43.59,43.0,43.32,33386654.0
2016-04-25,43.31,43.69,43.25,43.63,16409392.0
2016-04-26,44.0,44.75,43.53,43.97,14621373.0
2016-04-27,44.34,44.78,44.07,44.18,11937938.0
2016-04-28,44.05,44.67,43.95,44.26,16267759.0
2016-04-29,44.12,44.61,43.835,44.22,8992163.0
2016-05-02,44.39,44.72,44.24,44.71,6968985.0
2016-05-03,44.36,44.95,44.31,44.39,16850842.0
2016-05-04,44.27,45.25,44.145,45.12,15993092.0
2016-05-05,45.08,45.46,44.905,45.3,21337348.0
2016-05-06,45.2,45.46,44.61,45.07,21284082.0
2016-05-09,45.04,45.515,45.04,45.15,20858385.0
2016-05-10,45.05,45.67,44.82,45.5,21345807.0
2016-05-11,45.3,46.51,45.24,46.39,34540620.0
2016-05-12,46.56,46.95,45.22,45.63,21637769.0
2016-05-13,45.56,45.91,45.225,45.52,24874078.0
2016-05-16,45.39,45.875,45.3,45.47,25229832.0
2016-05-17,45.35,45.78,44.22,44.6,33323226.0
2016-05-18,44.59,45.08,44.04,45.08,35556003.0
2016-05-19,44.37,44.65,43.05,43.16,18350137.0
2016-05-20,43.35,43.51,42.89,42.92,11681644.0
2016-05-23,42.95,43.08,42.57,42.7,4981136.0
2016-05-24,42.82,43.92,42.785,43.66,18388185.0
2016-05-25,43.93,43.93,43.16,43.5,10747349.0
2016-05-26,43.63,43.7375,43.25,43.43,14075704.0
2016-05-27,43.47,43.55,43.15,43.31,7582534.0
2016-05-31,43.31,43.44,42.92,43.16,7448889.0
2016-06-01,43.0,43.4,42.835,43.33,4804724.0
2016-06-02,43.31,43.6,43.11,43.43,4482887.0
2016-06-03,43.15,43.58,43.07,43.48,3582733.0
2016-06-06,43.5,43.97,43.42,43.97,7498741.0
2016-06-07,43.94,44.19,43.77,43.93,3446910.0
2016-06-08,43.86,44.62,43.81,44.6,4372477.0
2016-06-09,44.53,44.79,44.22,44.75,3770068.0
2016-06-10,44.41,44.585,44.06,44.49,3331031.0
2016-06-13,44.12,44.78,44.12,44.41,3125044.0
2016-06-14,44.31,44.6,44.06,44.44,3924766.0
2016-06-15,44.6,44.63,44.18,44.21,2429448.0
2016-06-16,44.14,44.62,44.01,44.57,3558799.0
2016-06-17,44.63,44.6697,44.0,44.44,5158086.0
2016-06-20,44.83,45.05,44.54,44.96,7286896.0
2016-06-21,45.05,45.11,44.59,45.01,2810468.0
2016-06-22,45.09,45.16,44.78,44.94,5369179.0
2016-06-23,45.18,45.96,45.16,45.96,3274706.0
2016-06-24,44.84,44.84,43.72,43.85,11204951.0
2016-06-27,43.55,43.55,42.22,42.35,7807872.0
2016-06-28,42.7,43.41,42.31,43.38,6166627.0
2016-06-29,43.78,44.84,43.78,44.82,4085120.0
2016-06-30,44.99,45.235,44.76,45.22,5242502.0
