Date,Open,High,Low,Close,Volume
2016-01-04,36.92,37.03,36.28,36.65,5873178.0
2016-01-05,36.61,36.94,36.36,36.66,3569178.0
2016-01-06,36.06,36.59,35.86,36.15,4228345.0
2016-01-07,35.38,35.775,34.88,35.12,4703780.0
2016-01-08,35.42,35.44,34.29,34.36,5000134.0
2016-01-11,34.65,34.84,34.29,34.68,6162268.0
2016-01-12,35.1,35.18,34.37,34.9,4747619.0
2016-01-13,35.14,35.24,33.61,33.72,4729155.0
2016-01-14,33.84,34.25,33.4,34.02,4497207.0
2016-01-15,32.9,33.36,32.73,33.14,6748064.0
2016-01-19,33.7,33.7,32.58,32.92,5833539.0
2016-01-20,32.15,33.29,31.78,32.86,13020916.0
2016-01-21,32.67,32.76,31.71,31.78,9970441.0
2016-01-22,32.19,32.51,31.555,31.95,6485181.0
2016-01-25,31.8,31.88,31.075,31.11,7274955.0
2016-01-26,31.22,31.59,30.99,31.47,6050497.0
2016-01-27,31.43,32.37,31.31,31.65,5436382.0
2016-01-28,31.86,32.28,31.72,31.91,8450685.0
2016-01-29,32.16,32.685,32.01,32.66,6853299.0
2016-02-01,32.53,32.63,32.05,32.29,4491442.0
2016-02-02,31.8,31.84,31.4,31.58,5414663.0
2016-02-03,31.72,31.89,30.72,31.78,6803624.0
2016-02-04,31.7,32.25,31.68,32.16,7160837.0
2016-02-05,32.17,32.54,31.87,32.06,7104506.0
2016-02-08,31.57,31.61,30.895,31.33,6118730.0
2016-02-09,30.79,31.78,30.74,31.6,6286417.0
2016-02-10,31.67,31.95,31.24,31.27,5833381.0
2016-02-11,30.4,30.74,29.95,30.28,6114140.0
2016-02-12,31.06,31.6,30.75,31.58,5141647.0
2016-02-16,32.05,32.82,31.75,32.58,4864692.0
2016-02-17,32.84,33.12,32.765,32.92,5196785.0
2016-02-18,32.92,33.05,32.1,32.26,4049559.0
2016-02-19,32.05,32.41,31.93,32.38,3849073.0
2016-02-22,32.66,32.975,32.64,32.97,3846514.0
2016-02-23,32.77,32.98,31.8849,32.1,5507119.0
2016-02-24,31.62,32.04,31.27,32.0,6344649.0
2016-02-25,32.1,32.5,32.02,32.49,5113033.0
2016-02-26,32.83,33.53,32.62,33.3,6295065.0
2016-02-29,33.21,33.29,32.15,32.16,6612278.0
2016-03-01,32.49,33.45,32.32,33.45,7307118.0
2016-03-02,33.53,33.91,33.35,33.81,5376005.0
2016-03-03,33.81,34.28,33.6601,34.27,2905553.0
2016-03-04,34.44,34.8,34.27,34.49,4935348.0
2016-03-07,34.18,34.4,34.01,34.35,2555583.0
2016-03-08,34.25,34.25,33.48,33.66,4971040.0
2016-03-09,33.92,34.06,33.32,33.46,4888996.0
2016-03-10,33.76,34.21,33.21,33.66,5051712.0
