Date,Open,High,Low,Close,Volume
2016-01-04,45.85,47.43,45.56,47.25,2987385.0
2016-01-05,47.19,47.88,45.56,45.92,2560493.0
2016-01-06,44.48,45.5,43.55,43.65,4854872.0
2016-01-07,42.57,43.83,42.32,42.52,3202190.0
2016-01-08,42.89,43.01,41.38,41.58,1903821.0
2016-01-11,41.64,42.27,40.77,41.51,4344316.0
2016-01-12,42.2,42.2499,40.13,41.04,2517703.0
2016-01-13,41.8,42.19,38.65,39.25,4142430.0
2016-01-14,39.45,41.55,38.62,41.17,2356851.0
2016-01-15,39.48,40.22,38.99,39.89,2455760.0
2016-01-19,40.11,40.87,39.26,39.79,3032305.0
2016-01-20,39.0,39.34,37.58,38.88,3123771.0
2016-01-21,38.77,41.33,38.5,40.73,3398148.0
2016-01-22,42.52,42.95,40.66,42.04,2047901.0
2016-01-25,41.26,41.77,39.12,39.18,2800487.0
2016-01-26,40.3,40.59,39.39,39.97,2591068.0
2016-01-27,39.85,41.88,39.74,40.83,2722547.0
2016-01-28,42.0,43.29,41.56,43.12,2858179.0
2016-01-29,43.3,44.16,42.5504,43.51,4162675.0
2016-02-01,42.56,43.65,42.06,43.29,2744852.0
2016-02-02,42.2,42.5,41.78,42.0,1739115.0
2016-02-03,42.72,44.46,41.96,44.41,2772165.0
2016-02-04,44.98,45.85,43.91,44.24,2297175.0
2016-02-05,43.75,45.09,42.645,44.85,4157295.0
2016-02-08,43.13,43.6,42.22,42.82,6173589.0
2016-02-09,42.23,42.9,41.59,41.75,5533537.0
2016-02-10,41.75,42.32,41.22,41.51,3310000.0
2016-02-11,40.4,40.99,39.11,39.78,3392048.0
2016-02-12,40.4,40.79,39.4,39.9,4239359.0
2016-02-16,40.69,41.47,40.26,41.2,4099106.0
2016-02-17,41.82,42.93,41.47,42.49,2398174.0
2016-02-18,43.06,43.33,41.83,41.99,1830273.0
2016-02-19,42.13,42.245,41.3,42.14,2585898.0
2016-02-22,43.12,43.72,42.77,43.49,2629109.0
2016-02-23,43.49,43.71,42.36,42.49,3534335.0
2016-02-24,41.64,42.28,41.2,41.91,1873253.0
2016-02-25,41.83,43.78,41.5,43.25,3071746.0
2016-02-26,44.1,45.19,43.76,44.25,2425397.0
2016-02-29,44.17,44.53,42.23,42.87,3488213.0
2016-03-01,43.29,44.47,43.16,44.26,3002522.0
2016-03-02,44.23,45.51,43.09,45.41,3298925.0
2016-03-03,45.14,46.99,45.14,46.55,3166136.0
2016-03-04,46.67,47.45,45.53,46.2,3415561.0
2016-03-07,45.78,47.52,45.66,46.58,4998997.0
2016-03-08,46.25,46.46,43.87,44.05,3886613.0
2016-03-09,44.76,45.3,43.67,44.31,3295048.0
2016-03-10,44.2,44.61,42.6,43.53,2274425.0
2016-03-11,44.25,46.0,43.88,45.79,3679830.0
2016-03-14,44.93,45.42,43.39,43.88,4924546.0
2016-03-15,43.28,44.22,42.76,44.21,2138127.0
2016-03-16,44.65,46.01,44.31,45.9,4071798.0
2016-03-17,46.27,47.05,45.74,46.81,6545439.0
2016-03-18,47.28,47.47,46.61,47.44,5405248.0
2016-03-21,47.13,47.59,46.45,47.04,2501760.0
2016-03-22,46.54,47.17,46.18,46.43,2481387.0
2016-03-23,46.23,46.6,44.92,44.96,2057359.0
