Date,Open,High,Low,Close,Volume
2016-01-04,54.16,54.22,53.22,54.2,4773045.0
2016-01-05,54.02,54.18,53.62,53.68,4545386.0
2016-01-06,52.91,54.105,52.86,53.52,5092048.0
2016-01-07,52.65,53.51,52.25,52.39,4907699.0
2016-01-08,53.65,53.68,51.91,52.05,4932733.0
2016-01-11,53.0,54.5,53.0,53.94,7022738.0
2016-01-12,54.44,54.9,53.95,54.68,6031436.0
2016-01-13,54.38,54.68,52.03,52.38,7727746.0
2016-01-14,51.65,52.18,50.19,51.94,8825555.0
2016-01-15,49.76,50.48,49.47,49.83,9111937.0
2016-01-19,50.83,51.26,48.59,49.07,10713458.0
2016-01-20,49.0,49.03,46.86,48.31,10087408.0
2016-01-21,48.48,49.86,48.28,49.57,8299616.0
2016-01-22,50.18,50.385,49.39,49.57,4912377.0
2016-01-25,49.55,49.8,48.68,48.8,4936778.0
2016-01-26,49.22,50.07,48.85,49.82,5548683.0
2016-01-27,50.47,50.57,47.75,48.05,7411311.0
2016-01-28,48.44,48.49,45.81,46.86,12679867.0
2016-01-29,46.94,48.13,46.91,48.13,8603672.0
2016-02-01,48.1,49.13,47.77,48.97,7057091.0
2016-02-02,47.25,47.31,44.51,45.08,16122589.0
2016-02-03,45.61,45.93,44.94,45.39,8646526.0
2016-02-04,45.5,45.715,44.82,45.51,7697677.0
2016-02-05,44.85,45.03,42.88,43.04,9093624.0
2016-02-08,42.3,42.49,40.82,41.92,12096525.0
2016-02-09,40.77,43.64,40.52,42.97,9800448.0
2016-02-10,43.44,44.57,43.31,43.41,7325571.0
2016-02-11,42.71,43.69,42.67,43.19,6703008.0
2016-02-12,43.28,44.145,42.84,44.06,4834862.0
2016-02-16,44.62,45.595,44.06,45.02,5145144.0
2016-02-17,45.23,46.15,45.13,45.92,5846172.0
2016-02-18,45.94,46.059,45.16,45.34,4360275.0
2016-02-19,45.36,46.55,44.83,46.39,4931571.0
2016-02-22,46.49,47.78,46.44,47.73,6755987.0
2016-02-23,47.75,48.58,47.63,48.1,6061061.0
2016-02-24,46.98,48.07,46.6,48.03,5282360.0
2016-02-25,48.04,48.62,47.96,48.51,4297398.0
2016-02-26,48.66,48.86,47.73,48.34,4829972.0
2016-02-29,48.33,48.82,47.94,47.96,4115491.0
2016-03-01,48.59,48.97,48.02,48.96,4368497.0
2016-03-02,48.69,48.87,47.94,48.16,3922444.0
2016-03-03,47.39,48.06,46.83,48.05,7237683.0
2016-03-04,48.03,48.185,47.43,47.97,5087348.0
2016-03-07,47.54,47.8,46.84,47.05,4609979.0
2016-03-08,46.88,47.135,46.32,46.36,5531837.0
2016-03-09,46.51,46.68,45.98,46.47,3975062.0
2016-03-10,46.39,47.395,45.74,46.3,4791646.0
2016-03-11,46.87,47.92,46.65,47.91,3653358.0
2016-03-14,48.08,48.65,47.99,48.12,3275256.0
2016-03-15,47.71,48.38,47.6,47.91,2472595.0
2016-03-16,47.74,49.04,47.54,48.83,3835435.0
2016-03-17,48.84,49.33,48.46,48.97,4459799.0
2016-03-18,48.95,49.91,48.91,49.63,6237250.0
2016-03-21,49.63,49.81,49.315,49.78,2933577.0
2016-03-22,47.94,48.84,47.94,48.75,7003458.0
2016-03-23,48.89,49.09,47.91,48.06,5313779.0
2016-03-24,48.21,49.02,47.9,48.92,4340147.0
2016-03-28,48.98,49.43,48.79,49.02,4199681.0
2016-03-29,49.11,49.765,49.04,49.64,4381135.0
2016-03-30,50.78,52.39,50.78,52.37,9520028.0
2016-03-31,52.29,53.05,52.15,52.77,7717324.0
2016-04-01,52.2,52.9,52.01,52.75,5386658.0
2016-04-04,52.8,53.205,52.525,53.03,3586908.0
2016-04-05,52.19,52.31,51.32,51.5,5511451.0
2016-04-06,51.92,52.07,51.42,51.99,3963923.0
2016-04-07,51.84,51.84,50.96,51.18,2975431.0
2016-04-08,51.71,51.71,51.015,51.14,2961662.0
2016-04-11,51.46,51.67,50.76,50.8,3977134.0
2016-04-12,51.28,51.39,50.82,51.23,3538649.0
2016-04-13,51.52,51.79,51.17,51.68,4515483.0
2016-04-14,51.66,51.9761,51.04,51.57,2772597.0
2016-04-15,51.53,51.74,50.92,51.02,4737799.0
2016-04-18,51.86,51.97,50.2,50.84,5266829.0
2016-04-19,51.08,51.2364,50.52,50.6,3253094.0
2016-04-20,50.61,50.75,49.91,50.04,3742000.0
2016-04-21,49.69,50.04,49.055,49.18,5332788.0
2016-04-22,49.1,49.99,48.13,48.51,4882792.0
2016-04-25,48.74,49.7,48.66,49.24,3606215.0
2016-04-26,49.17,49.69,48.83,49.13,3125701.0
2016-04-27,49.21,49.76,49.105,49.49,3450170.0
2016-04-28,48.79,49.475,48.61,48.71,4475601.0
