Date,Open,High,Low,Close,Volume
2016-01-04,55.15,55.65,54.85,55.64,13262333.0
2016-01-05,55.84,56.05,55.48,55.65,14154361.0
2016-01-06,54.92,55.65,54.75,55.22,10825398.0
2016-01-07,54.09,55.36,53.77,54.61,16211749.0
2016-01-08,54.86,56.04,54.57,54.665,14092345.0
2016-01-11,54.88,55.08,53.92,54.72,11367679.0
2016-01-12,54.62,55.43,54.37,54.87,9952779.0
2016-01-13,55.45,55.49,53.44,53.55,16063996.0
2016-01-14,53.55,55.65,53.35,55.05,13018950.0
2016-01-15,53.31,54.25,53.295,53.89,16683393.0
2016-01-19,54.82,54.85,53.6775,54.25,12329153.0
2016-01-20,53.98,54.01,52.34,53.61,22546073.0
2016-01-21,53.61,54.85,53.18,54.32,15345117.0
2016-01-22,55.52,55.52,54.69,55.33,9867124.0
2016-01-25,55.08,55.31,54.11,54.21,10681099.0
2016-01-26,54.06,55.01,53.95,54.84,15740843.0
2016-01-27,54.93,55.44,53.95,54.12,12249282.0
2016-01-28,54.48,54.579,53.62,54.11,12764178.0
2016-01-29,54.74,55.85,54.52,55.71,19137940.0
2016-02-01,55.07,56.13,54.98,55.81,9740290.0
2016-02-02,54.9,55.605,54.38,54.59,16036001.0
2016-02-03,56.7,57.96,55.21,57.84,27999728.0
2016-02-04,58.18,59.45,57.59,58.21,28146311.0
2016-02-05,58.21,59.47,57.97,59.41,25330772.0
2016-02-08,59.16,59.7,57.92,59.4,28000869.0
2016-02-09,58.4,59.0,57.17,58.21,18252317.0
2016-02-10,58.11,58.12,55.76,55.81,21771937.0
2016-02-11,54.86,56.32,54.7,56.04,17494331.0
2016-02-12,56.84,57.05,55.59,56.78,11995389.0
2016-02-16,57.81,57.86,56.99,57.48,12852806.0
2016-02-17,57.73,58.31,57.32,57.7,13156613.0
2016-02-18,57.44,57.745,56.59,57.32,11866477.0
2016-02-19,57.0,57.81,56.95,57.76,8797509.0
2016-02-22,58.23,58.87,57.9,58.15,9283002.0
2016-02-23,57.78,58.1758,57.4,57.54,7307116.0
2016-02-24,57.06,58.63,56.6,58.4,9249485.0
2016-02-25,58.16,58.53,57.73,58.53,6475019.0
2016-02-26,58.78,58.98,57.66,57.91,9289795.0
2016-02-29,58.14,58.73,57.69,57.73,11375296.0
2016-03-01,58.23,59.57,58.05,59.22,11264816.0
2016-03-02,58.96,59.42,58.83,59.37,9063349.0
2016-03-03,59.45,60.27,59.45,59.92,9717172.0
2016-03-04,59.99,60.04,59.33,59.74,7721379.0
2016-03-07,59.22,59.76,58.62,58.96,10799113.0
2016-03-08,58.88,59.0,58.05,58.3,10028887.0
2016-03-09,58.7,59.1,58.3,58.78,7870973.0
2016-03-10,58.6,59.14,58.055,58.37,9012129.0
2016-03-11,59.09,59.215,58.51,59.16,7051525.0
2016-03-14,59.03,59.4449,58.88,59.23,6471860.0
2016-03-15,58.7,59.42,58.695,59.4,7989645.0
2016-03-16,58.63,60.29,58.63,59.91,9206871.0
2016-03-17,59.93,61.14,59.71,60.75,10540622.0
2016-03-18,60.85,60.9,59.52,59.76,18679002.0
2016-03-21,59.71,60.06,59.62,59.84,6145169.0
2016-03-22,59.3,60.3,59.3,59.87,7766714.0
2016-03-23,59.11,59.7,59.0,59.25,8445010.0
2016-03-24,58.76,60.18,58.69,60.01,9881884.0
2016-03-28,59.57,60.35,59.45,60.09,7442077.0
2016-03-29,59.81,60.89,59.68,60.75,7926346.0
2016-03-30,60.92,61.25,60.521,60.8,8003042.0
2016-03-31,60.73,61.37,60.645,61.08,8836754.0
2016-04-01,60.59,61.99,60.39,61.87,10654063.0
2016-04-04,61.51,61.81,61.115,61.43,7350577.0
2016-04-05,60.84,61.43,60.8,61.13,7190663.0
2016-04-06,61.05,62.26,60.99,62.2,10900695.0
2016-04-07,62.04,62.3099,61.02,61.4,9758951.0
2016-04-08,61.63,61.965,61.28,61.6,5719579.0
2016-04-11,61.92,62.095,61.44,61.44,7171782.0
2016-04-12,61.39,62.06,61.26,61.72,7558028.0
2016-04-13,62.18,62.39,61.73,61.95,7833235.0
2016-04-14,62.16,62.3,61.67,61.84,6821458.0
2016-04-15,62.13,62.43,61.4,61.97,8298317.0
2016-04-18,61.69,62.655,61.54,62.48,8622735.0
