Date,Open,High,Low,Close,Volume
2016-01-04,70.77,70.91,69.86,70.74,3636193.0
2016-01-05,69.43,70.55,68.7,69.46,5216126.0
2016-01-06,68.55,69.6897,67.98,68.55,4223296.0
2016-01-07,66.34,67.0,64.85,65.08,5638318.0
2016-01-08,65.75,65.89,64.07,64.23,4732346.0
2016-01-11,64.82,65.54,64.0,64.76,3416848.0
2016-01-12,65.56,65.97,64.68,65.8,3680302.0
2016-01-13,66.28,66.66,63.41,63.64,5405988.0
2016-01-14,64.01,65.11,62.51,64.6,4573005.0
2016-01-15,62.0,63.46,61.84,62.85,4827325.0
2016-01-19,63.69,63.7,61.51,62.19,3464465.0
2016-01-20,60.8,61.37,58.92,60.76,5328049.0
2016-01-21,60.85,62.3,60.51,61.18,3747311.0
2016-01-22,62.15,62.6,60.52,61.1,4148140.0
2016-01-25,60.69,61.01,58.49,58.66,5711463.0
2016-01-26,59.1,60.495,59.1,60.38,5619696.0
2016-01-27,61.3,64.59,61.26,63.3,8544711.0
2016-01-28,63.785,63.785,62.12,62.99,6491523.0
2016-01-29,63.49,65.7,63.2799,65.62,6380161.0
2016-02-01,65.0,65.45,63.79,65.01,4320073.0
2016-02-02,63.83,63.86,62.82,63.21,5195718.0
2016-02-03,63.66,64.01,59.86,63.15,6037265.0
2016-02-04,63.0,64.36,62.84,63.73,4308528.0
2016-02-05,63.92,64.63,62.64,63.36,3507743.0
2016-02-08,62.33,62.45,60.1,60.89,3878252.0
2016-02-09,60.04,62.93,59.75,62.42,4424033.0
2016-02-10,62.92,64.12,62.18,62.24,3186352.0
2016-02-11,59.71,60.88,58.74,60.15,4822988.0
2016-02-12,61.21,62.84,60.62,62.54,5527960.0
2016-02-16,63.71,65.13,63.08,64.21,4308951.0
2016-02-17,64.96,66.045,64.87,65.18,3805987.0
2016-02-18,65.48,66.68,65.18,65.93,4272147.0
2016-02-19,65.5,65.8786,64.76,65.73,2456698.0
2016-02-22,66.44,67.79,66.4,67.76,3007578.0
2016-02-23,67.61,67.61,65.32,65.72,3487022.0
2016-02-24,64.77,65.64,63.45,65.41,2894819.0
2016-02-25,65.76,66.42,64.87,66.42,2642186.0
2016-02-26,66.73,68.19,66.64,67.2,3105828.0
2016-02-29,66.93,67.18,65.7,65.73,3403577.0
2016-03-01,66.67,68.0,66.15,67.99,4131678.0
2016-03-02,68.02,69.14,67.74,69.14,2396899.0
2016-03-03,68.97,69.66,68.69,69.66,2444568.0
2016-03-04,69.81,70.39,68.96,69.59,2939344.0
2016-03-07,68.94,69.62,68.78,69.52,2002701.0
2016-03-08,68.85,69.17,68.01,68.49,2705670.0
2016-03-09,69.04,69.295,68.25,68.7,2508379.0
2016-03-10,69.18,70.0,68.12,69.23,2155561.0
2016-03-11,70.19,71.12,70.01,71.03,2358021.0
2016-03-14,70.78,71.01,69.73,69.93,2550435.0
2016-03-15,69.29,69.32,68.31,69.32,3395763.0
2016-03-16,69.21,70.08,68.85,69.38,3274122.0
2016-03-17,69.05,70.06,68.59,69.5,4067529.0
2016-03-18,69.82,71.12,69.53,70.57,5089845.0
2016-03-21,70.31,71.39,70.08,70.81,2381019.0
2016-03-22,70.28,70.78,69.95,70.46,1904918.0
2016-03-23,70.52,70.7685,70.0,70.21,2603538.0
2016-03-24,69.44,69.78,68.88,69.76,2090443.0
2016-03-28,69.81,69.97,68.96,69.2,1885057.0
2016-03-29,68.83,68.96,67.58,68.85,4411692.0
2016-03-30,69.3,70.0,69.04,69.15,2050165.0
2016-03-31,69.15,69.79,68.98,69.31,3222698.0
2016-04-01,69.73,70.97,69.26,70.8,2894871.0
2016-04-04,70.59,70.89,69.72,69.83,1617444.0
2016-04-05,68.1,68.95,67.79,68.53,3455207.0
2016-04-06,68.01,68.42,67.2,68.27,3215866.0
2016-04-07,67.66,67.98,66.1,66.58,2842932.0
2016-04-08,67.03,67.72,66.41,66.67,2259823.0
2016-04-11,66.83,67.7,66.73,67.2,3626242.0
2016-04-12,67.55,68.46,67.41,68.31,2861984.0
2016-04-13,69.0,70.87,68.98,70.84,3366104.0
2016-04-14,70.66,72.18,70.48,71.47,2871446.0
2016-04-15,71.72,72.24,71.05,71.34,2862527.0
2016-04-18,70.89,71.9,70.55,71.66,1765395.0
2016-04-19,71.96,72.89,71.46,72.8,2349124.0
2016-04-20,73.35,75.55,73.31,75.43,4921496.0
2016-04-21,75.25,76.3,74.69,74.73,2961985.0
2016-04-22,74.5,75.73,74.48,75.56,1782963.0
2016-04-25,75.08,75.47,74.48,74.99,2477994.0
2016-04-26,75.03,76.0,74.63,75.96,2686064.0
2016-04-27,73.13,74.5,72.82,74.31,6388657.0
2016-04-28,73.56,74.26,72.99,73.37,2641846.0
2016-04-29,72.99,73.29,71.87,72.39,2966520.0
2016-05-02,72.87,73.73,72.0,73.58,2721511.0
2016-05-03,72.56,72.71,71.44,71.97,2184355.0
2016-05-04,71.16,71.17,69.27,69.68,4057479.0
2016-05-05,69.93,70.33,68.605,69.12,5345417.0
2016-05-06,68.8,69.43,68.43,69.39,3442611.0
2016-05-09,70.31,70.37,69.25,69.6,2788863.0
2016-05-10,70.01,71.28,69.9611,71.14,2651027.0
2016-05-11,70.83,71.45,70.35,70.35,2411912.0
2016-05-12,70.17,70.73,68.84,69.36,2109887.0
2016-05-13,69.15,69.96,68.325,68.71,2459689.0
2016-05-16,68.53,69.66,68.38,69.28,2678665.0
2016-05-17,68.88,69.67,68.41,68.83,2679012.0
2016-05-18,68.83,71.01,68.66,70.98,4339188.0
2016-05-19,70.38,71.79,69.88,70.53,3460718.0
2016-05-20,70.76,71.57,70.4601,70.93,2053038.0
2016-05-23,70.82,71.49,70.42,70.65,1889851.0
2016-05-24,70.91,71.85,69.6,71.62,2045989.0
2016-05-25,72.04,73.53,71.85,73.27,2767093.0
2016-05-26,73.03,73.16,72.27,72.56,1642449.0
2016-05-27,72.88,73.83,72.33,73.83,2811291.0
2016-05-31,74.19,74.35,72.83,73.24,2363428.0
2016-06-01,72.51,73.32,71.84,73.22,1594418.0
2016-06-02,73.19,73.38,72.62,73.38,1496215.0
2016-06-03,72.28,72.38,70.475,71.6,3478328.0
2016-06-06,71.66,73.33,71.39,72.85,2422667.0
2016-06-07,73.0,73.06,72.32,72.35,2249696.0
2016-06-08,71.75,72.56,71.425,72.1,3190462.0
2016-06-09,71.45,71.46,70.14,70.87,2749905.0
2016-06-10,70.3,70.55,69.79,70.04,2505962.0
2016-06-13,69.46,70.42,68.96,69.0,2494267.0
2016-06-14,68.52,68.52,63.76,64.43,14942434.0
2016-06-15,65.43,66.23,64.47,64.64,9490897.0
