Date,Open,High,Low,Close,Volume
2016-01-04,90.6,91.15,89.4,90.64,798875.0
2016-01-05,90.77,92.64,90.695,92.62,1013229.0
2016-01-06,91.79,92.39,90.33,90.93,639708.0
2016-01-07,89.59,90.415,87.95,89.32,1066019.0
2016-01-08,89.61,90.18,86.95,87.11,1134426.0
2016-01-11,87.63,88.13,86.512,87.34,805380.0
2016-01-12,88.3,88.96,87.35,88.81,698700.0
2016-01-13,89.28,89.46,87.03,87.19,843706.0
2016-01-14,87.35,87.91,85.96,87.36,663986.0
2016-01-15,85.61,86.83,85.1413,85.85,879355.0
2016-01-19,86.35,86.9,84.69,85.62,1015050.0
2016-01-20,84.64,85.64,83.205,84.94,1082712.0
2016-01-21,85.33,86.31,84.63,85.8,1481876.0
2016-01-22,82.78,84.9,81.24,84.44,2383795.0
2016-01-25,84.34,84.47,79.52,80.48,2465336.0
2016-01-26,81.95,83.74,80.73,82.44,1664447.0
2016-01-27,81.0,82.11,79.49,79.81,1640767.0
2016-01-28,80.31,81.43,79.78,81.17,1108287.0
2016-01-29,81.69,82.23,80.43,80.88,1950987.0
2016-02-01,80.76,82.105,80.13,81.55,1323225.0
2016-02-02,80.48,81.06,78.7,78.92,1044600.0
2016-02-03,79.7,79.9267,77.7,78.87,1442797.0
2016-02-04,78.82,81.01,78.82,80.4,1080458.0
2016-02-05,80.41,81.41,80.1634,81.27,1429145.0
2016-02-08,80.43,81.745,79.88,81.17,1628991.0
2016-02-09,80.34,81.285,79.89,80.75,2073036.0
2016-02-10,80.82,81.28,79.47,79.57,900693.0
2016-02-11,78.19,78.86,76.03,78.3,1650388.0
2016-02-12,78.9,80.99,78.545,80.95,1423438.0
2016-02-16,81.99,82.99,81.18,82.8,1190593.0
2016-02-17,83.22,84.59,83.21,84.3,934497.0
2016-02-18,84.25,85.79,84.03,85.19,954415.0
2016-02-19,85.22,86.46,84.51,86.07,1274799.0
2016-02-22,87.0,88.19,86.74,88.16,1130461.0
2016-02-23,87.53,90.58,87.53,89.1,1685160.0
