Date,Open,High,Low,Close,Volume
2016-01-04,24.85,25.23,24.78,25.11,4938951.0
2016-01-05,25.11,25.19,24.77,24.99,4263098.0
2016-01-06,24.68,24.9,24.56,24.72,4083396.0
2016-01-07,24.41,24.7,24.17,24.22,4902571.0
2016-01-08,24.37,24.55,23.9,23.97,4337629.0
2016-01-11,24.18,24.3189,23.83,24.12,4971370.0
2016-01-12,24.35,24.37,23.3,23.4,6017563.0
2016-01-13,23.5,23.68,23.0,23.02,6916639.0
2016-01-14,23.1,23.98,23.015,23.89,7178695.0
2016-01-15,23.28,23.6,22.755,23.29,6894037.0
2016-01-19,23.54,23.595,23.07,23.22,4501060.0
2016-01-20,22.77,22.9,21.94,22.24,8295865.0
2016-01-21,22.37,23.07,22.37,22.62,10569765.0
2016-01-22,23.07,23.83,23.07,23.8,6316063.0
2016-01-25,23.67,24.17,23.49,23.76,7626686.0
2016-01-26,23.83,24.73,23.82,24.56,5288742.0
2016-01-27,24.38,25.035,24.23,24.63,6426987.0
2016-01-28,24.84,25.0,24.341,24.82,4887040.0
2016-01-29,24.91,25.43,24.85,25.42,4859859.0
2016-02-01,25.2,26.07,25.01,25.9,4773288.0
2016-02-02,25.65,25.65,24.91,25.21,4314759.0
2016-02-03,25.41,26.215,25.13,26.08,4881086.0
2016-02-04,26.17,26.7,26.12,26.54,5722189.0
2016-02-05,26.45,27.04,26.36,26.61,8633755.0
2016-02-08,26.28,26.5,25.37,25.63,9290128.0
2016-02-09,25.31,25.5,24.55,24.81,10292095.0
2016-02-10,25.06,25.575,24.5,24.59,7044833.0
2016-02-11,26.1,27.75,25.37,27.29,15040998.0
2016-02-12,27.5,28.73,27.28,28.61,10674907.0
2016-02-16,28.9,29.15,28.39,28.92,5918459.0
2016-02-17,29.15,29.84,28.75,29.73,7100608.0
2016-02-18,29.84,30.81,29.69,30.32,8243733.0
2016-02-19,30.32,30.35,29.44,29.73,6510894.0
2016-02-22,30.12,30.18,29.715,29.99,5475189.0
2016-02-23,29.7,29.75,29.03,29.25,6813950.0
2016-02-24,29.08,30.125,28.85,30.01,7120702.0
2016-02-25,30.15,30.61,29.81,30.41,4700742.0
2016-02-26,30.49,30.49,29.8,30.17,4829897.0
2016-02-29,30.17,30.82,30.02,30.59,6369684.0
2016-03-01,30.9,31.37,30.69,31.12,6917669.0
2016-03-02,30.42,31.63,30.33,31.15,6450364.0
2016-03-03,31.19,31.62,31.09,31.37,5372360.0
2016-03-04,31.38,32.02,31.19,31.59,6292744.0
2016-03-07,31.44,31.895,31.26,31.77,5096593.0
2016-03-08,31.99,31.99,30.96,31.51,5530967.0
2016-03-09,31.6,31.68,30.9171,31.53,4207328.0
2016-03-10,31.55,32.02,31.34,31.71,6562117.0
2016-03-11,31.95,31.98,31.38,31.87,4128254.0
2016-03-14,31.83,32.06,31.675,31.95,3527400.0
2016-03-15,31.76,31.93,31.07,31.32,5593898.0
2016-03-16,31.41,32.2,31.1,32.17,5314404.0
2016-03-17,31.59,31.61,30.7526,31.3,7928210.0
2016-03-18,31.46,31.73,31.33,31.7,7913671.0
2016-03-21,31.7,32.01,31.53,31.7,3569607.0
2016-03-22,31.7,32.09,31.6,31.62,4077925.0
2016-03-23,31.58,31.62,30.89,31.02,5105004.0
2016-03-24,30.87,31.1649,30.68,31.16,5416762.0
2016-03-28,31.31,31.3389,30.79,31.08,3158558.0
2016-03-29,31.1,31.63,30.88,31.59,3393052.0
2016-03-30,31.35,32.04,31.35,31.87,3660672.0
2016-03-31,31.91,32.49,31.6899,31.96,6807671.0
2016-04-01,31.82,32.2,31.37,32.18,6219552.0
2016-04-04,32.2,32.7,32.15,32.23,5186826.0
2016-04-05,32.22,32.425,31.79,32.1,5271152.0
2016-04-06,32.15,32.52,31.935,32.49,3830891.0
2016-04-07,32.37,32.46,31.755,31.87,5703504.0
2016-04-08,32.14,32.27,31.73,31.88,3873271.0
2016-04-11,32.15,32.38,31.96,32.08,2921012.0
2016-04-12,32.09,32.415,31.945,32.0,3529556.0
2016-04-13,32.03,32.3,31.675,32.19,3308900.0
2016-04-14,32.08,32.29,31.82,32.09,3383582.0
2016-04-15,32.05,32.29,32.0,32.26,2956686.0
2016-04-18,32.12,32.395,31.96,32.22,2990263.0
2016-04-19,32.41,32.94,32.24,32.71,3578632.0
2016-04-20,32.67,32.92,32.55,32.8,3966598.0
2016-04-21,32.68,32.76,31.27,31.39,4347868.0
2016-04-22,31.37,31.59,31.28,31.39,4160155.0
2016-04-25,31.32,31.44,31.01,31.18,3717891.0
2016-04-26,31.4,31.72,31.05,31.42,3160336.0
2016-04-27,31.41,31.62,31.23,31.58,4423518.0
2016-04-28,31.39,31.69,31.23,31.36,3360991.0
2016-04-29,31.34,31.41,30.95,30.95,5360069.0
2016-05-02,31.19,31.5,30.85,31.48,7744284.0
2016-05-03,30.97,31.0,30.225,30.58,7597417.0
2016-05-04,30.46,31.25,30.45,30.96,6656369.0
2016-05-05,29.39,29.46,28.07,28.2,20521102.0
2016-05-06,28.16,28.675,27.61,28.54,9444983.0
2016-05-09,28.54,28.54,27.81,28.21,6057075.0
2016-05-10,28.56,28.79,28.29,28.73,5924534.0
2016-05-11,28.79,28.82,28.26,28.31,3903544.0
2016-05-12,28.5,28.71,28.24,28.46,3940966.0
2016-05-13,28.43,28.53,27.86,27.88,4112858.0
2016-05-16,27.89,28.18,27.78,27.82,3863441.0
2016-05-17,27.78,27.98,27.39,27.45,5193072.0
2016-05-18,27.49,27.61,26.75,26.88,5896542.0
2016-05-19,26.88,27.11,26.65,26.92,6537034.0
2016-05-20,27.13,27.21,26.84,27.06,4545375.0
2016-05-23,27.0,27.09,26.9,26.91,3988228.0
2016-05-24,27.16,27.25,26.96,27.2,4142932.0
2016-05-25,27.3,27.58,27.1,27.18,3996238.0
2016-05-26,26.64,26.79,26.35,26.63,3891829.0
2016-05-27,26.65,26.92,26.65,26.81,3173307.0
2016-05-31,26.94,27.22,26.87,27.12,6054611.0
2016-06-01,27.05,27.26,26.85,26.9,4001728.0
2016-06-02,26.85,27.15,26.68,27.12,3685978.0
2016-06-03,27.05,27.47,27.04,27.35,4518663.0
2016-06-06,27.34,27.57,27.14,27.15,4336818.0
2016-06-07,27.07,27.44,27.06,27.29,5174476.0
2016-06-08,27.4,27.45,27.02,27.04,4554999.0
2016-06-09,27.04,27.13,26.78,27.0,3235638.0
2016-06-10,26.89,27.09,26.597,26.96,5564331.0
2016-06-13,26.68,27.18,26.68,26.89,5699862.0
2016-06-14,26.9,26.97,26.56,26.68,5625959.0
2016-06-15,26.77,27.98,26.76,27.23,9091734.0
2016-06-16,27.07,27.375,26.96,27.24,7071353.0
2016-06-17,27.1,27.48,27.08,27.46,10587099.0
2016-06-20,27.69,27.93,27.56,27.57,4314380.0
2016-06-21,27.64,28.195,27.56,28.08,4730413.0
2016-06-22,27.99,28.275,27.9,27.92,4703180.0
2016-06-23,28.27,28.74,28.17,28.52,3478131.0
2016-06-24,27.96,28.23,27.73,27.93,7198191.0
2016-06-27,27.76,27.82,26.57,26.82,7803316.0
2016-06-28,27.15,27.91,27.08,27.84,4788040.0
2016-06-29,28.15,28.46,27.92,28.45,7539651.0
2016-06-30,28.48,29.03,28.28,29.01,5490072.0
2016-07-01,29.0,29.4,28.84,29.37,4016696.0
2016-07-05,29.36,29.39,28.785,28.93,3620604.0
2016-07-06,28.91,29.51,28.6401,29.5,4360032.0
2016-07-07,29.53,29.75,29.185,29.38,3568819.0
2016-07-08,29.6,30.23,29.465,30.22,5100813.0
2016-07-11,30.16,30.51,30.15,30.33,4846266.0
2016-07-12,30.58,31.0,30.47,30.74,5578485.0
2016-07-13,30.67,31.08,30.49,30.88,3948821.0
2016-07-14,31.04,31.33,31.01,31.3,4369182.0
2016-07-15,31.53,31.56,31.17,31.32,4567949.0
2016-07-18,30.62,31.0,30.211,30.92,4912949.0
2016-07-19,30.81,30.818,30.3262,30.49,4718214.0
2016-07-20,30.6,30.6,30.22,30.55,4001603.0
2016-07-21,30.5,30.755,30.47,30.64,3611351.0
2016-07-22,30.75,31.04,30.62,30.9,2287295.0
2016-07-25,30.85,30.98,30.73,30.88,3124337.0
2016-07-26,30.84,31.065,30.57,30.63,2496035.0
2016-07-27,30.85,30.85,30.28,30.71,5193524.0
2016-07-28,30.59,30.97,30.501,30.83,3467834.0
2016-07-29,30.76,31.5,30.75,31.44,6218360.0
2016-08-01,31.43,31.44,30.84,31.02,8014692.0
2016-08-02,31.02,31.08,30.37,30.59,6678694.0
