Date,Open,High,Low,Close,Volume
2016-01-04,70.2,70.95,69.79,70.76,1229949.0
2016-01-05,70.79,71.75,70.37,70.78,1061939.0
2016-01-06,70.0,70.51,69.08,69.68,1292075.0
2016-01-07,68.72,69.245,67.82,68.15,1177735.0
2016-01-08,67.99,69.19,67.34,67.42,1038323.0
2016-01-11,67.64,68.195,66.94,67.94,1253830.0
2016-01-12,68.67,69.43,67.23,68.24,784185.0
2016-01-13,68.17,68.63,66.51,66.68,925307.0
2016-01-14,66.92,67.25,65.98,66.9,1153073.0
2016-01-15,65.15,65.97,64.55,65.77,1033507.0
2016-01-19,66.5,66.56,64.83,65.48,902651.0
2016-01-20,64.83,65.48,63.37,65.0,1778289.0
2016-01-21,65.11,65.72,64.335,64.75,1077397.0
2016-01-22,65.16,66.13,64.89,65.94,1014267.0
2016-01-25,65.98,66.86,65.43,65.57,700196.0
2016-01-26,65.83,66.28,65.23,66.23,977481.0
2016-01-27,65.88,67.09,65.22,65.75,1158984.0
2016-01-28,66.43,67.31,63.13,64.15,1938074.0
2016-01-29,64.4,65.7225,63.165,65.67,1832314.0
2016-02-01,65.66,66.12,64.68,65.86,1383000.0
2016-02-02,65.1,65.69,63.72,63.97,1035118.0
2016-02-03,64.33,64.42,62.7809,64.02,1414744.0
2016-02-04,63.92,64.9,63.58,63.87,995694.0
2016-02-05,63.84,63.86,61.94,62.05,1334989.0
2016-02-08,61.54,61.7,59.66,60.54,1111358.0
2016-02-09,59.78,61.02,59.655,60.55,1494675.0
2016-02-10,60.71,63.45,60.58,62.12,1028677.0
2016-02-11,61.26,62.088,61.1101,61.3,1077689.0
2016-02-12,61.75,62.34,61.55,61.9,739455.0
2016-02-16,62.12,63.57,61.92,63.22,895973.0
2016-02-17,63.77,64.798,63.05,64.57,935988.0
2016-02-18,64.64,66.862,63.85,66.05,1349366.0
2016-02-19,65.92,66.42,65.27,66.31,945360.0
2016-02-22,66.83,67.74,66.51,66.7,819929.0
2016-02-23,66.65,66.86,66.01,66.14,780056.0
2016-02-24,65.6,66.24,65.06,66.07,1011662.0
2016-02-25,66.48,66.955,66.07,66.72,1073775.0
2016-02-26,66.83,67.9,66.775,67.22,998115.0
2016-02-29,67.21,67.51,66.51,66.53,861969.0
2016-03-01,67.8,68.765,66.65,68.48,923113.0
2016-03-02,68.21,68.66,67.39,67.93,954804.0
2016-03-03,67.7,69.83,67.7,69.71,1200981.0
2016-03-04,69.7,69.96,69.13,69.32,1109616.0
