Date,Open,High,Low,Close,Volume
2016-01-04,84.45,84.8,82.9,83.99,2195255.0
2016-01-05,84.46,84.685,81.2,81.66,2391496.0
2016-01-06,80.21,80.37,78.86,79.49,4116650.0
2016-01-07,77.51,78.14,74.73,75.04,4654606.0
2016-01-08,75.71,76.485,73.47,73.58,3174839.0
2016-01-11,73.84,76.13,73.55,75.84,3439925.0
2016-01-12,77.21,77.45,72.58,74.95,5933409.0
2016-01-13,75.44,75.55,70.03,70.15,5131753.0
2016-01-14,70.22,70.59,65.93,69.42,7256252.0
2016-01-15,67.09,68.44,65.76,67.47,4742275.0
2016-01-19,68.32,68.94,66.52,67.34,3350262.0
2016-01-20,66.18,66.84,63.47,65.72,5328304.0
2016-01-21,66.1,67.05,64.93,65.1,3768705.0
2016-01-22,66.52,67.61,64.62,65.04,3454330.0
2016-01-25,64.83,65.19,63.82,64.28,2858449.0
2016-01-26,65.37,66.51,65.0,66.37,2683063.0
2016-01-27,66.06,66.94,65.48,66.23,3587242.0
2016-01-28,67.11,67.98,64.11,64.14,2740548.0
2016-01-29,64.19,65.085,63.495,64.94,3312982.0
2016-02-01,64.7,66.65,64.57,66.4,2855740.0
2016-02-02,65.73,65.99,63.58,63.97,2580873.0
2016-02-03,64.85,64.9,61.61,62.55,3920629.0
2016-02-04,61.01,62.54,57.0,62.23,3581779.0
2016-02-05,61.73,63.09,58.77,59.43,4668027.0
2016-02-08,58.48,59.22,56.14,57.01,4391424.0
2016-02-09,56.02,58.31,55.59,57.64,4938860.0
2016-02-10,58.18,59.38,58.11,58.96,4160247.0
2016-02-11,57.59,60.41,57.39,58.63,3486528.0
2016-02-12,59.75,61.44,58.95,61.24,3505018.0
2016-02-16,62.37,63.53,61.78,63.12,4034020.0
2016-02-17,63.54,66.19,63.4,66.01,3309698.0
2016-02-18,66.18,67.15,64.985,65.37,2560713.0
2016-02-19,65.07,65.38,63.88,65.16,2391007.0
2016-02-22,66.11,67.51,65.7,66.1,2785116.0
2016-02-23,65.6,65.94,64.19,64.41,2700582.0
2016-02-24,63.48,64.02,62.12,63.69,3484461.0
2016-02-25,63.81,66.72,63.5703,66.68,2882371.0
2016-02-26,67.57,68.03,66.45,66.72,2481783.0
2016-02-29,66.71,67.66,66.39,66.68,2708769.0
2016-03-01,67.77,69.09,67.09,68.87,2601839.0
2016-03-02,68.78,69.42,68.41,68.94,1793922.0
2016-03-03,69.15,70.95,68.85,70.79,2409417.0
2016-03-04,70.64,72.47,70.0,71.53,3877819.0
2016-03-07,70.81,71.2,69.95,70.59,1927118.0
2016-03-08,69.85,69.93,68.37,68.94,2105784.0
2016-03-09,69.56,70.21,68.82,69.11,1826778.0
2016-03-10,69.24,69.39,67.16,68.37,2747772.0
2016-03-11,69.46,70.72,69.26,70.28,2553698.0
2016-03-14,69.57,70.345,69.18,70.06,1399019.0
2016-03-15,70.31,71.05,69.34,70.98,1375648.0
2016-03-16,70.77,72.48,70.73,72.14,2779790.0
2016-03-17,72.41,73.35,71.87,73.1,2659896.0
2016-03-18,73.38,73.53,72.21,72.64,2945887.0
2016-03-21,72.56,72.74,71.65,72.36,1691114.0
2016-03-22,71.62,73.54,71.62,73.26,2086673.0
2016-03-23,72.87,73.11,72.29,72.54,1854108.0
2016-03-24,71.85,72.59,70.95,72.37,2319879.0
2016-03-28,72.48,72.93,72.1,72.26,1122117.0
2016-03-29,71.9,73.965,71.745,73.92,1564860.0
2016-03-30,74.62,75.86,74.33,74.91,2057713.0
2016-03-31,74.91,75.87,74.63,75.02,2012139.0
2016-04-01,74.18,74.67,72.22,73.69,1810594.0
2016-04-04,73.3,73.4797,70.49,70.83,3611115.0
2016-04-05,69.79,71.54,68.63,71.01,2166319.0
2016-04-06,70.85,71.69,70.05,71.66,2217588.0
2016-04-07,71.56,72.87,70.86,71.2,3194912.0
2016-04-08,72.05,73.15,71.475,71.59,1651691.0
2016-04-11,72.23,73.24,71.83,72.62,2299845.0
2016-04-12,73.01,73.1799,71.82,72.35,2140712.0
2016-04-13,73.44,76.48,73.3,76.42,4166243.0
2016-04-14,76.59,77.7,75.57,77.19,2709454.0
2016-04-15,77.09,77.44,75.91,76.22,3325832.0
2016-04-18,76.97,77.01,75.97,76.51,1603196.0
2016-04-19,77.18,77.41,76.23,76.77,2457144.0
2016-04-20,77.09,77.37,76.22,76.63,1973238.0
2016-04-21,76.84,77.306,75.89,76.0,1630287.0
2016-04-22,75.98,76.16,74.9,75.73,1955231.0
2016-04-25,75.39,76.12,75.19,76.04,1423053.0
