Date,Open,High,Low,Close,Volume
2016-01-04,102.75,102.95,100.63,101.88,201277.0
2016-01-05,102.36,102.82,100.33,101.24,171387.0
2016-01-06,99.88,100.62,98.94,99.78,132852.0
2016-01-07,97.76,98.69,95.56,96.46,243427.0
2016-01-08,97.1,97.47,94.76,94.95,191865.0
2016-01-11,95.56,95.84,93.6601,94.54,256342.0
2016-01-12,95.4,95.73,93.35,94.6,145040.0
2016-01-13,94.97,95.68,92.47,92.85,199051.0
2016-01-14,93.34,95.84,91.7,95.31,250931.0
2016-01-15,93.52,95.54,92.7,95.39,315728.0
2016-01-19,96.47,96.78,94.87,95.97,301930.0
2016-01-20,94.48,97.98,92.99,97.28,346728.0
2016-01-21,97.39,97.65,94.89,95.47,252737.0
2016-01-22,96.68,97.93,96.3,96.93,168933.0
2016-01-25,96.65,96.72,94.6,95.03,234603.0
2016-01-26,95.3,97.47,95.15,97.44,195182.0
2016-01-27,97.1,98.09,95.255,96.07,197447.0
2016-01-28,96.82,97.41,95.37,95.71,151237.0
2016-01-29,96.14,98.57,95.69,98.42,402438.0
2016-02-01,97.76,99.36,97.55,98.97,313406.0
2016-02-02,97.63,97.63,94.23,94.29,258393.0
2016-02-03,95.33,96.22,92.33,95.81,325686.0
2016-02-04,95.74,97.79,95.74,97.26,190817.0
2016-02-05,96.85,96.96,93.65,94.07,212164.0
2016-02-08,92.59,92.59,86.44,87.91,579868.0
2016-02-09,86.63,89.45,85.99,88.66,274253.0
2016-02-10,89.35,91.31,89.35,89.86,210786.0
2016-02-11,88.56,89.67,86.665,89.34,390894.0
2016-02-12,91.21,102.23,89.76,95.45,601209.0
2016-02-16,96.17,96.27,90.84,93.78,400112.0
2016-02-17,94.75,95.25,93.01,94.49,371773.0
2016-02-18,94.92,95.07,93.38,93.52,248502.0
2016-02-19,92.89,93.195,91.64,92.59,653774.0
2016-02-22,93.52,94.82,93.19,94.49,237402.0
2016-02-23,93.86,94.78,93.59,93.65,210985.0
2016-02-24,92.55,94.1,91.235,93.7,183089.0
2016-02-25,94.03,95.1,93.55,95.09,258808.0
2016-02-26,95.66,97.31,95.34,96.16,172637.0
2016-02-29,95.98,97.07,95.06,95.79,272838.0
2016-03-01,96.71,98.39,96.07,98.34,240023.0
