Date,Open,High,Low,Close,Volume
2016-01-04,63.85,64.42,63.47,64.4,1687594.0
2016-01-05,64.44,65.165,63.58,64.91,1516635.0
2016-01-06,64.45,65.47,64.2,65.22,1680960.0
2016-01-07,64.54,65.96,64.5,65.72,3372683.0
2016-01-08,65.82,66.8,65.72,66.43,5463965.0
2016-01-11,66.59,67.45,66.17,66.31,4280448.0
2016-01-12,66.35,66.69,65.11,65.5,3140171.0
2016-01-13,65.68,66.99,65.59,66.68,3214876.0
2016-01-14,66.56,67.99,66.08,67.62,3882816.0
2016-01-15,66.51,67.87,66.5,67.68,3838486.0
2016-01-19,68.0,69.26,67.65,69.07,3371567.0
2016-01-20,68.66,69.051,67.73,68.25,3398538.0
2016-01-21,68.25,68.98,66.2,67.69,4585663.0
2016-01-22,68.22,68.318,66.67,67.97,3143685.0
2016-01-25,68.17,68.23,67.48,67.81,2131245.0
2016-01-26,67.92,69.14,67.67,67.99,2111624.0
2016-01-27,67.87,68.64,67.48,68.33,1604001.0
2016-01-28,68.24,69.63,67.6501,69.15,1423357.0
2016-01-29,69.7,70.1999,69.21,69.39,3791204.0
2016-02-01,69.41,70.81,69.08,70.42,2574468.0
2016-02-02,70.16,71.22,69.88,71.12,1720698.0
2016-02-03,71.26,72.31,71.22,71.67,1955453.0
2016-02-04,71.43,71.845,70.73,71.53,1751240.0
2016-02-05,71.21,72.24,70.1401,72.04,2529266.0
2016-02-08,72.14,73.15,71.97,73.08,2855648.0
2016-02-09,73.12,73.9,72.725,73.61,2596913.0
2016-02-10,73.49,73.702,71.94,73.39,2016206.0
2016-02-11,73.39,73.68,72.08,72.15,2488933.0
2016-02-12,71.81,72.0,69.75,70.72,3244164.0
2016-02-16,70.91,71.08,69.93,70.97,2659766.0
2016-02-17,70.41,70.715,69.34,69.97,3257428.0
2016-02-18,70.03,71.98,69.85,71.31,2798747.0
2016-02-19,71.0,71.61,69.68,70.87,3049513.0
2016-02-22,71.0,71.68,70.32,71.58,1801947.0
2016-02-23,71.58,72.31,71.07,72.05,1789332.0
2016-02-24,71.77,72.4,71.19,71.57,1830147.0
2016-02-25,71.67,72.49,71.43,72.45,1413402.0
2016-02-26,71.85,72.33,70.17,70.35,2195215.0
2016-02-29,70.19,70.73,70.01,70.01,2633944.0
2016-03-01,70.36,70.83,69.395,69.78,2445017.0
2016-03-02,69.78,70.55,68.44,70.3,2519424.0
2016-03-03,70.51,70.63,69.3,70.63,2054897.0
2016-03-04,70.25,71.475,69.96,71.39,1667313.0
2016-03-07,71.31,71.76,70.98,71.69,1335114.0
2016-03-08,71.64,72.95,71.35,72.88,1800521.0
2016-03-09,72.61,73.69,72.61,72.73,2103253.0
2016-03-10,73.01,73.45,72.42,73.06,1297812.0
2016-03-11,73.24,73.745,72.99,73.27,1286773.0
2016-03-14,73.14,73.7,72.81,73.47,1320861.0
2016-03-15,73.65,74.11,73.48,73.9,1706207.0
2016-03-16,74.01,74.53,72.56,74.44,2001189.0
2016-03-17,74.48,75.601,74.17,75.48,2440238.0
