Date,Open,High,Low,Close,Volume
2016-01-04,86.93,87.24,86.12,87.21,1722363.0
2016-01-05,87.18,88.17,86.91,88.01,1494278.0
2016-01-06,87.06,87.22,84.735,85.09,2759398.0
2016-01-07,83.52,84.6,83.005,83.33,2140389.0
2016-01-08,83.7,84.4,82.68,82.82,1738494.0
2016-01-11,83.37,83.57,81.46,82.88,1969104.0
2016-01-12,83.52,84.27,83.06,84.23,1445633.0
2016-01-13,84.34,84.82,82.805,83.1,1628268.0
2016-01-14,83.32,84.95,82.87,84.28,2003524.0
2016-01-15,82.49,83.165,81.44,82.35,2146505.0
2016-01-19,83.41,84.13,82.88,83.88,2122744.0
2016-01-20,82.67,83.55,81.015,82.93,2355634.0
2016-01-21,83.41,84.105,81.92,83.3,1840345.0
2016-01-22,84.51,85.9,84.28,85.69,1403743.0
2016-01-25,84.63,85.14,83.3704,83.47,2124306.0
2016-01-26,84.39,84.815,83.39,83.59,2090581.0
2016-01-27,83.55,83.82,81.95,82.4,2431072.0
2016-01-28,82.9,84.22,82.89,83.69,1776422.0
2016-01-29,84.11,85.39,83.98,85.25,2067722.0
2016-02-01,85.04,85.93,84.31,85.46,2170722.0
2016-02-02,84.55,85.52,84.55,85.02,1525512.0
2016-02-03,85.36,86.71,84.08,86.46,2357707.0
2016-02-04,85.78,87.65,85.77,87.01,3180974.0
2016-02-05,87.39,91.0,87.38,90.99,4459912.0
2016-02-08,89.81,91.11,88.075,89.63,3844570.0
2016-02-09,88.0,90.77,87.99,90.44,3071693.0
2016-02-10,90.41,90.883,88.32,88.47,2727564.0
2016-02-11,86.78,87.25,86.0,86.74,1858769.0
2016-02-12,87.23,88.37,86.56,88.31,1604699.0
2016-02-16,89.45,90.31,88.14,88.62,2200748.0
2016-02-17,88.98,90.9,88.705,90.07,1970961.0
2016-02-18,89.98,91.4,89.421,91.25,2093153.0
2016-02-19,91.06,91.64,90.15,91.63,1346654.0
2016-02-22,91.97,92.5,91.35,91.72,1105624.0
2016-02-23,91.48,92.0,90.91,91.72,1054545.0
2016-02-24,90.55,92.2,90.31,92.02,923187.0
2016-02-25,92.22,92.7,91.16,92.68,816392.0
2016-02-26,92.92,93.425,91.71,91.79,1042124.0
2016-02-29,91.62,92.16,91.23,91.33,1122180.0
2016-03-01,92.23,92.8,91.78,92.4,1065443.0
2016-03-02,92.13,92.7599,91.35,91.85,1577738.0
2016-03-03,91.86,92.4,91.43,92.2,1038657.0
2016-03-04,92.61,93.06,91.79,92.55,982448.0
2016-03-07,91.91,92.39,91.44,91.63,1022929.0
2016-03-08,91.53,91.96,90.7293,91.74,1939509.0
2016-03-09,92.24,93.1,91.785,92.2,975024.0
2016-03-10,92.2,92.7,90.95,91.77,955219.0
2016-03-11,92.86,93.27,92.29,93.11,1061318.0
2016-03-14,93.09,94.56,92.74,93.83,1320080.0
2016-03-15,93.07,94.06,92.99,93.8,1399785.0
2016-03-16,91.8,93.32,91.55,93.11,1638636.0
2016-03-17,93.11,94.132,92.85,93.95,1027885.0
2016-03-18,93.74,94.5,93.21,94.18,2028133.0
2016-03-21,94.24,94.64,93.36,94.13,694314.0
2016-03-22,93.65,93.75,92.6,93.18,1273609.0
2016-03-23,93.49,94.09,93.25,93.38,771910.0
2016-03-24,93.19,93.44,92.66,93.27,621865.0
2016-03-28,93.31,93.9,93.23,93.6,576934.0
2016-03-29,93.7,94.39,93.2,94.17,783606.0
2016-03-30,94.77,94.9316,94.35,94.42,855976.0
2016-03-31,94.15,94.67,93.95,94.31,1225015.0
2016-04-01,93.88,95.73,93.64,95.65,1132097.0
2016-04-04,95.8,95.8,94.84,95.5,796557.0
2016-04-05,95.38,95.9,94.9,95.1,743284.0
2016-04-06,95.12,95.72,94.95,95.68,658610.0
2016-04-07,95.09,95.1,93.5,94.54,1491503.0
2016-04-08,95.02,95.39,94.58,95.21,943945.0
2016-04-11,95.73,96.2,95.115,95.25,794077.0
2016-04-12,95.09,95.69,94.51,94.73,1252647.0
2016-04-13,95.25,95.25,94.26,94.52,1173031.0
2016-04-14,94.61,95.3,94.15,94.71,1066732.0
2016-04-15,94.82,94.99,94.08,94.95,1210599.0
2016-04-18,94.9,95.97,94.63,95.78,962812.0
2016-04-19,96.42,97.08,96.06,96.95,1286312.0
2016-04-20,96.85,97.33,96.54,96.57,1198289.0
2016-04-21,96.04,96.25,93.69,93.89,1631242.0
2016-04-22,93.53,93.96,91.96,93.95,1978424.0
2016-04-25,93.53,94.79,93.52,94.72,1451934.0
2016-04-26,94.72,95.88,94.38,95.69,1430514.0
2016-04-27,95.71,96.8,95.47,96.17,1670574.0
2016-04-28,95.67,97.46,95.47,97.12,1487623.0
2016-04-29,96.69,96.85,95.31,95.87,1591304.0
2016-05-02,95.86,97.48,95.68,97.13,2274592.0
2016-05-03,94.23,95.48,93.02,93.29,3521600.0
2016-05-04,92.5,93.42,91.92,93.15,2444692.0
2016-05-05,93.13,94.26,92.97,93.28,1222929.0
2016-05-06,93.17,94.12,92.06,93.99,1785588.0
2016-05-09,94.22,95.03,93.36,93.74,1532074.0
2016-05-10,94.23,95.58,94.17,95.54,1900915.0
2016-05-11,95.03,95.22,94.38,94.93,2064525.0
2016-05-12,95.43,95.86,93.72,94.61,1451585.0
2016-05-13,94.22,94.32,92.38,92.66,1689057.0
2016-05-16,92.72,93.2,92.56,92.79,1010540.0
2016-05-17,92.66,92.975,91.6,92.02,1641154.0
2016-05-18,91.88,92.12,90.13,90.5,1888992.0
2016-05-19,90.04,91.09,89.84,91.01,1651720.0
2016-05-20,91.31,91.31,90.14,90.48,1759356.0
2016-05-23,90.34,91.09,90.14,90.73,1299565.0
2016-05-24,91.31,92.61,90.43,92.14,1568538.0
2016-05-25,92.21,92.75,92.01,92.04,1230354.0
2016-05-26,92.12,92.26,91.43,91.44,1094897.0
2016-05-27,91.79,93.01,91.53,92.0,1450029.0
2016-05-31,92.32,92.73,91.41,91.78,1713676.0
2016-06-01,91.59,92.99,91.36,92.99,1761687.0
2016-06-02,92.74,93.35,92.6,93.2,1019647.0
2016-06-03,93.22,93.875,92.88,93.07,1290889.0
2016-06-06,93.09,93.59,92.63,93.06,1308837.0
2016-06-07,93.35,93.77,92.97,93.12,1170613.0
2016-06-08,93.3,93.53,92.82,92.88,1088324.0
2016-06-09,92.41,92.71,91.85,92.28,1669464.0
2016-06-10,91.51,92.06,91.12,91.55,1679449.0
2016-06-13,91.77,92.28,91.24,91.29,1279700.0
2016-06-14,90.88,91.76,90.23,91.45,1216676.0
2016-06-15,91.52,92.17,90.8,91.01,1079193.0
2016-06-16,90.97,91.87,90.62,91.71,1395724.0
2016-06-17,91.78,92.27,91.3401,91.94,1646538.0
2016-06-20,92.85,93.81,92.62,93.08,1690224.0
2016-06-21,93.3,93.69,92.76,93.1,1564222.0
2016-06-22,93.36,94.33,93.05,93.59,1166772.0
2016-06-23,94.05,95.0,93.98,94.95,1564137.0
2016-06-24,92.53,92.87,89.67,89.73,3221984.0
2016-06-27,89.42,89.42,87.11,87.24,2281883.0
2016-06-28,88.39,88.67,87.08,88.19,2476759.0
2016-06-29,88.76,89.97,88.53,89.71,2504636.0
2016-06-30,89.74,91.09,89.65,91.02,2718722.0
2016-07-01,91.25,92.42,91.16,91.82,1541020.0
2016-07-05,91.45,92.16,91.03,91.32,1685404.0
2016-07-06,90.74,91.28,90.31,91.03,1535963.0
2016-07-07,91.0,91.75,91.0,91.55,1111878.0
2016-07-08,92.0,93.17,91.83,93.01,1283007.0
2016-07-11,92.69,93.5,92.66,93.28,839803.0
2016-07-12,93.29,93.59,92.77,93.29,1205957.0
2016-07-13,93.28,93.58,92.94,93.3,869506.0
2016-07-14,93.69,94.28,93.53,94.03,1199886.0
2016-07-15,94.53,94.94,94.14,94.4,1098339.0
2016-07-18,94.39,94.39,93.585,93.97,1200861.0
2016-07-19,93.41,93.76,93.12,93.49,856931.0
2016-07-20,93.49,94.07,93.32,93.5,832418.0
2016-07-21,93.22,93.63,92.64,92.86,1009469.0
2016-07-22,93.06,93.343,92.87,93.23,716133.0
2016-07-25,92.98,93.25,92.49,93.17,740987.0
2016-07-26,93.07,94.05,92.764,93.05,909373.0
2016-07-27,93.04,93.04,92.13,92.41,1090757.0
2016-07-28,92.56,92.88,92.01,92.11,1273698.0
2016-07-29,91.9,93.15,91.9,92.9,1097046.0
2016-08-01,92.81,94.22,92.81,93.43,1185002.0
2016-08-02,93.73,94.039,92.74,93.27,1255253.0
2016-08-03,93.05,93.89,92.67,93.84,1410672.0
2016-08-04,93.79,94.27,93.32,93.68,1721352.0
2016-08-05,93.67,94.19,92.49,93.58,1760300.0
2016-08-08,93.57,93.64,93.11,93.29,1260070.0
2016-08-09,93.49,94.06,93.31,93.34,990088.0
2016-08-10,93.29,93.41,92.72,92.91,1282454.0
2016-08-11,92.96,93.24,91.76,92.53,2074628.0
2016-08-12,92.64,93.6431,92.17,93.1,1470954.0
2016-08-15,93.09,93.8201,93.0701,93.2,1406479.0
2016-08-16,92.77,92.96,91.95,92.42,1412500.0
2016-08-17,92.64,93.2,92.08,93.02,2013764.0
2016-08-18,93.18,95.38,92.96,95.1,3520724.0
2016-08-19,91.89,93.25,91.06,91.73,5640769.0
2016-08-22,90.89,92.95,90.1,91.38,2744680.0
2016-08-23,91.65,92.27,91.45,91.57,1382971.0
2016-08-24,91.37,91.57,90.19,90.5,2038675.0
2016-08-25,90.56,91.7699,90.3,91.23,1419420.0
2016-08-26,91.19,91.81,90.26,90.91,1471023.0
2016-08-29,90.65,91.18,90.59,90.86,954330.0
2016-08-30,90.83,90.98,89.77,89.87,1373933.0
