Date,Open,High,Low,Close,Volume
2016-01-04,80.79,80.87,79.21,79.9,1727860.0
2016-01-05,80.15,81.76,80.0,81.5,1379146.0
2016-01-06,80.76,81.5,80.31,80.73,1407067.0
2016-01-07,79.56,80.95,79.56,80.48,1675596.0
2016-01-08,81.06,81.13,78.69,78.82,1481225.0
2016-01-11,79.15,80.15,78.82,79.78,1786183.0
2016-01-12,80.86,80.96,79.5,79.94,2004053.0
2016-01-13,80.09,81.07,79.08,79.17,1560969.0
2016-01-14,79.33,79.93,78.49,78.57,2233624.0
2016-01-15,77.14,78.81,76.64,78.58,2136006.0
2016-01-19,78.67,79.72,78.32,79.18,1647374.0
2016-01-20,78.43,78.67,75.41,76.4,2210601.0
2016-01-21,76.78,77.42,76.04,76.44,1654243.0
2016-01-22,77.37,78.05,76.77,77.72,1926981.0
2016-01-25,77.61,79.2,77.15,78.2,1843092.0
2016-01-26,78.35,79.9,78.1,79.74,1744301.0
2016-01-27,79.65,79.65,77.61,78.27,1638300.0
2016-01-28,78.12,78.38,75.67,75.79,2732023.0
2016-01-29,76.63,77.23,74.93,77.09,3139556.0
2016-02-01,76.19,77.8,75.79,76.73,2142982.0
2016-02-02,77.0,77.22,74.79,75.6,2787582.0
2016-02-03,75.8,75.92,73.4,75.68,3100417.0
2016-02-04,75.27,76.925,74.48,76.27,2278179.0
2016-02-05,75.94,76.15,73.31,73.59,2222845.0
2016-02-08,73.28,73.59,70.91,72.23,2786917.0
2016-02-09,71.95,72.44,71.2,71.34,2110532.0
2016-02-10,71.86,72.95,71.41,71.77,1222405.0
2016-02-11,70.71,71.13,69.87,70.72,2265570.0
2016-02-12,71.67,71.67,70.64,71.29,1907675.0
2016-02-16,72.03,72.31,71.15,72.18,1524616.0
2016-02-17,72.33,72.88,72.1,72.44,2212975.0
2016-02-18,72.32,73.19,71.89,72.97,1838762.0
2016-02-19,72.95,73.74,72.49,73.12,1482509.0
2016-02-22,73.68,74.62,73.63,74.2,1718167.0
2016-02-23,74.86,75.23,73.51,73.81,1660519.0
2016-02-24,73.5,74.06,72.16,73.23,1876013.0
2016-02-25,73.87,74.55,73.57,74.5,2094322.0
2016-02-26,74.49,74.9,73.54,74.55,3068102.0
2016-02-29,74.66,75.41,74.29,74.49,3181208.0
2016-03-01,67.16,68.67,66.62,68.62,3162854.0
2016-03-02,68.57,70.35,68.57,70.02,2643293.0
2016-03-03,70.03,71.0,69.79,70.97,2168933.0
2016-03-04,70.97,71.52,70.46,71.47,2061644.0
2016-03-07,70.99,71.83,70.66,71.66,1208834.0
2016-03-08,71.71,71.93,70.84,70.97,2013444.0
2016-03-09,71.0,72.1125,70.83,71.68,1654088.0
2016-03-10,72.39,72.72,70.7,71.06,2880152.0
2016-03-11,71.97,72.98,70.79,72.9,2515249.0
2016-03-14,72.71,73.2,72.185,72.59,1331810.0
2016-03-15,72.51,72.9,72.07,72.69,1272678.0
2016-03-16,72.51,73.6,72.14,73.36,1433055.0
2016-03-17,73.49,74.56,73.16,74.45,1699921.0
2016-03-18,74.7,75.39,74.21,74.26,3298426.0
2016-03-21,74.16,74.33,72.82,73.02,2051196.0
2016-03-22,72.47,73.41,72.295,72.74,1785107.0
2016-03-23,72.82,72.93,72.33,72.54,1698229.0
2016-03-24,72.19,72.55,71.77,72.49,1764926.0
2016-03-28,72.56,73.87,72.56,73.7,1414383.0
2016-03-29,73.64,75.22,73.64,75.21,1696022.0
2016-03-30,74.82,75.3,74.49,74.85,1554031.0
2016-03-31,74.96,75.27,74.485,75.03,2225848.0
2016-04-01,74.71,75.43,74.45,75.17,1428771.0
2016-04-04,75.26,75.49,74.21,74.67,1730363.0
2016-04-05,74.29,74.82,73.91,74.02,1665317.0
2016-04-06,73.89,74.6425,73.75,74.59,1095709.0
2016-04-07,74.33,74.56,73.63,73.9,1113056.0
2016-04-08,74.22,74.71,73.78,73.91,1282267.0
2016-04-11,73.33,73.33,72.2,72.28,2485191.0
2016-04-12,72.36,72.508,71.88,72.36,2314346.0
2016-04-13,72.74,72.75,70.4,70.56,3056326.0
2016-04-14,70.3,70.43,68.99,69.37,2704240.0
2016-04-15,69.35,71.28,69.045,70.89,2111990.0
2016-04-18,70.9,71.27,70.37,71.25,2088898.0
2016-04-19,71.51,71.95,71.18,71.75,1789874.0
2016-04-20,71.82,72.0,69.92,70.14,1198247.0
2016-04-21,70.14,71.065,69.58,69.82,1635966.0
2016-04-22,70.0,70.88,69.935,70.66,1821805.0
2016-04-25,70.47,71.36,70.16,71.26,1566065.0
2016-04-26,71.37,71.935,70.06,70.53,2792536.0
2016-04-27,67.68,69.1,66.82,68.75,3602816.0
2016-04-28,68.29,69.52,67.86,68.94,2273214.0
2016-04-29,68.51,68.89,67.45,68.07,2036679.0
2016-05-02,68.72,69.345,68.11,69.15,1484806.0
2016-05-03,68.89,69.3,68.72,69.23,1295492.0
2016-05-04,68.61,70.66,68.5,70.44,2227622.0
2016-05-05,70.29,71.23,70.09,70.73,1523344.0
2016-05-06,70.68,71.43,69.91,71.18,1432842.0
2016-05-09,71.26,72.07,71.125,71.88,1563674.0
2016-05-10,72.1,73.05,71.44,72.35,2541897.0
2016-05-11,72.27,72.34,69.78,69.86,3002349.0
2016-05-12,69.96,70.23,69.05,69.88,1953934.0
2016-05-13,69.68,69.91,69.0,69.2,1370414.0
2016-05-16,69.06,70.18,69.06,69.75,1704287.0
2016-05-17,69.71,69.71,67.93,68.16,1905140.0
2016-05-18,68.38,68.39,66.9,67.7,3085359.0
2016-05-19,67.03,67.31,66.59,66.82,1955102.0
2016-05-20,67.22,67.61,66.81,67.47,1551115.0
2016-05-23,67.63,67.95,67.18,67.54,1491349.0
