Date,Open,High,Low,Close,Volume
2016-01-04,238.45,239.32,235.54,237.32,364618.0
2016-01-05,237.9,240.55,237.775,240.04,257678.0
2016-01-06,238.01,239.99,236.63,238.05,189475.0
2016-01-07,235.56,237.99,234.73,235.7,459973.0
2016-01-08,236.28,238.67,233.14,233.67,384201.0
2016-01-11,234.85,236.55,234.11,235.69,477171.0
2016-01-12,234.6,235.56,230.39,234.78,640609.0
2016-01-13,235.27,237.03,232.3587,233.78,613924.0
2016-01-14,233.78,235.85,230.54,230.83,632928.0
2016-01-15,228.97,231.66,226.26,230.15,606119.0
2016-01-19,231.19,233.85,229.17,232.33,484778.0
2016-01-20,231.61,231.61,223.95,224.48,717314.0
2016-01-21,225.12,226.84,219.31,221.0,587375.0
2016-01-22,222.82,225.39,221.49,224.85,733660.0
2016-01-25,224.86,227.22,222.46,223.11,432465.0
2016-01-26,223.37,226.63,223.08,226.32,471433.0
2016-01-27,226.32,226.32,218.99,220.44,515479.0
2016-01-28,219.38,221.19,209.89,210.78,998562.0
2016-01-29,212.04,213.62,205.73,213.11,1223125.0
2016-02-01,211.39,216.35,210.435,214.23,805270.0
2016-02-02,214.23,216.525,207.6,208.32,566292.0
2016-02-03,209.38,211.97,207.24,210.38,611246.0
2016-02-04,209.2,212.57,207.2455,210.92,579177.0
2016-02-05,209.86,215.28,202.08,202.5,691856.0
2016-02-08,205.98,205.98,196.69,198.17,622065.0
2016-02-09,196.83,200.19,191.66,193.49,741738.0
2016-02-10,196.64,200.0,195.56,196.79,455686.0
2016-02-11,194.03,194.87,191.25,192.26,473228.0
2016-02-12,196.94,197.87,192.4,195.54,512889.0
2016-02-16,197.0,199.2,193.8,198.63,434759.0
2016-02-17,199.13,203.36,196.32,201.57,544772.0
2016-02-18,201.78,203.8,198.87,202.03,398684.0
2016-02-19,201.96,208.79,201.96,207.12,1054552.0
2016-02-22,208.55,210.88,208.2975,209.53,407354.0
2016-02-23,208.14,211.53,208.14,209.17,446657.0
2016-02-24,208.04,211.465,205.445,207.42,265768.0
2016-02-25,208.65,214.86,208.15,211.0,468166.0
2016-02-26,210.96,211.74,209.79,209.98,450821.0
2016-02-29,210.14,214.57,209.15,209.28,577409.0
2016-03-01,210.64,216.79,209.51,216.59,511829.0
2016-03-02,215.72,219.045,211.86,218.0,459746.0
2016-03-03,218.66,221.1,217.185,221.05,454656.0
2016-03-04,222.66,223.86,221.045,222.49,430187.0
2016-03-07,220.82,223.47,220.285,223.17,335851.0
2016-03-08,223.17,225.26,221.56,221.93,379946.0
2016-03-09,222.19,224.38,219.67,222.24,398846.0
2016-03-10,223.53,224.67,219.17,220.67,435821.0
2016-03-11,222.36,224.555,220.49,224.43,542112.0
2016-03-14,223.84,224.9099,219.04,221.11,500283.0
2016-03-15,220.15,221.44,219.6001,221.32,326167.0
2016-03-16,220.5,222.81,218.65,222.02,314978.0
2016-03-17,222.41,227.12,221.05,226.38,502277.0
2016-03-18,226.67,229.67,224.94,226.07,976534.0
2016-03-21,226.07,227.41,225.76,226.25,388431.0
2016-03-22,226.16,229.61,225.36,228.48,442494.0
2016-03-23,228.5,230.36,228.14,228.51,533661.0
2016-03-24,227.74,228.22,224.74,226.21,319845.0
2016-03-28,226.21,228.44,225.22,228.27,344147.0
2016-03-29,226.76,233.895,226.76,233.67,370839.0
2016-03-30,234.0,234.95,232.17,232.35,354370.0
2016-03-31,232.17,234.775,231.14,233.86,482968.0
2016-04-01,233.14,234.185,231.69,232.82,356263.0
2016-04-04,233.15,234.985,232.13,233.79,373901.0
2016-04-05,232.02,233.985,230.87,231.86,295371.0
2016-04-06,231.43,233.25,230.375,232.4,498141.0
2016-04-07,231.41,232.63,229.3,230.6,347105.0
2016-04-08,232.31,232.9,231.15,231.43,337037.0
2016-04-11,231.73,231.73,227.12,227.14,381786.0
2016-04-12,227.34,228.94,224.09,228.65,527981.0
2016-04-13,229.79,229.79,222.17,222.95,860435.0
2016-04-14,222.66,222.66,217.465,218.89,511084.0
2016-04-15,218.79,225.67,218.31,224.87,445573.0
2016-04-18,224.75,226.7,223.25,226.44,577995.0
2016-04-19,226.92,229.9,226.21,229.27,470135.0
2016-04-20,229.32,229.43,222.33,222.81,371407.0
2016-04-21,222.02,225.76,221.22,222.3,431199.0
2016-04-22,222.69,225.43,221.94,224.51,269158.0
2016-04-25,223.85,227.545,223.85,227.46,268223.0
2016-04-26,227.42,229.26,224.68,225.43,408568.0
2016-04-27,223.77,225.0,220.94,224.65,555951.0
2016-04-28,224.08,227.87,223.36,224.33,379005.0
2016-04-29,223.75,224.68,218.85,220.45,971178.0
2016-05-02,219.42,223.67,219.0,222.93,384884.0
2016-05-03,221.6,223.81,220.845,223.52,385324.0
2016-05-04,221.84,227.545,221.5,225.91,406915.0
2016-05-05,227.3,230.0,227.09,228.87,298137.0
2016-05-06,228.91,232.33,225.7845,232.16,305774.0
2016-05-09,232.39,233.99,232.39,233.51,377528.0
2016-05-10,235.0,237.5,233.2,236.11,518280.0
2016-05-11,236.09,236.09,229.92,230.6,335572.0
2016-05-12,230.78,231.19,227.5611,229.93,323857.0
2016-05-13,229.68,229.88,227.04,227.75,242633.0
2016-05-16,228.62,230.57,227.13,229.49,306838.0
2016-05-17,229.04,229.49,222.81,224.28,451879.0
2016-05-18,223.79,225.0,220.35,223.52,433738.0
2016-05-19,221.86,221.9,219.46,221.32,283051.0
2016-05-20,222.74,223.62,221.16,222.83,322288.0
2016-05-23,223.31,224.0496,221.97,222.17,196557.0
2016-05-24,224.05,224.66,222.16,223.49,349072.0
2016-05-25,223.86,226.37,222.28,226.0,426745.0
2016-05-26,225.62,227.2,224.52,227.08,273753.0
2016-05-27,227.44,228.83,225.38,226.9,262719.0
2016-05-31,226.85,227.75,224.39,227.23,371248.0
2016-06-01,225.5,225.54,218.1,218.93,805157.0
2016-06-02,218.71,219.83,216.42,218.05,541009.0
2016-06-03,218.3,220.0,212.84,213.24,1072513.0
2016-06-06,212.94,214.19,208.32,210.0,592750.0
2016-06-07,210.99,212.38,208.68,209.2,396693.0
2016-06-08,207.23,209.63,207.2,209.19,437889.0
2016-06-09,209.19,210.92,208.66,209.26,443478.0
2016-06-10,208.01,210.045,207.5,209.34,403699.0
2016-06-13,209.65,213.4,209.33,211.36,636818.0
2016-06-14,211.22,213.46,210.28,212.27,407320.0
2016-06-15,212.75,217.68,212.75,216.38,530905.0
2016-06-16,215.84,217.58,215.005,217.47,290848.0
2016-06-17,217.18,218.9,214.52,218.04,714053.0
2016-06-20,220.24,221.565,218.32,218.64,368289.0
2016-06-21,219.47,220.775,218.9,219.88,282205.0
2016-06-22,220.34,221.81,219.03,220.22,306214.0
2016-06-23,221.64,221.74,217.84,218.45,379596.0
2016-06-24,213.94,219.59,213.035,216.9,862405.0
2016-06-27,215.52,219.38,214.6401,218.55,525466.0
2016-06-28,218.84,223.28,218.09,223.23,544896.0
2016-06-29,225.25,227.09,223.6501,224.52,364149.0
2016-06-30,225.0,228.09,222.81,228.09,385004.0
2016-07-01,228.09,229.64,227.08,228.65,292602.0
2016-07-05,229.11,232.47,229.11,231.21,453897.0
2016-07-06,230.54,231.91,228.98,230.06,360914.0
2016-07-07,230.05,230.05,227.285,228.76,347274.0
2016-07-08,230.99,232.57,229.11,231.33,353137.0
2016-07-11,231.64,232.26,229.64,231.33,202023.0
2016-07-12,231.74,233.02,229.95,232.07,326874.0
2016-07-13,233.25,234.49,231.79,234.26,231901.0
2016-07-14,235.43,235.43,228.88,229.54,299448.0
2016-07-15,228.9,229.89,224.92,226.6,448620.0
2016-07-18,226.37,227.6,224.21,225.63,483612.0
2016-07-19,225.28,226.59,224.12,226.59,383045.0
2016-07-20,226.7,226.7,224.31,226.35,257990.0
2016-07-21,225.87,226.51,224.28,226.44,274095.0
2016-07-22,226.51,228.08,226.51,226.99,402679.0
2016-07-25,227.43,228.9,225.72,226.4,250827.0
2016-07-26,225.21,225.91,222.04,222.73,345988.0
2016-07-27,220.26,221.0,217.16,218.81,918913.0
2016-07-28,218.77,222.43,218.09,220.59,446415.0
2016-07-29,221.47,234.27,221.47,233.88,1134629.0
2016-08-01,233.74,236.56,233.02,234.62,485966.0
2016-08-02,233.7,234.49,230.795,231.51,343615.0
2016-08-03,231.86,231.86,229.645,230.43,283724.0
2016-08-04,230.93,230.93,229.11,229.51,236861.0
2016-08-05,229.81,231.01,228.35,230.61,200190.0
2016-08-08,230.99,235.99,230.61,233.2,314138.0
2016-08-09,233.51,234.08,231.8725,233.59,367474.0
2016-08-10,233.97,234.875,231.47,232.71,248788.0
2016-08-11,232.62,234.39,226.58,228.68,449123.0
2016-08-12,228.69,232.54,227.58,229.42,384232.0
2016-08-15,229.28,232.64,229.28,231.65,279796.0
2016-08-16,230.59,231.47,229.02,230.1,279176.0
2016-08-17,230.29,230.29,225.13,228.03,301542.0
2016-08-18,227.4,228.89,226.255,227.59,212167.0
2016-08-19,226.74,226.74,223.21,224.58,287192.0
2016-08-22,225.1,226.13,223.02,224.02,180809.0
2016-08-23,224.58,225.23,223.36,224.02,192767.0
2016-08-24,224.45,224.45,221.4,223.18,169043.0
2016-08-25,223.53,226.95,222.07,225.52,256844.0
2016-08-26,225.78,227.48,220.59,222.02,285310.0
2016-08-29,222.71,226.84,222.71,225.4,241812.0
2016-08-30,225.67,225.95,223.0,225.75,235141.0
2016-08-31,225.57,227.76,224.359,227.1,410587.0
2016-09-01,226.84,227.59,225.64,226.86,261688.0
2016-09-02,227.88,231.38,225.15,225.89,325090.0
2016-09-06,225.95,230.03,224.65,229.99,244081.0
2016-09-07,229.67,229.97,227.09,229.92,227086.0
2016-09-08,229.52,229.52,226.63,226.83,516125.0
2016-09-09,220.16,225.025,219.05,219.97,451179.0
2016-09-12,219.32,226.2,218.671,225.02,460340.0
2016-09-13,223.22,223.5899,218.625,219.0,466825.0
2016-09-14,219.48,221.62,218.23,221.02,295420.0
2016-09-15,220.35,222.285,219.29,221.96,337139.0
2016-09-16,221.16,222.17,220.365,221.97,440546.0
2016-09-19,222.63,225.37,222.475,225.03,186468.0
2016-09-20,226.78,229.79,225.65,226.04,251463.0
2016-09-21,226.12,231.15,224.35,230.23,602229.0
2016-09-22,232.18,233.81,230.07,231.18,430207.0
2016-09-23,230.5,233.28,227.5,230.92,460966.0
2016-09-26,230.26,232.54,230.015,230.86,344576.0
2016-09-27,231.13,232.13,227.86,228.21,437092.0
2016-09-28,226.79,228.9,225.66,227.41,442142.0
2016-09-29,226.3,228.71,224.06,225.63,346098.0
2016-09-30,227.3,227.47,222.65,222.7,372156.0
2016-10-03,222.1,222.63,217.66,217.9,321602.0
2016-10-04,218.03,218.04,214.31,217.63,483168.0
2016-10-05,217.95,218.63,213.22,213.32,549452.0
2016-10-06,212.71,215.0,210.67,212.47,254521.0
2016-10-07,213.55,216.2,211.05,212.27,290327.0
2016-10-10,212.61,213.705,211.61,212.32,222032.0
2016-10-11,212.35,213.125,208.83,210.27,392628.0
2016-10-12,210.64,212.025,208.75,211.64,326746.0
2016-10-13,205.32,211.58,205.28,208.57,688411.0
2016-10-14,208.57,209.08,206.25,208.72,644461.0
2016-10-17,209.16,209.16,207.04,207.27,339214.0
2016-10-18,209.2,209.59,207.61,207.7,186082.0
2016-10-19,207.62,208.91,206.55,208.57,257453.0
2016-10-20,208.26,210.49,207.03,207.5,275750.0
2016-10-21,205.93,208.175,205.93,206.67,231829.0
2016-10-24,208.07,211.24,204.75,205.35,341737.0
2016-10-25,203.5,205.4875,200.01,204.62,435283.0
2016-10-26,204.02,207.58,202.3165,207.48,448301.0
2016-10-27,207.1,208.04,201.57,205.85,1035649.0
2016-10-28,208.01,214.97,207.65,209.26,904190.0
2016-10-31,210.23,214.29,208.85,214.09,686222.0
2016-11-01,213.54,214.8,210.78,213.29,637279.0
2016-11-02,214.0,217.37,213.79,215.43,594204.0
2016-11-03,215.11,219.26,214.12,218.35,689417.0
2016-11-04,218.22,221.29,217.36,220.13,708509.0
2016-11-07,222.25,223.605,219.37,220.03,667022.0
2016-11-08,220.71,223.35,219.7,222.73,509678.0
2016-11-09,220.03,220.23,213.773,216.78,437009.0
2016-11-10,217.31,217.31,210.11,213.41,453302.0
2016-11-11,213.26,218.97,212.66,215.33,317098.0
2016-11-14,214.93,221.62,212.27,220.17,371358.0
2016-11-15,220.78,221.15,212.14,214.79,595813.0
2016-11-16,214.38,217.25,212.42,215.26,354769.0
2016-11-17,215.26,217.34,212.01,212.69,321292.0
2016-11-18,212.99,214.54,212.09,212.95,457340.0
2016-11-21,213.17,215.345,210.0,210.32,354975.0
2016-11-22,210.92,214.67,209.56,214.28,425241.0
2016-11-23,211.94,213.205,208.92,211.6,322282.0
2016-11-25,211.2,213.75,211.2,212.83,148757.0
2016-11-28,214.5,218.05,212.81,215.36,375506.0
2016-11-29,214.36,218.625,214.06,215.87,314531.0
2016-11-30,215.73,217.43,213.2,215.92,576047.0
2016-12-01,214.67,215.78,211.04,212.23,363018.0
2016-12-02,213.54,217.62,212.64,214.5,310416.0
2016-12-05,214.33,215.18,212.41,213.98,345230.0
2016-12-06,214.27,216.42,212.83,214.17,330400.0
2016-12-07,214.33,218.05,213.93,217.66,411104.0
2016-12-08,216.84,220.57,215.135,219.22,345223.0
2016-12-09,219.65,222.42,217.87,218.75,295432.0
2016-12-12,218.0,220.76,217.58,218.94,341260.0
2016-12-13,219.82,220.99,217.44,219.0,348896.0
2016-12-14,219.14,221.88,216.71,219.77,638915.0
2016-12-15,219.55,224.43,218.08,221.48,491489.0
2016-12-16,223.36,228.47,223.26,227.0,881888.0
2016-12-19,227.71,231.32,227.33,228.98,529438.0
2016-12-20,228.88,231.61,227.64,229.61,463565.0
2016-12-21,229.81,230.99,227.05,227.58,511871.0
2016-12-22,226.82,230.09,225.635,229.59,476333.0
2016-12-23,230.41,231.8,229.07,230.67,359101.0
2016-12-27,230.89,232.11,229.04,229.29,235772.0
2016-12-28,227.95,227.95,225.69,227.55,270795.0
2016-12-29,227.8,230.69,226.94,229.52,342688.0
2016-12-30,229.17,234.07,228.275,232.5,441642.0
2017-01-03,233.8,233.8,227.37,229.25,455836.0
2017-01-04,230.09,233.05,227.81,231.03,405550.0
2017-01-05,229.68,232.8999,226.375,232.76,431184.0
2017-01-06,232.59,234.77,231.47,233.74,287604.0
2017-01-09,233.96,234.38,230.56,230.73,252443.0
2017-01-10,230.0,231.29,228.5,230.1,442440.0
2017-01-11,230.2,231.08,226.78,226.87,390465.0
2017-01-12,226.67,228.71,224.38,228.43,386266.0
2017-01-13,227.5,229.47,227.33,228.0,254048.0
2017-01-17,227.96,231.23,227.96,229.58,391143.0
2017-01-18,229.94,230.3,227.72,227.9,377579.0
2017-01-19,227.22,228.18,225.84,226.67,455778.0
2017-01-20,226.98,229.71,226.0,228.54,391411.0
2017-01-23,229.68,231.8,228.67,231.11,535276.0
2017-01-24,229.79,231.87,225.79,226.71,469173.0
2017-01-25,226.56,227.095,224.49,225.85,317290.0
2017-01-26,226.29,227.7,224.86,225.38,316069.0
2017-01-27,226.21,227.09,224.23,225.41,273810.0
2017-01-30,225.23,226.7397,223.08,223.24,383137.0
2017-01-31,223.63,226.12,222.9,224.3,500424.0
2017-02-01,224.12,227.06,221.54,221.72,314074.0
2017-02-02,222.13,228.07,222.13,226.34,385997.0
2017-02-03,222.84,225.57,218.41,223.08,778858.0
2017-02-06,222.88,224.91,221.45,223.17,354415.0
2017-02-07,223.04,224.76,222.46,223.96,375992.0
2017-02-08,224.07,228.6,224.05,228.07,356193.0
2017-02-09,228.44,228.62,226.01,226.55,298907.0
2017-02-10,225.64,229.6,225.64,228.38,394106.0
2017-02-13,228.39,228.68,224.7,226.71,330886.0
2017-02-14,224.82,226.25,222.35,226.02,311127.0
2017-02-15,224.5,226.65,221.49,225.43,356047.0
2017-02-16,225.15,228.42,225.08,227.88,302317.0
2017-02-17,228.06,229.68,226.08,228.1,375533.0
2017-02-21,227.86,232.24,227.32,230.97,373374.0
2017-02-22,231.71,232.28,228.95,229.5,266271.0
2017-02-23,230.84,233.45,230.08,231.58,355364.0
2017-02-24,232.77,232.925,230.81,232.35,284016.0
2017-02-27,233.26,234.68,232.295,234.32,189778.0
2017-02-28,234.32,235.92,233.01,234.7,316956.0
2017-03-01,233.27,234.84,231.32,232.62,372366.0
2017-03-02,231.7,233.49,230.795,231.74,333813.0
2017-03-03,231.17,231.74,227.7,230.55,218062.0
2017-03-06,230.17,232.53,229.42,231.42,313781.0
2017-03-07,231.84,233.73,230.92,233.7,286720.0
2017-03-08,233.54,233.94,230.25,230.61,382804.0
2017-03-09,230.91,232.07,225.87,225.93,445942.0
2017-03-10,227.79,229.71,222.6,224.25,393456.0
2017-03-13,224.48,227.16,223.83,224.04,319102.0
2017-03-14,224.29,226.63,222.56,225.11,228738.0
2017-03-15,225.46,233.36,225.46,232.13,421549.0
2017-03-16,231.41,234.3,231.125,232.96,343738.0
2017-03-17,233.43,235.89,232.02,233.15,741210.0
2017-03-20,233.15,234.32,232.11,233.11,211752.0
