Date,Open,High,Low,Close,Volume
2016-01-04,121.26,122.0,119.06,120.8,3063693.0
2016-01-05,121.25,122.13,118.39,119.93,3723842.0
2016-01-06,117.56,120.16,116.51,119.04,2123207.0
2016-01-07,117.01,117.78,114.0,114.81,2008848.0
2016-01-08,116.06,116.5,111.25,111.41,2456073.0
2016-01-11,112.11,112.78,109.25,111.2,2177941.0
2016-01-12,112.05,113.12,110.15,111.9,1847121.0
2016-01-13,112.44,112.91,105.33,106.37,3646403.0
2016-01-14,106.74,109.49,102.87,107.67,2696255.0
2016-01-15,103.56,104.02,99.56,102.76,4698636.0
2016-01-19,104.81,106.77,104.08,105.32,3304083.0
2016-01-20,103.75,107.88,100.07,106.28,3142810.0
2016-01-21,106.39,107.62,105.19,106.4,2277278.0
2016-01-22,108.0,109.24,106.04,107.12,1630098.0
2016-01-25,106.88,107.86,104.98,105.21,1852687.0
2016-01-26,104.66,105.93,102.36,104.93,2388457.0
2016-01-27,102.91,104.0,99.0,99.53,3269688.0
2016-01-28,101.29,101.49,97.22,98.69,2624969.0
2016-01-29,99.22,101.27,98.13,101.04,2056699.0
2016-02-01,100.16,102.93,98.71,102.15,2689025.0
2016-02-02,101.44,101.79,97.35,98.71,2910446.0
2016-02-03,98.85,99.075,92.41,96.3,3239739.0
2016-02-04,95.97,100.21,94.5,99.9,2331051.0
2016-02-05,99.07,99.11,91.91,93.54,5815090.0
2016-02-08,91.37,92.27,88.4,91.53,4856876.0
2016-02-09,90.25,94.4,89.24,92.64,4471170.0
2016-02-10,93.36,96.51,93.02,94.35,6023010.0
2016-02-11,100.1,104.95,96.88,103.37,11008859.0
2016-02-12,104.71,106.21,99.37,102.25,4894954.0
2016-02-16,103.35,105.45,101.14,105.44,3984180.0
2016-02-17,107.96,112.62,107.7,110.88,4596244.0
2016-02-18,110.01,111.53,107.28,107.47,3387816.0
2016-02-19,107.04,108.76,104.94,108.67,1992657.0
2016-02-22,106.59,108.24,105.62,106.96,2593743.0
2016-02-23,106.6,107.64,103.28,104.16,2358544.0
2016-02-24,103.16,105.36,100.47,104.4,2812021.0
2016-02-25,105.0,105.26,102.7035,105.13,1993062.0
2016-02-26,105.88,107.15,104.39,105.45,1538362.0
2016-02-29,104.19,106.195,104.01,104.11,1856576.0
2016-03-01,105.02,108.88,102.85,108.19,2227808.0
2016-03-02,107.83,108.19,105.66,106.73,1677315.0
2016-03-03,106.43,109.22,105.24,108.51,2283313.0
2016-03-04,108.89,109.09,107.14,108.53,1689294.0
2016-03-07,107.53,107.87,104.79,105.39,2392330.0
2016-03-08,104.94,106.36,103.35,104.86,2287394.0
2016-03-09,105.13,106.23,103.49,105.69,1891805.0
2016-03-10,108.6,111.45,107.18,109.38,3707864.0
2016-03-11,110.55,115.01,110.24,114.93,3803089.0
2016-03-14,113.42,118.64,113.42,116.39,4030327.0
2016-03-15,115.56,117.62,114.859,116.27,2505350.0
2016-03-16,116.2,116.93,111.2,114.3,4239700.0
2016-03-17,114.6,115.0936,111.25,111.48,2735638.0
2016-03-18,111.9,111.9,109.0,110.19,4113775.0
2016-03-21,110.14,111.52,108.42,110.88,2390230.0
2016-03-22,108.09,109.61,107.85,108.92,2584761.0
2016-03-23,109.34,109.72,108.38,108.99,1642723.0
2016-03-24,108.14,108.3762,106.5,107.69,2320028.0
2016-03-28,108.03,108.03,105.34,106.6,2320432.0
2016-03-29,106.45,107.96,104.96,107.24,2783538.0
2016-03-30,108.24,109.19,107.51,107.8,1386426.0
2016-03-31,107.96,108.27,106.66,107.82,2588896.0
2016-04-01,106.79,108.79,106.06,108.2,2488262.0
2016-04-04,108.32,108.625,103.75,105.14,3443008.0
2016-04-05,104.62,104.98,102.42,104.05,3831404.0
2016-04-06,104.55,106.87,104.22,105.74,2175854.0
2016-04-07,105.01,105.8699,103.375,103.57,2143624.0
2016-04-08,104.1,104.1,102.51,102.97,2265713.0
2016-04-11,103.0,104.115,101.84,101.96,1677545.0
2016-04-12,102.05,104.85,102.05,104.57,1891973.0
2016-04-13,104.94,107.21,104.69,106.92,2304669.0
2016-04-14,109.06,109.5,107.63,108.82,3084223.0
2016-04-15,108.98,109.23,107.805,109.16,2246261.0
2016-04-18,109.16,111.25,109.16,111.03,2300575.0
2016-04-19,109.12,109.81,106.32,107.56,3681061.0
2016-04-20,107.71,108.98,106.73,108.29,1616974.0
2016-04-21,108.55,108.86,107.0,108.34,1373089.0
2016-04-22,108.07,108.72,105.99,107.51,1993374.0
2016-04-25,107.15,107.4963,105.69,106.43,1719315.0
2016-04-26,106.68,106.91,105.76,106.64,1301612.0
2016-04-27,106.03,107.94,105.36,107.77,3165555.0
2016-04-28,107.55,110.79,106.83,106.99,6173617.0
2016-04-29,116.84,118.0,113.77,115.77,8366199.0
2016-05-02,115.76,116.99,113.87,116.52,3588130.0
2016-05-03,115.16,116.79,114.4,115.97,2649561.0
2016-05-04,113.66,115.43,112.89,114.11,3233927.0
2016-05-05,114.14,114.56,112.45,112.55,2174402.0
2016-05-06,112.0,113.33,111.55,113.16,1813528.0
2016-05-09,113.1,114.12,111.98,112.6,1531277.0
2016-05-10,113.38,115.36,113.015,115.02,1560585.0
2016-05-11,114.6,114.91,112.58,112.65,1111465.0
2016-05-12,113.25,113.62,111.21,112.94,1052144.0
2016-05-13,113.25,113.8,111.9,111.92,1235654.0
2016-05-16,112.5,112.7,111.35,111.92,1737850.0
2016-05-17,111.95,113.68,111.21,111.62,1650985.0
2016-05-18,111.1,112.27,109.69,110.77,2679935.0
2016-05-19,109.49,110.43,107.7601,108.56,2241324.0
2016-05-20,108.73,111.08,108.27,110.49,2243088.0
2016-05-23,110.3,110.77,109.935,110.2,1096130.0
2016-05-24,110.77,113.69,110.38,113.17,2334187.0
2016-05-25,113.17,114.1,112.66,113.01,1647958.0
2016-05-26,113.15,113.45,111.09,111.82,1219927.0
2016-05-27,112.0,112.65,111.51,112.29,1076412.0
2016-05-31,112.36,112.645,109.92,111.24,2063279.0
2016-06-01,110.47,111.9,109.53,110.6,1546621.0
2016-06-02,110.12,111.5,109.75,111.1,1102034.0
2016-06-03,110.5,110.67,108.36,109.99,1527205.0
2016-06-06,109.83,109.97,108.32,109.76,2067181.0
2016-06-07,110.0,111.08,109.26,110.66,2065037.0
2016-06-08,111.1,111.25,110.0,110.03,1122121.0
2016-06-09,109.12,110.68,108.66,109.11,1073959.0
2016-06-10,108.0,108.34,106.055,106.8,1862004.0
2016-06-13,106.26,107.22,104.13,104.33,1976212.0
2016-06-14,104.52,105.69,103.61,105.0,1951453.0
2016-06-15,105.42,105.97,104.17,104.34,1594837.0
2016-06-16,104.16,104.54,102.85,104.35,1729919.0
2016-06-17,104.08,104.72,103.07,104.14,2697886.0
2016-06-20,106.63,109.26,106.02,107.19,2438327.0
2016-06-21,107.22,107.6,106.32,107.37,1168757.0
2016-06-22,107.28,108.87,106.82,107.98,1607632.0
2016-06-23,108.98,110.0,108.44,109.9,1647598.0
2016-06-24,102.54,106.28,101.22,101.76,5446651.0
2016-06-27,100.54,100.84,96.58,98.44,3234726.0
2016-06-28,99.83,102.97,99.75,101.19,2121455.0
2016-06-29,102.47,105.2,102.22,104.18,2045338.0
2016-06-30,105.54,106.46,103.93,106.3,2336806.0
2016-07-01,106.03,108.33,105.82,107.71,1779327.0
2016-07-05,106.9,107.64,104.59,105.93,1621830.0
2016-07-06,105.35,106.79,104.44,106.2,1372240.0
2016-07-07,106.05,107.61,105.67,107.57,1240067.0
2016-07-08,108.34,109.7,108.0868,109.43,1661526.0
2016-07-11,110.11,111.5,110.07,111.28,1832430.0
2016-07-12,112.03,113.75,111.91,113.4,2092023.0
2016-07-13,113.45,114.41,112.29,114.26,1902330.0
2016-07-14,115.25,115.64,114.5,115.13,1970812.0
2016-07-15,114.38,115.27,113.02,114.62,1814520.0
2016-07-18,114.69,116.22,113.82,115.53,1103446.0
2016-07-19,114.69,116.29,114.28,116.13,1425938.0
2016-07-20,116.26,117.89,115.795,117.19,1340014.0
2016-07-21,117.07,117.27,115.82,116.58,1168672.0
2016-07-22,116.35,117.31,115.781,117.2,1231134.0
2016-07-25,116.85,117.65,115.85,117.61,1480815.0
2016-07-26,117.99,118.91,116.72,117.64,2863528.0
2016-07-27,117.76,118.0,115.8,117.2,2772293.0
2016-07-28,117.55,119.77,116.23,119.27,4959504.0
2016-07-29,113.74,117.93,112.99,116.65,6136117.0
2016-08-01,116.82,117.7719,115.5,117.37,1964414.0
