Date,Open,High,Low,Close,Volume
2016-01-04,13.87,14.0,13.75,13.97,38618524.0
2016-01-05,13.97,14.0,13.51,13.72,50237919.0
2016-01-06,13.56,13.56,13.05,13.11,61259369.0
2016-01-07,12.9,13.04,12.6,12.7,57836454.0
2016-01-08,13.05,13.1,12.5,12.54,46173309.0
2016-01-11,12.8,12.82,12.55,12.77,41253761.0
2016-01-12,13.03,13.04,12.58,12.85,50835508.0
2016-01-13,12.73,12.84,12.06,12.2,102174690.0
2016-01-14,12.19,12.31,11.82,12.19,62933612.0
2016-01-15,11.81,12.0,11.58,11.97,69021343.0
2016-01-19,12.15,12.16,11.82,11.95,41132363.0
2016-01-20,11.79,12.07,11.47,11.9,59874847.0
2016-01-21,12.01,12.28,11.86,12.01,48836662.0
2016-01-22,12.26,12.36,12.03,12.14,44536503.0
2016-01-25,12.3,12.31,11.93,11.98,96715925.0
2016-01-26,12.14,12.295,12.04,12.26,45954980.0
2016-01-27,12.05,12.1,11.73,11.85,42047083.0
2016-01-28,12.03,12.06,11.2,11.71,75682985.0
2016-01-29,11.83,11.94,11.65,11.94,52122825.0
2016-02-01,11.92,12.14,11.73,12.07,37301185.0
2016-02-02,11.95,12.08,11.45,11.51,55630212.0
2016-02-03,11.67,11.68,11.02,11.46,69443935.0
2016-02-04,11.37,11.69,11.26,11.53,40219818.0
2016-02-05,11.52,11.7,11.42,11.45,33293528.0
2016-02-08,11.39,11.69,11.25,11.59,45273090.0
2016-02-09,11.47,11.61,11.22,11.35,48945894.0
2016-02-10,11.46,11.57,11.33,11.34,38157712.0
2016-02-11,11.17,11.43,11.1,11.17,45794025.0
2016-02-12,11.25,11.58,11.18,11.55,28081483.0
2016-02-16,11.75,11.88,11.525,11.87,41069372.0
2016-02-17,11.99,12.3,11.98,12.27,37758641.0
2016-02-18,12.4,12.44,12.12,12.26,28782402.0
2016-02-19,12.19,12.22,12.01,12.1,26468865.0
2016-02-22,12.24,12.56,12.24,12.56,33545182.0
2016-02-23,12.53,12.65,12.42,12.42,30130479.0
2016-02-24,12.11,12.11,11.6,12.08,60571769.0
2016-02-25,12.11,12.4,12.05,12.39,32021990.0
2016-02-26,12.52,12.59,12.4,12.47,30226855.0
2016-02-29,12.42,12.65,12.39,12.51,32996062.0
2016-03-01,13.01,13.12,12.72,13.09,71518982.0
2016-03-02,13.06,13.35,13.04,13.22,36591546.0
2016-03-03,13.25,13.61,13.24,13.54,44523623.0
2016-03-04,13.56,13.86,13.43,13.59,31816628.0
2016-03-07,13.46,13.74,13.45,13.62,26127507.0
2016-03-08,13.51,13.575,13.15,13.23,34698958.0
2016-03-09,13.25,13.32,13.01,13.19,34143206.0
2016-03-10,13.25,13.28,12.92,13.15,39072072.0
2016-03-11,13.26,13.3,13.2,13.29,27563730.0
2016-03-14,13.28,13.37,13.18,13.27,20607327.0
2016-03-15,13.12,13.24,13.05,13.23,27729905.0
2016-03-16,13.21,13.51,13.18,13.5,47035012.0
2016-03-17,13.47,13.68,13.39,13.47,31517604.0
2016-03-18,13.54,13.7,13.49,13.64,32177856.0
2016-03-21,13.64,13.76,13.56,13.66,20903372.0
2016-03-22,13.65,13.73,13.51,13.59,26144696.0
2016-03-23,13.57,13.605,13.1901,13.26,31530552.0
2016-03-24,13.11,13.12,12.78,13.06,36199558.0
2016-03-28,13.13,13.17,13.07,13.09,18681518.0
2016-03-29,13.05,13.2,12.97,13.2,26077380.0
2016-03-30,13.28,13.44,13.245,13.35,25322305.0
2016-03-31,13.34,13.52,13.34,13.5,32937781.0
2016-04-01,13.28,13.3255,13.05,13.1,57904050.0
2016-04-04,13.11,13.12,12.76,12.8,42373836.0
2016-04-05,12.73,12.85,12.52,12.77,32419181.0
2016-04-06,12.75,12.87,12.65,12.82,22589959.0
2016-04-07,12.77,12.79,12.39,12.52,37676552.0
2016-04-08,12.62,12.78,12.51,12.55,20014976.0
2016-04-11,12.61,12.8,12.58,12.66,27695520.0
2016-04-12,12.72,12.84,12.66,12.81,23416772.0
2016-04-13,12.87,13.12,12.85,13.06,29330709.0
2016-04-14,13.09,13.18,13.02,13.09,22452944.0
2016-04-15,13.1,13.12,12.85,12.94,22981147.0
2016-04-18,12.98,13.28,12.95,13.25,30113853.0
2016-04-19,13.35,13.5,13.28,13.44,28807338.0
2016-04-20,13.42,13.72,13.4,13.64,32187061.0
2016-04-21,13.81,13.88,13.56,13.65,38124022.0
2016-04-22,13.63,13.78,13.51,13.61,28844327.0
2016-04-25,13.59,13.6501,13.47,13.58,19494809.0
2016-04-26,13.66,13.82,13.63,13.75,35203448.0
2016-04-27,13.64,13.71,13.59,13.66,27142154.0
2016-04-28,13.79,14.22,13.71,14.09,87580030.0
2016-04-29,13.93,14.03,13.53,13.56,69672979.0
2016-05-02,13.67,13.79,13.6,13.62,57955420.0
2016-05-03,13.5,13.55,13.15,13.43,45583003.0
2016-05-04,13.29,13.38,13.14,13.31,28892764.0
2016-05-05,13.35,13.43,13.22,13.32,23832597.0
2016-05-06,13.26,13.48,13.2399,13.44,23283370.0
2016-05-09,13.42,13.5,13.28,13.32,21596919.0
2016-05-10,13.38,13.52,13.38,13.49,23583373.0
2016-05-11,13.44,13.54,13.3,13.32,20226480.0
2016-05-12,13.4,13.47,13.17,13.35,24781531.0
2016-05-13,13.34,13.52,13.17,13.22,27481277.0
2016-05-16,13.22,13.375,13.21,13.32,21262679.0
2016-05-17,13.14,13.31,13.07,13.14,34157257.0
2016-05-18,13.12,13.34,13.05,13.16,23509660.0
2016-05-19,13.1,13.195,13.02,13.09,24117796.0
