Date,Open,High,Low,Close,Volume
2016-01-04,40.24,40.24,39.54,40.19,3543792.0
2016-01-05,40.51,40.56,39.225,39.75,3444569.0
2016-01-06,39.32,40.35,39.01,39.86,3729493.0
2016-01-07,39.18,39.615,38.65,39.05,3037801.0
2016-01-08,39.28,39.59,38.67,38.8,3006266.0
2016-01-11,39.0,39.13,38.51,38.89,4288001.0
2016-01-12,39.11,39.54,38.82,39.43,2930187.0
2016-01-13,39.5,39.77,38.64,38.77,4372879.0
2016-01-14,38.99,39.55,38.0,39.25,5748984.0
2016-01-15,35.11,38.73,35.1001,37.67,14853686.0
2016-01-19,38.05,38.44,36.36,36.77,5985766.0
2016-01-20,36.35,36.86,35.1799,36.53,4642673.0
2016-01-21,36.67,37.36,36.1,37.14,4019158.0
2016-01-22,37.73,38.11,37.03,37.98,3726566.0
2016-01-25,37.82,38.07,36.76,36.82,3373178.0
2016-01-26,37.295,38.23,37.15,38.02,4341250.0
2016-01-27,37.63,38.82,37.32,38.04,3629852.0
2016-01-28,38.12,39.4,37.98,39.34,4055125.0
2016-01-29,39.48,40.56,39.28,40.56,3932207.0
2016-02-01,42.2,42.599,39.5,40.44,4493341.0
2016-02-02,39.83,40.0,38.98,39.13,2880207.0
2016-02-03,39.5,40.33,38.48,39.63,3901699.0
2016-02-04,41.5,44.44,41.5,43.53,11213892.0
2016-02-05,43.29,43.75,42.8,43.26,4894960.0
2016-02-08,42.92,44.25,42.525,43.66,6087543.0
2016-02-09,43.25,44.25,43.16,43.36,5576638.0
2016-02-10,43.77,43.93,42.1,42.27,4370214.0
2016-02-11,42.11,42.28,40.96,42.01,4304495.0
2016-02-12,42.56,43.09,41.9,43.04,2164033.0
2016-02-16,43.76,43.82,43.05,43.68,2598681.0
2016-02-17,43.87,44.94,43.76,44.42,3275774.0
2016-02-18,44.42,45.111,44.06,44.56,2294399.0
2016-02-19,44.18,44.75,43.865,44.65,2456224.0
2016-02-22,45.05,45.645,44.91,45.36,2302649.0
2016-02-23,44.95,45.4,44.46,44.54,2215178.0
2016-02-24,44.16,44.74,43.43,44.5,2272556.0
2016-02-25,44.66,45.07,44.02,45.07,1769511.0
2016-02-26,45.24,45.5,44.9,45.22,2169767.0
2016-02-29,45.25,45.7,45.08,45.29,3909311.0
2016-03-01,45.74,47.03,45.46,46.7,4523299.0
2016-03-02,46.7,46.9,46.02,46.5,3294157.0
2016-03-03,46.44,47.16,46.15,47.0,2296144.0
2016-03-04,45.99,46.61,44.71,46.22,4029799.0
2016-03-07,45.97,46.86,45.83,46.32,2589832.0
2016-03-08,46.28,46.83,45.55,46.57,3448627.0
2016-03-09,46.8,47.09,46.4638,46.99,2345618.0
2016-03-10,47.0,47.13,46.37,46.99,2712622.0
2016-03-11,47.25,47.35,46.5201,46.86,2261839.0
2016-03-14,46.83,47.08,46.635,46.94,1458183.0
2016-03-15,46.46,47.213,45.1843,47.05,2565959.0
2016-03-16,46.61,47.5,46.2,47.42,3134639.0
2016-03-17,47.44,49.19,47.34,48.94,3278545.0
2016-03-18,49.17,49.2,48.52,49.05,3618647.0
2016-03-21,49.03,49.99,48.84,49.87,2522766.0
2016-03-22,49.5,49.85,48.82,48.93,3026758.0
2016-03-23,48.98,49.08,48.64,48.83,2132736.0
2016-03-24,48.69,49.09,48.43,48.9,1927976.0
2016-03-28,49.05,49.05,48.32,48.5,1935792.0
2016-03-29,48.23,49.04,48.06,49.02,1912615.0
2016-03-30,49.26,49.29,48.74,48.93,2493229.0
2016-03-31,49.0,49.08,48.7075,49.0,2169890.0
2016-04-01,48.3,48.96,47.57,48.93,3275374.0
2016-04-04,48.75,48.77,47.29,47.37,3380874.0
2016-04-05,48.73,48.73,46.84,47.38,3667807.0
2016-04-06,47.31,48.0,46.13,47.11,3881809.0
2016-04-07,47.02,47.36,46.4,46.72,3052444.0
2016-04-08,47.21,47.62,47.01,47.13,2461781.0
2016-04-11,47.31,47.615,46.8,46.94,3799940.0
2016-04-12,45.0,46.18,45.0,45.34,7922311.0
2016-04-13,45.34,46.0,45.1,45.82,3504861.0
2016-04-14,45.97,46.08,45.62,45.77,2267125.0
2016-04-15,45.77,46.04,45.3,45.81,1931641.0
2016-04-18,45.75,46.06,45.52,45.73,2051286.0
2016-04-19,45.89,46.16,45.63,45.74,2029467.0
2016-04-20,45.74,46.15,45.58,45.81,1656697.0
2016-04-21,46.66,46.66,45.46,45.58,1416865.0
2016-04-22,45.15,45.65,45.15,45.63,1718305.0
2016-04-25,45.5,45.89,45.44,45.6,1805951.0
2016-04-26,45.6,46.66,45.44,46.48,2466829.0
2016-04-27,46.45,47.5,46.4117,47.44,5023062.0
2016-04-28,47.09,47.99,47.0311,47.27,4732968.0
2016-04-29,46.88,47.25,46.34,46.79,3903553.0
2016-05-02,46.93,47.04,46.1,47.02,3346581.0
2016-05-03,46.55,46.8145,45.82,46.37,2509790.0
2016-05-04,46.25,46.25,45.29,45.57,2922690.0
2016-05-05,45.83,46.91,45.57,46.55,3802630.0
2016-05-06,46.41,46.83,46.3222,46.49,2092548.0
2016-05-09,46.45,46.49,45.815,46.16,1911564.0
2016-05-10,46.49,46.8,45.81,46.67,1873236.0
2016-05-11,46.56,46.72,46.22,46.3,2003090.0
2016-05-12,46.46,46.63,45.57,45.64,3356573.0
2016-05-13,45.64,46.07,45.23,45.48,2062173.0
2016-05-16,45.62,46.1,45.45,45.72,2227018.0
2016-05-17,45.73,46.02,45.2,45.2,2033923.0
2016-05-18,45.15,45.83,45.05,45.39,2553909.0
2016-05-19,45.0,45.24,44.45,44.51,2279016.0
2016-05-20,44.71,45.12,44.1,44.86,2665028.0
2016-05-23,44.9,45.12,44.71,44.87,1425747.0
2016-05-24,45.05,45.83,45.04,45.7,1770809.0
2016-05-25,45.76,46.05,45.61,45.94,1881901.0
2016-05-26,46.03,46.2,45.94,46.08,1988857.0
2016-05-27,46.1,46.18,45.845,46.0,2132127.0
2016-05-31,46.1,46.36,45.78,46.03,2583038.0
