Date,Open,High,Low,Close,Volume
2016-01-04,101.95,102.24,99.75,102.22,37912403.0
2016-01-05,102.89,103.7099,101.665,102.73,23258238.0
2016-01-06,101.13,103.77,100.9,102.97,25096183.0
2016-01-07,100.5,101.43,97.3,97.92,45172906.0
2016-01-08,99.88,100.5,97.0311,97.33,35402298.0
2016-01-11,97.91,98.6,95.39,97.51,29932385.0
2016-01-12,99.0,99.96,97.55,99.37,28395390.0
2016-01-13,100.58,100.58,95.21,95.44,33410553.0
2016-01-14,95.85,98.87,92.45,98.37,48658623.0
2016-01-15,93.98,96.38,93.54,94.97,46132781.0
2016-01-19,96.53,97.42,93.92,95.26,30998256.0
2016-01-20,92.83,95.0,89.37,94.35,59051429.0
2016-01-21,94.91,95.99,92.62,94.16,30518939.0
2016-01-22,96.41,98.07,95.49,97.94,30495387.0
2016-01-25,98.72,99.48,96.93,97.01,32482015.0
2016-01-26,97.76,97.88,95.66,97.34,26877080.0
2016-01-27,97.79,97.85,94.23,94.45,58699359.0
2016-01-28,107.2,110.34,104.81,109.11,107475327.0
2016-01-29,108.99,112.84,108.84,112.21,62739548.0
2016-02-01,112.27,115.72,112.01,115.09,46132726.0
2016-02-02,114.8,117.59,113.2,114.61,59778571.0
2016-02-03,115.27,115.3407,109.75,112.69,56919324.0
2016-02-04,111.8,111.94,109.25,110.49,38890199.0
2016-02-05,109.51,109.58,103.18,104.07,76894741.0
2016-02-08,100.41,102.68,97.46,99.75,71229746.0
2016-02-09,97.14,102.4,96.82,99.54,62709018.0
2016-02-10,101.55,103.25,100.24,101.0,45179370.0
2016-02-11,99.6,105.11,98.88,101.91,43670634.0
2016-02-12,103.74,104.24,101.09,102.01,36176760.0
2016-02-16,103.8,103.93,100.24,101.61,45687224.0
2016-02-17,101.94,105.72,100.4,105.2,44073369.0
2016-02-18,105.8,106.0,103.03,103.47,29593508.0
2016-02-19,102.55,105.02,102.06,104.57,32404516.0
2016-02-22,105.49,108.25,105.34,107.16,35709714.0
2016-02-23,106.85,107.47,105.12,105.46,25319315.0
2016-02-24,104.21,106.95,102.74,106.88,34412437.0
2016-02-25,107.11,108.07,105.61,108.07,29906278.0
2016-02-26,108.7,109.45,107.16,107.92,26686193.0
2016-02-29,107.6,108.9101,106.75,106.92,32778992.0
2016-03-01,107.83,109.82,107.6,109.82,26817309.0
2016-03-02,109.68,110.55,108.77,109.95,25670170.0
2016-03-03,110.25,110.3,108.54,109.58,21353092.0
2016-03-04,110.05,110.05,107.93,108.39,24938858.0
2016-03-07,108.07,108.07,104.72,105.73,31534055.0
2016-03-08,104.78,107.37,104.4,105.93,25204666.0
2016-03-09,106.7,107.51,105.49,107.51,20493305.0
2016-03-10,107.91,108.66,105.7699,107.32,24854284.0
2016-03-11,108.48,109.42,107.92,109.41,20697553.0
2016-03-14,109.28,110.33,108.77,109.89,17249365.0
2016-03-15,109.11,110.83,108.84,110.67,17618460.0
2016-03-16,110.49,112.5,110.1,112.18,24744778.0
2016-03-17,112.15,112.69,110.73,111.02,24241247.0
2016-03-18,111.56,112.42,110.27,111.45,36256877.0
2016-03-21,111.66,112.37,111.03,111.85,18447974.0
2016-03-22,111.36,112.88,111.17,112.25,19001076.0
2016-03-23,112.01,113.19,112.0,112.54,18561974.0
2016-03-24,112.13,113.09,111.68,113.05,17839119.0
2016-03-28,113.32,114.5889,112.95,113.69,21351751.0
2016-03-29,113.83,116.32,113.64,116.14,29825340.0
2016-03-30,116.73,116.99,114.355,114.7,33235184.0
2016-03-31,114.7,115.01,113.7682,114.1,21207526.0
2016-04-01,113.75,116.17,113.35,116.06,24760504.0
2016-04-04,114.07,114.55,111.61,112.55,48487913.0
2016-04-05,112.11,113.32,111.9,112.22,22962365.0
2016-04-06,112.47,113.81,112.42,113.71,20814640.0
2016-04-07,113.79,114.89,113.0663,113.64,20714537.0
2016-04-08,114.25,114.33,109.9,110.63,48497808.0
2016-04-11,110.7,110.91,108.77,108.99,39762304.0
2016-04-12,109.34,111.1645,108.99,110.61,26248081.0
2016-04-13,112.23,112.65,106.52,110.51,88227393.0
2016-04-14,110.62,112.04,110.26,110.84,28473322.0
2016-04-15,110.79,110.97,109.2,109.64,20922803.0
2016-04-18,109.74,110.81,109.2,110.45,21167199.0
2016-04-19,111.1,112.45,109.16,112.29,30210455.0
2016-04-20,112.43,113.27,111.56,112.42,21027901.0
2016-04-21,112.55,114.04,112.31,113.44,20875230.0
2016-04-22,111.21,111.75,109.01,110.56,38458201.0
2016-04-25,109.87,110.67,109.07,110.1,21017895.0
2016-04-26,110.49,110.5,108.15,108.76,22521534.0
2016-04-27,107.94,108.94,106.31,108.89,52213107.0
2016-04-28,119.575,120.79,116.23,116.73,87110080.0
2016-04-29,116.82,117.84,115.84,117.58,37140594.0
2016-05-02,117.83,118.73,116.57,118.57,28095168.0
2016-05-03,117.52,118.16,117.02,117.43,24117463.0
2016-05-04,116.61,118.3,116.57,118.06,23448440.0
2016-05-05,118.04,118.98,117.25,117.81,22056749.0
2016-05-06,117.16,119.637,117.1127,119.49,26395568.0
2016-05-09,119.54,120.28,118.9,119.24,21138059.0
