Date,Open,High,Low,Close,Volume
2016-01-04,90.09,90.97,88.17,89.5,1609770.0
2016-01-05,89.41,90.24,89.28,89.91,1107101.0
2016-01-06,88.56,89.6,88.18,89.23,1026239.0
2016-01-07,86.42,88.73,85.63,88.21,1774361.0
2016-01-08,88.24,89.02,87.1,87.53,1508745.0
2016-01-11,87.85,88.36,87.28,87.94,1386033.0
2016-01-12,88.07,89.48,87.69,89.31,1170260.0
2016-01-13,89.5,89.56,86.68,86.83,1066452.0
2016-01-14,87.17,89.83,86.8,89.03,1470433.0
2016-01-15,86.21,87.96,86.02,87.34,1478684.0
2016-01-19,88.5,89.46,87.84,89.04,1802685.0
2016-01-20,87.65,89.64,86.33,88.95,2065783.0
2016-01-21,89.39,90.51,88.57,89.64,1374412.0
2016-01-22,90.98,91.86,90.17,91.49,966010.0
2016-01-25,90.4,91.49,89.97,90.16,1275416.0
2016-01-26,90.52,91.8656,90.09,91.4,855729.0
2016-01-27,91.25,92.26,90.21,90.45,1108893.0
2016-01-28,91.2,91.87,90.27,91.02,964707.0
2016-01-29,91.6,94.64,91.31,94.56,1505495.0
2016-02-01,93.55,94.93,93.3901,94.37,1617293.0
2016-02-02,93.91,93.91,92.47,93.04,1311761.0
2016-02-03,95.0,95.21,92.73,94.8,2658701.0
2016-02-04,95.02,96.56,94.7,96.53,1599161.0
2016-02-05,95.81,96.52,94.0,94.59,1485435.0
2016-02-08,93.77,94.7,90.49,91.81,2119994.0
2016-02-09,91.34,92.92,90.96,92.09,1641736.0
2016-02-10,93.12,94.36,92.54,92.71,861035.0
2016-02-11,90.93,92.28,90.6,91.68,1612524.0
2016-02-12,93.35,94.3299,92.41,93.07,1122501.0
2016-02-16,94.32,94.77,93.29,94.35,1706748.0
2016-02-17,95.0,96.24,94.04,95.86,2034853.0
2016-02-18,96.04,96.65,95.55,96.32,1164960.0
2016-02-19,96.07,96.79,95.37,96.65,1425583.0
2016-02-22,96.92,98.31,96.89,97.92,1047296.0
2016-02-23,97.8,98.07,97.1,97.19,1574681.0
2016-02-24,96.51,98.46,95.84,98.29,984135.0
2016-02-25,98.72,99.48,97.72,99.47,912123.0
2016-02-26,99.59,99.71,97.64,97.98,875822.0
2016-02-29,97.67,98.27,95.5,95.63,3417436.0
2016-03-01,96.72,98.34,96.26,98.34,1747699.0
2016-03-02,98.24,98.97,96.62,97.28,948853.0
2016-03-03,96.83,97.33,96.47,97.29,1058349.0
2016-03-04,97.63,97.73,96.45,97.16,1029532.0
2016-03-07,96.88,97.15,96.13,96.57,1020557.0
2016-03-08,96.33,96.81,95.74,95.83,1159986.0
2016-03-09,96.35,96.7,95.99,96.46,937423.0
