Date,Open,High,Low,Close,Volume
2016-01-04,46.53,47.76,46.26,47.71,1645312.0
2016-01-05,47.6,48.11,46.67,46.78,1308062.0
2016-01-06,45.8,46.15,45.07,45.5,1806916.0
2016-01-07,44.73,45.23,44.34,44.48,2169055.0
2016-01-08,44.67,45.14,43.2,43.33,2054105.0
2016-01-11,43.51,43.63,41.52,41.83,3113257.0
2016-01-12,42.43,42.67,41.68,42.4,2145936.0
2016-01-13,43.11,43.24,41.43,41.67,2238466.0
2016-01-14,42.07,42.64,41.08,42.08,2694738.0
2016-01-15,40.69,42.09,40.69,41.95,2143229.0
2016-01-19,42.34,42.68,40.7362,41.17,1878499.0
2016-01-20,40.49,41.63,39.48,41.11,1587206.0
2016-01-21,41.18,41.93,40.73,41.32,2355533.0
2016-01-22,42.44,43.52,42.12,42.89,2823181.0
2016-01-25,42.55,42.94,42.02,42.35,1785268.0
2016-01-26,42.94,44.01,42.43,43.99,1508252.0
2016-01-27,43.52,43.94,42.67,42.92,1576999.0
2016-01-28,43.6,44.13,43.29,43.55,1420761.0
2016-01-29,43.62,44.96,43.48,44.89,2217156.0
2016-02-01,44.52,44.93,43.6,44.61,1916186.0
2016-02-02,43.64,44.58,43.64,43.88,1613934.0
2016-02-03,44.74,46.33,42.52,43.46,2599206.0
2016-02-04,43.57,45.27,43.31,44.94,1720187.0
2016-02-05,44.51,45.33,44.38,44.84,1259165.0
2016-02-08,44.19,44.34,42.2001,42.78,2080863.0
2016-02-09,42.39,43.59,42.28,43.16,1394967.0
2016-02-10,43.17,43.69,42.7,42.71,1101567.0
2016-02-11,41.51,42.315,41.06,41.74,1996711.0
2016-02-12,41.895,43.88,41.895,43.64,1419241.0
2016-02-16,44.28,45.17,43.7865,44.99,1813816.0
2016-02-17,45.73,46.8798,45.57,46.43,1688370.0
2016-02-18,46.76,47.15,46.03,46.46,2174894.0
2016-02-19,42.64,45.61,42.41,45.38,4264746.0
2016-02-22,46.1,47.6,46.0,47.0,2013286.0
2016-02-23,46.56,47.05,46.02,46.07,1338467.0
2016-02-24,45.12,46.17,44.82,46.14,1252002.0
2016-02-25,45.88,46.26,45.16,46.01,956238.0
2016-02-26,46.56,47.46,46.4,46.81,1487897.0
2016-02-29,46.74,46.81,46.04,46.04,1699650.0
2016-03-01,46.56,48.19,46.32,47.76,1088060.0
2016-03-02,47.74,48.68,47.4,48.64,1335240.0
2016-03-03,48.81,49.288,48.34,48.89,1536081.0
2016-03-04,48.98,49.52,48.45,49.17,1381156.0
2016-03-07,49.0,51.78,48.69,51.76,2917855.0
2016-03-08,51.3,51.685,50.365,51.01,3201069.0
2016-03-09,51.23,51.23,50.09,50.21,2143745.0
2016-03-10,50.26,50.44,48.93,49.84,1536912.0
2016-03-11,50.55,51.81,50.2,51.42,1954726.0
2016-03-14,51.07,52.0,50.71,51.7,1375531.0
2016-03-15,51.1,51.24,50.52,51.15,790670.0
2016-03-16,51.0,52.77,50.81,52.6,1567187.0
2016-03-17,52.79,55.0,52.79,54.79,2467755.0
2016-03-18,54.94,55.48,54.66,55.21,2884447.0
2016-03-21,55.0,55.36,54.525,54.91,880933.0
2016-03-22,54.5,55.44,54.5,55.25,1349564.0
2016-03-23,54.83,55.1,54.06,54.16,1416558.0
2016-03-24,53.73,54.15,53.35,54.12,1111547.0
2016-03-28,54.43,54.585,53.6099,53.88,890720.0
2016-03-29,53.43,54.06,53.12,53.99,1413112.0
2016-03-30,54.48,54.77,53.77,54.36,1315703.0
2016-03-31,54.12,54.17,53.04,53.7,2179647.0
2016-04-01,53.0,53.59,52.18,53.51,1381579.0
2016-04-04,53.51,53.93,52.45,52.59,1335665.0
2016-04-05,52.12,52.65,51.89,52.05,1241389.0
2016-04-06,52.12,52.3,51.2,51.81,1328699.0
2016-04-07,51.56,51.68,50.79,51.04,1876417.0
2016-04-08,51.36,52.25,51.11,51.27,883744.0
2016-04-11,51.58,52.145,51.38,51.39,705933.0
2016-04-12,51.62,53.0,51.557,52.77,1436175.0
2016-04-13,53.0,53.31,52.55,53.16,1554489.0
2016-04-14,53.27,53.62,52.805,52.88,1309044.0
2016-04-15,52.81,53.235,52.51,52.61,2024951.0
2016-04-18,52.02,52.91,51.44,52.71,1455485.0
2016-04-19,53.11,53.74,52.87,53.6,1385533.0
2016-04-20,53.51,53.6,52.85,53.14,1327184.0
2016-04-21,53.28,53.91,53.13,53.72,1335588.0
2016-04-22,53.94,54.6,53.84,54.28,1787227.0
2016-04-25,54.0,54.19,53.19,53.39,847080.0
2016-04-26,53.46,54.62,53.46,54.49,949298.0
2016-04-27,54.68,55.69,54.51,55.52,920087.0
2016-04-28,55.1,55.48,54.19,54.28,1116199.0
2016-04-29,54.32,55.17,54.1,54.66,994455.0
2016-05-02,54.68,55.02,53.97,54.98,923702.0
2016-05-03,54.36,55.13,53.7987,54.99,1876605.0
2016-05-04,54.82,55.09,54.01,54.22,1149801.0
2016-05-05,54.62,55.29,54.1101,54.68,1643503.0
2016-05-06,51.0,52.81,50.36,51.79,4370718.0
2016-05-09,51.5,51.86,51.13,51.18,1771008.0
2016-05-10,51.64,52.07,51.22,51.8,1844195.0
2016-05-11,51.81,52.26,51.48,51.59,1063160.0
2016-05-12,51.91,52.17,51.21,51.33,1265622.0
2016-05-13,51.22,51.76,50.01,50.04,1312499.0
2016-05-16,50.4,51.47,50.13,51.15,1439727.0
2016-05-17,51.13,51.52,50.45,50.6,1098831.0
2016-05-18,50.32,50.91,49.69,50.01,1162989.0
2016-05-19,49.28,49.75,48.96,49.38,1206228.0
2016-05-20,49.75,50.31,49.65,49.97,796561.0
2016-05-23,49.93,50.26,49.48,50.17,1234548.0
2016-05-24,50.42,51.28,50.057,51.03,1598587.0
2016-05-25,51.32,52.93,51.255,52.78,1872882.0
2016-05-26,52.85,53.135,52.21,52.6,1229133.0
2016-05-27,52.32,52.74,52.29,52.71,1115699.0
2016-05-31,52.51,53.25,52.35,52.78,1512911.0
2016-06-01,49.16,52.31,49.16,52.18,1751999.0
2016-06-02,51.93,52.53,51.93,52.52,902338.0
2016-06-03,52.38,52.67,51.52,52.41,1066942.0
2016-06-06,52.78,53.15,52.46,53.1,738205.0
2016-06-07,53.15,53.55,53.1,53.43,707401.0
2016-06-08,53.74,54.11,53.605,54.04,992934.0
2016-06-09,53.53,53.53,52.98,53.36,792974.0
2016-06-10,52.68,52.86,51.99,52.11,754871.0
2016-06-13,51.8,52.11,50.855,50.91,1189674.0
2016-06-14,50.62,51.12,50.0,50.52,1352336.0
2016-06-15,50.77,51.34,50.38,50.66,1120411.0
2016-06-16,50.22,50.88,49.7,50.77,740046.0
2016-06-17,50.95,51.37,50.74,50.9,931075.0
2016-06-20,51.69,51.87,51.51,51.57,801752.0
2016-06-21,51.58,51.68,50.96,51.33,805118.0
2016-06-22,51.54,51.94,51.41,51.5,605016.0
2016-06-23,52.36,52.98,52.31,52.98,756786.0
2016-06-24,50.55,51.53,48.71,48.78,1886544.0
2016-06-27,47.9,48.1,45.8,46.14,2619655.0
2016-06-28,46.87,47.31,46.44,46.93,2149750.0
2016-06-29,47.7,48.92,47.105,48.55,3125551.0
2016-06-30,48.74,49.3,48.16,49.28,1468477.0
2016-07-01,49.33,50.29,48.88,49.24,1196209.0
2016-07-05,48.77,48.95,47.91,48.77,1589147.0
2016-07-06,48.33,49.64,48.27,49.5,1291966.0
2016-07-07,49.76,50.52,49.64,50.05,1090897.0
2016-07-08,50.78,51.6979,50.78,51.57,824499.0
2016-07-11,51.97,52.57,51.97,52.04,685973.0
2016-07-12,52.62,53.25,52.45,53.19,1191767.0
2016-07-13,53.5,53.58,52.43,52.88,744305.0
2016-07-14,53.58,53.826,53.18,53.2,684854.0
2016-07-15,53.4,53.4,52.937,53.04,806600.0
2016-07-18,52.85,53.1,52.59,52.99,918298.0
2016-07-19,52.91,53.05,52.7,52.9,788118.0
2016-07-20,52.84,53.56,52.4001,53.44,672225.0
2016-07-21,53.38,54.205,53.12,53.25,744856.0
2016-07-22,53.03,53.1751,52.18,52.54,955153.0
2016-07-25,52.27,52.8,52.04,52.73,819602.0
2016-07-26,52.81,53.56,52.81,53.53,606148.0
2016-07-27,53.65,54.45,53.585,53.97,1296627.0
2016-07-28,53.72,53.99,53.32,53.7,910425.0
2016-07-29,53.55,53.66,52.63,53.52,1136987.0
2016-08-01,53.52,53.75,52.71,53.04,1466568.0
2016-08-02,52.89,52.91,52.17,52.84,1128595.0
2016-08-03,52.75,52.985,52.35,52.89,777902.0
2016-08-04,52.72,53.44,52.44,52.94,1025504.0
2016-08-05,50.49,52.035,50.089,51.94,2665561.0
2016-08-08,51.97,52.7099,51.44,51.54,1329968.0
2016-08-09,51.69,52.36,51.42,51.99,1105058.0
2016-08-10,52.18,52.5,51.76,51.86,1271777.0
2016-08-11,51.95,52.38,51.825,52.02,993724.0
2016-08-12,52.01,52.11,51.11,51.41,765600.0
2016-08-15,51.58,52.43,51.43,52.02,662796.0
